#Study : TianlinLiu
#Date : 20180411 09:03:36
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:12:06.473 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206539	66			0	67	1	755	237	173	173	-1.236255	0	-1.145668	0	0.2636931	0	0.6269338	0	-0.4054491	0	-1.195014	0	-1.64485	0	-1.361806	0	-1.301042	0	0.5386941	0	-1.236255	0	0.6269338	0	-0.1239303	-0.05866909	-0.6999738	-0.365267	-1.520825	-1.179854	-2.916228	-0.8030601	-0.7668696	-0.5592143	-1.446329	-0.7087896	-0.5239246	-0.4231196	-0.7009664	-0.5755121	-0.9118808	-0.8525511	-0.5819306	0.2532392						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206572	99			1	100	1	757	237	176	176	-1.078016	0	-1.681778	0	0.2839806	0	0.7848109	0	-0.4928006	0	-1.262236	0	-1.816807	0	-1.66599	0	-1.777835	0	0.4653877	0	-1.078016	0	0.7848109	0	-0.2011916	-0.06578451	-0.6611558	-0.3628688	-1.508051	-1.125719	-3.106571	-0.8335503	-0.6462044	-0.6543489	-1.750461	-0.9913536	-0.6096586	-0.2750646	-0.778677	-0.7770427	-0.6722164	-0.8144569	-0.7784633	-0.03913868						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206606	133			2	133	1	766	243	167	167	-0.9200255	0	-2.462744	0	-0.278875	0	0.4039175	0	-0.2607979	0	-1.058048	0	-1.207089	0	-1.740747	0	-2.154803	0	0.4086155	0	-0.9200255	0	0.4039175	0	-0.1231229	-0.1979482	-0.7624384	-1.100466	-0.7036009	-1.095091	-2.719304	-0.4262211	-0.17734	-0.3620417	-1.482927	-0.8261421	-0.2650167	-0.2505859	-0.6139647	-0.845709	-0.861375	-0.9077643	-0.8825209	0.5775101						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206639	166			3	167	1	766	243	167	167	-0.9447441	0	-2.446951	0	-0.2742315	0	0.332035	0	-0.2392097	0	-1.061629	0	-1.237532	0	-1.730307	0	-2.129258	0	0.4201736	0	-0.9447441	0	0.332035	0	-0.1462175	-0.2186576	-0.7959803	-1.111526	-0.7056934	-1.095078	-2.737366	-0.4462712	-0.1761249	-0.3541541	-1.473231	-0.8048933	-0.236231	-0.2839054	-0.609477	-0.8296003	-0.8808379	-0.9097272	-0.8677447	0.5613015						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206673	200			4	200	1	775	248	166	166	-1.43938	0	-1.127057	0	-1.105356	0	-0.4783819	0	-0.1880616	0	-1.024953	0	-1.338295	0	-0.1509897	0	-0.3019145	0	0.4844138	0	-1.43938	0	-0.1880616	0	-0.7324737	-0.7633007	-0.5650896	-1.62305	-0.8195156	-1.08396	-2.303175	-0.6959879	-0.28718	-0.298402	-1.497873	-0.4243883	-0.1240331	-0.4514255	-0.3515616	-0.4363865	-1.202458	-1.003783	-0.3029846	1.075731						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206706	233			5	233	1	783	252	163	163	-1.755586	0	-0.1208702	0	-1.910882	0	-0.3825589	0	0.08563619	0	-0.6413807	0	-0.9531011	0	0.5191621	0	0.6358917	0	0.4005483	0	-1.755586	0	0.08563619	0	-0.8579764	-0.9192982	-0.3963811	-1.380071	-0.6580872	-1.141194	-1.849617	-0.4535356	-0.4274391	-0.05581154	-1.229545	-0.01415613	0.135602	-0.7899181	-0.3040258	-0.1220378	-1.807257	-1.611603	0.08236793	1.106392						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206739	266			6	267	1	787	250	164	164	-2.653337	0	1.111936	0	-2.74007	0	-0.7853157	0	-0.3030975	0	-0.4741012	0	-0.843385	0	1.439355	0	1.5381	0	-0.2480807	0	-2.653337	0	1.111936	0	-1.245121	-1.406448	0.005113886	-1.080119	-0.5421368	-0.6676774	-1.234487	-0.3869296	-0.5373473	-0.3671145	-1.030029	0.1512794	0.3933088	-0.8350812	-0.4571901	0.00118589	-2.054472	-2.067289	-0.07249045	0.9462383						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206772	299			7	300	1	790	248	163	163	-1.529527	0	0.5238627	0	-1.843289	0	-0.7624674	0	-0.8106146	0	0.231716	0	-1.28741	0	1.01631	0	0.7022509	0	-0.5126139	0	-1.529527	0	0.5238627	0	-1.193507	-1.272211	0.2482575	-0.9764612	-0.08204763	-0.1778201	-0.6152241	-0.05985961	-0.2049326	-0.5157702	-1.09556	-0.1279997	0.2324461	-0.2917952	-0.26041	-0.2091197	-0.8835902	-1.045852	-0.2352813	0.8532409						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206806	333			8	333	1	790	247	163	163	-1.560621	0	0.5426604	0	-1.868959	0	-0.7382001	0	-0.8069073	0	0.2311942	0	-1.256727	0	1.037037	0	0.7114899	0	-0.5345952	0	-1.560621	0	0.5426604	0	-1.188254	-1.276255	0.2953593	-0.9830354	-0.04203101	-0.1614626	-0.5592097	-0.003393104	-0.2123662	-0.515243	-1.086161	-0.1308676	0.2110654	-0.2737457	-0.2448057	-0.1996437	-0.8532294	-1.041752	-0.2590422	0.8576561						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206839	366			9	367	1	792	244	167	167	-0.6004009	0	0.001769959	0	-3.728812	0	-0.6590724	0	-1.68378	0	0.8639047	0	-2.173384	0	-0.07446396	0	0.006687098	0	-1.90559	0	-0.6004009	0	0.8639047	0	-1.19208	-1.240573	0.4884557	-1.060239	0.7607563	0.1381154	-0.1156393	0.6884064	0.3596831	-0.2356085	-1.389536	-0.2706712	-1.978904	0.6142059	-0.2664441	-0.4246122	-0.3606626	-1.07289	-0.07814142	0.5050545						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206872	399			10	400	0																																																						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206906	433			11	433	0																																																						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206939	466			12	467	0																																																						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151206972	499			13	500	0																																																						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207006	533			14	533	0																																																						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207039	566			15	567	1	804	244	172	172	-6.336113	0	2.004288	0	-2.836392	0	-3.002969	0	-1.146357	0	-1.041039	0	-0.386531	0	1.989275	0	1.620349	0	-1.398339	0	-6.336113	0	2.004288	0	-1.017994	-1.659348	1.135759	-0.5984013	-1.198544	-0.3861316	-0.4555164	-0.1678594	-1.644864	-1.168058	-0.1031238	0.9436999	0.7473707	-1.492105	-0.5820026	-0.2050836	-2.137202	-2.070138	-2.088529	0.3756296						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207072	599			16	600	1	806	240	167	167	-4.866369	0	1.753888	0	-2.05277	0	-2.684797	0	-0.5941894	0	-0.477661	0	-0.4122255	0	1.690886	0	1.414617	0	-0.9319994	0	-4.866369	0	1.753888	0	-1.039229	-1.48615	0.5330323	-0.7240345	-0.9153435	-0.593222	-0.3045261	-0.1023025	-1.247448	-0.8119133	-0.2929082	0.9043885	1.265734	-1.829907	-0.4030839	0.05328081	-2.230241	-1.90187	-1.732484	0.9036166						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207106	633			17	633	0																																																						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207139	666			18	667	0																																																						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207172	699			19	700	1	809	219	194	194	-5.732011	0	2.362662	0	-3.112952	0	-3.999168	0	-1.025607	0	-0.5225287	0	-0.7118586	0	1.58846	0	2.028556	0	-1.501343	0	-5.732011	0	2.362662	0	-1.338699	-1.56729	0.7217743	-1.397128	-0.6385049	-0.6118934	0.1285068	0.5355126	-1.39387	-0.829639	-0.1743431	2.079037	1.523063	-2.226628	0.5240082	0.6000084	-3.091205	-2.237083	-2.488576	1.233778						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207206	733			20	733	0																																																						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207239	766			21	767	0																																																						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207273	800			22	800	1	816	227	172	172	-4.556351	0	2.016973	0	-2.221778	0	-3.268301	0	-0.628841	0	-0.2421296	0	-0.7392634	0	1.539422	0	1.553543	0	-1.186334	0	-4.556351	0	2.016973	0	-1.15258	-1.465889	0.5117083	-1.033974	-0.7204617	-0.568109	0.0231696	0.08917686	-1.080717	-0.4763875	-0.3443348	1.220884	1.364389	-2.049826	-0.003635925	0.4172738	-2.469453	-1.837131	-1.466521	0.9754378						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207306	833			23	833	1	816	228	171	171	-4.529528	0	2.104232	0	-2.263815	0	-3.168656	0	-0.592176	0	-0.2240512	0	-0.6825891	0	1.556798	0	1.618726	0	-1.212402	0	-4.529528	0	2.104232	0	-1.102718	-1.45612	0.5281254	-0.9771046	-0.7408788	-0.5523189	0.03957841	0.05022335	-1.067593	-0.4311231	-0.316259	1.256805	1.36761	-2.030832	0.0278833	0.4430862	-2.502774	-1.866434	-1.376276	0.9289937						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207339	866			24	867	1	814	226	170	170	-3.810159	0	1.208146	0	-1.247562	0	-2.254629	0	-0.5485415	0	0.07455551	0	-0.4317133	0	1.329742	0	0.6078265	0	-0.8912842	0	-3.810159	0	1.208146	0	-0.7508215	-1.175054	0.4521779	-0.5053407	-0.7080789	-0.5630461	-0.1098045	0.2663974	-0.9147205	-0.8385997	-0.1369762	0.7892786	0.8404927	-1.527805	-0.6047927	-0.3420894	-1.705859	-1.549117	-1.195496	0.8374462						
TianlinLiu	20180411	d51aee260_1__utterance_64	0	MALE	recording	TestImage	Emotient FACET	20180320_151207372	899			25	900	0																																																						
