#Study : TianlinLiu
#Date : 20180411 09:03:35
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:12:14.907 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151214973	66			0	67	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215007	100			1	100	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215040	133			2	133	1	552	124	97	97	1.641555	0	-1.606759	0	-2.809738	0	-1.394456	0	-0.4990722	0	0.3651146	0	-2.078048	0	-1.279399	0	-1.04181	0	-1.423099	0	1.641555	0	0.3651146	0	-0.5288256	-0.4681317	-0.6476301	-0.6971627	0.0729836	-0.3779129	-1.245666	-0.2184034	0.9053025	0.03519114	-1.608042	-0.6225408	-2.549428	-0.0732832	-0.2789828	-0.7825906	-1.05442	-1.43008	-0.7894368	1.387709						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215073	166			3	167	1	552	124	96	96	1.600243	0	-1.796191	0	-1.969145	0	-1.180903	0	-0.1443322	0	0.3459797	0	-1.886319	0	-0.9313765	0	-1.041754	0	-0.912654	0	1.600243	0	0.3459797	0	-0.3657219	-0.3143605	-0.424078	-0.4340199	-0.01096663	-0.1617083	-1.331988	-0.3393945	0.6780949	-0.1440329	-1.8299	-0.9605348	-2.557247	0.2133659	-0.351031	-1.163893	-0.753692	-0.9360946	-1.121487	1.125748						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215107	200			4	200	1	552	123	96	96	1.047523	0	-1.503905	0	-0.7469783	0	-0.6775817	0	0.1087789	0	0.5594467	0	-1.288665	0	-0.2531324	0	-0.9138666	0	0.004480453	0	1.047523	0	0.5594467	0	-0.1243556	-0.04281909	-0.3470694	-0.3800934	-0.232237	-0.1553014	-1.533237	-0.2581189	0.3260733	-0.2295749	-1.580779	-0.975037	-2.305186	0.2416713	-0.3396778	-1.308909	-0.6416159	-0.6195238	-1.236114	1.133207						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215140	233			5	234	1	552	124	96	96	0.8774184	0	-1.411409	0	-0.6460342	0	-0.6695324	0	0.07913115	0	0.6468739	0	-1.225882	0	-0.1647688	0	-0.8943291	0	0.07346479	0	0.8774184	0	0.6468739	0	-0.1351688	-0.02089649	-0.3092476	-0.3396177	-0.1506018	-0.0457425	-1.318461	-0.274834	0.289181	-0.3444614	-1.564072	-1.012122	-2.23571	0.2833428	-0.3844873	-1.375953	-0.5256439	-0.5076346	-1.286919	1.194891						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215173	266			6	267	1	552	124	96	96	0.8994949	0	-1.268363	0	-0.4633743	0	-0.6996813	0	0.07545373	0	0.6771936	0	-1.372872	0	-0.1579505	0	-0.855273	0	0.004312582	0	0.8994949	0	0.6771936	0	-0.1200707	0.01848604	-0.3421233	-0.3117485	-0.2451129	-0.02468981	-1.179942	-0.2889061	0.2756421	-0.3489135	-1.637662	-1.008274	-2.282984	0.1488242	-0.3614669	-1.385743	-0.5575795	-0.5175062	-1.276568	1.226373						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215207	300			7	300	1	552	124	96	96	1.485649	0	-1.611686	0	-2.048059	0	-1.120031	0	-0.3532346	0	0.5205914	0	-1.903965	0	-0.8799568	0	-1.035069	0	-0.9590138	0	1.485649	0	0.5205914	0	-0.3827484	-0.2574404	-0.4092513	-0.3969239	0.01179769	-0.008023509	-0.9926986	-0.3434952	0.6236088	-0.2618779	-1.737336	-0.9520689	-3.075764	0.3221269	-0.3753689	-1.242318	-0.6727405	-0.7850236	-0.9509361	1.190642						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215240	333			8	334	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215274	367			9	367	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215307	400			10	400	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215340	433			11	434	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215374	467			12	467	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215407	500			13	500	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215440	533			14	534	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215474	567			15	567	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215507	600			16	601	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215540	633			17	634	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215574	667			18	667	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215607	700			19	701	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215641	734			20	734	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215674	767			21	767	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215707	800			22	801	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215741	834			23	834	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215774	867			24	868	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215807	900			25	901	0																																																						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215841	934			26	934	1	551	122	96	96	1.279703	0	-1.522797	0	-2.147521	0	-0.7944602	0	-0.4310599	0	0.6770151	0	-1.63582	0	-0.6844366	0	-1.134966	0	-0.8528535	0	1.279703	0	0.6770151	0	-0.3883542	-0.2599014	-0.2798756	-0.2496695	0.1128789	0.03693969	-0.8195421	-0.05052671	0.3351845	-0.5361013	-1.530399	-1.055887	-3.249208	0.5975131	-0.4030644	-1.501077	-0.4559961	-0.827874	-0.9752285	1.327235						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215874	967			27	968	1	551	122	96	96	1.389066	0	-1.723308	0	-2.164553	0	-0.4139179	0	-0.7555254	0	0.6208832	0	-1.827003	0	-1.095324	0	-1.459143	0	-1.401249	0	1.389066	0	0.6208832	0	-0.3564654	-0.2478508	-0.2288058	-0.2341341	0.06007241	0.08487793	-0.9672765	0.005840996	0.3710904	-0.6820659	-1.513861	-1.019054	-3.593098	0.9419781	-0.2546369	-1.653636	-0.1233349	-0.5581838	-0.7726099	1.210534						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215907	1000			28	1001	1	549	121	97	97	1.303548	0	-1.663228	0	-2.074986	0	-0.1488249	0	-0.6854779	0	0.5659155	0	-1.771381	0	-1.144118	0	-1.399455	0	-1.467527	0	1.303548	0	0.5659155	0	-0.3881485	-0.2911268	-0.263819	-0.2534047	-0.2412932	-0.1572589	-1.051963	-0.07378546	0.3139227	-0.5237136	-1.473807	-0.84911	-3.392009	0.9853302	-0.1316123	-1.469359	-0.2854926	-0.6507982	-0.5270869	1.1316						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215941	1034			29	1034	1	550	121	96	96	1.508749	0	-1.757227	0	-2.24904	0	-0.09358252	0	-0.5738267	0	0.3079416	0	-1.86938	0	-1.19878	0	-1.324864	0	-1.64407	0	1.508749	0	0.3079416	0	-0.402558	-0.3386859	-0.2412301	-0.2525679	-0.08497116	-0.02422645	-1.055169	-0.2786789	0.3769047	-0.3755711	-1.508397	-0.774904	-3.147462	1.207214	-0.04422215	-1.294626	-0.2978001	-0.5586474	-0.3378459	1.113583						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151215974	1067			30	1068	1	550	122	97	97	1.297829	0	-1.610073	0	-2.189215	0	-0.09246095	0	-0.6865625	0	0.6691607	0	-1.60052	0	-1.088251	0	-1.320021	0	-1.454446	0	1.297829	0	0.6691607	0	-0.3803996	-0.2775767	-0.1574603	-0.1263234	0.04355638	0.0694626	-0.8761369	0.1206936	0.3741796	-0.5759065	-1.292276	-0.7925727	-3.369619	1.21157	-0.1622163	-1.405948	-0.1016134	-0.5337093	-0.5759577	1.098975						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151216008	1101			31	1101	1	549	122	98	98	1.187385	0	-1.581155	0	-2.165324	0	-0.1508751	0	-0.7674829	0	0.8137962	0	-1.572668	0	-1.177342	0	-1.393924	0	-1.529913	0	1.187385	0	0.8137962	0	-0.3877883	-0.2927501	-0.145845	-0.1383426	0.01061714	0.06170497	-0.804185	0.2307291	0.3460778	-0.6015545	-1.2192	-0.7705582	-3.460324	1.104899	-0.1413178	-1.436608	-0.03326821	-0.4766354	-0.6872009	1.136591						
TianlinLiu	20180411	d81007915_3__utterance_28	0	MALE	recording	TestImage	Emotient FACET	20180320_151216041	1134			32	1134	1	550	123	97	97	1.112547	0	-1.656531	0	-2.365148	0	-0.04398956	0	-0.9219474	0	0.6957402	0	-1.671929	0	-1.144569	0	-1.423074	0	-1.725748	0	1.112547	0	0.6957402	0	-0.4155572	-0.3471695	-0.1499254	-0.2688377	-0.006262739	0.07874223	-0.7484724	0.08879381	0.3296176	-0.5618255	-1.440303	-0.7917979	-3.560749	1.477264	-0.1202229	-1.458219	0.1469976	-0.4069807	-0.7265673	1.214903						
