#Study : TianlinLiu
#Date : 20180411 09:03:35
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:12:21.718 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151221801	83			0	83	1	552	64	163	163	-0.7548219	0	-3.60663	0	-1.189911	0	0.3331365	0	-0.06291847	0	-3.445293	0	0.4270721	0	-3.341948	0	-2.720299	0	-1.235135	0	-0.7548219	0	0.4270721	0	4.019827	2.526446	-1.201695	-1.25308	-1.37899	-1.470216	-5.076132	-1.756301	0.3275018	0.9204045	0.3093262	0.8483961	-2.465551	-2.369437	0.7040388	1.141294	-2.933778	-2.874653	-0.4195462	-0.9183258						
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151221843	125			1	125	1	550	65	165	165	-0.9313704	0	-3.708105	0	-1.120669	0	0.1373051	0	-0.1489878	0	-3.454673	0	0.4987776	0	-3.419278	0	-2.760461	0	-1.311409	0	-0.9313704	0	0.4987776	0	4.200509	2.513914	-1.220175	-1.468033	-1.372254	-1.491978	-5.122782	-1.719666	0.3630511	0.8736867	0.2169178	0.8731375	-2.090189	-2.344529	0.7399632	1.24288	-2.82741	-2.675866	-0.2472958	-0.7319962						
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151221884	166			2	167	1	549	67	164	164	-0.8740238	0	-3.634749	0	-1.144841	0	0.1115772	0	-0.1265773	0	-3.609324	0	0.4127098	0	-3.435338	0	-2.789875	0	-1.323785	0	-0.8740238	0	0.4127098	0	4.120636	2.500398	-1.188631	-1.387926	-1.506177	-1.496743	-5.377309	-1.87755	0.3714721	0.9493254	0.08294472	0.9257119	-2.112622	-2.547042	0.8896878	1.226894	-2.827895	-2.661278	-0.458227	-1.028247						
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151221926	208			3	209	1	550	68	162	162	-0.9217857	0	-3.320333	0	-1.511323	0	-0.1710302	0	-0.08979882	0	-3.840234	0	0.1618289	0	-3.640428	0	-2.490965	0	-1.278701	0	-0.9217857	0	0.1618289	0	3.828274	2.461643	-1.158969	-1.297415	-1.553959	-1.44007	-5.433112	-1.833069	0.3006155	1.133278	0.2838869	1.115312	-2.225174	-2.635475	1.130571	1.289122	-3.149327	-2.811565	-0.6951464	-1.577289						
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151221968	250			4	250	1	545	67	168	168	-0.6655836	0	-3.152424	0	-0.8671054	0	-0.002068627	0	0.199681	0	-3.253124	0	0.1586648	0	-2.898889	0	-1.836044	0	-0.4611203	0	-0.6655836	0	0.199681	0	2.951095	2.00018	-1.287367	-1.268285	-1.354647	-1.360336	-5.198758	-1.328603	0.3606928	0.9187194	0.3545556	0.8092046	-1.566177	-2.269446	0.9290836	1.3448	-2.683423	-2.457989	-0.3513409	-0.9757174						
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151222009	291			5	292	1	546	69	165	165	-0.5292689	0	-2.366179	0	-1.490863	0	-0.4041435	0	0.3110819	0	-3.151855	0	0.03754641	0	-2.565361	0	-1.239031	0	-0.2899102	0	-0.5292689	0	0.3110819	0	2.349323	1.702025	-1.408228	-1.226349	-1.652703	-1.548922	-5.054268	-1.618397	0.167555	0.9568441	0.2927639	1.037632	-1.633897	-2.052915	1.078615	1.387844	-3.133389	-2.56148	-0.4203364	-1.425775						
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151222051	333			6	334	1	544	69	167	167	-0.5550596	0	-2.700633	0	-1.23872	0	-0.1993418	0	0.5193076	0	-2.955592	0	-0.08982061	0	-2.508107	0	-1.370923	0	0.03186938	0	-0.5550596	0	0.5193076	0	2.006329	1.625064	-1.375291	-0.7506109	-1.508787	-1.511846	-5.207145	-1.603714	0.0882433	0.7410171	0.1729326	0.5168062	-1.642108	-1.664822	0.5774684	1.055517	-2.529561	-2.259707	-0.4047565	-1.201259						
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151222093	375			7	375	1	543	71	166	166	-0.5081714	0	-2.762393	0	-1.255941	0	-0.3371636	0	0.5835484	0	-2.892423	0	-0.3585741	0	-2.585898	0	-1.636254	0	0.3190428	0	-0.5081714	0	0.5835484	0	1.967567	1.68293	-1.079545	-0.3478402	-1.369258	-1.124263	-5.219704	-1.712705	-0.19953	0.44783	0.09513969	0.02710884	-1.454363	-1.21005	0.2231599	0.6575719	-1.878392	-1.764109	-0.6763476	-1.756875						
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151222135	417			8	417	1	539	70	166	166	-0.517072	0	-3.897238	0	0.2286807	0	1.142692	0	-0.3560014	0	-2.206511	0	-2.353202	0	-4.793035	0	-4.034674	0	-0.5951793	0	-0.517072	0	1.142692	0	2.01037	1.812789	-1.566912	0.8801376	-1.080015	-0.8596588	-5.315191	-0.6260391	-0.03814169	-0.2887302	0.01401212	-0.3530203	-1.974298	-0.506779	0.01798184	-0.5236493	-0.6623968	-0.7937191	-1.571431	-2.300363						
TianlinLiu	20180411	da16f0f8f_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151222176	458			9	459	1	535	68	168	168	-2.310522	0	-4.700185	0	-0.0546507	0	2.363728	0	-2.581241	0	-2.786469	0	-4.460827	0	-7.248844	0	-6.412108	0	-3.564778	0	-2.310522	0	2.363728	0	2.293356	2.255312	-1.553274	2.447701	-1.155293	-0.8184156	-5.570759	-0.5639995	0.01944448	-0.9188182	-0.2715771	-0.4973734	-3.618508	-0.307565	-0.1570644	-1.378309	0.08244786	-0.175789	-2.057578	-3.162507						
