#Study : TianlinLiu
#Date : 20180411 09:03:35
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:12:30.103 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230170	67			0	68	1	630	229	147	147	3.544117	0	-5.959444	0	-2.572448	0	-2.117614	0	-2.514307	0	-3.388112	0	-5.360389	0	-6.650122	0	-5.032419	0	-5.335634	0	3.544117	0	-2.117614	0	0.8942938	0.2778809	-0.8110011	-1.335354	-0.9873709	-1.194095	-1.764714	-0.9662413	1.276316	-1.352235	-1.592541	-2.138592	-6.216219	-0.1603178	-2.111178	-1.724601	1.285248	-0.2769843	-2.396791	2.169218						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230204	101			1	101	1	629	228	150	150	3.376698	0	-5.797677	0	-2.672425	0	-1.53726	0	-2.108257	0	-2.944291	0	-5.005953	0	-6.563071	0	-5.127414	0	-5.157875	0	3.376698	0	-1.53726	0	1.072091	0.3865036	-0.6130589	-0.9585971	-0.685075	-1.11876	-1.684795	-0.7154052	1.395672	-1.204681	-1.38171	-2.13437	-6.257297	-0.06204103	-2.22336	-1.541077	0.835954	-0.7895935	-2.72735	1.894787						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230238	135			2	135	1	632	228	147	147	2.85794	0	-5.058304	0	-2.154645	0	-1.494706	0	-1.736783	0	-2.646072	0	-4.515716	0	-5.845091	0	-4.464367	0	-4.446241	0	2.85794	0	-1.494706	0	0.7375394	0.1880243	-0.6676793	-0.8032494	-0.9529605	-1.216609	-1.683698	-0.7790806	1.110191	-1.115869	-1.323606	-1.780756	-6.007968	0.01189618	-1.990508	-1.653347	0.5893828	-0.5911344	-2.614057	2.014022						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230272	169			3	169	1	632	228	147	147	3.363294	0	-5.773722	0	-2.40235	0	-1.886334	0	-2.153675	0	-3.18394	0	-5.126553	0	-6.258352	0	-4.751254	0	-4.589305	0	3.363294	0	-1.886334	0	0.9550421	0.3506497	-0.8953511	-1.216396	-1.333629	-1.297236	-2.180197	-0.8968235	1.242632	-1.24741	-1.68377	-2.183986	-6.065993	-0.02870271	-2.130509	-1.616528	0.8451349	-0.5414748	-2.602229	2.335106						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230305	202			4	203	1	633	230	144	144	3.71191	0	-6.383042	0	-2.464811	0	-2.180482	0	-2.799732	0	-3.504546	0	-5.56051	0	-6.651438	0	-4.997984	0	-4.800517	0	3.71191	0	-2.180482	0	0.8479602	0.2450659	-1.041242	-1.246252	-1.098132	-0.8630949	-1.97915	-0.9465276	1.411876	-1.262621	-1.816579	-2.409051	-6.479932	-0.1626846	-2.028771	-1.741184	1.561191	0.05964918	-2.326357	2.226802						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230339	236			5	237	1	634	230	145	145	3.845765	0	-6.593532	0	-2.908873	0	-2.101346	0	-2.724036	0	-3.649328	0	-5.518603	0	-6.860964	0	-5.045961	0	-4.977856	0	3.845765	0	-2.101346	0	0.7543299	0.1531401	-1.077233	-1.230648	-0.9023458	-0.7725272	-1.760332	-0.9563239	1.55537	-1.154438	-1.601594	-2.300024	-6.677619	-0.1215882	-2.028018	-1.607169	1.35428	-0.1794323	-2.266904	1.935012						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230373	270			6	270	1	634	230	144	144	3.585199	0	-6.225646	0	-3.017715	0	-1.573677	0	-2.299652	0	-3.602115	0	-5.255461	0	-6.645814	0	-4.863004	0	-4.663931	0	3.585199	0	-1.573677	0	0.7776543	0.2224326	-1.136248	-1.093116	-1.242095	-0.9925857	-2.015013	-1.01134	1.400275	-1.218628	-1.318477	-2.100935	-5.960667	0.0986572	-1.803957	-1.314667	1.025497	-0.4923257	-2.023458	1.918969						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230407	304			7	304	1	632	230	148	148	2.812442	0	-4.931364	0	-2.57092	0	-0.6119413	0	-1.133179	0	-2.755669	0	-3.470929	0	-5.837883	0	-4.428272	0	-4.206934	0	2.812442	0	-0.6119413	0	0.8824652	0.4028526	-0.9261594	-1.043584	-0.7076698	-1.012088	-1.459161	-0.7245155	1.424777	-0.8070842	-0.1350553	-1.083615	-4.689176	0.05543357	-1.521171	-0.5425266	-0.01683872	-1.397772	-1.522554	1.458563						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230441	338			8	338	1	628	230	152	152	2.789527	0	-5.136908	0	-3.168518	0	-0.5000968	0	-0.8682219	0	-3.130284	0	-4.001735	0	-6.164455	0	-4.670903	0	-4.592798	0	2.789527	0	-0.5000968	0	1.018845	0.7109072	-1.113427	-2.020605	0.0393348	-0.2657553	-1.476036	-0.3834291	2.240957	-0.13407	-0.06494442	-1.162071	-4.752536	-0.4758889	-1.162393	0.3107528	-0.31016	-1.834871	-0.7999307	0.2576023						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230474	371			9	372	1	627	230	154	154	2.191446	0	-3.938482	0	-2.407023	0	-0.1725031	0	-0.7887334	0	-2.5696	0	-2.867615	0	-4.779901	0	-3.89171	0	-3.168886	0	2.191446	0	-0.1725031	0	0.8592605	0.5069614	-1.013228	-1.851062	-0.2647715	-0.6772295	-1.596817	-0.3966256	1.74294	-0.3151512	0.3119655	-0.8616489	-4.07457	-0.677181	-1.008675	0.2619877	-0.8233188	-2.045777	-1.038701	0.5274926						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230508	405			10	406	1	627	232	151	151	2.236882	0	-4.047102	0	-2.829805	0	-0.2483497	0	-0.9804887	0	-2.644772	0	-2.834102	0	-5.194659	0	-4.158764	0	-3.610212	0	2.236882	0	-0.2483497	0	0.6909141	0.3304086	-0.7460632	-1.379571	-0.4732813	-0.8371693	-1.324328	-0.6079057	1.431262	-0.6899581	0.1852328	-0.7116339	-3.90736	-0.1883481	-1.109024	-0.1399783	-0.4539236	-1.750649	-1.243525	0.8272648						
TianlinLiu	20180411	dc8197a99_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_151230542	439			11	439	1	626	231	152	152	2.423378	0	-4.53553	0	-3.094433	0	-0.1597822	0	-0.9772502	0	-2.835975	0	-2.883055	0	-5.604737	0	-4.341373	0	-3.876393	0	2.423378	0	-0.1597822	0	0.818735	0.4355149	-0.8414552	-1.467892	-0.4142065	-0.7462826	-1.307458	-0.6079472	1.582681	-0.5474117	0.2373491	-0.7861118	-4.097814	-0.161073	-1.131114	0.007709974	-0.3735808	-1.766197	-1.138363	0.7669708						
