#Study : TianlinLiu
#Date : 20180411 09:07:04
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:42:30.881 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231014	133			0	133	1	603	109	238	238	-0.6646467	0	-0.9551423	0	0.5692315	0	-2.046486	0	-1.726473	0	-0.6008437	0	-3.285029	0	-0.6808955	0	-1.160392	0	-1.00238	0	-0.6646467	0	-0.6008437	0	-0.2275291	-0.3297714	-0.7852808	-1.37963	-2.202784	-1.224477	-1.055313	-0.5487924	-0.8154771	-1.566473	-2.387965	-1.461051	-2.226676	-0.2714852	-1.937834	-1.720405	0.3418034	0.5854964	-1.153372	2.799291						
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231081	200			1	200	1	603	109	239	239	-0.6157491	0	-0.9755396	0	0.4852441	0	-1.982147	0	-1.691243	0	-0.5636891	0	-3.311482	0	-0.6913235	0	-1.184207	0	-0.9887091	0	-0.6157491	0	-0.5636891	0	-0.2313747	-0.3415622	-0.7807288	-1.378713	-2.202415	-1.243577	-1.046256	-0.5305685	-0.7910267	-1.544613	-2.386655	-1.445474	-2.217274	-0.2571479	-1.910724	-1.707069	0.3096156	0.522443	-1.200178	2.804593						
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231147	266			2	267	1	576	108	261	261	0.1783923	0	-0.9091518	0	-0.6755621	0	-0.3135745	0	-0.1696399	0	0.4576856	0	-1.12221	0	0.0748472	0	-0.4206065	0	0.4921173	0	0.1783923	0	0.4576856	0	-0.5825748	-0.5409452	-0.3684761	-0.5044517	-0.7318083	-0.4059582	-0.0679666	0.05237147	0.003483038	-0.2843675	-0.131079	-0.8592775	-1.091743	-1.298056	-1.395719	-0.09288912	-1.874832	-2.209464	-1.511071	1.067344						
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231214	333			3	333	1	586	117	234	234	0.5714079	0	-1.441411	0	-1.224059	0	-0.2169629	0	-1.007684	0	0.1906189	0	-2.71197	0	-0.9264747	0	-1.166927	0	-0.6416617	0	0.5714079	0	0.1906189	0	0.04735973	-0.0592655	-0.4163805	-0.2788034	-1.170047	-0.6661116	-0.6171394	0.00449015	-0.05996645	-0.9631714	-1.094487	-1.382663	-2.321356	-0.3824212	-1.150925	-0.6781421	-0.6920292	-1.510133	-0.6536434	1.755957						
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231280	399			4	400	1	584	118	232	232	0.5883375	0	-0.8927273	0	-0.2479447	0	-0.3385063	0	-1.572375	0	0.1784837	0	-2.842054	0	-0.6874113	0	-1.212199	0	-0.2372023	0	0.5883375	0	0.1784837	0	-0.03052108	-0.03267078	-0.3057493	-0.3129371	-0.9957131	-0.701928	-1.030195	-0.002755198	-0.2706484	-1.072052	-1.560492	-1.945153	-2.453103	-0.09022116	-1.136989	-1.502365	0.2484399	-0.99414	-1.644656	1.77701						
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231347	466			5	467	1	584	111	254	254	-0.2436339	0	-0.1274452	0	-0.4363489	0	-0.4576651	0	0.1635034	0	-0.1756069	0	-0.657708	0	0.5646369	0	0.2477606	0	0.9028942	0	-0.2436339	0	0.1635034	0	-0.8545777	-0.7563794	-0.6639277	-0.6665547	-1.321193	-1.19459	-0.9448913	-0.5031267	-0.3731535	-0.2672671	-0.5719044	-0.4346777	-0.2425441	-1.265461	-0.6274249	0.2287064	-2.705281	-2.459415	-0.976252	1.305529						
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231414	533			6	533	1	606	117	226	226	-0.2237238	0	-0.2192578	0	-1.598735	0	-1.433375	0	1.117442	0	-0.5585888	0	-1.339592	0	0.1716571	0	-0.1215189	0	-0.1409253	0	-0.2237238	0	1.117442	0	-0.9529042	-1.031506	-0.530412	-0.8357906	-1.3587	-0.9175613	-0.1412015	-0.6828228	-0.1835854	-0.2151518	-0.8077587	0.1731534	0.1577858	-0.5144608	-0.2356961	0.211696	-1.779551	-1.349905	-1.688949	0.6452236						
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231480	599			7	600	1	606	120	240	240	-1.352466	0	-0.9825351	0	-1.241729	0	-0.7757825	0	0.2457739	0	-1.611191	0	0.0661843	0	0.2474179	0	-0.1388621	0	0.7934747	0	-1.352466	0	0.2457739	0	-0.3351642	-0.6550013	-0.5608153	-1.278015	-2.154788	-1.73762	-2.202219	-1.526882	-0.9701014	-0.6218824	-0.07387812	0.4872983	-0.5051084	-1.066201	-0.7302589	0.287606	-3.129323	-2.222939	-1.43695	0.6534869						
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231547	666			8	667	1	616	127	233	233	-1.771727	0	-1.692132	0	-0.9239087	0	-0.7298272	0	0.1223704	0	-2.525813	0	0.0416429	0	0.1930593	0	-0.6415457	0	1.102519	0	-1.771727	0	0.1223704	0	-0.1703229	-0.4644202	-0.7202249	-0.9822669	-2.66324	-1.884355	-3.061197	-2.448185	-1.111885	-0.5452598	-0.3641543	0.2711952	-0.8911395	-1.314845	-0.9407123	0.2461509	-3.188946	-2.486779	-2.111953	0.5026541						
TianlinLiu	20180411	4ae5ecb00_3__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_144231614	733			9	733	1	631	131	221	221	-2.474328	0	-2.59568	0	-1.112176	0	-1.171641	0	-0.1157533	0	-2.918818	0	-0.0564753	0	-0.3275821	0	-1.037715	0	1.433857	0	-2.474328	0	-0.0564753	0	-0.06211675	-0.3992753	-0.9038692	-1.2122	-3.031602	-1.443047	-3.784065	-2.311126	-1.499936	-1.056419	-0.1806093	-0.08341679	-1.232482	-1.053024	-1.381896	-0.1793594	-2.618578	-2.158843	-1.949544	1.233274						
