#Study : TianlinLiu
#Date : 20180411 09:03:33
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:12:41.087 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241153	66			0	67	1	373	40	97	97	-2.640359	0	-0.6899106	0	-3.51747	0	0.1147745	0	-1.833435	0	-1.254835	0	0.100542	0	-0.55506	0	-1.231044	0	-4.618046	0	-2.640359	0	0.1147745	0	2.039094	-1.418841	3.330673	-0.1048332	0.001315796	0.8879383	-0.1520985	-0.1552995	-0.6208389	-0.3047015	-1.145501	-0.9040847	-1.207608	1.301213	-0.3666864	-0.7382293	1.130884	-0.04620906	-1.601904	-1.032038						
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241187	100			1	100	1	373	40	97	97	-2.647746	0	-0.696976	0	-3.526725	0	0.117153	0	-1.835446	0	-1.259527	0	0.0989318	0	-0.5543583	0	-1.232592	0	-4.621066	0	-2.647746	0	0.117153	0	2.042876	-1.426533	3.343882	-0.1085918	-0.0003379458	0.8888819	-0.1539382	-0.1562552	-0.6246445	-0.3033775	-1.15036	-0.9051681	-1.208319	1.307358	-0.3708574	-0.7414289	1.133742	-0.04587641	-1.603029	-1.030948						
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241220	133			2	134	1	375	43	98	98	-2.578602	0	-1.080423	0	-4.281863	0	0.3453581	0	-2.741989	0	-1.211591	0	-0.8230968	0	-1.495714	0	-2.295627	0	-5.976449	0	-2.578602	0	0.3453581	0	2.641669	-1.277293	4.33319	0.3779551	0.4174481	1.200528	0.1104969	0.0152572	-0.5868204	-0.3093885	-1.539935	-1.144536	-1.83132	1.55126	-0.8120003	-1.437257	1.721935	-0.3167923	-2.668844	-1.511682						
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241254	167			3	167	1	375	43	100	100	-1.920354	0	-1.905075	0	-4.355208	0	-0.2629201	0	-3.784773	0	-1.391911	0	-2.470494	0	-2.143208	0	-2.793605	0	-6.290813	0	-1.920354	0	-0.2629201	0	1.818415	-1.567553	4.187377	-0.02409192	0.4401184	1.332066	-0.03190728	0.3062202	-0.4266662	-0.6640471	-1.906039	-1.709643	-3.518403	1.915261	-1.105861	-2.064909	2.65819	-0.1730703	-3.114323	-1.930087						
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241287	200			4	201	1	375	43	101	101	-1.074891	0	-2.743233	0	-6.377366	0	-0.06779923	0	-5.093636	0	-2.194764	0	-2.934116	0	-3.046379	0	-3.594157	0	-7.307525	0	-1.074891	0	-0.06779923	0	1.530948	-1.68165	4.007662	0.344895	0.8500338	1.386663	-0.160062	0.8740159	-0.2282309	-1.068797	-1.54371	-2.201667	-5.912637	2.281092	-1.357566	-2.361352	2.707006	-0.5887377	-3.160242	-3.079259						
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241320	233			5	234	1	375	43	102	102	-0.9675082	0	-2.736841	0	-6.575304	0	0.09027766	0	-5.736494	0	-2.347793	0	-2.498368	0	-2.95175	0	-3.416621	0	-7.27177	0	-0.9675082	0	0.09027766	0	1.633998	-1.828733	3.974823	0.219504	1.086501	1.282621	-0.2793667	0.9303671	-0.2635813	-1.158677	-0.6974077	-1.874677	-6.644957	2.32506	-1.183938	-1.928451	2.559652	-0.7553587	-2.754022	-3.490176						
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241354	267			6	267	1	375	42	102	102	-0.80383	0	-2.870423	0	-6.908809	0	0.2066879	0	-6.174744	0	-2.661934	0	-2.775515	0	-3.531579	0	-3.788912	0	-7.890965	0	-0.80383	0	0.2066879	0	1.5483	-1.789654	3.906556	0.4229863	1.086148	1.259969	-0.349167	0.8870149	-0.1044286	-1.20921	-0.7545789	-1.968728	-7.075357	2.325989	-1.249782	-2.042263	2.616652	-0.8088223	-2.974553	-3.794351						
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241387	300			7	301	1	375	40	101	101	-0.9932089	0	-2.728632	0	-6.12665	0	0.3640918	0	-6.020475	0	-2.685862	0	-2.81195	0	-3.63204	0	-3.808637	0	-7.823466	0	-0.9932089	0	0.3640918	0	1.638763	-1.563773	3.932925	0.6004878	0.840384	1.401585	-0.6479504	0.734488	-0.1086313	-1.262711	-1.408841	-2.350214	-6.72155	2.205397	-1.318658	-2.451535	3.028034	-0.3548082	-3.140676	-3.363822						
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241421	334			8	334	1	374	39	101	101	-0.8891322	0	-2.925734	0	-5.576276	0	0.112738	0	-6.664601	0	-3.047924	0	-3.92101	0	-4.413969	0	-4.627077	0	-8.631204	0	-0.8891322	0	0.112738	0	1.87859	-1.378501	3.927459	0.5752925	0.7171372	1.396727	-0.8691131	0.2976722	0.0533535	-1.361356	-2.136701	-2.786562	-6.654025	1.853633	-1.762707	-2.906644	3.543669	0.07535549	-3.712708	-2.931195						
TianlinLiu	20180411	dcafcb201_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151241454	367			9	368	1	376	37	97	97	-1.602216	0	-2.373752	0	-4.193177	0	0.4578863	0	-2.941736	0	-2.523267	0	-2.409375	0	-2.371126	0	-2.806118	0	-6.881256	0	-1.602216	0	0.4578863	0	2.453241	-1.080506	3.914008	0.4796353	0.4191525	1.149764	0.1626958	-0.6809301	-0.05962953	-0.2312685	-1.808924	-1.360859	-1.688318	1.512395	-1.233818	-1.1036	1.611014	-0.4331899	-1.984897	-1.942835						
