#Study : TianlinLiu
#Date : 20180411 09:03:33
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:12:42.086 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242152	66			0	67	1	500	257	262	262	0.2806126	0	-1.055264	0	-1.475817	0	-0.01340324	0	0.5632687	0	0.0002625811	0	-1.627819	0	-1.997068	0	-1.118455	0	0.1252279	0	0.2806126	0	0.5632687	0	0.4775734	0.6980746	-1.199777	-0.2527397	-0.4097784	-1.310293	-1.707651	0.1533621	0.2371948	0.6033024	0.1843793	0.5919605	-1.293692	-0.6688475	-0.2587015	0.332784	-1.616918	-1.285576	-0.1818587	-1.199926						
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242186	100			1	100	1	492	251	274	274	0.3988131	0	-0.701785	0	-1.065474	0	-0.4151825	0	0.5407051	0	0.121205	0	-1.671683	0	-1.727482	0	-0.7058129	0	0.4853643	0	0.3988131	0	0.5407051	0	0.1522847	0.2211345	-1.447537	-0.630159	-0.5100769	-1.247817	-1.810631	0.04904936	0.2296972	0.6773422	0.2434426	0.6636323	-1.423736	-0.8977469	0.1798789	0.435198	-1.861869	-1.3254	0.2115022	-1.081341						
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242219	133			2	133	1	503	250	262	262	0.4876085	0	-1.340405	0	-1.595009	0	0.2525437	0	0.4845327	0	0.03210592	0	-1.733422	0	-2.244969	0	-1.491507	0	-0.0270628	0	0.4876085	0	0.4845327	0	0.5360567	0.7165013	-1.108974	-0.1304733	-0.3817597	-1.224114	-2.002756	0.2286772	0.33364	0.511723	0.1697019	0.3870449	-1.705624	-0.2837161	-0.4269649	0.08277632	-1.484405	-1.440506	-0.622842	-1.239262						
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242252	166			3	167	1	503	249	264	264	0.4779057	0	-1.339181	0	-1.59405	0	0.2216628	0	0.5426567	0	0.02400112	0	-1.70495	0	-2.302428	0	-1.459111	0	-0.0733117	0	0.4779057	0	0.5426567	0	0.5498881	0.7182857	-1.102113	-0.1355556	-0.3648576	-1.251043	-1.960769	0.1875924	0.3509296	0.5536695	0.1783543	0.4923379	-1.72136	-0.3705014	-0.3938542	0.1117014	-1.513543	-1.379676	-0.5225776	-1.293136						
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242285	199			4	200	1	496	234	273	273	0.6783861	0	-1.073794	0	-1.377555	0	-0.1151515	0	0.4478948	0	-0.02226849	0	-1.564542	0	-1.851343	0	-1.000209	0	0.02553261	0	0.6783861	0	0.4478948	0	0.1275719	0.1380792	-1.22341	-0.4611371	-0.4640191	-1.190452	-1.920542	0.0785588	0.3636437	0.5279211	0.04203634	0.1959862	-1.732992	-0.5752533	-0.1685167	0.2240796	-1.563168	-1.406796	0.02004344	-1.163655						
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242319	233			5	233	1	496	234	273	273	0.6706139	0	-1.068405	0	-1.373926	0	-0.1167848	0	0.4491721	0	-0.02234	0	-1.562261	0	-1.845858	0	-0.9975378	0	0.03035674	0	0.6706139	0	0.4491721	0	0.122746	0.1335388	-1.227197	-0.4621517	-0.4693653	-1.193864	-1.921041	0.07643282	0.3623111	0.5276857	0.04314826	0.196274	-1.73042	-0.5796774	-0.1675592	0.225603	-1.568426	-1.408263	0.0203088	-1.164225						
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242352	266			6	267	1	490	199	288	288	0.379055	0	-2.482619	0	-2.125453	0	-0.4778142	0	1.556667	0	-0.358015	0	-1.722466	0	-4.197252	0	-2.383797	0	-1.288548	0	0.379055	0	1.556667	0	0.6087353	0.7169847	-1.53156	-1.10617	-0.7350702	-1.366089	-2.035663	-0.04046423	0.4691952	0.886575	0.175302	1.062871	-2.047625	-1.048102	0.1357068	0.556365	-1.670756	-1.391282	0.06852945	-0.91396						
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242385	299			7	300	1	489	198	290	290	0.3939418	0	-2.442873	0	-1.979698	0	-0.365271	0	1.461504	0	-0.3867257	0	-1.744915	0	-4.23491	0	-2.411138	0	-1.242737	0	0.3939418	0	1.461504	0	0.722006	0.8151989	-1.542292	-0.9746181	-0.722152	-1.265919	-2.108769	-0.05566083	0.4777612	0.829999	0.2449937	1.037197	-2.00828	-1.08273	0.1180743	0.5702552	-1.66156	-1.402223	0.1165308	-0.9664049						
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242419	333			8	333	1	485	156	291	291	0.400312	0	-1.456473	0	-1.379698	0	0.1990549	0	0.9906449	0	-0.1828697	0	-0.9685801	0	-2.705381	0	-1.407054	0	-1.060602	0	0.400312	0	0.9906449	0	0.5777569	0.7007065	-0.9945933	-0.5466179	-0.2698255	-0.6971014	-1.838862	0.04876246	0.3999894	0.6243199	0.4622202	1.075127	-1.121642	-1.576185	0.1450018	0.7299923	-2.051643	-1.628915	0.05381395	-0.4394954						
TianlinLiu	20180411	dce7e5d5f_14__utterance_183	0	MALE	recording	TestImage	Emotient FACET	20180320_151242452	366			9	367	1	486	156	290	290	0.3830397	0	-1.475877	0	-1.454481	0	0.2265182	0	1.04976	0	-0.2352485	0	-0.9811742	0	-2.779735	0	-1.440986	0	-1.163639	0	0.3830397	0	1.04976	0	0.5592368	0.6904912	-0.9717934	-0.5599561	-0.2758081	-0.7068717	-1.841502	0.03443959	0.4104858	0.643661	0.4155175	1.072389	-1.103465	-1.558881	0.1442223	0.7324052	-2.064249	-1.650861	0.02793036	-0.4614785						
