#Study : TianlinLiu
#Date : 20180411 09:03:28
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:13:44.711 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151344777	66			0	67	1	760	185	304	304	-0.5214953	0	-4.408137	0	-0.0392	0	0.4307108	0	-3.403729	0	-0.6254781	0	-3.79939	0	-5.843965	0	-6.815332	0	-3.727034	0	-0.5214953	0	0.4307108	0	2.153394	1.913157	-0.2934467	1.117182	-1.090559	-0.8490576	-2.98483	0.3630874	-0.982967	-1.850007	-0.3819937	-2.538594	-4.950902	0.5740341	-1.248835	-3.654017	2.300008	-0.7917622	-3.54638	1.047666						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151344810	99			1	100	1	758	183	305	305	-1.029896	0	-4.274466	0	0.4476205	0	0.6135656	0	-2.899804	0	-1.069769	0	-2.727922	0	-5.064234	0	-6.254642	0	-2.883744	0	-1.029896	0	0.6135656	0	2.226642	1.947739	-0.3057889	0.9490926	-1.021131	-0.7916104	-3.525724	-0.1247687	-0.8747796	-1.811388	-0.2934282	-2.313452	-4.297156	0.4687268	-1.326158	-3.089577	1.759648	-0.6003315	-3.358399	1.136571						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151344844	133			2	133	1	759	183	302	302	-2.727231	0	-4.211016	0	1.604409	0	0.2049106	0	-2.620887	0	-2.240526	0	-1.260093	0	-3.933206	0	-5.324765	0	-2.000417	0	-2.727231	0	0.2049106	0	2.108224	1.81417	-0.4313281	0.6937405	-1.299816	-0.758089	-4.407801	-0.9546511	-1.035215	-1.969712	-0.1625357	-2.109547	-2.573734	0.3918304	-1.639891	-2.139085	1.234628	0.2907304	-3.351372	1.330162						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151344877	166			3	167	1	759	183	301	301	-2.74817	0	-3.832019	0	1.134717	0	0.3271394	0	-1.999918	0	-2.344682	0	-0.6535001	0	-3.271955	0	-4.239528	0	-1.360516	0	-2.74817	0	0.3271394	0	1.802771	1.529753	-0.3563769	0.5351415	-1.276429	-0.660226	-4.033426	-1.237152	-1.124577	-1.627897	0.08271452	-1.597307	-2.323703	0.4961231	-1.366515	-1.647019	0.7535633	0.1534567	-2.551075	1.165841						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151344911	200			4	200	1	755	181	307	307	-2.566326	0	-3.926977	0	1.042462	0	0.1739879	0	-1.687908	0	-2.124587	0	-0.4128092	0	-3.071346	0	-4.158159	0	-0.9837474	0	-2.566326	0	0.1739879	0	1.93061	1.622176	-0.3162608	0.6348711	-1.089098	-0.5364627	-3.895325	-1.192091	-1.012634	-1.515459	0.1714389	-1.329867	-2.03545	0.3911346	-1.550433	-1.509045	0.5425513	-0.09370252	-2.490917	1.056445						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151344944	233			5	233	1	758	181	304	304	-2.392988	0	-3.432184	0	0.6598738	0	0.3763349	0	-1.347758	0	-2.140904	0	-0.166532	0	-2.623844	0	-3.54508	0	-0.6729286	0	-2.392988	0	0.3763349	0	1.672786	1.349607	-0.2367261	0.4583141	-1.101455	-0.5119138	-3.606497	-1.246977	-1.068489	-1.310076	0.1693618	-1.214983	-1.98129	0.5482333	-1.407283	-1.351351	0.2740764	-0.2630096	-2.035305	1.185235						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151344977	266			6	267	1	757	178	308	308	-2.663716	0	-3.82082	0	0.8303352	0	0.2879962	0	-1.528206	0	-2.395561	0	-0.1011008	0	-2.882234	0	-3.892969	0	-0.6966581	0	-2.663716	0	0.2879962	0	1.974616	1.561349	-0.24957	0.5508665	-1.279958	-0.6003048	-3.920399	-1.409168	-1.186097	-1.355005	0.1057352	-1.203533	-1.912868	0.4421354	-1.530434	-1.336935	0.255805	-0.3674268	-2.050118	1.153582						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151345010	299			7	300	1	757	178	307	307	-2.787857	0	-3.769741	0	0.8673673	0	0.4108587	0	-1.637357	0	-2.437749	0	-0.2217439	0	-2.913749	0	-3.971137	0	-0.8571901	0	-2.787857	0	0.4108587	0	1.93947	1.55575	-0.2279707	0.5470777	-1.283361	-0.649591	-3.906674	-1.36422	-1.124757	-1.365018	0.1572746	-1.298105	-1.948194	0.500847	-1.407072	-1.321306	0.3808516	-0.2410395	-2.130865	1.175591						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151345044	333			8	333	1	754	179	311	311	-2.589483	0	-3.826413	0	0.8491884	0	0.1587769	0	-1.593632	0	-2.225713	0	-0.072137	0	-2.794195	0	-3.861608	0	-0.7423904	0	-2.589483	0	0.1587769	0	2.038752	1.711733	-0.2296453	0.6153178	-0.9475104	-0.4941845	-3.830411	-1.371097	-0.9185033	-1.31508	0.2402589	-1.133969	-1.689962	0.3230858	-1.393048	-1.168808	0.3461442	-0.2284445	-2.152189	1.050036						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151345077	366			9	367	1	756	184	307	307	-3.170733	0	-4.233733	0	1.10972	0	0.1540494	0	-2.736658	0	-2.565526	0	-0.4813539	0	-3.558856	0	-5.064534	0	-1.765943	0	-3.170733	0	0.1540494	0	2.139303	1.788682	-0.3862282	0.7445392	-1.085736	-0.5869655	-4.188397	-1.465269	-0.8781641	-1.660146	0.3376876	-1.495412	-1.817072	0.4161466	-1.16484	-1.559278	0.9732993	0.424789	-2.832666	1.03158						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151345111	400			10	400	1	756	184	307	307	-3.107739	0	-4.264426	0	1.113986	0	0.140393	0	-2.685921	0	-2.670926	0	-0.502897	0	-3.601964	0	-5.123364	0	-1.717594	0	-3.107739	0	0.140393	0	2.099222	1.77247	-0.4406756	0.7237148	-1.223187	-0.7287459	-4.327062	-1.541732	-0.8294756	-1.581503	0.3086351	-1.516839	-1.830638	0.4956789	-1.109802	-1.517391	0.9512694	0.3912211	-2.754178	1.044703						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151345144	433			11	433	1	756	185	307	307	-3.992154	0	-5.02143	0	1.270873	0	0.0986995	0	-4.048566	0	-3.116118	0	-2.275573	0	-5.100435	0	-6.596187	0	-3.73222	0	-3.992154	0	0.0986995	0	2.415103	1.985341	-0.4166338	1.028224	-1.515288	-0.8112366	-4.375479	-1.457817	-1.322729	-2.390852	-0.04021709	-2.396165	-2.789026	1.204029	-1.433639	-2.610071	2.273329	1.183995	-3.410582	1.267497						
TianlinLiu	20180411	dd1f97765_1__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_151345177	466			12	467	1	754	183	309	309	-2.209737	0	-4.562894	0	0.9303381	0	0.4862292	0	-2.525439	0	-2.177029	0	-1.351562	0	-4.44377	0	-5.784139	0	-2.377208	0	-2.209737	0	0.4862292	0	2.313046	1.946068	-0.2084522	0.8093869	-1.097523	-0.6275268	-3.9772	-1.03515	-0.9003881	-1.911866	-0.408951	-1.990753	-2.491644	1.328054	-1.92324	-2.334902	1.532649	0.2511047	-3.02635	1.398376						
