#Study : TianlinLiu
#Date : 20180411 09:03:26
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:14:12.213 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412279	66			0	67	1	242	133	128	128	-1.531116	0	-3.344441	0	-2.206073	0	-0.6235797	0	-0.4543689	0	-1.284887	0	-0.5238696	0	-1.656285	0	-2.190552	0	0.8766896	0	-1.531116	0	-0.4543689	0	-0.0541064	0.2687297	-0.7329487	-2.323014	-0.9039823	-1.192654	-3.310437	-0.3678002	0.2611241	-0.05512458	-0.04753612	-0.8140209	-0.4374193	0.04940759	0.001649039	0.1622878	-0.7756536	-0.6780847	-1.553796	1.094754						
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412313	100			1	100	1	242	133	128	128	-1.522086	0	-3.337686	0	-2.196879	0	-0.6072412	0	-0.45822	0	-1.280076	0	-0.5286178	0	-1.660336	0	-2.189738	0	0.8694186	0	-1.522086	0	-0.45822	0	-0.0550808	0.2687556	-0.7269871	-2.313961	-0.894756	-1.188614	-3.308943	-0.3616582	0.2657003	-0.05852642	-0.05019885	-0.8194275	-0.4344549	0.05900549	0.0001993916	0.1616159	-0.768096	-0.6757438	-1.551628	1.103439						
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412346	133			2	133	1	242	132	128	128	-1.513518	0	-3.321743	0	-2.183267	0	-0.6178645	0	-0.4665088	0	-1.25561	0	-0.5338196	0	-1.650656	0	-2.184979	0	0.8837205	0	-1.513518	0	-0.4665088	0	-0.06745371	0.2564475	-0.724901	-2.306343	-0.8823062	-1.180047	-3.280813	-0.3529123	0.2691506	-0.06277294	-0.05678387	-0.8189088	-0.4166564	0.05419203	-0.00419278	0.1559939	-0.7650455	-0.6752553	-1.560408	1.105258						
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412379	166			3	167	1	242	132	128	128	-1.53331	0	-3.314913	0	-2.182901	0	-0.6508803	0	-0.4772854	0	-1.230181	0	-0.5447648	0	-1.643741	0	-2.190206	0	0.8983447	0	-1.53331	0	-0.4772854	0	-0.09065542	0.2354698	-0.7193208	-2.313123	-0.882698	-1.185892	-3.241569	-0.3486269	0.256953	-0.07621427	-0.06117806	-0.8173972	-0.4008228	0.04646711	-0.01320595	0.1392887	-0.7653937	-0.6707637	-1.567545	1.118695						
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412412	199			4	200	1	245	129	127	127	-2.072397	0	-3.382794	0	-0.48314	0	-0.04102137	0	-1.060217	0	-2.12262	0	-0.4197834	0	-1.837006	0	-2.622404	0	0.6866885	0	-2.072397	0	-0.04102137	0	-0.03478088	0.3055249	-0.7127622	-1.379121	-1.178515	-1.330657	-3.535869	-0.8116078	-0.1046243	-0.3402461	-0.1240523	-0.6280342	-0.03165762	0.01834489	0.07290056	-0.233045	-0.4661628	-0.07276157	-1.597211	0.8672478						
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412446	233			5	233	1	246	129	125	125	-2.083723	0	-3.45103	0	-0.6363972	0	-0.07271706	0	-0.982158	0	-2.278647	0	-0.432954	0	-1.913267	0	-2.609784	0	0.7087776	0	-2.083723	0	-0.07271706	0	-0.01688948	0.2892935	-0.7127683	-1.537023	-1.281972	-1.419137	-3.452847	-0.980383	-0.1468123	-0.3090483	-0.05343644	-0.4892606	0.01608149	0.06324579	0.1224644	-0.2473925	-0.5207062	-0.0490921	-1.341905	1.025876						
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412479	266			6	267	1	247	123	125	125	-0.0505175	0	-3.385686	0	-1.30536	0	-0.6701079	0	-0.2585081	0	-1.699692	0	-0.5999213	0	-2.042389	0	-2.20577	0	0.4086499	0	-0.0505175	0	-0.2585081	0	-0.2120229	0.1112916	-0.7644197	-1.632826	-0.4836946	-1.003719	-2.711178	-0.5314682	0.4267413	-0.04738792	0.1333389	-0.2313624	-0.2017903	0.1722755	0.2269374	-0.02619554	-0.2519078	0.3734561	-0.5585492	0.5883579						
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412513	300			7	300	1	248	123	125	125	-0.08148384	0	-3.409115	0	-1.318251	0	-0.6663654	0	-0.2709699	0	-1.721792	0	-0.5450597	0	-2.011141	0	-2.204191	0	0.3939204	0	-0.08148384	0	-0.2709699	0	-0.1753359	0.1316508	-0.7294328	-1.637438	-0.4892695	-1.00957	-2.700821	-0.536565	0.4160191	-0.05147524	0.1348538	-0.231107	-0.1979454	0.1518304	0.1920531	-0.03708247	-0.2481771	0.3818017	-0.5700622	0.6232264						
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412546	333			8	333	1	247	121	127	127	0.6143072	0	-3.26295	0	-1.881947	0	-0.9983584	0	-0.06707294	0	-1.347882	0	-0.7961667	0	-1.976191	0	-1.951459	0	-0.02371261	0	0.6143072	0	-0.06707294	0	-0.2083459	0.04005742	-0.868125	-1.858182	-0.2991676	-0.8082124	-2.449635	-0.3588047	0.5401016	0.06556875	0.004489324	-0.2721071	-0.5148178	0.1744836	0.3137011	0.1340512	-0.130259	0.4231429	-0.4094578	0.294904						
TianlinLiu	20180411	e0fbb351e_2__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_151412579	366			9	367	1	247	121	127	127	0.7292702	0	-3.279391	0	-1.745533	0	-0.8647901	0	-0.0346624	0	-1.396727	0	-0.8910171	0	-2.048345	0	-1.898885	0	0.04638439	0	0.7292702	0	-0.0346624	0	-0.2623416	0.01459395	-0.9704033	-1.722238	-0.313756	-0.7704439	-2.430966	-0.3603195	0.5475797	0.1007546	0.03380221	-0.2903306	-0.5491521	0.2975074	0.3132267	0.2150352	-0.1392681	0.3972952	-0.278094	0.1807768						
