#Study : TianlinLiu
#Date : 20180411 09:07:03
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:42:43.261 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243327	66			0	67	1	211	344	181	181	-0.4620027	0	-0.3762977	0	-1.342212	0	0.04460637	0	-0.2657942	0	0.3770928	0	0.2245331	0	-0.1735498	0	-0.2913986	0	-0.4217661	0	-0.4620027	0	0.3770928	0	0.04916652	-0.1900352	0.3804441	-1.189807	0.260836	-0.5253791	0.1675899	1.035793	-0.008219193	-0.1008442	-0.3359137	0.05946622	-0.7027587	0.7752938	-0.3878184	0.009471437	-0.235329	-0.1811792	-0.3519026	1.913359						
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243361	100			1	100	1	667	89	205	205	-3.335475	0	-1.042996	0	-0.003492329	0	-1.497253	0	-0.6632525	0	-1.414282	0	0.9355066	0	0.3310202	0	-0.3970121	0	-0.3835489	0	-3.335475	0	0.9355066	0	1.256185	0.6889212	0.04430567	-0.8980045	-1.245669	-0.7423692	-2.701837	-1.908165	-1.442792	-0.9676262	-1.198956	-0.651215	0.02161428	-2.341265	-1.161157	-1.102256	-0.5685262	-0.1647244	-2.689357	0.6171878						
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243394	133			2	133	1	666	89	209	209	-3.491903	0	-1.13616	0	0.9679713	0	-1.617146	0	-0.9031297	0	-2.078053	0	0.3301137	0	0.04701338	0	-0.4424223	0	-0.994079	0	-3.491903	0	0.3301137	0	1.228957	0.7671722	-0.3449291	-0.8253396	-1.661531	-0.9666008	-3.06763	-2.279614	-1.515885	-0.9414676	-1.297958	-0.9223676	-0.1034938	-2.610574	-0.9058304	-1.035367	-0.4044477	0.1812496	-2.710559	0.5471973						
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243427	166			3	167	1	667	90	208	208	-3.718895	0	-1.59519	0	1.303336	0	-1.792763	0	-1.346051	0	-2.664079	0	-0.05321134	0	-0.4358198	0	-0.8991151	0	-1.772537	0	-3.718895	0	-0.05321134	0	1.495013	0.9497489	-0.4153748	-0.8739516	-2.004631	-1.297498	-3.476198	-2.50189	-1.524875	-0.8525138	-1.453285	-1.189646	-0.3679149	-2.534273	-0.845605	-1.037212	0.03145776	0.737053	-2.713717	0.5400828						
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243461	200			4	200	1	665	88	211	211	-3.200021	0	-1.209269	0	0.8786691	0	-1.720468	0	-0.8431828	0	-2.313793	0	0.1576313	0	0.0465613	0	-0.3976184	0	-1.056822	0	-3.200021	0	0.1576313	0	1.26851	0.8026053	-0.4729221	-0.9637199	-1.8973	-1.217913	-3.068896	-2.40953	-1.382822	-0.9585675	-1.421239	-1.037712	-0.4126375	-2.179019	-0.6993973	-0.9589431	-0.3293041	0.290551	-2.590018	0.686379						
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243494	233			5	234	1	666	89	214	214	-2.87847	0	-1.06106	0	0.6957712	0	-1.563283	0	-0.5295256	0	-2.24887	0	0.4268935	0	0.2270753	0	-0.1985375	0	-0.8061673	0	-2.87847	0	0.4268935	0	1.245803	0.7468545	-0.469163	-0.9931214	-1.757909	-1.061414	-2.879632	-2.522638	-1.266867	-0.8849379	-1.209764	-0.8686678	-0.379611	-2.246537	-0.6028894	-0.7666613	-0.8112515	-0.14515	-2.525518	0.6912895						
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243527	266			6	267	1	668	90	211	211	-2.588607	0	-1.186423	0	0.8094591	0	-1.244023	0	-0.4988429	0	-2.172075	0	0.3156132	0	0.1164605	0	-0.2564873	0	-0.6645938	0	-2.588607	0	0.3156132	0	1.151486	0.7430655	-0.6461661	-0.9640775	-1.732594	-1.048578	-3.036731	-2.366058	-1.219301	-0.9208563	-1.281729	-0.9214587	-0.3232807	-2.206869	-0.6431803	-0.7979865	-0.7024933	-0.06805222	-2.597996	0.6840134						
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243561	300			7	300	1	669	92	214	214	-2.338292	0	-1.107095	0	0.886644	0	-1.004519	0	-0.581213	0	-1.85593	0	0.4049816	0	0.1495267	0	-0.2900151	0	-0.6492452	0	-2.338292	0	0.4049816	0	1.158986	0.6784977	-0.6097683	-1.046089	-1.588274	-1.092835	-2.796364	-2.140995	-1.029258	-0.9400179	-1.059584	-0.9213014	-0.6498275	-2.178684	-0.5861161	-0.7640675	-0.8644114	-0.2705171	-2.549792	0.6559274						
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243594	333			8	334	1	673	92	212	212	-1.654543	0	-1.131052	0	0.8942514	0	-0.4131667	0	-0.3549722	0	-1.709223	0	0.2121653	0	-0.0448238	0	-0.3347137	0	-0.5125059	0	-1.654543	0	0.2121653	0	1.139174	0.7504935	-0.8271016	-0.8674667	-1.648044	-0.8924016	-2.836026	-2.074198	-0.8722726	-0.6213035	-1.295793	-0.7373029	-0.1022517	-2.25693	-0.6140327	-0.4908803	-1.3608	-0.6614783	-2.277998	0.6705254						
TianlinLiu	20180411	4b8bb9418_2__utterance_24	0	MALE	recording	TestImage	Emotient FACET	20180320_144243628	367			9	367	1	673	94	211	211	-2.546228	0	-1.212769	0	0.7109049	0	-0.909932	0	-0.5031529	0	-1.952616	0	0.6206286	0	0.2223481	0	-0.2955829	0	-0.3801076	0	-2.546228	0	0.6206286	0	1.184667	0.6584286	-0.6596906	-1.15385	-1.642855	-1.167059	-2.931906	-2.229784	-1.00432	-0.9436795	-1.075407	-0.8616897	-0.509855	-2.214157	-0.5607222	-0.6706656	-1.043978	-0.4494968	-2.567039	0.6505046						
