#Study : TianlinLiu
#Date : 20180411 09:03:23
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:14:51.144 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451210	66			0	67	1	576	174	122	122	1.999594	0	-5.102201	0	-2.90262	0	-2.151753	0	-1.961976	0	-1.108014	0	-5.982718	0	-6.375887	0	-5.511981	0	-6.072563	0	1.999594	0	-1.108014	0	0.03968954	0.06300179	-0.6040761	-0.5624797	0.1721659	-0.03195362	-1.512397	-0.3543486	0.8370207	-0.7205178	-1.765493	-1.891516	-5.342806	-0.6878673	-0.7623134	-2.732883	1.037821	0.3304277	-2.75805	0.1607951						
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451244	100			1	100	1	576	174	122	122	1.988774	0	-5.147383	0	-2.98581	0	-2.192979	0	-1.990927	0	-1.086426	0	-5.984634	0	-6.416574	0	-5.557966	0	-6.108987	0	1.988774	0	-1.086426	0	0.03445662	0.05965966	-0.5979084	-0.5847045	0.1671035	-0.01773595	-1.459364	-0.3531422	0.8351784	-0.7452492	-1.777318	-1.892321	-5.410233	-0.7016205	-0.7789212	-2.746432	1.057753	0.3357529	-2.78169	0.1822268						
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451277	133			2	133	1	575	174	124	124	2.17102	0	-5.171504	0	-3.164543	0	-2.320425	0	-2.204723	0	-1.013039	0	-5.647835	0	-6.326451	0	-5.43481	0	-5.777776	0	2.17102	0	-1.013039	0	-0.0204246	0.02706875	-0.5702279	-0.711415	0.1909914	0.05254563	-1.420367	-0.3357787	0.8465486	-0.9148469	-1.894676	-1.913921	-5.627122	-0.7086982	-0.8619687	-2.706959	1.084366	0.3164716	-2.73247	0.2616063						
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451310	166			3	167	1	575	174	124	124	2.155104	0	-5.151591	0	-3.134388	0	-2.30275	0	-2.152443	0	-1.002054	0	-5.631743	0	-6.285582	0	-5.406482	0	-5.748384	0	2.155104	0	-1.002054	0	-0.02016162	0.02708114	-0.578999	-0.711508	0.1912778	0.04623219	-1.423507	-0.3331912	0.8446841	-0.8968357	-1.884531	-1.905402	-5.577538	-0.7168193	-0.8493442	-2.69226	1.065155	0.3052418	-2.723687	0.2740855						
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451343	199			4	200	1	575	174	124	124	2.18728	0	-5.193147	0	-3.20302	0	-2.330242	0	-2.362791	0	-1.000849	0	-5.740442	0	-6.412984	0	-5.509649	0	-5.866882	0	2.18728	0	-1.000849	0	-0.03776161	0.02452553	-0.5791615	-0.7035545	0.184816	0.04376886	-1.393289	-0.3377687	0.8425935	-0.9454201	-1.893076	-1.94213	-5.761825	-0.6943561	-0.8914778	-2.763405	1.109991	0.3087465	-2.777655	0.2759046						
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451377	233			5	233	1	575	174	124	124	2.206452	0	-5.199773	0	-3.296214	0	-2.309366	0	-2.435762	0	-1.000061	0	-5.694135	0	-6.410812	0	-5.501995	0	-5.870847	0	2.206452	0	-1.000061	0	-0.03751632	0.02636118	-0.5733075	-0.6977866	0.2058075	0.06034165	-1.414672	-0.3469533	0.865519	-0.9887573	-1.921208	-1.979087	-5.873111	-0.6644512	-0.9257423	-2.774177	1.104499	0.263405	-2.793374	0.2697211						
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451410	266			6	267	1	575	174	124	124	2.125153	0	-5.246359	0	-3.429196	0	-2.345256	0	-2.427613	0	-0.9534934	0	-5.789197	0	-6.459518	0	-5.577622	0	-5.883045	0	2.125153	0	-0.9534934	0	-0.1200928	-0.03340391	-0.5948277	-0.7016107	0.1620238	0.01515921	-1.33896	-0.3456169	0.8128548	-0.9919824	-1.920466	-2.02473	-5.918499	-0.6145951	-0.9655737	-2.795149	1.084566	0.2344141	-2.753887	0.2915279						
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451443	299			7	300	1	576	174	123	123	2.03686	0	-5.070068	0	-3.260859	0	-2.2269	0	-2.034403	0	-0.8789743	0	-5.638454	0	-6.161905	0	-5.308308	0	-5.625199	0	2.03686	0	-0.8789743	0	-0.08281216	-0.0134078	-0.669045	-0.7163177	0.1367168	-0.02901178	-1.400252	-0.3028927	0.8264843	-0.8351585	-1.765882	-1.850234	-5.400637	-0.6493412	-0.8143208	-2.598119	0.8962781	0.1262552	-2.610341	0.2308325						
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451477	333			8	333	1	575	173	124	124	2.151227	0	-4.96194	0	-3.442452	0	-2.338575	0	-2.115437	0	-0.6389523	0	-5.077688	0	-5.727455	0	-4.969182	0	-4.908141	0	2.151227	0	-0.6389523	0	-0.1711716	-0.06709818	-0.6066001	-0.714972	0.130582	-0.1010362	-1.347293	-0.3842131	0.8427506	-1.049313	-2.04282	-1.869882	-5.275497	-0.5580088	-1.018333	-2.64287	0.7720818	-0.1360699	-2.707416	0.3370529						
TianlinLiu	20180411	e3b57cfd8_8__utterance_134	0	MALE	recording	TestImage	Emotient FACET	20180320_151451510	366			9	367	1	575	174	122	122	1.87165	0	-4.801462	0	-3.239501	0	-2.316544	0	-1.118611	0	-0.7562734	0	-4.61868	0	-5.253698	0	-4.59594	0	-4.37723	0	1.87165	0	-0.7562734	0	-0.03063463	0.02110693	-0.5837138	-0.6184589	0.09266425	-0.04240632	-1.410211	-0.4628102	0.8204379	-0.7931445	-1.981114	-1.761009	-4.497542	-0.616053	-0.9112728	-2.325117	0.4658417	-0.2783601	-2.667245	0.2308078						
