#Study : TianlinLiu
#Date : 20180411 09:03:21
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:15:14.290 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514356	66			0	67	1	720	95	177	177	-5.319226	0	-5.654142	0	4.159949	0	-2.128119	0	-6.643716	0	-5.927763	0	-4.980644	0	-6.995457	0	-7.761305	0	-9.271664	0	-5.319226	0	-2.128119	0	4.137661	2.198067	-0.211988	0.5192055	-2.306679	-1.299543	-6.516486	-2.943112	-1.84474	-2.916322	-2.039974	-3.983512	-4.414208	-1.392431	-1.883115	-3.426152	5.65851	5.327468	-4.955745	-0.2580778						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514390	100			1	100	1	721	96	177	177	-4.407516	0	-5.3678	0	3.070023	0	-1.391395	0	-5.125336	0	-5.034047	0	-3.107032	0	-5.827424	0	-6.701258	0	-7.125504	0	-4.407516	0	-1.391395	0	4.037932	1.91135	0.1435473	0.1085927	-1.937077	-0.932653	-6.083187	-2.75633	-1.422444	-2.221008	-1.503847	-2.925682	-3.304506	-1.105882	-1.672551	-2.673275	4.22436	4.032031	-3.602313	-0.6782956						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514423	133			2	133	1	719	95	181	181	-3.372626	0	-5.361026	0	0.4103661	0	0.4968295	0	-1.822012	0	-4.111074	0	0.3041523	0	-3.291555	0	-4.3583	0	-2.131158	0	-3.372626	0	0.4968295	0	3.936223	1.487726	0.369646	-0.3345098	-1.008473	-0.5780393	-5.420849	-2.006978	-0.7475484	-0.5186185	-0.8065097	-1.066524	-1.499675	-0.5146903	-1.72602	-1.061187	1.142923	1.107472	-1.387613	-1.489845						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514456	166			3	167	1	720	96	179	179	-3.375807	0	-5.686299	0	-0.9314992	0	0.1487648	0	-1.535357	0	-3.97473	0	1.180805	0	-3.023829	0	-4.363567	0	-1.37075	0	-3.375807	0	1.180805	0	4.106588	1.278645	0.6476387	-0.4070195	-0.9471421	-0.5107616	-5.371804	-2.144219	-0.8468435	-0.3097348	-0.7168107	-0.8729223	-1.396684	-0.4545562	-1.452705	-0.7624853	0.1693967	0.1133816	-1.667218	-2.395503						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514490	200			4	200	1	720	95	180	180	-2.852551	0	-5.2734	0	-0.7012663	0	0.03048516	0	-1.077474	0	-3.924931	0	1.159978	0	-2.655075	0	-3.828065	0	-1.011036	0	-2.852551	0	1.159978	0	3.815211	1.236329	0.4526182	-0.337113	-0.9163545	-0.4666057	-4.956496	-2.212869	-0.8204014	-0.1420733	-0.471416	-0.5863267	-0.9102085	-0.7911637	-1.203408	-0.4359441	-0.1304419	0.09125105	-1.204079	-2.172249						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514523	233			5	234	1	720	96	179	179	-4.378782	0	-5.392467	0	-0.5315629	0	0.308365	0	-1.636978	0	-4.452186	0	1.359931	0	-2.806269	0	-4.361132	0	-1.003279	0	-4.378782	0	1.359931	0	3.78515	1.372745	0.3663957	-0.2071183	-1.225302	-0.4526184	-5.664392	-2.938317	-1.422254	-0.6829686	-0.3279404	-0.6182694	-0.5366137	-1.125028	-1.319459	-0.6763199	-0.2263861	0.1882229	-1.799471	-2.180371						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514556	266			6	267	1	720	96	181	181	-3.910248	0	-5.435503	0	-0.714867	0	0.07677823	0	-1.384752	0	-4.267546	0	1.565524	0	-2.516482	0	-4.186242	0	-0.9040875	0	-3.910248	0	1.565524	0	3.805034	1.172673	0.5237803	-0.4187565	-1.073401	-0.365166	-5.460384	-2.88967	-1.292592	-0.4260929	-0.4875802	-0.6196824	-0.3065141	-1.019359	-1.219491	-0.531911	-0.1994242	0.236879	-1.322948	-2.429121						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514590	300			7	300	1	720	96	181	181	-3.977857	0	-5.419579	0	-0.6179749	0	0.4462183	0	-1.407578	0	-4.190895	0	1.698729	0	-2.546788	0	-4.185183	0	-1.289082	0	-3.977857	0	1.698729	0	4.031149	1.246712	0.7200424	-0.4045339	-1.128529	-0.4046528	-5.328659	-2.831278	-1.269981	-0.3348758	-0.3461685	-0.4410944	-0.05243478	-0.7540386	-1.08691	-0.4684025	0.1372676	0.5272931	-0.8691187	-2.214173						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514623	333			8	334	1	720	96	181	181	-4.887972	0	-5.257687	0	-0.2288084	0	0.4380206	0	-1.966576	0	-4.508211	0	1.23531	0	-2.676085	0	-4.206537	0	-1.580659	0	-4.887972	0	1.23531	0	3.958488	1.3626	0.7129169	-0.2281202	-1.276098	-0.4079303	-5.134236	-3.037538	-1.351863	-0.5545752	-0.2946552	-0.6911796	0.01208908	-0.8931649	-1.151866	-0.6510829	0.3422436	0.7570599	-0.8842328	-1.5593						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514657	367			9	367	1	720	96	181	181	-5.086898	0	-5.532331	0	0.5172858	0	0.3513731	0	-2.757897	0	-4.845702	0	0.3631305	0	-3.527304	0	-5.003073	0	-2.802586	0	-5.086898	0	0.3631305	0	4.205638	1.641731	0.65192	-0.1730608	-1.422887	-0.5362247	-5.727195	-3.212754	-1.376082	-0.8476149	-0.5079895	-1.041115	-0.8358019	-0.8496177	-1.516525	-1.143168	1.139241	1.359291	-1.421699	-1.369857						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514690	400			10	400	1	721	96	180	180	-4.641881	0	-5.395311	0	0.2433671	0	0.8284844	0	-2.485122	0	-4.568867	0	0.4381099	0	-3.585104	0	-4.759517	0	-2.563052	0	-4.641881	0	0.8284844	0	4.059897	1.575571	0.6289976	-0.1456974	-1.417916	-0.5262786	-5.720116	-2.7094	-1.080949	-0.8135194	-0.3832972	-1.026645	-1.123945	-0.5647386	-1.519308	-1.176814	1.143858	1.271017	-1.047423	-1.411837						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514723	433			11	434	1	719	96	185	185	-3.313264	0	-5.653096	0	0.3096431	0	0.4516444	0	-1.739153	0	-4.110471	0	0.88973	0	-3.198349	0	-4.377274	0	-2.038932	0	-3.313264	0	0.88973	0	4.091167	1.51352	0.6627982	-0.3574392	-1.031806	-0.6298243	-5.586667	-2.075199	-0.7925839	-0.3810167	-0.5943211	-1.100657	-1.70291	-0.3815482	-1.892297	-1.01403	1.186404	1.15954	-0.8703445	-2.009203						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514757	467			12	467	1	721	97	180	180	-4.625134	0	-5.745993	0	-0.5908189	0	1.591863	0	-2.296235	0	-4.881297	0	0.5452119	0	-3.984937	0	-5.084825	0	-2.687965	0	-4.625134	0	1.591863	0	4.121493	1.575938	0.5866882	0.05206585	-1.52148	-0.511582	-6.30728	-2.89111	-0.9927531	-0.8617165	-0.4258353	-1.208969	-1.664316	-0.1428488	-1.535411	-1.107322	0.901938	0.7473946	-1.384959	-2.067887						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514790	500			13	500	1	720	97	181	181	-3.872348	0	-5.508417	0	-0.5435256	0	1.212787	0	-1.881684	0	-4.455959	0	0.8804927	0	-3.522	0	-4.632549	0	-2.196099	0	-3.872348	0	1.212787	0	3.73761	1.344617	0.5600129	-0.105736	-1.37635	-0.6147895	-5.830406	-2.32206	-0.904501	-0.7061748	-0.1771161	-0.9351659	-1.729843	-0.07024888	-1.607077	-0.8205721	0.7159266	0.5888007	-1.113254	-1.793572						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514823	533			14	534	1	721	98	181	181	-3.924277	0	-5.512742	0	-0.5209118	0	1.339391	0	-1.958431	0	-4.467802	0	0.8608831	0	-3.758914	0	-4.718796	0	-2.208802	0	-3.924277	0	1.339391	0	3.774021	1.373028	0.4932925	0.03260656	-1.442024	-0.6214135	-6.133328	-2.338254	-0.8741059	-0.7241795	-0.1881744	-0.9751683	-1.816476	-0.1212002	-1.541342	-0.8747399	0.7055697	0.5554017	-1.330243	-2.161211						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514857	567			15	567	1	722	97	183	183	-3.797196	0	-5.81234	0	-0.6117085	0	1.121676	0	-1.932996	0	-4.416656	0	0.8213096	0	-3.639713	0	-4.890957	0	-2.504351	0	-3.797196	0	1.121676	0	4.100085	1.425967	0.6362532	-0.2330998	-1.369602	-0.753912	-6.015756	-2.388289	-0.7291087	-0.4835049	-0.3038322	-0.9744657	-2.088265	-0.02943003	-1.726282	-0.9044429	0.697032	0.5268962	-1.436932	-2.386897						
TianlinLiu	20180411	e5b3e64f8_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_151514890	600			16	601	1	725	98	181	181	-4.531006	0	-5.576385	0	-0.5357172	0	1.503459	0	-2.474658	0	-4.473415	0	0.2566818	0	-3.974813	0	-5.002728	0	-3.333298	0	-4.531006	0	1.503459	0	4.210606	1.569488	0.7473477	-0.02605137	-1.452362	-0.448288	-5.960701	-2.563797	-0.908924	-0.7790501	-0.4135767	-1.129331	-2.027946	-0.009696526	-1.520698	-1.108121	1.061597	0.979369	-1.023038	-2.059331						
