#Study : TianlinLiu
#Date : 20180411 09:07:02
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:42:56.375 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256441	66			0	67	1	403	201	375	375	0.6296217	0	-3.157771	0	-2.988431	0	-0.9632392	0	-2.532717	0	-0.2963445	0	-2.883123	0	-3.619617	0	-3.517429	0	-3.03138	0	0.6296217	0	-0.2963445	0	-0.1770915	-0.2957149	0.2138444	-0.4186973	0.2498731	0.2761455	-0.4289619	0.6048877	0.6560208	-0.5432305	-0.915862	-1.419203	-4.374166	-0.06754725	-0.8589301	-1.320706	1.310527	-0.2938358	-1.829547	-4.21424						
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256475	100			1	100	1	404	200	371	371	0.4802565	0	-2.837984	0	-3.576944	0	-0.7968056	0	-2.681909	0	0.05091948	0	-2.644705	0	-3.456954	0	-3.39211	0	-2.88634	0	0.4802565	0	0.05091948	0	-0.2065447	-0.3544233	0.2015499	-0.5953339	0.1466941	0.05329521	-0.3581992	0.7085645	0.6303992	-0.3682044	-0.956786	-1.320395	-4.009151	-0.1685823	-0.5733654	-1.04764	1.116029	-0.5732006	-1.867164	-4.355409						
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256508	133			2	133	1	407	201	368	368	0.7061327	0	-3.141755	0	-3.892264	0	-1.339963	0	-2.33173	0	0.01916505	0	-3.046348	0	-3.522553	0	-3.533508	0	-2.865094	0	0.7061327	0	0.01916505	0	-0.4993787	-0.5782592	0.1460926	-0.4452055	0.2661142	0.1087144	-0.2615592	0.7153791	0.6957973	-0.5501019	-0.8601967	-1.302684	-4.180929	-0.1896501	-0.7630172	-1.16267	1.016874	-0.6936411	-2.180712	-4.370677						
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256541	166			3	167	1	405	200	371	371	0.2765573	0	-2.869445	0	-3.441574	0	-1.187506	0	-1.80355	0	0.2813134	0	-2.499804	0	-2.950246	0	-3.218447	0	-2.208387	0	0.2765573	0	0.2813134	0	-0.4256552	-0.5069538	0.2010389	-0.444988	0.1962134	0.0489697	-0.2487953	0.6376063	0.505913	-0.4548613	-0.6874583	-1.128597	-3.53213	-0.2307157	-0.7831925	-1.116497	0.7102261	-0.8353727	-2.319607	-4.364472						
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256575	200			4	200	1	405	201	370	370	0.0960071	0	-2.859115	0	-3.395656	0	-1.148737	0	-1.758905	0	0.4948908	0	-2.468998	0	-2.920989	0	-3.262362	0	-2.10942	0	0.0960071	0	0.4948908	0	-0.4738228	-0.5130406	0.2282815	-0.3798868	0.1816235	0.05074583	-0.1215916	0.7405381	0.4474469	-0.5628456	-0.6475471	-1.108844	-3.48186	-0.265396	-0.8960283	-1.237648	0.7306219	-0.8700976	-2.53551	-4.38753						
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256608	233			5	234	1	406	200	369	369	0.03560317	0	-2.737407	0	-3.423393	0	-1.237035	0	-1.640842	0	0.5038006	0	-2.431189	0	-2.706691	0	-3.09475	0	-1.931131	0	0.03560317	0	0.5038006	0	-0.4947734	-0.5810177	0.2314464	-0.4183749	0.1444772	0.0496148	-0.1255486	0.7561407	0.3674235	-0.5313752	-0.7006904	-1.176107	-3.406824	-0.2530619	-0.822032	-1.200938	0.6548274	-0.9711347	-2.541995	-4.456766						
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256641	266			6	267	1	406	200	370	370	-0.1054136	0	-2.736903	0	-3.301075	0	-1.102249	0	-1.585399	0	0.5722459	0	-2.359597	0	-2.718543	0	-3.143093	0	-1.816544	0	-0.1054136	0	0.5722459	0	-0.5066665	-0.5650167	0.2180176	-0.369621	0.07362942	-0.01969494	-0.1535269	0.7995633	0.3070509	-0.5667397	-0.6485687	-1.174455	-3.325701	-0.217744	-0.9116272	-1.256384	0.6518358	-0.9971644	-2.62898	-4.489229						
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256675	300			7	300	1	406	200	370	370	-0.2447543	0	-2.637633	0	-3.137123	0	-1.040601	0	-1.499196	0	0.6422397	0	-2.277494	0	-2.548339	0	-3.064439	0	-1.708642	0	-0.2447543	0	0.6422397	0	-0.4440037	-0.5257491	0.2313011	-0.384224	0.05225296	-0.02070279	-0.1582975	0.8101103	0.2529846	-0.559234	-0.6380837	-1.183793	-3.199744	-0.2624053	-0.8900851	-1.256422	0.5951085	-1.047747	-2.596239	-4.341378						
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256708	333			8	334	1	406	200	370	370	-0.2819512	0	-2.566188	0	-3.170032	0	-1.018274	0	-1.377241	0	0.7066197	0	-2.150115	0	-2.503534	0	-2.965967	0	-1.675339	0	-0.2819512	0	0.7066197	0	-0.4671814	-0.5092117	0.2456547	-0.3122449	0.09755644	0.004947294	-0.1105032	0.7597499	0.3052666	-0.5569863	-0.5341608	-1.074485	-2.992253	-0.3440984	-0.9815707	-1.238819	0.495976	-1.068394	-2.727079	-4.342209						
TianlinLiu	20180411	4c0b2b579_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144256742	367			9	367	1	406	200	371	371	-0.5454847	0	-2.39179	0	-3.081423	0	-1.041523	0	-1.274382	0	0.8289353	0	-1.962668	0	-2.273963	0	-2.793947	0	-1.451864	0	-0.5454847	0	0.8289353	0	-0.4873674	-0.534899	0.250652	-0.3734226	-0.02557965	-0.06051573	-0.02048471	0.8058866	0.1653927	-0.5169903	-0.5466755	-1.038575	-2.790141	-0.3356042	-0.8922121	-1.196676	0.4530682	-1.115008	-2.71962	-4.469131						
