#Study : TianlinLiu
#Date : 20180411 09:03:19
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:15:42.270 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542337	67			0	67	1	487	245	224	224	-0.5194585	0	-0.5761547	0	-0.1262394	0	-0.6253258	0	0.3447213	0	0.1610338	0	0.187562	0	-0.08577743	0	-0.2549807	0	0.6146549	0	-0.5194585	0	0.3447213	0	0.434215	0.1927912	-0.5916373	-1.011305	-0.7307127	-0.6218538	-1.066252	0.2467217	-0.4053975	-0.6949279	0.4234328	0.3795121	0.8222445	-1.616712	-0.6572715	0.3167229	-1.714818	-1.413991	-1.171389	1.723256						
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542370	100			1	101	1	489	247	220	220	-0.3854747	0	-0.6089362	0	0.2255933	0	-0.4283188	0	0.3641258	0	0.1699586	0	0.0004420066	0	-0.3522114	0	-0.5448526	0	0.7077332	0	-0.3854747	0	0.3641258	0	0.3100642	0.2006249	-0.7339507	-0.9625077	-0.9422472	-0.9165921	-1.146319	0.3925041	-0.3431868	-0.6777503	0.4040428	0.3125332	0.4182934	-1.277476	-0.6039536	0.06595501	-1.460854	-1.261163	-0.9169771	1.458029						
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542404	134			2	134	1	490	251	214	214	-0.2617038	0	-0.6727059	0	0.4173865	0	-0.4542151	0	0.3080727	0	0.1812188	0	-0.02346387	0	-0.5918838	0	-0.6977302	0	0.8570006	0	-0.2617038	0	0.3080727	0	0.266755	0.1899474	-0.9304534	-1.23924	-1.058354	-1.282634	-1.337098	0.3271333	-0.1438713	-0.327976	0.1086517	0.2184777	0.3125491	-1.032033	-0.304269	-0.04675988	-1.459201	-1.281863	-0.5275871	1.386772						
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542437	167			3	168	1	490	253	213	213	-0.3899611	0	-0.8476455	0	0.3689254	0	-0.4210693	0	0.2838725	0	0.1406641	0	0.01471246	0	-0.7420962	0	-0.8198776	0	0.8655757	0	-0.3899611	0	0.2838725	0	0.4044173	0.3082776	-0.9388748	-1.316891	-1.147558	-1.424578	-1.424966	0.3137976	-0.1688555	-0.2225734	0.02325249	0.1933618	0.2956282	-0.9654936	-0.3429138	-0.04306478	-1.450389	-1.291922	-0.4427975	1.305288						
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542471	201			4	201	1	489	252	216	216	-0.6202331	0	-0.7030992	0	0.4629876	0	-0.4794494	0	0.3726046	0	-0.0099815	0	-0.05859959	0	-0.5017539	0	-0.6905785	0	0.8871142	0	-0.6202331	0	0.3726046	0	0.2835484	0.2191943	-0.9913885	-1.142188	-1.124614	-1.16595	-1.471526	0.2116348	-0.2895137	-0.6406221	0.2926036	0.2799455	0.339577	-1.384285	-0.5543112	-0.05942084	-1.664544	-1.501071	-0.983047	1.498278						
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542504	234			5	235	1	486	256	214	214	-0.1353497	0	-0.5331047	0	-0.09260486	0	-0.2182013	0	0.1703509	0	0.1989125	0	0.1875435	0	-0.279033	0	-0.4300774	0	0.6408167	0	-0.1353497	0	0.1989125	0	0.4997348	0.4130079	-0.7950705	-1.333699	-0.8691432	-1.112797	-1.033767	0.4975608	-0.1067084	-0.1384089	0.2341389	0.262923	0.5272587	-1.146976	-0.318256	0.3311298	-1.49825	-1.231989	-0.2922398	1.708879						
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542538	268			6	268	1	488	257	215	215	-1.006007	0	-0.5268505	0	0.7021838	0	-0.3531989	0	0.2367851	0	0.1045689	0	-0.2583466	0	-0.5112177	0	-0.6779957	0	0.814026	0	-1.006007	0	0.2367851	0	0.360083	0.3377144	-1.064098	-1.193539	-1.065259	-1.102882	-1.441435	0.2411052	-0.3533104	-0.6568372	0.08632693	0.3101994	0.4207485	-1.660358	-0.5211586	-0.06007933	-1.776694	-1.589244	-1.160113	1.38918						
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542571	301			7	302	1	487	257	213	213	-0.5322091	0	-0.3778436	0	0.2148681	0	-0.5918798	0	0.1480362	0	0.3836905	0	-0.01758032	0	-0.2632123	0	-0.4270489	0	0.8574911	0	-0.5322091	0	0.3836905	0	0.1597253	0.1345706	-0.8884975	-1.598493	-1.100072	-1.413814	-1.00949	0.3976387	-0.2340756	-0.3130637	-0.052211	0.1058628	0.2457235	-1.112596	-0.337537	-0.05166906	-1.422997	-1.345187	-0.4978228	1.450249						
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542605	335			8	335	1	485	258	213	213	-0.5917456	0	-0.4766168	0	0.06864063	0	-0.3532222	0	0.08798563	0	0.224336	0	0.06758372	0	-0.2941093	0	-0.4631866	0	0.7121218	0	-0.5917456	0	0.224336	0	0.3438365	0.2812892	-0.7747929	-1.495504	-1.130446	-1.351164	-1.050696	0.3947762	-0.2395465	-0.2684458	0.05638678	0.1401552	0.3426226	-1.19158	-0.4724507	0.09028184	-1.475984	-1.382946	-0.5191225	1.495073						
TianlinLiu	20180411	e7afe2353_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_151542638	368			9	369	1	485	257	214	214	-0.2447364	0	-0.2358083	0	0.2905094	0	-0.5734245	0	0.2198119	0	0.3570185	0	-0.09093121	0	-0.2140276	0	-0.3395284	0	0.8142273	0	-0.2447364	0	0.3570185	0	0.0308874	0.07134274	-0.9615692	-1.404525	-1.051653	-1.188651	-1.084754	0.4217478	-0.1404828	-0.3777874	0.02520816	0.3218226	0.6021981	-1.40654	-0.253154	0.09431585	-1.704369	-1.507858	-0.7917435	1.602029						
