#Study : TianlinLiu
#Date : 20180411 09:03:24
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:14:38.045 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438111	66			0	67	1	535	194	216	216	-1.244057	0	-3.421458	0	0.3714916	0	0.6297223	0	-0.926721	0	-1.011173	0	0.1937159	0	-2.693411	0	-3.538353	0	-0.3525512	0	-1.244057	0	0.6297223	0	1.762193	1.403767	-0.2579968	0.6517087	-0.5321442	-0.3574452	-3.116771	-0.3910546	-0.6843295	-1.080494	0.2510137	-0.8108096	-2.118609	0.461849	-1.493963	-1.279949	-0.02853851	-0.7227558	-2.16096	0.9393386						
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438145	100			1	100	1	535	194	214	214	-0.7994617	0	-3.750028	0	0.1242789	0	0.6529452	0	-1.759223	0	-0.5780357	0	-1.307151	0	-3.811367	0	-4.868477	0	-1.709195	0	-0.7994617	0	0.6529452	0	1.909	1.598152	-0.1268357	0.8233839	-0.5227776	-0.4435924	-2.954555	0.0199402	-0.6568596	-1.38783	0.1799082	-1.623029	-3.316566	0.4560179	-1.283795	-2.099457	0.8287474	-0.7985544	-2.801939	1.057301						
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438178	133			2	133	1	536	195	211	211	-0.8722879	0	-3.780521	0	-0.4139785	0	0.608403	0	-3.668721	0	-0.1039816	0	-3.480659	0	-5.412915	0	-6.510299	0	-3.60161	0	-0.8722879	0	0.608403	0	1.85058	1.565306	-0.162047	0.897094	-0.976159	-0.6179414	-2.737303	0.7323928	-0.9941444	-1.738163	0.05117204	-2.175346	-4.517425	0.6552385	-0.9899983	-3.431575	2.027149	-0.8092574	-3.559645	0.9969918						
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438211	166			3	167	1	535	195	210	210	-0.9537027	0	-3.674594	0	-0.3786126	0	0.4138377	0	-4.08423	0	0.1572592	0	-4.030338	0	-5.923141	0	-6.924214	0	-4.25349	0	-0.9537027	0	0.4138377	0	1.804406	1.571148	-0.1837455	0.8932157	-0.9506136	-0.6621153	-2.545238	0.9143537	-1.076774	-1.947115	-0.07757679	-2.309845	-5.017648	0.504851	-0.9106769	-3.791023	2.403675	-0.7635208	-3.985413	0.9903387						
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438244	199			4	200	1	535	195	211	211	-0.7897208	0	-3.886152	0	-0.5054885	0	0.289096	0	-3.905624	0	0.2052697	0	-4.170637	0	-6.050935	0	-6.94368	0	-4.404109	0	-0.7897208	0	0.289096	0	1.884019	1.644931	-0.1853095	0.9797216	-0.8318304	-0.6215206	-2.42954	0.9506963	-1.03442	-1.979692	-0.1007435	-2.329077	-5.254131	0.4489441	-0.9749146	-3.805638	2.399775	-0.84593	-3.96982	0.967019						
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438278	233			5	233	1	533	194	213	213	-0.9575188	0	-4.030696	0	-0.4452643	0	0.1882757	0	-4.202887	0	0.273239	0	-4.500814	0	-6.430141	0	-7.325455	0	-4.738913	0	-0.9575188	0	0.273239	0	1.873846	1.724592	-0.2094694	0.982697	-0.8141404	-0.6287742	-2.492317	1.009521	-1.040328	-2.142934	-0.08890441	-2.47643	-5.411963	0.3374221	-1.034451	-3.931659	2.555035	-0.8312133	-4.210279	0.9321524						
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438311	266			6	267	1	533	192	214	214	-0.8805913	0	-4.020153	0	-0.2330664	0	0.2195008	0	-3.623849	0	0.01993999	0	-4.133628	0	-5.908148	0	-6.732687	0	-4.104879	0	-0.8805913	0	0.2195008	0	1.839363	1.721458	-0.2679141	1.012651	-0.8364426	-0.6869452	-2.587211	0.7177508	-0.9504912	-2.10455	-0.235264	-2.424648	-5.20386	0.3429391	-1.086762	-3.662681	2.25417	-0.8462796	-3.906297	1.061207						
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438344	299			7	300	1	534	191	212	212	-0.990573	0	-4.164616	0	-0.1886773	0	0.2197194	0	-3.83861	0	-0.07933068	0	-4.121201	0	-6.244217	0	-7.143023	0	-4.298789	0	-0.990573	0	0.2197194	0	1.98622	1.796824	-0.2480611	1.026371	-0.9541432	-0.7463531	-2.688261	0.7567719	-1.179372	-2.155296	-0.3494886	-2.494994	-5.299051	0.4380633	-1.155118	-3.891473	2.463011	-0.8289152	-4.125975	1.030191						
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438378	333			8	333	1	535	192	209	209	-1.16102	0	-3.2353	0	0.4312111	0	0.5164903	0	-2.937532	0	-0.3595141	0	-2.754142	0	-4.44031	0	-5.632635	0	-2.794734	0	-1.16102	0	0.5164903	0	1.639433	1.441412	-0.2820151	0.6636818	-0.9431626	-0.6369901	-2.920903	0.263251	-0.9068025	-1.673403	-0.1367179	-1.955254	-3.727421	0.337492	-1.108217	-3.104458	1.627601	-0.495453	-3.397237	1.098654						
TianlinLiu	20180411	e2750c1bf_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151438411	366			9	367	1	533	189	212	212	-1.876688	0	-3.639229	0	1.195895	0	0.1363089	0	-1.920448	0	-1.816748	0	-1.186937	0	-3.349076	0	-4.654624	0	-1.54494	0	-1.876688	0	0.1363089	0	1.750425	1.489312	-0.4227831	0.6037126	-1.054782	-0.5661201	-3.843818	-0.8382578	-0.7532499	-1.648489	-0.2233946	-1.971113	-2.523502	0.35638	-1.475614	-2.004521	0.9932794	0.1723137	-2.995658	1.325815						
