#Study : TianlinLiu
#Date : 20180411 09:03:20
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:15:36.571 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151536655	84			0	85	1	599	110	146	146	-1.460114	0	-1.782883	0	-0.4960837	0	-0.1804958	0	-0.6401123	0	0.03597949	0	0.2889849	0	-0.7053428	0	-1.116808	0	0.3320932	0	-1.460114	0	0.2889849	0	0.9205972	0.601632	-0.2155977	-0.9823349	-0.3324589	-0.5160101	-2.146289	0.2318742	-0.2919976	-0.6864027	0.1276092	-0.3168837	-0.4648784	-0.4832655	-0.5528661	-0.5592922	-0.4731656	-0.5678122	-1.700222	1.143381						
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151536698	127			1	127	1	599	110	145	145	-1.395092	0	-1.836432	0	-0.2247975	0	0.07446243	0	-0.6726108	0	-0.004190838	0	0.1980322	0	-0.9067695	0	-1.273058	0	0.2470454	0	-1.395092	0	0.1980322	0	0.950001	0.6575941	-0.2132744	-0.843201	-0.37345	-0.5269099	-2.148362	0.266996	-0.2826417	-0.6830566	0.1729105	-0.3372362	-0.4232712	-0.3896601	-0.577332	-0.5733798	-0.334108	-0.4303474	-1.633765	1.204154						
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151536740	169			2	170	1	597	110	147	147	-1.533133	0	-1.750933	0	-0.3610406	0	-0.2663554	0	-0.6303417	0	0.06766407	0	0.2328026	0	-0.7155874	0	-1.161083	0	0.3271636	0	-1.533133	0	0.2328026	0	0.8380318	0.5426359	-0.2309321	-0.955862	-0.2981146	-0.550793	-1.966717	0.2670068	-0.3274407	-0.7120446	0.08157346	-0.3250694	-0.3930287	-0.6071569	-0.5569603	-0.6291006	-0.4486444	-0.5448837	-1.752956	1.096946						
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151536783	212			3	212	1	597	110	148	148	-1.848758	0	-1.78374	0	-0.7216268	0	-0.6051978	0	-0.6938672	0	0.03848286	0	0.4421501	0	-0.6551404	0	-1.159771	0	0.4270743	0	-1.848758	0	0.4421501	0	0.8628344	0.5144365	-0.2220912	-1.139986	-0.3263392	-0.5577428	-2.091937	0.1882465	-0.3955767	-0.8291934	0.1743972	-0.240414	-0.3057335	-0.7518193	-0.5334807	-0.6255317	-0.6899508	-0.7588505	-2.050499	1.204955						
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151536825	254			4	254	1	596	110	148	148	-2.055388	0	-1.702456	0	-0.7560731	0	-0.685792	0	-0.708874	0	0.003407732	0	0.4571818	0	-0.6108103	0	-1.146709	0	0.4365048	0	-2.055388	0	0.4571818	0	0.8649198	0.505095	-0.2368606	-1.106427	-0.3099427	-0.5160808	-2.021977	0.1557312	-0.4617033	-0.8995724	0.2099472	-0.2101572	-0.2707503	-0.864446	-0.543729	-0.6115439	-0.7701536	-0.8268282	-2.17482	1.142889						
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151536867	296			5	297	1	597	110	147	147	-2.141888	0	-1.677626	0	-0.768173	0	-0.6515242	0	-0.6989999	0	-0.0813503	0	0.4202719	0	-0.567549	0	-1.06361	0	0.519586	0	-2.141888	0	0.4202719	0	0.8343478	0.500584	-0.2780429	-1.11841	-0.3761336	-0.5104544	-2.171246	0.09379058	-0.484412	-0.9130108	0.2259108	-0.2375822	-0.2650177	-0.8204756	-0.5802702	-0.5925694	-0.8169331	-0.8426478	-2.19943	1.156795						
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151536910	339			6	339	1	595	110	148	148	-2.314839	0	-1.586336	0	-1.000579	0	-0.9367203	0	-0.6146702	0	-0.1067206	0	0.4662275	0	-0.4500242	0	-0.9957385	0	0.6244642	0	-2.314839	0	0.4662275	0	0.6961574	0.3592002	-0.2762145	-1.142708	-0.3532732	-0.5307965	-1.99554	0.06379167	-0.5590963	-0.9473677	0.2121971	-0.2021789	-0.154699	-1.044909	-0.5663192	-0.5932211	-1.031979	-1.013411	-2.391224	1.022419						
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151536952	381			7	382	1	596	110	146	146	-2.258505	0	-1.521915	0	-0.9561261	0	-0.8259033	0	-0.5833955	0	-0.1800079	0	0.4306263	0	-0.388235	0	-0.9557922	0	0.6541658	0	-2.258505	0	0.4306263	0	0.7374095	0.4258785	-0.2989911	-1.05983	-0.3383824	-0.4553635	-1.985179	-0.002721508	-0.5098928	-0.9239956	0.264815	-0.1871615	-0.1715676	-0.9798625	-0.6168672	-0.5617065	-1.101472	-1.068046	-2.389268	1.004788						
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151536995	424			8	424	1	596	110	147	147	-2.234686	0	-1.417728	0	-1.169294	0	-0.975892	0	-0.4912564	0	-0.2264932	0	0.5175523	0	-0.2766298	0	-0.82095	0	0.6660393	0	-2.234686	0	0.5175523	0	0.6995302	0.3545371	-0.2838902	-1.08595	-0.3502357	-0.4593112	-1.94639	-0.07728877	-0.4907916	-0.8600802	0.337979	-0.1157789	-0.04038368	-1.076112	-0.5529535	-0.4620091	-1.3154	-1.196026	-2.414716	1.000567						
TianlinLiu	20180411	e60748aab_1__utterance_7	0	MALE	recording	TestImage	Emotient FACET	20180320_151537037	466			9	466	1	597	111	144	144	-2.082939	0	-1.295554	0	-1.326196	0	-0.7870812	0	-0.3310934	0	-0.2138794	0	0.3938361	0	-0.2517572	0	-0.7343072	0	0.7181247	0	-2.082939	0	0.3938361	0	0.6116225	0.35416	-0.3531644	-0.9656485	-0.2665885	-0.3297657	-1.864306	-0.1233873	-0.4482659	-0.7399873	0.48304	-0.03459349	-0.1841316	-1.06519	-0.5365958	-0.2976591	-1.635575	-1.430433	-2.307646	0.5669762						
