#Study : TianlinLiu
#Date : 20180411 09:03:16
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:16:14.324 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614407	83			0	83	1	517	81	167	167	0.8525761	0	-3.460499	0	-1.190783	0	-0.3328845	0	-0.5779588	0	-0.285898	0	-2.702136	0	-3.955652	0	-2.444832	0	-0.03945139	0	0.8525761	0	-0.285898	0	0.2756019	0.1730614	-1.735687	-0.955682	-0.5773565	-0.7623435	-2.49244	0.610055	0.3161809	-0.5866713	0.04521895	-0.9062482	-3.239852	0.1497574	-0.6187933	-1.095623	0.06330924	-0.9169916	-0.9208941	-2.613462						
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614449	125			1	125	1	518	82	166	166	0.8431561	0	-3.277763	0	-1.266029	0	-0.3245394	0	-0.5156078	0	-0.1898473	0	-2.708309	0	-3.848445	0	-2.298587	0	-0.0369809	0	0.8431561	0	-0.1898473	0	0.1707021	0.1093337	-1.760243	-0.9201003	-0.6014499	-0.8464519	-2.408106	0.5819309	0.2898825	-0.5745479	0.01898665	-0.8940498	-3.22577	0.2374557	-0.6137101	-1.080808	0.03360361	-0.8734546	-0.8254429	-2.508081						
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614490	166			2	167	1	518	82	166	166	0.9346913	0	-3.157551	0	-1.569248	0	-0.4626911	0	-0.5973909	0	-0.1152164	0	-2.660057	0	-3.623881	0	-2.136596	0	-0.1474056	0	0.9346913	0	-0.1152164	0	0.09961843	0.06043287	-1.697042	-0.9009747	-0.5050199	-0.815813	-2.180172	0.5418501	0.2586546	-0.6211104	-0.004922025	-0.9109322	-3.405393	0.3290857	-0.6642576	-1.102161	0.08536736	-0.7576391	-0.8126333	-2.299944						
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614532	208			3	209	1	516	83	167	167	0.8060241	0	-2.919864	0	-1.261348	0	-0.4360335	0	-0.7730081	0	0.05087625	0	-2.675737	0	-3.648091	0	-2.204377	0	-0.120868	0	0.8060241	0	0.05087625	0	-0.0117234	-0.1217433	-1.635102	-0.8780987	-0.5514913	-0.8679746	-1.985198	0.5927257	0.1480891	-0.6278049	-0.01130072	-0.9267874	-3.281823	0.4114226	-0.5798196	-1.094791	0.2594295	-0.6590757	-0.7854016	-2.263786						
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614574	250			4	250	1	515	83	167	167	0.9129206	0	-3.100777	0	-1.642838	0	-0.6680068	0	-0.8798475	0	0.2041962	0	-2.925617	0	-3.788352	0	-2.44	0	-0.2332195	0	0.9129206	0	0.2041962	0	-0.1593596	-0.1969641	-1.609733	-0.9002677	-0.5241675	-0.8837241	-1.832722	0.637988	0.1254831	-0.7626669	-0.08345725	-0.9862399	-3.286677	0.5324934	-0.6073321	-1.167093	0.4569725	-0.4780225	-0.81205	-2.15109						
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614615	291			5	292	1	514	83	168	168	0.8296721	0	-2.860802	0	-1.509879	0	-0.6155084	0	-0.949792	0	0.1556015	0	-2.745364	0	-3.561813	0	-2.217219	0	-0.2310548	0	0.8296721	0	0.1556015	0	-0.1089362	-0.2063847	-1.530556	-0.8456762	-0.3998506	-0.7154032	-1.716268	0.6546766	0.1061208	-0.7638301	-0.02881954	-1.00873	-3.241283	0.4847984	-0.5917863	-1.186289	0.4503731	-0.4986517	-0.7943078	-2.052556						
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614657	333			6	334	1	515	84	166	166	0.9146424	0	-2.900802	0	-1.555598	0	-0.5812614	0	-1.000792	0	0.1016674	0	-2.889674	0	-3.554969	0	-2.389474	0	-0.3226329	0	0.9146424	0	0.1016674	0	-0.1251921	-0.2481017	-1.475924	-0.7552806	-0.3997685	-0.7294307	-1.691967	0.6301209	0.1624291	-0.7256842	-0.02174384	-0.9704165	-3.45063	0.4689145	-0.4897913	-1.175434	0.4929999	-0.4262012	-0.7675698	-2.105384						
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614699	375			7	375	1	513	86	167	167	0.6539236	0	-3.048296	0	-5.930546	0	-3.48	0	-1.203594	0	0.8117052	0	-2.977641	0	-2.602076	0	-1.835109	0	-0.7495619	0	0.6539236	0	0.8117052	0	0.1373715	-0.3069456	-1.149394	-3.382439	-0.7753994	-0.6534969	-0.6775423	0.6221297	0.3670422	-0.7833269	-0.7409447	-1.016936	-3.519748	0.6325228	-0.321992	-0.8676661	0.189099	-0.3632384	0.3196043	3.640548						
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614741	417			8	417	1	514	86	165	165	0.6649014	0	-3.109496	0	-6.901395	0	-4.228319	0	-1.17977	0	0.7776857	0	-2.922844	0	-2.584566	0	-1.849443	0	-0.6597179	0	0.6649014	0	0.7776857	0	0.08661836	-0.4663868	-0.8966124	-3.7304	-0.8325899	-0.7312294	-0.4284313	0.7756097	0.223718	-0.7756345	-0.6189445	-0.9165876	-3.178658	0.6978213	-0.3420094	-0.8198949	0.2003182	-0.2861748	0.4220906	4.093263						
TianlinLiu	20180411	eefdeb291_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_151614782	458			9	459	1	514	86	165	165	0.5300862	0	-2.946682	0	-6.823522	0	-4.021492	0	-1.200197	0	0.8014821	0	-2.815303	0	-2.266896	0	-1.637104	0	-0.7370302	0	0.5300862	0	0.8014821	0	0.03677802	-0.4849427	-0.8062013	-3.575992	-0.7898008	-0.747703	-0.4538459	0.7712243	0.1774662	-0.8276914	-0.6193302	-1.032076	-3.537117	0.7643648	-0.2065864	-0.9049664	0.2704547	-0.2925723	0.3363121	3.351886						
