#Study : TianlinLiu
#Date : 20180411 09:03:15
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:16:26.384 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626450	66			0	67	1	270	74	118	118	0.827758	0	-0.8411381	0	-0.8368531	0	-0.8702976	0	-0.4873499	0	-0.8017462	0	-1.747597	0	-0.3648397	0	-0.8510301	0	-0.08056842	0	0.827758	0	-0.4873499	0	-0.8255206	-0.4099378	-0.6653554	-0.2464252	-1.643534	-0.2508693	-1.373066	-0.9143248	-0.2375418	-0.1268224	-1.011542	-0.05857813	-1.358562	-0.4580266	-0.6152988	0.1391273	-0.7367861	-0.5164295	-0.2370959	0.287109						
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626484	100			1	100	1	269	74	118	118	1.117537	0	-1.117081	0	-0.6727374	0	-0.8687479	0	-1.005948	0	-0.5415322	0	-2.30669	0	-0.8821223	0	-1.431272	0	-0.4516326	0	1.117537	0	-0.5415322	0	-0.6923007	-0.2964363	-0.724029	-0.2073997	-1.528352	-0.2896838	-1.264183	-0.7170343	-0.1337433	-0.06060003	-0.8989286	-0.07272855	-1.677041	-0.5024099	-0.6160273	-0.1405815	-0.5439777	-0.4681714	-0.6216654	0.3798075						
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626517	133			2	133	1	268	73	117	117	1.059177	0	-1.187785	0	-0.8013337	0	-0.9764482	0	-0.7264179	0	-0.4671917	0	-1.99923	0	-0.9209443	0	-1.469523	0	0.01342859	0	1.059177	0	-0.4671917	0	-0.8666191	-0.3761748	-0.8790254	-0.2852772	-1.507325	-0.285312	-1.400173	-0.5707628	-0.1108997	-0.02594896	-0.9464179	-0.06714725	-1.741118	-0.4473152	-0.6356539	-0.0768059	-0.7386463	-0.7253206	-0.7599137	-0.0608296						
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626550	166			3	167	1	269	73	116	116	0.8677899	0	-1.102512	0	-0.6769583	0	-0.7971732	0	-0.5347853	0	-0.3849333	0	-1.747715	0	-1.032396	0	-1.398211	0	0.07682005	0	0.8677899	0	-0.3849333	0	-0.7100035	-0.2757932	-0.9098794	-0.1155418	-1.515308	-0.2874745	-1.323846	-0.517332	-0.2447612	-0.2613117	-0.8396595	-0.1783448	-1.657413	-0.4001778	-0.6606291	-0.1340486	-0.7438943	-0.7016762	-0.7744214	0.05442843						
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626583	199			4	200	1	269	74	115	115	0.7713737	0	-1.183351	0	-0.6329916	0	-0.8168469	0	-0.2311329	0	-0.3883337	0	-1.505301	0	-1.076845	0	-1.362563	0	0.3427597	0	0.7713737	0	-0.2311329	0	-0.6827816	-0.211231	-0.9999429	-0.03802528	-1.688008	-0.4562517	-1.52342	-0.5955046	-0.2752406	-0.3587539	-0.8552632	-0.2404577	-1.67011	-0.3990795	-0.7928214	-0.1544992	-0.8612987	-0.8325483	-1.059236	-0.4203253						
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626617	233			5	233	1	268	73	116	116	0.6921742	0	-1.273163	0	-0.4584574	0	-0.6251365	0	-1.018975	0	-0.1179319	0	-2.042832	0	-1.414696	0	-1.870964	0	-0.2313785	0	0.6921742	0	-0.1179319	0	-0.5560386	-0.1078921	-0.9766065	0.126843	-1.651755	-0.3225866	-1.42919	-0.2659644	-0.3884448	-0.4625375	-0.7682402	-0.3494803	-1.885154	-0.411605	-0.7639593	-0.4677204	-0.4576882	-0.5821723	-1.210629	-0.02862864						
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626650	266			6	267	1	267	73	118	118	0.8260843	0	-1.440551	0	-0.3609426	0	-0.6972823	0	-1.416405	0	-0.1977038	0	-2.318286	0	-1.634436	0	-2.205047	0	-0.4694899	0	0.8260843	0	-0.1977038	0	-0.5995998	-0.1538395	-0.9825854	0.0788023	-1.576785	-0.2694623	-1.438938	-0.2542256	-0.3129491	-0.3431261	-0.7033167	-0.2904613	-1.946765	-0.4673559	-0.7513771	-0.6096503	-0.2027937	-0.3627519	-1.275545	-0.1898089						
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626683	299			7	300	1	267	72	119	119	0.7934734	0	-1.482171	0	-0.362253	0	-0.8944657	0	-1.4566	0	-0.2215943	0	-2.557706	0	-1.73153	0	-2.233983	0	-0.4453046	0	0.7934734	0	-0.2215943	0	-0.7423543	-0.2403383	-1.023487	0.08527697	-1.630982	-0.2077274	-1.410972	-0.2069917	-0.3449659	-0.3663812	-0.7276062	-0.3164122	-1.880489	-0.4407707	-0.7660296	-0.6785535	-0.05066981	-0.2402474	-1.220708	-0.2908561						
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626717	333			8	333	1	267	72	118	118	0.741123	0	-1.520251	0	-0.3232972	0	-0.8098673	0	-1.545978	0	-0.133417	0	-2.618969	0	-1.817967	0	-2.297879	0	-0.5505776	0	0.741123	0	-0.133417	0	-0.6956167	-0.2123022	-0.9831057	0.1413241	-1.723245	-0.2588627	-1.419517	-0.1647205	-0.3832796	-0.466414	-0.7607997	-0.4441088	-2.00603	-0.4098687	-0.8279909	-0.736804	-0.006109639	-0.3134666	-1.397796	-0.332628						
TianlinLiu	20180411	f0fdfc967_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_151626750	366			9	367	1	268	72	118	118	0.7301545	0	-1.509835	0	-0.2666268	0	-0.6788508	0	-1.675927	0	-0.1763532	0	-2.737033	0	-1.906692	0	-2.328256	0	-0.720919	0	0.7301545	0	-0.1763532	0	-0.628588	-0.1498394	-0.9306153	0.2692145	-1.729256	-0.2195336	-1.382443	-0.21951	-0.3771838	-0.4869885	-0.8171269	-0.4724885	-2.004291	-0.417429	-0.8420911	-0.8055744	0.0369921	-0.3129636	-1.3633	-0.1772083						
