#Study : TianlinLiu
#Date : 20180411 09:03:10
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:17:06.381 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706447	66			0	67	1	246	81	94	94	1.633932	0	-2.664928	0	-6.553661	0	-1.344856	0	-1.744962	0	-0.7703949	0	-2.391453	0	-4.077466	0	-3.227632	0	-6.442997	0	1.633932	0	-0.7703949	0	-0.1282749	-1.862611	1.349619	-0.3613909	1.992013	0.5813625	-0.4013065	0.7842106	1.569963	-0.6755824	-0.243844	-0.530064	-3.973683	0.1309415	-0.2985668	-0.6343271	0.3005714	-1.743925	-2.160384	-0.8883485						
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706481	100			1	100	1	249	82	92	92	1.633515	0	-2.480605	0	-6.782623	0	-1.558583	0	-1.856025	0	-0.7740175	0	-2.431608	0	-3.900845	0	-3.049811	0	-6.45779	0	1.633515	0	-0.7740175	0	-0.3318328	-2.261652	1.51921	-0.2543781	2.04369	0.6379691	-0.3058733	0.9279452	1.312285	-0.7805921	-0.4461095	-0.4441287	-4.027716	0.2663141	-0.2237662	-0.7949205	0.3495908	-1.648723	-1.986871	-0.7104584						
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706514	133			2	133	1	249	81	96	96	0.9766847	0	-2.18505	0	-7.478095	0	-2.052264	0	-1.994334	0	-0.3805772	0	-2.570879	0	-3.637771	0	-2.763948	0	-6.834714	0	0.9766847	0	-0.3805772	0	-0.6471843	-2.711684	2.196896	-0.5490192	2.02115	0.8211828	0.3391333	1.178505	1.004104	-0.9222174	-0.4799904	-0.2479277	-4.256248	0.5219096	-0.2654412	-0.7416773	0.2999395	-1.737996	-1.668946	-0.6190049						
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706547	166			3	167	1	253	84	93	93	1.324938	0	-2.391453	0	-7.579844	0	-2.133578	0	-2.274849	0	-0.8051743	0	-2.50938	0	-3.717956	0	-2.726807	0	-7.214926	0	1.324938	0	-0.8051743	0	-0.5749256	-2.822139	2.377686	-0.3472833	2.16822	0.8139766	0.3128431	1.211895	0.9144663	-0.8281817	-0.7451872	-0.2677939	-4.324175	0.5991544	-0.1533068	-0.8083811	0.5241385	-1.551379	-1.543146	-0.8330029						
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706581	200			4	200	1	254	85	95	95	1.375204	0	-2.27865	0	-7.28935	0	-2.313229	0	-2.154583	0	-0.5074534	0	-2.597903	0	-3.270584	0	-2.714384	0	-6.418723	0	1.375204	0	-0.5074534	0	-0.7813205	-2.823674	2.384925	-0.4873418	2.09798	0.9470645	0.5535896	1.223427	0.9774935	-0.9262521	-0.5781586	-0.3477139	-4.019733	0.7553794	-0.1163763	-0.703491	0.5477265	-1.568215	-1.195606	-0.7595674						
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706614	233			5	234	1	257	87	93	93	1.548244	0	-2.19928	0	-7.915112	0	-2.448921	0	-2.47291	0	-1.000288	0	-2.715648	0	-3.626477	0	-2.621507	0	-7.254559	0	1.548244	0	-1.000288	0	-0.7790389	-2.932669	2.399741	-0.5522341	2.324988	0.8893532	0.6364108	1.33541	1.025088	-0.8599822	-0.7313017	-0.06104023	-4.301312	0.6425217	0.05990807	-0.7065306	0.6108992	-1.445878	-1.296889	-0.7746125						
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706647	266			6	267	1	261	87	93	93	1.354404	0	-1.664441	0	-7.421544	0	-2.7841	0	-2.048697	0	-0.8319373	0	-2.330541	0	-2.865693	0	-2.246822	0	-6.390587	0	1.354404	0	-0.8319373	0	-0.9056005	-2.858882	2.404305	-0.6969134	2.244168	0.9436849	1.114941	1.397507	0.9291819	-0.5565548	-0.629708	0.1901368	-3.446901	0.4067168	0.3575937	-0.2071008	0.1868168	-1.728429	-0.8323372	-0.8497469						
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706681	300			7	300	1	260	83	96	96	1.072749	0	-2.181874	0	-7.23281	0	-2.955202	0	-2.784547	0	-0.2892289	0	-3.780109	0	-4.520757	0	-3.572974	0	-7.115233	0	1.072749	0	-0.2892289	0	-1.439637	-2.791983	2.063511	-0.6567236	2.562566	1.121007	1.914041	1.843985	0.9573212	-1.179054	-0.6605708	-0.2055701	-4.381992	0.5251992	-0.2292822	-1.126274	1.019516	-1.426801	-2.226842	-0.4512214						
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706714	333			8	334	1	264	84	95	95	0.7994928	0	-1.992963	0	-7.147757	0	-2.479724	0	-2.497135	0	-0.2795462	0	-2.694967	0	-3.493884	0	-3.029608	0	-6.582194	0	0.7994928	0	-0.2795462	0	-0.9423952	-2.803117	2.417084	-0.6419639	2.341215	1.209089	1.481197	1.760561	0.7541401	-1.071018	-0.2794802	-0.05806361	-3.885634	0.6076647	0.05567978	-0.886887	0.7803022	-1.59806	-1.699003	-0.6164541						
TianlinLiu	20180411	f1f277e5d_8__utterance_90	0	MALE	recording	TestImage	Emotient FACET	20180320_151706748	367			9	367	1	266	82	95	95	0.5417436	0	-1.877064	0	-6.720121	0	-2.469296	0	-2.594436	0	-0.1686818	0	-2.566071	0	-3.0933	0	-2.976785	0	-6.17059	0	0.5417436	0	-0.1686818	0	-0.7548527	-2.689133	2.419886	-0.560944	2.18281	1.16852	1.456485	1.75589	0.6201307	-1.141353	-0.2164489	-0.1981225	-3.658805	0.6059529	0.06360818	-0.9464015	0.7908406	-1.419166	-1.835994	-0.4744745						
