#Study : TianlinLiu
#Date : 20180411 09:07:01
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:43:12.262 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312328	66			0	67	1	286	115	155	155	-0.3807309	0	-0.342021	0	-3.588876	0	0.07163688	0	-1.566037	0	1.238638	0	-0.4526983	0	-1.6175	0	-1.597261	0	-2.215962	0	-0.3807309	0	1.238638	0	-0.2028921	-0.6537781	0.06470932	-1.273694	0.1739708	-0.5182731	-0.1972977	1.131723	0.1536548	-0.4223416	0.2705079	0.7910131	-2.191186	-0.6503119	-0.1959742	-0.1200537	-1.329317	-1.252385	-0.5882483	1.28474						
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312362	100			1	100	1	296	116	148	148	-0.5554858	0	-0.9756711	0	-3.991037	0	0.2885637	0	-2.475086	0	1.573372	0	-0.7702774	0	-2.616176	0	-2.758407	0	-2.889176	0	-0.5554858	0	1.573372	0	-0.6479249	-0.8647548	-0.2651825	-1.565591	-0.2237206	-0.7790334	-0.6391257	1.281503	0.01790179	-0.9991279	0.06518376	0.6147708	-2.90784	-0.4654155	-0.4381692	-0.7690809	-0.6680326	-0.7499774	-0.9111918	0.959652						
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312395	133			2	133	1	301	115	150	150	-1.165786	0	-0.9628553	0	-4.816676	0	-0.1787411	0	-2.944856	0	2.094541	0	-1.147215	0	-3.304394	0	-3.222483	0	-3.74455	0	-1.165786	0	2.094541	0	-0.760453	-0.8772159	-0.1385673	-1.927065	-0.1211001	-0.87796	-0.2906877	1.890232	-0.1429814	-1.209703	0.3698727	1.165911	-3.742565	-0.4887336	-0.2699637	-0.8313949	-0.816658	-0.9048418	-0.956461	1.061493						
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312428	166			3	167	1	307	115	148	148	-0.8267086	0	-1.21284	0	-4.275852	0	0.2129842	0	-2.840544	0	1.799267	0	-1.081591	0	-3.210555	0	-3.291219	0	-3.335026	0	-0.8267086	0	1.799267	0	-0.7170561	-0.8627177	-0.2625813	-1.692932	-0.2509041	-0.8336712	-0.5995049	1.560232	-0.1041201	-1.157297	0.02739154	0.6312771	-3.352746	-0.4499896	-0.4641154	-0.9829584	-0.4410338	-0.6899318	-1.038875	0.8241695						
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312462	200			4	200	1	312	116	147	147	-0.2034933	0	-1.205289	0	-4.077804	0	0.187506	0	-2.062143	0	1.465204	0	-1.247679	0	-3.079906	0	-2.632769	0	-2.695523	0	-0.2034933	0	1.465204	0	-0.7570543	-0.8641081	-0.8060135	-1.765516	-0.03830036	-0.7802809	-0.8875645	0.975106	0.268026	-0.6866125	-0.2142706	0.5586001	-2.824373	-0.7660067	-0.5006385	-0.6810579	-0.9922623	-0.7896354	-0.9362093	0.9816827						
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312495	233			5	234	1	312	113	154	154	-0.1340326	0	-0.3919716	0	-3.35794	0	0.2986484	0	-1.209907	0	1.022177	0	-0.2907718	0	-1.484874	0	-1.129282	0	-1.759811	0	-0.1340326	0	1.022177	0	-0.1992227	-0.6888722	-0.1817154	-1.404817	-0.01902787	-0.5575006	-0.4783485	0.7831084	0.1942018	-0.114207	-0.1431439	0.452156	-1.979798	-0.5604569	-0.305314	-0.04801534	-1.187261	-0.9573354	-0.3799153	1.205656						
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312528	266			6	267	1	311	113	166	166	-0.4168508	0	-0.8064061	0	-3.240191	0	-0.04096964	0	-0.8936327	0	1.233948	0	-0.3547507	0	-0.6913041	0	-1.317341	0	-1.405937	0	-0.4168508	0	1.233948	0	-0.06664194	-0.6978755	0.6283031	-0.9497093	0.07064671	-0.2810243	0.3163577	1.25831	-0.08280328	-0.5535702	0.05483301	0.872487	-1.120209	0.3217693	-0.2955943	-0.2977318	-0.6407568	-1.029981	-0.6079345	1.201928						
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312562	300			7	300	1	315	114	170	170	-0.8897492	0	-0.9105374	0	-4.209598	0	-0.5341105	0	-1.679692	0	1.666339	0	-0.8258479	0	-1.344251	0	-1.946138	0	-2.5944	0	-0.8897492	0	1.666339	0	-0.188267	-0.9562472	1.149623	-0.9400242	0.2718616	-0.04878503	0.9729056	1.428688	-0.1868414	-0.8741289	0.3016703	0.8591763	-1.211681	0.5402945	-0.3287978	-0.4761371	-0.4187903	-1.063293	-0.7463995	0.7495609						
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312595	333			8	334	1	328	117	155	155	-0.6742545	0	-0.5349009	0	-2.684451	0	0.2829711	0	-1.845246	0	1.272896	0	-0.8722709	0	-1.861523	0	-1.636243	0	-2.307687	0	-0.6742545	0	1.272896	0	-0.2623939	-0.6825739	0.2521156	-0.9622297	-0.406957	-0.4635037	-0.3701907	0.9108842	-0.4124626	-0.8483856	-0.3296195	0.235655	-1.500683	-0.1462444	-0.5733218	-0.8798659	-0.2345056	-0.3558704	-0.238661	1.520041						
TianlinLiu	20180411	4ce6dec16_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_144312629	367			9	367	1	318	115	181	181	-0.6193234	0	-0.3902735	0	-3.445435	0	-0.6430078	0	-0.8894137	0	1.324474	0	-0.522724	0	-0.6946476	0	-0.7511879	0	-1.462341	0	-0.6193234	0	1.324474	0	-0.2550447	-0.9809	0.2210457	-1.18705	0.360236	-0.2033513	0.3660953	1.029055	0.01705173	-0.2907512	0.7493899	0.8306967	-1.036389	0.1262302	0.1171805	0.200866	-0.7289235	-1.073242	-0.6744481	-0.03419334						
