#Study : TianlinLiuValidation
#Date : 20180411 09:26:29
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:21:39.700 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232139766	66			0	67	1	486	139	267	267	-2.685888	0	-2.583965	0	-0.2874017	0	-1.077914	0	-0.06354283	0	-4.318823	0	-1.241491	0	-1.152127	0	-1.888561	0	1.703488	0	-2.685888	0	-0.06354283	0	-0.5671477	-0.3929476	-0.9698485	0.2169446	-2.577194	-1.24653	-4.783626	-2.118841	-1.155984	-0.2674292	-1.389657	-0.7436227	1.12342	-0.7404636	-0.6422661	-0.3712121	-0.3440811	0.5130419	-2.724719	-3.239485						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232139800	100			1	100	1	486	139	266	266	-2.519619	0	-2.540859	0	-0.262069	0	-0.9593488	0	-0.0194014	0	-4.246799	0	-1.258573	0	-1.152755	0	-1.853504	0	1.656662	0	-2.519619	0	-0.0194014	0	-0.4912841	-0.330512	-0.9289697	0.2745282	-2.508397	-1.224387	-4.741399	-2.085216	-1.084797	-0.2305883	-1.432353	-0.7390485	1.037185	-0.7826309	-0.6915225	-0.3621841	-0.3486818	0.503109	-2.634674	-3.249073						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232139833	133			2	133	1	487	141	262	262	-2.423579	0	-2.838806	0	-0.02296546	0	-0.9398857	0	-0.01990774	0	-4.41087	0	-1.458232	0	-1.630751	0	-2.127972	0	1.695942	0	-2.423579	0	-0.01990774	0	-0.4230399	-0.2524233	-1.036087	0.2091832	-2.601898	-1.327037	-4.93233	-2.056134	-1.066637	-0.1471162	-1.508361	-0.6532282	1.00783	-0.7557595	-0.6692211	-0.4101279	-0.2831976	0.6514409	-2.464218	-3.452601						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232139866	166			3	167	1	485	140	265	265	-2.456984	0	-2.606303	0	-0.180172	0	-0.9367347	0	-0.08872871	0	-4.087414	0	-1.197764	0	-1.035947	0	-1.912783	0	1.653776	0	-2.456984	0	-0.08872871	0	-0.4188457	-0.2809895	-0.8632953	0.3323242	-2.382231	-1.215921	-4.668065	-1.909011	-1.080419	-0.2589737	-1.448539	-0.8291066	0.9454893	-0.7499933	-0.790913	-0.4795792	-0.2552263	0.5131502	-2.782181	-3.063104						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232139900	200			4	200	1	486	141	265	265	-2.745051	0	-2.70883	0	-0.2551998	0	-1.142031	0	-0.154107	0	-4.286263	0	-1.354283	0	-1.174504	0	-1.974029	0	1.769888	0	-2.745051	0	-0.154107	0	-0.4710422	-0.3313357	-0.9231679	0.216203	-2.510808	-1.257044	-4.815945	-2.029026	-1.167636	-0.3186513	-1.495084	-0.8411077	0.94485	-0.7359192	-0.7781467	-0.5319621	-0.2366538	0.554337	-2.822637	-3.281797						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232139933	233			5	234	1	488	143	261	261	-2.779044	0	-2.666027	0	0.06017081	0	-0.9262327	0	-0.1703873	0	-4.375163	0	-1.471888	0	-1.551176	0	-2.117907	0	1.670134	0	-2.779044	0	-0.1703873	0	-0.4115698	-0.2270302	-0.9669796	0.2567127	-2.539577	-1.273872	-4.78819	-2.010845	-1.095745	-0.2444949	-1.596162	-0.5879731	1.077434	-0.7046478	-0.6010492	-0.4930728	-0.1711568	0.7619138	-2.612031	-3.414612						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232139966	266			6	267	1	487	143	265	265	-2.733926	0	-2.4319	0	-0.3140391	0	-0.9360325	0	-0.1274622	0	-4.244386	0	-1.135609	0	-0.9520059	0	-1.787322	0	1.628094	0	-2.733926	0	-0.1274622	0	-0.4972942	-0.4015272	-0.8260394	0.3232124	-2.501568	-1.238285	-4.72618	-2.039119	-1.099261	-0.1952251	-1.391525	-0.6912268	1.07625	-0.7196884	-0.6286097	-0.3552266	-0.415816	0.4928391	-2.658263	-3.310103						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140000	300			7	300	1	488	145	262	262	-2.666728	0	-2.62009	0	-0.1097807	0	-0.9214735	0	-0.1021115	0	-4.386331	0	-1.288277	0	-1.440717	0	-1.999632	0	1.636053	0	-2.666728	0	-0.1021115	0	-0.5375973	-0.4303958	-0.8948687	0.261549	-2.617118	-1.385067	-4.790103	-2.027456	-1.106797	-0.1028303	-1.433651	-0.5250182	1.208057	-0.7463393	-0.5214318	-0.3215232	-0.4394285	0.6009539	-2.386869	-3.561139						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140033	333			8	334	1	488	145	261	261	-2.693865	0	-2.5832	0	-0.004498836	0	-0.8462687	0	-0.1047097	0	-4.520258	0	-1.452464	0	-1.574427	0	-1.993673	0	1.575921	0	-2.693865	0	-0.1047097	0	-0.4893977	-0.338358	-0.9733707	0.2738688	-2.545812	-1.27175	-4.882888	-2.116066	-1.034799	-0.1295723	-1.520286	-0.4823926	1.237533	-0.7878438	-0.4350336	-0.2837511	-0.3867724	0.6841583	-2.36072	-3.547308						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140067	367			9	367	1	489	145	259	259	-3.047057	0	-2.509838	0	0.2315895	0	-0.6708972	0	-0.3916959	0	-4.490569	0	-1.510456	0	-1.491989	0	-2.099891	0	1.637718	0	-3.047057	0	-0.3916959	0	-0.4792368	-0.3339781	-0.9373772	0.2338587	-2.509379	-1.305808	-4.746618	-2.225997	-1.217546	-0.3137255	-1.785615	-0.6398579	1.276954	-0.695691	-0.451886	-0.524102	-0.1790943	0.7989736	-2.477316	-3.19723						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140100	400			10	400	1	489	143	259	259	-4.118827	0	-2.437382	0	0.8696862	0	-0.06925752	0	-1.109353	0	-4.183684	0	-2.147783	0	-1.997346	0	-2.612192	0	0.8497688	0	-4.118827	0	-0.06925752	0	-0.3093393	-0.009872849	-0.9273834	0.01442924	-2.564316	-1.058229	-5.028542	-2.080758	-1.534516	-1.163233	-2.136966	-1.010375	0.8324121	-0.00913975	-0.9062929	-1.565936	1.239867	1.725689	-2.930214	-2.588668						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140133	433			11	434	1	486	142	263	263	-4.708986	0	-2.541581	0	1.453837	0	0.3095392	0	-2.550344	0	-3.680772	0	-3.20275	0	-2.398675	0	-3.45589	0	-0.2983495	0	-4.708986	0	0.3095392	0	-0.11932	0.3389097	-0.7647912	0.4736481	-2.68082	-0.9930741	-5.490417	-1.417403	-1.764728	-2.037607	-3.469994	-2.448286	-0.8943979	0.4290617	-1.942605	-2.948818	2.92889	2.452266	-3.991744	-2.490372						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140167	467			12	467	1	485	145	262	262	-2.673663	0	-2.846621	0	-1.249322	0	1.248452	0	-0.7411886	0	-3.08509	0	-2.054203	0	-1.618696	0	-2.02332	0	1.488086	0	-2.673663	0	1.248452	0	-0.4539036	-0.1876553	-0.8433889	0.2052187	-2.591014	-1.311793	-4.859184	-1.171214	-1.519659	-0.923158	-2.240225	-1.945605	-1.473538	0.7770614	-1.314787	-1.450599	0.9741132	0.6176645	-1.46549	-3.364791						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140200	500			13	500	1	485	148	264	264	-3.57147	0	-3.185054	0	-1.712172	0	0.5128003	0	-0.6596209	0	-3.305645	0	-1.812505	0	-1.750676	0	-2.152087	0	2.009	0	-3.57147	0	0.5128003	0	-0.6145067	-0.3211471	-1.146345	0.02747719	-2.756041	-1.378435	-4.542449	-1.243254	-1.931791	-0.8325983	-1.656864	-1.507678	-1.245788	0.4502859	-0.9362854	-1.106442	0.5644587	0.4505208	-1.405229	-3.41773						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140233	533			14	534	1	493	154	255	255	-4.289678	0	-4.315008	0	-1.795231	0	0.2902348	0	-0.8674921	0	-4.060637	0	-2.000051	0	-2.168342	0	-2.824474	0	2.370955	0	-4.289678	0	0.2902348	0	-0.4892257	-0.3027133	-1.252757	-0.3197673	-3.284768	-1.546971	-5.64974	-1.407589	-2.220245	-0.9893826	-1.952945	-1.79852	-1.310462	0.3668179	-1.149309	-1.471742	0.857569	0.567481	-1.835218	-3.186551						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140267	567			15	567	1	496	152	255	255	-4.243678	0	-4.492546	0	-1.352188	0	0.1125886	0	-1.046484	0	-4.080904	0	-2.049355	0	-2.368228	0	-3.121837	0	2.462598	0	-4.243678	0	0.1125886	0	-0.4848083	-0.3345529	-1.259409	-0.1990991	-3.39958	-1.566496	-5.851731	-1.421413	-2.300816	-1.128136	-2.108858	-1.892666	-1.30843	0.2889585	-1.215303	-1.631808	0.9226079	0.6178182	-1.984193	-3.032713						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140300	600			16	601	1	497	148	256	256	-4.251305	0	-4.515425	0	-0.9135933	0	-0.4026192	0	-0.6945046	0	-4.261384	0	-1.669518	0	-2.250031	0	-3.021243	0	2.33529	0	-4.251305	0	-0.4026192	0	-0.2739351	-0.2226072	-1.148119	-0.3276411	-3.450771	-1.671454	-5.64872	-1.701955	-2.30986	-0.9929001	-2.140727	-1.763698	-0.8531258	-0.09756235	-1.199454	-1.478567	0.7162175	0.5792114	-2.013863	-2.694485						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140333	633			17	634	1	499	142	256	256	-4.163007	0	-5.054886	0	-0.222702	0	0.02608554	0	-1.281371	0	-4.303111	0	-1.705656	0	-2.544628	0	-3.571699	0	2.113373	0	-4.163007	0	0.02608554	0	0.4859001	0.4594958	-1.181241	-0.05616793	-3.436744	-1.624684	-6.414214	-1.669006	-2.377167	-1.327941	-2.59202	-2.130938	-1.100493	-0.3098365	-1.341337	-1.868089	1.145994	0.5990738	-2.433437	-2.381162						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140367	667			18	667	1	502	139	253	253	-4.696367	0	-6.968128	0	1.325613	0	0.5153361	0	-1.666558	0	-5.165391	0	-1.588622	0	-3.844765	0	-5.456089	0	0.5567603	0	-4.696367	0	0.5153361	0	2.765157	2.373124	-0.6781959	0.4655608	-3.507657	-1.768972	-8.363519	-2.068707	-1.972812	-1.778712	-3.608399	-2.826811	-0.8786437	-0.6359839	-2.490314	-2.561013	2.236031	1.043334	-3.43537	-2.01944						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140400	700			19	701	1	504	137	252	252	-6.98771	0	-7.534115	0	3.985007	0	-0.6092111	0	-4.607918	0	-6.635311	0	-3.794988	0	-6.063612	0	-7.933228	0	-3.878155	0	-6.98771	0	-0.6092111	0	4.129558	3.5039	-0.4333479	0.677807	-3.649456	-1.87859	-9.853916	-2.869089	-2.136771	-3.152341	-4.326415	-3.520088	-1.455744	-0.4540472	-3.393249	-4.319732	4.895842	3.615922	-5.690831	-0.5656868						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140434	734			20	734	1	504	137	253	253	-7.042761	0	-7.685027	0	2.922179	0	-0.08117376	0	-3.193324	0	-6.512007	0	-2.428557	0	-4.905606	0	-7.243567	0	-1.698225	0	-7.042761	0	-0.08117376	0	4.258229	3.490997	-0.2414318	0.6047541	-3.579742	-1.817124	-9.390735	-2.927626	-1.941974	-2.428582	-4.129663	-3.022321	-0.9359255	-0.449535	-3.366181	-3.615566	3.26293	2.175374	-4.8539	-1.535167						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140467	767			21	767	1	503	141	252	252	-5.727644	0	-7.524406	0	0.4882437	0	0.1259674	0	-1.350222	0	-6.61701	0	-1.0723	0	-3.823672	0	-5.939247	0	0.4434848	0	-5.727644	0	0.1259674	0	3.983361	3.08269	-0.4030447	0.2278638	-3.376441	-1.838189	-8.977012	-3.267062	-1.542894	-1.270562	-2.927812	-2.155097	-0.5180748	-0.9433419	-2.583583	-1.805873	0.3545181	-0.2457656	-3.270809	-2.914682						
TianlinLiuValidation	20180411	179b7f51a_1___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232140500	800			22	801	1	502	143	256	256	-6.066716	0	-6.967546	0	1.248306	0	0.5918836	0	-1.831524	0	-6.319324	0	-1.477693	0	-3.821356	0	-5.561793	0	-0.2978629	0	-6.066716	0	0.5918836	0	3.838379	3.000626	-0.2519872	0.35801	-3.261923	-1.624348	-8.89301	-3.053049	-1.47244	-1.489902	-2.973558	-1.984519	-0.1249759	-0.8002743	-2.372848	-1.784319	1.276798	0.5452481	-3.155884	-2.254931						
