#Study : TianlinLiu
#Date : 20180411 09:03:02
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:18:40.869 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151840935	66			0	67	1	437	165	276	276	-2.501958	0	-1.818072	0	2.170611	0	-0.3800263	0	-2.207331	0	-0.6534901	0	-1.351031	0	-1.66315	0	-2.722423	0	-1.525829	0	-2.501958	0	-0.3800263	0	1.572669	1.439803	-0.08720362	0.08027708	-0.8850706	-0.9170235	-2.03929	-0.3273802	-0.9023713	-1.544867	-0.7896655	-1.221957	-0.3307512	-0.3985156	-1.332908	-1.496881	1.050061	0.7944475	-3.340763	2.180187						
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151840969	100			1	100	1	439	166	268	268	-2.78968	0	-1.882711	0	2.052721	0	-0.4807344	0	-2.505516	0	-0.7805302	0	-1.785288	0	-1.902135	0	-2.897066	0	-1.950409	0	-2.78968	0	-0.4807344	0	1.673334	1.635725	-0.1726754	0.07187726	-0.9877523	-0.9957711	-2.291722	-0.2844378	-0.924127	-1.598679	-0.7169397	-1.347889	-0.297612	-0.3860562	-1.257051	-1.685315	1.274297	1.044004	-3.188184	2.143566						
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151841002	133			2	133	1	435	164	272	272	-2.626338	0	-1.891798	0	2.106493	0	-0.4891359	0	-2.317792	0	-0.7792693	0	-1.615883	0	-1.811547	0	-2.812105	0	-1.800667	0	-2.626338	0	-0.4891359	0	1.656695	1.580277	-0.1439183	0.06362931	-0.9446504	-1.0395	-2.261549	-0.3385781	-0.8830156	-1.546999	-0.7662098	-1.343432	-0.3405549	-0.4073029	-1.331146	-1.58779	1.241636	0.9949647	-3.330251	2.075187						
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151841035	166			3	167	1	429	161	272	272	-2.352367	0	-1.992798	0	2.060722	0	-0.7025883	0	-2.124821	0	-0.8620927	0	-1.827134	0	-1.848356	0	-2.745043	0	-1.961437	0	-2.352367	0	-0.7025883	0	1.726184	1.595906	-0.1730248	-0.09372745	-1.014825	-1.190845	-2.281346	-0.3260212	-0.7390247	-1.324373	-0.7871631	-1.340413	-0.2294589	-0.4307739	-1.362516	-1.43567	1.113113	0.9456184	-3.099274	2.159523						
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151841068	199			4	200	1	432	163	261	261	-2.021821	0	-1.639267	0	1.710085	0	-0.3584679	0	-1.951427	0	-1.112809	0	-1.589292	0	-1.321851	0	-2.072756	0	-1.541225	0	-2.021821	0	-0.3584679	0	1.21132	0.9952155	-0.2796186	-0.2139267	-1.097777	-1.042439	-1.949514	-0.4191771	-0.7610785	-0.9020984	-0.9012079	-1.09688	-0.3326609	0.06340165	-0.8619972	-1.241764	0.9878968	1.015395	-2.029448	1.874048						
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151841102	233			5	233	1	431	161	265	265	-1.110522	0	-1.451838	0	1.389363	0	-0.0415677	0	-0.8890953	0	-0.6951121	0	-0.8450198	0	-0.919425	0	-1.517533	0	-0.6620324	0	-1.110522	0	-0.0415677	0	1.312739	1.15667	-0.3194636	-0.3135784	-0.8237047	-1.056037	-1.874856	-0.2830625	-0.4357483	-0.6284103	-0.6639468	-0.7338238	-0.05770153	-0.1808054	-0.9695674	-0.8685797	0.4141266	0.4290136	-1.681328	1.865326						
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151841135	266			6	267	1	429	158	274	274	-0.760573	0	-1.229367	0	1.083513	0	0.1375871	0	-0.3424162	0	-0.3052688	0	-0.2804064	0	-0.5582706	0	-1.137632	0	-0.02279816	0	-0.760573	0	0.1375871	0	1.442533	1.273221	-0.2174156	-0.3580151	-0.6721126	-1.010023	-1.670278	-0.08917307	-0.383418	-0.4126579	-0.1123811	-0.1366015	0.1684654	-0.2640583	-1.01772	-0.5324926	-0.1673749	-0.0535086	-1.218985	1.885381						
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151841168	299			7	300	1	430	157	275	275	-1.046411	0	-1.139067	0	1.039383	0	0.2639354	0	-0.4639551	0	-0.2111294	0	-0.08840201	0	-0.4265885	0	-1.082474	0	0.1116037	0	-1.046411	0	0.2639354	0	1.302202	1.11552	-0.1197412	-0.3644356	-0.6291615	-0.9591559	-1.598503	-0.00911083	-0.4540599	-0.5066734	-0.1019094	-0.1397314	0.1471923	-0.09090515	-0.9433824	-0.552087	-0.1875098	-0.1225313	-1.299469	1.94006						
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151841202	333			8	333	1	429	155	270	270	-0.7621875	0	-1.161845	0	0.6876476	0	0.4173691	0	-0.4482446	0	-0.3745184	0	-0.2160479	0	-0.3907021	0	-0.8751858	0	0.2225001	0	-0.7621875	0	0.4173691	0	1.240328	1.076846	-0.1512499	-0.340353	-0.5514756	-0.9495919	-1.707897	-0.09548844	-0.4394983	-0.3853866	-0.182293	-0.1151168	0.1287647	0.05129568	-0.8031943	-0.5058697	-0.2517181	-0.2228867	-0.8586283	1.695708						
TianlinLiu	20180411	f8da01d25_2__utterance_50	0	MALE	recording	TestImage	Emotient FACET	20180320_151841235	366			9	367	1	433	160	257	257	-1.172832	0	-1.015028	0	0.9062067	0	0.2537562	0	-0.6912212	0	-0.6394353	0	-0.3859477	0	-0.4675627	0	-0.7432706	0	-0.04443965	0	-1.172832	0	0.2537562	0	1.043289	0.9678704	-0.2656206	-0.4100804	-0.7967316	-0.9966802	-1.973001	-0.332326	-0.6058593	-0.6009529	-0.5372779	-0.2297745	-0.00459402	-0.1659395	-0.6269376	-0.5798417	-0.1308948	0.06017467	-0.8537754	1.625477						
