#Study : TianlinLiuValidation
#Date : 20180411 09:26:22
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:22:50.070 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250136	66			0	67	1	488	126	309	309	3.852593	0	-5.234114	0	-5.629063	0	-3.061187	0	-0.7079964	0	-3.722015	0	-4.041619	0	-5.645238	0	-4.352911	0	-4.732507	0	3.852593	0	-0.7079964	0	-0.936435	-0.7028076	-1.632343	-1.053806	1.191434	-0.1270033	-3.084942	-0.6812853	2.43946	0.2416462	-0.9649625	0.110171	-3.126453	-0.4390456	-0.3690183	0.294374	-1.235488	-0.8960683	-1.174743	-1.656097						
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250170	100			1	100	1	488	126	309	309	3.848993	0	-5.231444	0	-5.619066	0	-3.047725	0	-0.7067716	0	-3.724216	0	-4.036432	0	-5.645156	0	-4.352621	0	-4.730212	0	3.848993	0	-0.7067716	0	-0.9330074	-0.6996389	-1.631459	-1.045198	1.187263	-0.1303719	-3.089218	-0.6823034	2.436538	0.242218	-0.9627275	0.1129094	-3.122583	-0.4408604	-0.3673474	0.2965692	-1.239322	-0.8983426	-1.174556	-1.658234						
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250203	133			2	133	1	501	129	306	306	4.512204	0	-5.340181	0	-5.829573	0	-2.933347	0	-1.763071	0	-3.974557	0	-4.373794	0	-6.058636	0	-4.586841	0	-5.1034	0	4.512204	0	-1.763071	0	-0.9150021	-0.6737033	-1.703569	-1.096302	1.26499	-0.1168822	-3.265866	-0.7278207	2.675289	0.07266715	-1.097111	0.0625054	-3.739413	-0.5456715	-0.523613	0.1695342	-1.231292	-0.9654659	-1.064118	-1.904346						
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250236	166			3	167	1	506	129	307	307	4.611468	0	-5.365626	0	-5.9254	0	-2.828518	0	-1.994451	0	-4.043895	0	-4.496505	0	-6.224218	0	-4.66289	0	-5.281828	0	4.611468	0	-1.994451	0	-0.9324374	-0.6923108	-1.729212	-1.080062	1.242511	-0.1523507	-3.274987	-0.7221253	2.72235	0.04325975	-1.158801	0.04292551	-3.900633	-0.5226006	-0.5523274	0.1294213	-1.198473	-0.9812384	-1.035933	-1.988031						
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250269	199			4	200	1	511	132	302	302	4.728607	0	-5.731921	0	-6.071994	0	-3.183084	0	-1.879106	0	-4.199688	0	-4.810458	0	-6.47892	0	-5.001897	0	-5.567857	0	4.728607	0	-1.879106	0	-0.9247073	-0.6647487	-1.79245	-1.158975	1.434908	0.004399835	-3.313939	-0.723098	2.796218	0.05818008	-1.149348	-0.07177538	-4.123165	-0.4387142	-0.5803968	0.05932806	-1.037448	-0.8147994	-1.1145	-2.220664						
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250303	233			5	233	1	513	132	305	305	4.90821	0	-5.816779	0	-6.323664	0	-2.976902	0	-2.42937	0	-4.304586	0	-5.02873	0	-6.873606	0	-5.293221	0	-6.141971	0	4.90821	0	-2.42937	0	-0.9245882	-0.6651804	-1.796276	-1.160327	1.466585	-0.02143732	-3.32763	-0.6829917	2.993362	-0.006832481	-1.192023	-0.0732267	-4.477092	-0.4498156	-0.6084172	0.02443746	-1.018195	-0.9073353	-1.137577	-2.208333						
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250336	266			6	267	1	514	132	307	307	4.941679	0	-6.002027	0	-6.318228	0	-2.861447	0	-2.566925	0	-4.387955	0	-5.29044	0	-7.17972	0	-5.63856	0	-6.405627	0	4.941679	0	-2.566925	0	-0.9277062	-0.6089073	-1.84266	-1.018052	1.492662	-0.04696377	-3.328631	-0.651025	3.075528	-0.1150785	-1.212817	-0.1123358	-4.699503	-0.3911829	-0.707913	-0.09372237	-0.9135973	-0.8969131	-1.229279	-2.244696						
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250369	299			7	300	1	518	133	305	305	5.259573	0	-6.431963	0	-6.527127	0	-3.186477	0	-2.943949	0	-4.783556	0	-5.826395	0	-7.620898	0	-6.149212	0	-6.863411	0	5.259573	0	-2.943949	0	-0.947859	-0.6417827	-1.875762	-1.113351	1.739356	0.05099827	-3.339448	-0.5522967	3.21059	-0.14708	-1.227716	-0.3340014	-5.174561	-0.2229613	-0.7335898	-0.3207657	-0.4713363	-0.6571375	-1.303244	-2.592275						
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250403	333			8	333	1	519	131	305	305	5.355761	0	-6.498552	0	-5.713786	0	-2.913464	0	-3.853291	0	-4.458318	0	-5.997	0	-7.705107	0	-6.63849	0	-6.561477	0	5.355761	0	-2.913464	0	-0.8205176	-0.5077761	-1.647815	-1.033376	1.779821	0.04293944	-3.00492	-0.3805012	3.033236	-0.4607086	-1.212576	-0.5923439	-5.669215	0.1073625	-0.7179453	-0.9554974	0.3878078	-0.2959438	-1.09065	-2.470524						
TianlinLiuValidation	20180411	254dc802d_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232250436	366			9	367	1	519	131	306	306	5.672726	0	-6.889295	0	-5.801493	0	-3.009354	0	-5.030681	0	-4.784132	0	-6.563657	0	-8.598884	0	-7.332736	0	-7.624086	0	5.672726	0	-3.009354	0	-0.8297724	-0.5120381	-1.745378	-1.239184	1.743487	-0.04438089	-2.82133	-0.4752416	3.065315	-0.4620402	-1.224544	-0.4241365	-6.669394	0.2324198	-0.8330629	-1.20518	0.6062351	-0.03884773	-0.8834637	-2.610832						
