#Study : TianlinLiu
#Date : 20180411 09:02:55
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:19:49.988 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950054	66			0	67	1	599	160	210	210	-1.694165	0	-2.781575	0	0.8128898	0	0.9962265	0	-1.244283	0	-3.114667	0	-2.783575	0	-3.32581	0	-3.590341	0	-1.367355	0	-1.694165	0	0.9962265	0	1.188545	1.47855	-0.9814205	1.766357	-1.267527	-0.6125767	-4.884559	-0.9590174	-0.3787862	-0.4268097	-0.2447923	-0.2497158	-0.5218964	-0.7711983	0.02250803	-0.317585	-0.4231217	0.1930932	-1.467663	-2.542016						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950088	100			1	100	1	598	160	210	210	-2.414524	0	-3.47456	0	1.407615	0	0.6978818	0	-1.704954	0	-3.863396	0	-3.417453	0	-4.24084	0	-4.4908	0	-1.989473	0	-2.414524	0	0.6978818	0	1.485821	1.819877	-1.219716	1.859392	-1.450466	-0.6883661	-5.405269	-1.262067	-0.5588425	-0.544834	-0.3890302	-0.2557419	-0.4019166	-1.074361	-0.07340945	-0.5176404	-0.2029019	0.6186197	-2.015834	-2.501861						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950121	133			2	133	1	597	156	210	210	-3.272871	0	-3.171691	0	1.203588	0	0.3935216	0	-1.126916	0	-4.223748	0	-2.91082	0	-3.896052	0	-4.000087	0	-1.39423	0	-3.272871	0	0.3935216	0	1.27596	1.566126	-1.134776	1.789419	-1.630642	-0.792224	-5.23484	-1.755678	-0.9251426	-0.4479155	-0.4574881	0.07251219	0.1561429	-1.383757	0.209061	-0.1646285	-0.715261	0.4678418	-1.922307	-2.771082						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950154	166			3	167	1	598	154	208	208	-3.481483	0	-3.543058	0	1.379337	0	0.2857202	0	-1.01016	0	-4.5909	0	-3.027611	0	-4.171291	0	-4.169998	0	-1.475093	0	-3.481483	0	0.2857202	0	1.598933	1.9366	-1.193056	1.718741	-1.691909	-0.9853274	-5.610156	-1.998453	-1.005246	-0.3215127	-0.5265126	0.1431619	0.08819466	-1.716121	0.2209002	-0.05861344	-0.891158	0.4711101	-1.995223	-2.777795						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950187	199			4	200	1	598	151	210	210	-2.626369	0	-3.154034	0	1.607411	0	-0.06283721	0	-0.7214795	0	-3.794228	0	-2.44278	0	-3.526449	0	-3.549219	0	-1.042601	0	-2.626369	0	-0.06283721	0	1.387424	1.641383	-1.050447	1.353273	-1.505354	-0.9567977	-5.052401	-1.72495	-0.8442186	-0.2177791	-0.5426315	0.1261036	0.4810794	-1.737052	0.2436275	0.001522216	-0.7458113	0.4780869	-1.80303	-2.523559						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950221	233			5	233	1	600	155	207	207	-3.329313	0	-3.165985	0	1.94257	0	0.03250654	0	-1.371321	0	-3.573583	0	-3.202661	0	-3.983354	0	-4.064863	0	-1.838718	0	-3.329313	0	0.03250654	0	1.454098	1.887838	-1.167889	1.858447	-1.784445	-1.029266	-4.819001	-1.426351	-0.9952333	-0.4653278	-0.6211027	0.1809331	0.0117205	-1.656648	0.1200259	-0.4469645	-0.3356484	0.7914123	-1.885382	-2.476365						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950254	266			6	267	1	598	161	211	211	-3.591767	0	-1.881907	0	1.550138	0	0.3418457	0	-1.490428	0	-2.931287	0	-2.274096	0	-2.378595	0	-2.88929	0	-1.273759	0	-3.591767	0	0.3418457	0	0.3970205	0.797114	-0.6504222	1.558915	-1.68796	-1.073829	-3.399015	-1.049507	-0.9895878	-0.6899893	-0.615506	-0.2427808	0.4252866	-0.9585088	0.06713669	-0.4650902	-0.1532576	0.8158704	-1.203946	-1.619457						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950287	299			7	300	1	601	170	206	206	-3.862867	0	-1.865952	0	1.430185	0	0.3149635	0	-1.718371	0	-3.017199	0	-2.385945	0	-2.379793	0	-2.851445	0	-1.244638	0	-3.862867	0	0.3149635	0	0.3023689	0.8263355	-0.6153991	1.686675	-1.830012	-0.9652878	-3.667185	-1.301769	-1.053047	-0.9214395	-0.6460712	-0.4278229	0.3808957	-0.8468466	-0.09733263	-0.6547365	-0.05424742	0.8719261	-1.374244	-1.77838						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950321	333			8	333	1	601	171	210	210	-3.107474	0	-0.9056581	0	0.5053305	0	0.2460568	0	-0.8757655	0	-2.153721	0	-1.367774	0	-0.8151582	0	-1.371895	0	-0.04032874	0	-3.107474	0	0.2460568	0	-0.4766984	0.04409798	-0.299468	1.093692	-1.417161	-0.9346598	-2.773187	-1.135695	-0.8336079	-0.5628052	-0.6764354	-0.4832343	0.6192057	-0.6497138	-0.09277739	-0.3226868	-0.5513828	0.2905603	-0.7383106	-1.758963						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950354	366			9	367	1	604	171	206	206	-3.506311	0	-0.6057245	0	0.2985609	0	0.455417	0	-0.9270337	0	-2.367348	0	-1.412625	0	-0.7522193	0	-1.351243	0	-0.1668959	0	-3.506311	0	0.455417	0	-0.4786046	0.0496383	-0.101226	1.315174	-1.386819	-0.829101	-2.675725	-1.191473	-0.8787972	-0.6126509	-0.5332914	-0.4381705	0.4096123	-0.6590735	-0.06416526	-0.2705421	-0.6688471	0.1675135	-0.9169091	-2.018564						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950387	399			10	400	1	605	169	204	204	-3.043856	0	-0.6883203	0	0.1209963	0	0.3395878	0	-0.6751556	0	-2.538127	0	-1.206348	0	-0.6969372	0	-1.077037	0	0.1420562	0	-3.043856	0	0.3395878	0	-0.517099	0.008985046	-0.1911446	1.202612	-1.541534	-0.9866455	-3.038267	-1.361284	-0.8897477	-0.5323438	-0.5090554	-0.4362437	0.4450845	-0.6861331	-0.08045855	-0.1226477	-0.8465549	0.04853791	-0.6351662	-2.189954						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950421	433			11	433	1	607	167	203	203	-2.865166	0	-0.7358061	0	0.08862022	0	0.7108414	0	-0.9764943	0	-2.403727	0	-1.523192	0	-0.967708	0	-1.471785	0	-0.3364585	0	-2.865166	0	0.7108414	0	-0.3885368	0.07247955	-0.02667598	1.358105	-1.165489	-0.8146665	-2.527409	-0.8678996	-0.7512217	-0.5990155	-0.4020239	-0.4122769	0.1843119	-0.4668261	-0.1041351	-0.2114868	-0.6180214	0.1435076	-0.8265882	-1.927614						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950454	466			12	467	1	606	165	203	203	-2.371463	0	-0.8448985	0	0.1535167	0	0.3174765	0	-0.7628884	0	-2.171196	0	-1.238244	0	-0.7761233	0	-1.120767	0	0.06053892	0	-2.371463	0	0.3174765	0	-0.4605125	-0.005177012	-0.1865088	0.9706346	-1.263921	-0.8904312	-2.765692	-0.863515	-0.6890357	-0.5503777	-0.3911503	-0.4413721	0.463358	-0.5094342	-0.148846	-0.1883762	-0.5933765	0.1168439	-0.7871873	-1.854631						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950488	500			13	500	1	607	165	202	202	-2.130639	0	-0.8003926	0	0.1089158	0	0.2120164	0	-0.8262276	0	-1.857122	0	-1.139488	0	-0.6134629	0	-1.035011	0	-0.0193814	0	-2.130639	0	0.2120164	0	-0.4465366	-0.02804177	-0.1454777	0.7465831	-1.062759	-0.8415273	-2.486598	-0.6153958	-0.5834574	-0.5952461	-0.3146699	-0.4447186	0.41818	-0.4988692	-0.114761	-0.2420503	-0.5002368	0.119507	-0.9214248	-1.748641						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950521	533			14	533	1	606	164	204	204	-2.006108	0	-0.6895436	0	0.110309	0	0.2150887	0	-0.7489718	0	-1.707091	0	-0.9874264	0	-0.3817776	0	-0.8548446	0	0.08239455	0	-2.006108	0	0.2150887	0	-0.554378	-0.1098128	-0.1481542	0.6654589	-1.159178	-0.8153422	-2.648486	-0.7128573	-0.4765242	-0.5738458	-0.3783129	-0.4999748	0.5470433	-0.6697333	-0.1619284	-0.1914616	-0.6829762	-0.07458319	-0.9070839	-1.888753						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950554	566			15	567	1	609	166	199	199	-2.032101	0	-0.7013611	0	-0.1409954	0	0.395108	0	-0.8141204	0	-1.675618	0	-1.01396	0	-0.3447224	0	-0.9755733	0	-0.1964507	0	-2.032101	0	0.395108	0	-0.454036	-0.05488205	0.0126787	0.6093131	-0.8107499	-0.7526285	-2.046688	-0.5038489	-0.4752247	-0.555529	-0.2567455	-0.5481032	0.2626292	-0.5144955	-0.1098032	-0.2111702	-0.4838423	0.04848784	-0.9222304	-1.239331						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950587	599			16	600	1	610	165	199	199	-2.210652	0	-0.6790052	0	-0.08307452	0	0.3786842	0	-0.8590604	0	-1.96642	0	-1.167942	0	-0.3963439	0	-0.8955355	0	-0.1908978	0	-2.210652	0	0.3786842	0	-0.5341068	-0.09177898	-0.09551109	0.7719756	-1.103782	-0.8665484	-2.517937	-0.7523395	-0.5773507	-0.5935404	-0.3263748	-0.5940838	0.2064178	-0.5079761	-0.2526495	-0.2394086	-0.5511001	0.03563806	-0.9370328	-1.642033						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950621	633			17	633	1	610	162	202	202	-1.851324	0	-0.6619428	0	-0.02382657	0	0.2125845	0	-0.5419894	0	-1.748244	0	-0.9997808	0	-0.1694797	0	-0.6564103	0	0.1599758	0	-1.851324	0	0.2125845	0	-0.6882141	-0.2658663	-0.1798479	0.4738722	-1.141606	-0.9912951	-2.611359	-0.7798251	-0.4760077	-0.5032097	-0.4694605	-0.5373764	0.4077947	-0.6385335	-0.158099	-0.1742284	-0.6798026	-0.05850729	-0.7663657	-1.959854						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950654	666			18	667	1	612	162	199	199	-1.73722	0	-0.877636	0	0.009913697	0	0.3708618	0	-0.8355449	0	-1.700273	0	-1.119924	0	-0.6574578	0	-1.088318	0	-0.2822904	0	-1.73722	0	0.3708618	0	-0.3229893	0.1285489	-0.1343776	0.7628732	-0.8092234	-0.7178334	-2.248448	-0.5328477	-0.4613881	-0.6219727	-0.2812332	-0.5173586	0.3542812	-0.6833979	-0.1987713	-0.2708118	-0.4669656	0.1534852	-1.006081	-1.362846						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950687	699			19	700	1	614	159	198	198	-2.139582	0	-0.9799595	0	0.01273584	0	0.5695357	0	-1.012411	0	-1.931403	0	-1.39787	0	-0.9015924	0	-1.351801	0	-0.4311711	0	-2.139582	0	0.5695357	0	-0.2838785	0.1153241	-0.1474876	0.8039089	-0.8686877	-0.7848719	-2.356509	-0.5669196	-0.5662563	-0.7692662	-0.4295537	-0.5744705	0.1012647	-0.592284	-0.1922611	-0.3835821	-0.3741667	0.2213729	-1.213056	-1.614746						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950721	733			20	733	1	615	158	198	198	-2.275226	0	-1.22418	0	0.2004159	0	0.6249603	0	-1.191294	0	-2.091148	0	-1.692402	0	-1.288487	0	-1.694829	0	-0.6450755	0	-2.275226	0	0.6249603	0	-0.2140084	0.209685	-0.2431824	0.9611041	-0.9419428	-0.8491619	-2.530918	-0.5960985	-0.6409737	-0.8367923	-0.4688435	-0.5840485	0.01248556	-0.5820057	-0.2841719	-0.4994869	-0.2649094	0.3844737	-1.372026	-1.624695						
TianlinLiu	20180411	faf0175a4_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_151950754	766			21	767	1	617	158	192	192	-2.530134	0	-1.70008	0	0.3943762	0	0.5969206	0	-0.9614956	0	-3.114072	0	-1.673881	0	-1.589044	0	-1.859429	0	-0.553977	0	-2.530134	0	0.5969206	0	0.03068314	0.5147105	-0.4210617	1.153521	-1.377329	-1.077989	-3.324049	-1.194479	-0.8743026	-0.7325442	-0.3401151	-0.5220977	0.01392237	-0.7913954	-0.4156283	-0.4231361	-0.6094812	0.3017457	-1.176626	-1.680122						
