#Study : TianlinLiu
#Date : 20180411 09:06:53
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:44:08.506 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408572	66			0	67	1	601	176	105	105	2.497776	0	-3.65809	0	-4.140193	0	-0.8688636	0	-2.316451	0	-0.6672289	0	-2.552255	0	-3.000556	0	-3.581194	0	-2.98514	0	2.497776	0	-0.6672289	0	-0.6259688	-0.3971715	-0.117364	-1.589779	1.082844	-0.281435	-1.000948	1.115674	1.716492	-0.6417769	-0.162633	-1.788329	-4.548027	0.5517711	-0.220331	-0.9671781	0.6613362	-0.9715171	-1.670976	-0.8369994						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408606	100			1	100	1	601	176	105	105	2.497776	0	-3.65809	0	-4.140193	0	-0.8688636	0	-2.316451	0	-0.6672289	0	-2.552255	0	-3.000556	0	-3.581194	0	-2.98514	0	2.497776	0	-0.6672289	0	-0.6259688	-0.3971715	-0.117364	-1.589779	1.082844	-0.281435	-1.000948	1.115674	1.716492	-0.6417769	-0.162633	-1.788329	-4.548027	0.5517711	-0.220331	-0.9671781	0.6613362	-0.9715171	-1.670976	-0.8369994						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408639	133			2	133	1	599	176	106	106	2.413934	0	-3.46758	0	-3.816382	0	-0.6094625	0	-2.225989	0	-0.6448389	0	-2.298671	0	-2.906447	0	-3.490382	0	-2.927521	0	2.413934	0	-0.6094625	0	-0.4956167	-0.30773	-0.2339884	-1.526974	0.9704278	-0.3559315	-0.9710028	1.081167	1.709724	-0.4623457	-0.04872369	-1.602191	-4.329586	0.5512931	-0.1736247	-0.7377964	0.5426107	-0.9883158	-1.532098	-0.774662						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408672	166			3	167	1	597	177	106	106	2.208482	0	-3.406638	0	-3.641002	0	-0.5800893	0	-2.053974	0	-0.4011854	0	-2.087629	0	-2.662447	0	-3.31829	0	-2.592607	0	2.208482	0	-0.4011854	0	-0.5263264	-0.3616217	-0.160577	-1.579767	0.8877434	-0.4075801	-0.9092983	1.218224	1.582724	-0.4506778	0.05154453	-1.58508	-4.079445	0.5317752	-0.1750466	-0.7155574	0.4182642	-1.052295	-1.499843	-0.5931263						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408706	200			4	200	1	596	177	105	105	2.241115	0	-3.423179	0	-3.849819	0	-0.5565556	0	-2.237543	0	-0.4802123	0	-2.199084	0	-2.844143	0	-3.42816	0	-2.788386	0	2.241115	0	-0.4802123	0	-0.4999844	-0.3353099	-0.07647894	-1.542625	0.9831496	-0.3388917	-0.9630553	1.310701	1.596811	-0.5887647	0.05367837	-1.708967	-4.328513	0.5721093	-0.139153	-0.7699805	0.631023	-1.009446	-1.478592	-0.6576105						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408739	233			5	234	1	594	178	105	105	2.277384	0	-3.48254	0	-3.677073	0	-0.717114	0	-2.294598	0	-0.5248981	0	-2.237813	0	-2.797191	0	-3.414782	0	-2.714907	0	2.277384	0	-0.5248981	0	-0.5130909	-0.3136352	-0.3052912	-1.62443	0.9618626	-0.2700301	-0.9949997	1.18613	1.646141	-0.525034	0.1015831	-1.653604	-4.331333	0.4972858	-0.1647679	-0.7035267	0.4942528	-1.068094	-1.593889	-0.7870696						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408772	266			6	267	1	593	179	105	105	2.162731	0	-3.369756	0	-3.617877	0	-0.7236984	0	-2.311196	0	-0.4652183	0	-2.23098	0	-2.861918	0	-3.394258	0	-2.853973	0	2.162731	0	-0.4652183	0	-0.5453922	-0.32378	-0.2972088	-1.633821	0.9312177	-0.2753336	-0.9716254	1.230596	1.624097	-0.5409952	0.0847626	-1.599005	-4.255449	0.422468	-0.05529171	-0.6887937	0.5334066	-1.021698	-1.591507	-0.8173403						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408806	300			7	300	1	592	179	105	105	1.985457	0	-3.281646	0	-3.402514	0	-0.6326802	0	-2.224836	0	-0.3940119	0	-2.080172	0	-2.721829	0	-3.285467	0	-2.643511	0	1.985457	0	-0.3940119	0	-0.5191668	-0.3033592	-0.2899621	-1.698701	0.8543078	-0.3465981	-0.9860396	1.276542	1.539528	-0.463688	0.1206943	-1.572438	-4.167478	0.4163346	-0.04111053	-0.6192419	0.4328064	-1.026815	-1.537235	-0.6983959						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408839	333			8	334	1	592	179	104	104	1.93709	0	-3.17106	0	-3.686051	0	-0.5177526	0	-2.550109	0	-0.4794967	0	-2.091782	0	-2.98288	0	-3.450307	0	-2.998144	0	1.93709	0	-0.4794967	0	-0.4643095	-0.2936121	-0.1568934	-1.714011	0.865606	-0.3093527	-1.118004	1.383474	1.58874	-0.6254255	0.1197104	-1.609279	-4.52861	0.4992352	0.1627231	-0.7584237	0.8093447	-0.8566992	-1.468989	-0.750243						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408873	367			9	367	1	592	181	102	102	1.896566	0	-3.084153	0	-3.887986	0	-0.4726343	0	-2.700619	0	-0.5513262	0	-2.245089	0	-3.076131	0	-3.423823	0	-3.188187	0	1.896566	0	-0.4726343	0	-0.533088	-0.3492472	-0.1208386	-1.653622	0.8511139	-0.2490785	-1.422777	1.335135	1.61446	-0.7757373	-0.0972317	-1.757854	-4.719894	0.5935285	0.2130402	-1.098133	1.20085	-0.5525295	-1.693726	-0.9816875						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408906	400			10	400	1	590	180	103	103	1.169314	0	-2.708209	0	-3.096485	0	-0.3467484	0	-2.065017	0	-0.05617491	0	-1.759114	0	-2.325531	0	-3.010726	0	-2.206503	0	1.169314	0	-0.05617491	0	-0.5212498	-0.3423897	-0.1757292	-1.70135	0.5266578	-0.3891799	-1.228483	1.388829	1.264611	-0.5149637	-0.01485201	-1.59857	-3.986027	0.349758	0.2382916	-0.8388229	0.6919081	-0.8348539	-1.623379	-0.6792151						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408939	433			11	434	1	591	180	103	103	0.6684103	0	-2.510433	0	-2.895171	0	-0.1172531	0	-2.125032	0	0.1458983	0	-1.592295	0	-2.144018	0	-2.904262	0	-1.968159	0	0.6684103	0	0.1458983	0	-0.417495	-0.2964549	-0.1070736	-1.730572	0.4126662	-0.3971315	-1.448532	1.521618	1.091317	-0.6779798	-0.08052668	-1.668493	-3.996917	0.5000476	0.3112212	-1.125201	1.033945	-0.6283191	-1.85858	-0.660784						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144408973	467			12	467	1	591	180	102	102	0.09474877	0	-2.469991	0	-2.74299	0	0.03579061	0	-2.089492	0	0.3254328	0	-1.613521	0	-1.901562	0	-2.782043	0	-1.641318	0	0.09474877	0	0.3254328	0	-0.3413735	-0.2167816	-0.08864914	-1.770199	0.2433571	-0.4770915	-1.672474	1.599659	0.8367573	-0.8093304	-0.2792318	-1.920045	-3.921761	0.6456774	0.1164856	-1.37198	1.215369	-0.5391029	-2.143776	-0.5660853						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144409006	500			13	500	1	589	178	104	104	-0.2473081	0	-2.244608	0	-1.904288	0	-0.5628718	0	-1.009757	0	0.5430825	0	-1.006438	0	-1.058516	0	-2.155204	0	-0.518249	0	-0.2473081	0	0.5430825	0	-0.5291516	-0.2599902	-0.3040511	-2.052185	-0.2632077	-0.8151428	-1.358866	1.177794	0.5506778	-0.3834825	-0.375256	-1.611212	-2.720241	-0.05617743	-0.009050961	-0.9210521	-0.01520936	-0.9510595	-1.775748	-0.1553253						
TianlinLiu	20180411	5b44393ed__utterance_19	0	MALE	recording	TestImage	Emotient FACET	20180320_144409039	533			14	534	1	590	178	103	103	-0.8689678	0	-1.954554	0	-1.775209	0	-0.3753437	0	-1.296376	0	0.3726323	0	-0.9911786	0	-0.7296255	0	-2.103518	0	-0.1155025	0	-0.8689678	0	0.3726323	0	-0.5104178	-0.2029117	-0.2142674	-2.162712	-0.4070019	-0.8149855	-2.03506	1.170139	0.3701273	-0.5826737	-0.7993136	-1.940023	-2.550778	-0.09357592	-0.04521958	-1.237921	0.2161926	-0.901408	-2.500554	-0.1553541						
