#Study : TianlinLiuValidation
#Date : 20180411 09:26:21
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:23:08.876 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232308942	66			0	67	1	568	250	305	305	0.03046947	0	-3.205797	0	-1.387698	0	-0.7637612	0	-0.4087683	0	-0.5102964	0	-1.095342	0	-2.614953	0	-2.808693	0	1.131796	0	0.03046947	0	-0.4087683	0	-0.07625044	0.2596152	-2.086762	-2.301639	-0.8334057	-0.9514538	-4.306602	0.08162608	0.281103	-0.4038945	-0.5660495	-1.00276	-1.434644	-1.145176	-0.7900062	-0.5884484	-1.23204	-1.657422	-2.634638	-1.867638						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232308976	100			1	100	1	564	254	307	307	0.2968538	0	-3.133997	0	-1.497519	0	-1.18676	0	-0.2060907	0	-0.2531664	0	-1.187662	0	-2.544183	0	-2.557167	0	0.869572	0	0.2968538	0	-0.2060907	0	-0.278981	0.06539202	-1.922536	-2.264924	-0.8381059	-0.970391	-3.362505	-0.09331151	0.3535116	-0.4222192	-0.1325481	-0.6430613	-1.212233	-0.6096306	-0.5637287	-0.4214472	-0.9836751	-1.155152	-2.016719	-1.562756						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309009	133			2	133	1	561	255	309	309	0.09053756	0	-2.910275	0	-1.663445	0	-1.169351	0	-0.2322921	0	-0.07993837	0	-1.129952	0	-2.322338	0	-2.263239	0	0.8203067	0	0.09053756	0	-0.07993837	0	-0.5417285	-0.1646307	-1.877992	-2.175477	-0.9788595	-0.8829688	-3.046065	-0.1782459	0.2674123	-0.4638587	0.007233921	-0.5177269	-1.220698	-0.2668242	-0.3989329	-0.3431453	-0.9304938	-0.9173846	-1.608737	-1.616887						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309042	166			3	167	1	557	257	312	312	-0.3305934	0	-2.725155	0	-1.162279	0	-0.9913777	0	-0.3351939	0	0.1010578	0	-1.169146	0	-2.386664	0	-2.324419	0	0.7230068	0	-0.3305934	0	0.1010578	0	-0.5860294	-0.2150142	-1.815726	-2.068621	-1.183492	-1.098621	-2.860074	-0.1801326	0.05976362	-0.5027955	-0.06189721	-0.5807424	-1.29995	-0.2199865	-0.2133313	-0.4280122	-0.7912653	-0.7376894	-1.553328	-1.498492						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309075	199			4	200	1	555	258	314	314	-1.046701	0	-2.54178	0	-1.289789	0	-1.236312	0	-0.6721334	0	0.5370083	0	-1.287788	0	-2.448616	0	-2.572291	0	0.3944072	0	-1.046701	0	0.5370083	0	-0.6380581	-0.2821996	-1.602653	-2.245594	-1.184804	-1.123228	-2.481439	0.06928402	-0.2185322	-0.7024463	0.03122596	-0.628697	-1.614776	-0.2053253	-0.2348043	-0.7116051	-0.6401978	-0.760047	-1.968204	-1.167994						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309109	233			5	233	1	554	261	313	313	-1.135218	0	-2.576766	0	-1.195415	0	-1.332417	0	-0.6804768	0	0.5584063	0	-1.290674	0	-2.465978	0	-2.668143	0	0.3868792	0	-1.135218	0	0.5584063	0	-0.5449538	-0.1651407	-1.528024	-2.307053	-1.144199	-1.01387	-2.502814	0.1578492	-0.2717912	-0.8121536	0.06804335	-0.6233293	-1.719575	-0.1796737	-0.2966051	-0.8373505	-0.4815966	-0.5810289	-1.98838	-0.7447811						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309142	266			6	267	1	553	261	315	315	-1.335832	0	-2.548218	0	-1.236553	0	-1.524221	0	-0.8751283	0	0.7683352	0	-1.454107	0	-2.764119	0	-2.924634	0	0.07265092	0	-1.335832	0	0.7683352	0	-0.5750969	-0.1971181	-1.484103	-2.462717	-1.146727	-1.036498	-2.319473	0.1862441	-0.3259292	-0.8742068	-0.06318602	-0.6504957	-2.015283	-0.155726	-0.2959815	-1.011225	-0.3586673	-0.5173401	-2.159678	-0.5923989						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309175	299			7	300	1	553	262	316	316	-1.169645	0	-2.479184	0	-1.157728	0	-1.734454	0	0.02612511	0	0.09138296	0	-0.9379885	0	-1.89634	0	-1.855887	0	0.93848	0	-1.169645	0	0.09138296	0	-0.5573063	-0.2258703	-1.64294	-2.538549	-1.293911	-1.119935	-2.695379	-0.3758021	-0.09528536	-0.4907482	-0.1579364	-0.5551394	-1.235534	-0.2524563	-0.3985747	-0.5438719	-1.13229	-0.7996838	-1.568851	-0.8642634						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309209	333			8	333	1	552	262	319	319	-1.111975	0	-2.425537	0	-1.752179	0	-1.972445	0	0.354913	0	-0.1331997	0	-0.6687406	0	-1.720937	0	-1.597452	0	1.050328	0	-1.111975	0	0.354913	0	-0.6780187	-0.3757228	-1.794886	-2.724764	-1.339108	-1.266536	-2.877887	-0.5727609	-0.06734837	-0.4087255	-0.1655349	-0.3628075	-0.8728059	-0.3929619	-0.3391661	-0.1993051	-1.690996	-1.215579	-1.477339	-1.129597						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309242	366			9	367	1	552	263	318	318	-0.9897412	0	-2.55257	0	-1.705348	0	-1.799413	0	0.3994733	0	-0.07317318	0	-0.7157902	0	-1.768247	0	-1.741331	0	0.9941549	0	-0.9897412	0	0.3994733	0	-0.6673524	-0.3318266	-1.743165	-2.539569	-1.292774	-1.197709	-2.841763	-0.5964614	0.04097098	-0.4155547	-0.1960671	-0.4645226	-0.8346278	-0.3477358	-0.4908505	-0.2527184	-1.620005	-1.172611	-1.614145	-1.239183						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309275	399			10	400	1	553	263	318	318	-0.6701721	0	-2.439726	0	-1.375207	0	-1.447973	0	0.1850315	0	0.2097443	0	-0.8397048	0	-1.839875	0	-1.778897	0	0.8954558	0	-0.6701721	0	0.2097443	0	-0.6749951	-0.3437672	-1.63967	-2.3938	-1.229746	-1.179626	-2.57529	-0.3263295	0.06161242	-0.3423698	-0.1581496	-0.5301182	-1.056959	-0.1009558	-0.3622631	-0.2794724	-1.242928	-0.8931491	-1.448444	-1.280632						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309309	433			11	433	1	553	263	319	319	-0.4936772	0	-2.670039	0	-1.23432	0	-1.155522	0	-0.04948199	0	0.4191851	0	-1.064157	0	-2.409008	0	-2.40744	0	0.6944199	0	-0.4936772	0	0.4191851	0	-0.6740244	-0.2873937	-1.601472	-2.156615	-1.214195	-1.228437	-2.445322	-0.05310978	0.07474619	-0.4952024	-0.09449515	-0.6071786	-1.32943	0.02622706	-0.329036	-0.4542143	-0.8280987	-0.8195718	-1.592372	-1.336529						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309342	466			12	467	1	554	264	318	318	-0.271594	0	-2.83322	0	-1.316919	0	-1.147362	0	-0.1379858	0	0.2557731	0	-1.177007	0	-2.520548	0	-2.464543	0	0.5873358	0	-0.271594	0	0.2557731	0	-0.6403401	-0.2493488	-1.640314	-2.108608	-1.207902	-1.228138	-2.540776	-0.10157	0.1709136	-0.5361312	-0.1797033	-0.6960916	-1.537054	0.07300293	-0.4528086	-0.5329672	-0.7400153	-0.7073101	-1.546173	-1.210067						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309376	500			13	500	1	554	264	320	320	-0.086105	0	-3.096421	0	-1.422836	0	-1.210084	0	-0.3776053	0	0.1787179	0	-1.332227	0	-2.969102	0	-2.773934	0	0.2077358	0	-0.086105	0	0.1787179	0	-0.6253172	-0.2228077	-1.697676	-2.183044	-1.160361	-1.260195	-2.616432	-0.1794096	0.3418135	-0.5374199	-0.243791	-0.6855415	-1.801998	-0.0402268	-0.5015001	-0.564966	-0.8047668	-0.7304224	-1.469998	-1.205521						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309409	533			14	533	1	555	265	318	318	0.04426949	0	-3.17382	0	-1.479285	0	-1.221175	0	-0.3567594	0	0.0152237	0	-1.311926	0	-3.015329	0	-2.714005	0	0.1527521	0	0.04426949	0	0.0152237	0	-0.5417863	-0.1515493	-1.709667	-2.257013	-1.095839	-1.229196	-2.718565	-0.2371725	0.4070804	-0.4388382	-0.286293	-0.656121	-1.891937	0.02070289	-0.5332745	-0.5523855	-0.8112838	-0.5907323	-1.338421	-1.230882						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309442	566			15	567	1	554	263	319	319	0.1590942	0	-3.32078	0	-1.204319	0	-0.9125133	0	-0.2839077	0	-0.198197	0	-1.333613	0	-3.173846	0	-2.757296	0	0.3520049	0	0.1590942	0	-0.198197	0	-0.5580627	-0.1307959	-1.911401	-2.07714	-1.363807	-1.492209	-3.136121	-0.4008689	0.392606	-0.3165438	-0.4478038	-0.6986526	-1.903015	-0.0263769	-0.4507874	-0.4824907	-0.9249971	-0.7260444	-1.11907	-1.53577						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309475	599			16	600	1	554	262	320	320	0.3420612	0	-3.339439	0	-1.276264	0	-0.8246108	0	-0.3588404	0	-0.3071745	0	-1.435745	0	-3.171292	0	-2.731553	0	0.526455	0	0.3420612	0	-0.3071745	0	-0.6683857	-0.2062161	-1.985913	-2.071133	-1.36247	-1.595682	-3.239594	-0.4368459	0.4622199	-0.2569332	-0.5020876	-0.7001985	-1.941239	0.006393395	-0.4044303	-0.463681	-1.030314	-0.7098343	-0.9922069	-1.776699						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309509	633			17	633	1	552	261	320	320	0.2382781	0	-3.378772	0	-0.8349652	0	-0.5381477	0	-0.3349065	0	-0.4908117	0	-1.576262	0	-3.422057	0	-2.940017	0	0.3753515	0	0.2382781	0	-0.3349065	0	-0.6061609	-0.0806959	-1.966233	-1.656128	-1.39282	-1.632006	-3.369844	-0.4120082	0.4585558	-0.2734491	-0.4774375	-0.7050674	-1.903515	0.01026308	-0.5060388	-0.4366468	-1.045656	-0.7112864	-0.9747519	-1.79477						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309542	666			18	667	1	547	258	326	326	0.1323062	0	-3.267518	0	-0.5787308	0	-0.350504	0	-0.4268576	0	-0.3218484	0	-1.485881	0	-3.530925	0	-3.20364	0	0.2282307	0	0.1323062	0	-0.3218484	0	-0.66788	-0.1365559	-1.926537	-1.454614	-1.271189	-1.6552	-3.259504	-0.2553875	0.5077015	-0.3448214	-0.3099317	-0.6100301	-1.940485	-0.04169306	-0.4605693	-0.5860444	-0.985425	-0.7241001	-1.052697	-1.605619						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309575	699			19	700	1	549	258	320	320	-0.0894284	0	-3.014617	0	-0.3595124	0	-0.132635	0	-0.1645899	0	-0.9479985	0	-1.441761	0	-3.002859	0	-2.595397	0	0.7308642	0	-0.0894284	0	-0.132635	0	-0.5279021	0.0286114	-2.110778	-1.327471	-1.510801	-1.592285	-3.875766	-0.5851291	0.2717558	-0.106054	-0.3070087	-0.4686017	-1.367777	-0.2248351	-0.3249208	-0.06910218	-1.398448	-0.7859318	-1.072552	-2.096294						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309609	733			20	733	1	548	255	319	319	-0.1816874	0	-2.922153	0	-0.2504706	0	-0.04084149	0	-0.1996284	0	-0.9292915	0	-1.376053	0	-2.989408	0	-2.515222	0	0.7577516	0	-0.1816874	0	-0.04084149	0	-0.4770472	0.06921224	-2.218318	-1.409075	-1.525838	-1.53442	-4.095994	-0.675511	0.192392	-0.05685696	-0.3030301	-0.3661688	-1.427908	-0.4769208	-0.181183	-0.03613138	-1.545037	-0.8025461	-1.026527	-2.129549						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309642	766			21	767	1	547	253	318	318	-0.3109275	0	-3.259472	0	-0.2810956	0	-0.06394286	0	-0.1734505	0	-1.157623	0	-1.350034	0	-3.171528	0	-2.64081	0	0.6917661	0	-0.3109275	0	-0.06394286	0	-0.2987283	0.1219325	-2.465245	-1.645687	-1.658633	-1.618779	-4.55295	-0.8252292	0.03055227	-0.1981375	-0.5857992	-0.4469876	-1.416974	-1.09313	-0.4520307	-0.2376373	-1.694172	-1.113294	-1.183317	-2.192063						
TianlinLiuValidation	20180411	2c4ad740c_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_232309675	799			22	800	1	547	250	318	318	-0.5150962	0	-3.231499	0	-0.7333476	0	-0.3570982	0	0.1670254	0	-1.341587	0	-1.174246	0	-2.857784	0	-2.388512	0	0.988996	0	-0.5150962	0	0.1670254	0	-0.3968496	-0.005654764	-2.682307	-1.997586	-1.773199	-1.693225	-5.047101	-1.16479	-0.007634093	-0.2106243	-0.8898569	-0.517487	-1.113668	-1.528182	-0.6285138	-0.163025	-2.280579	-1.770135	-1.403942	-2.164049						
