#Study : TianlinLiu
#Date : 20180411 09:06:48
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:44:35.053 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435119	66			0	67	1	627	276	307	307	1.953419	0	-4.463832	0	-2.668655	0	0.4449177	0	-7.074803	0	-0.229415	0	-5.423716	0	-6.325993	0	-7.510688	0	-5.746092	0	1.953419	0	0.4449177	0	-0.5399233	-0.5466496	-0.08195569	-0.4036491	-0.8969189	0.06905381	-0.7099303	0.01358115	0.5345327	-0.2990086	-1.66711	-1.033569	-5.740906	0.5024939	-1.240431	-2.499736	1.696496	-0.2200981	-2.192121	-0.003245095						
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435153	100			1	100	1	636	280	295	295	1.619978	0	-4.066993	0	-2.531788	0	0.9901956	0	-4.306076	0	0.03352212	0	-3.518162	0	-4.822861	0	-5.683964	0	-3.351217	0	1.619978	0	0.9901956	0	0.2221227	0.2090756	-0.9629256	-1.064169	-1.182961	-0.5567635	-2.186228	0.1054034	0.006730947	-1.110402	-1.280472	-1.301875	-5.263213	0.1914722	-1.975001	-1.879187	0.7857608	-0.4867812	-2.587048	0.5562903						
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435186	133			2	133	1	630	277	303	303	1.741937	0	-4.609061	0	-2.482256	0	0.6611547	0	-6.957357	0	0.1372375	0	-5.547153	0	-6.397929	0	-7.631031	0	-5.377817	0	1.741937	0	0.6611547	0	-0.4138301	-0.3304178	-0.4590989	-0.6270407	-1.129732	-0.136201	-1.062228	0.1995246	0.2998991	-0.6571594	-1.547284	-1.183201	-6.189315	0.4329701	-1.446455	-2.550625	1.577492	-0.2805297	-2.64189	0.1763905						
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435219	166			3	167	1	634	279	297	297	1.270428	0	-4.060869	0	-2.300551	0	1.085495	0	-4.975588	0	0.324411	0	-3.923804	0	-5.105795	0	-6.20826	0	-3.572539	0	1.270428	0	1.085495	0	0.1087967	0.08237157	-0.8861028	-0.9183918	-1.302259	-0.5228687	-2.109253	0.4403385	-0.2575352	-1.159182	-1.425497	-1.385674	-5.545871	0.2926756	-1.907708	-2.25938	1.081692	-0.3982388	-2.893649	0.5287011						
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435253	200			4	200	1	634	278	298	298	1.287335	0	-4.068672	0	-2.20276	0	1.136682	0	-4.791407	0	0.3339446	0	-3.882093	0	-5.105661	0	-6.167937	0	-3.386833	0	1.287335	0	1.136682	0	0.1030432	0.133971	-0.9890494	-0.9144081	-1.347622	-0.5755075	-2.179861	0.4456508	-0.2680916	-1.20657	-1.3019	-1.356623	-5.470674	0.3972079	-1.905519	-2.14695	1.027839	-0.4658806	-2.752047	0.5553129						
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435286	233			5	234	1	632	277	300	300	1.388121	0	-4.136815	0	-2.054781	0	0.8914859	0	-5.939309	0	0.2824813	0	-4.718654	0	-5.721636	0	-6.83321	0	-4.461552	0	1.388121	0	0.8914859	0	-0.1445097	-0.1455654	-0.5430375	-0.5257368	-1.33682	-0.3113528	-1.487003	0.3642014	-0.1423704	-0.9235051	-1.48095	-1.216321	-5.568364	0.4196401	-1.509525	-2.439938	1.356522	-0.3194583	-2.633466	0.4065972						
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435319	266			6	267	1	625	272	312	312	1.399748	0	-4.51477	0	-2.41121	0	0.7157294	0	-7.156197	0	-0.1740369	0	-5.447247	0	-6.394614	0	-7.908505	0	-5.237631	0	1.399748	0	0.7157294	0	-0.6230772	-0.5630274	-0.003709102	-0.1390423	-1.201013	0.1410984	-0.9944825	0.2030818	0.06195775	-0.6322643	-1.792036	-1.202918	-5.531068	0.8209224	-1.172563	-2.914734	1.977475	-0.2824567	-2.321276	-0.09722265						
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435353	300			7	300	1	629	273	305	305	1.364706	0	-4.18071	0	-1.763247	0	0.5971031	0	-6.125336	0	0.03324322	0	-5.049693	0	-5.951106	0	-7.095645	0	-4.748532	0	1.364706	0	0.5971031	0	-0.1794467	-0.1623437	-0.2473618	-0.3425505	-1.39842	-0.1338415	-1.02156	0.1011435	-0.02041278	-0.6815981	-1.508716	-1.102752	-4.876743	0.3323288	-1.432099	-2.608951	1.46303	-0.4698008	-2.459858	0.2738914						
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435386	333			8	334	1	627	270	307	307	1.036232	0	-3.461134	0	-1.189927	0	0.6423731	0	-4.979124	0	-0.09623227	0	-4.391513	0	-5.24055	0	-6.030289	0	-3.922686	0	1.036232	0	0.6423731	0	-0.03735091	-0.05406016	-0.3691774	-0.1844155	-1.574414	-0.3504568	-1.320137	0.1777397	-0.1794182	-0.4323527	-1.391725	-0.9918436	-3.748512	0.3451411	-1.163092	-2.217891	1.119646	-0.6728421	-1.971321	0.5243467						
TianlinLiu	20180411	5c33be3cd_1__utterance_16	0	MALE	recording	TestImage	Emotient FACET	20180320_144435420	367			9	367	1	628	269	305	305	1.335536	0	-3.219975	0	-2.167028	0	-0.8881133	0	-4.200319	0	0.1429648	0	-4.016745	0	-4.406369	0	-5.020813	0	-3.409287	0	1.335536	0	0.1429648	0	-0.01499918	-0.2303437	-0.3724509	-1.127668	-1.043779	-0.3037946	-0.7557774	0.2935082	-0.09946096	-0.2177104	-1.296189	-0.7316371	-3.41793	0.5257493	-1.001897	-2.277144	1.109193	-0.6816559	-1.698283	1.557219						
