#Study : TianlinLiu
#Date : 20180411 09:09:00
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:25:58.340 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558406	66			0	67	1	550	76	185	185	0.499007	0	-3.434986	0	-3.356142	0	-1.428222	0	-0.3745853	0	-0.9170755	0	0.4801003	0	-0.8223414	0	-1.757481	0	-0.4738504	0	0.499007	0	0.4801003	0	2.178082	1.194821	0.1606175	-1.218039	-0.9392216	-0.4764641	-2.130907	-1.161166	-0.07433556	-0.4265765	-0.8670408	-0.5725085	-2.220098	0.9432255	-0.9398834	-0.4939308	-1.00826	-1.630942	-0.563559	1.815333						
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558440	100			1	100	1	553	74	186	186	0.6132385	0	-2.872859	0	-2.59806	0	-0.9656625	0	-0.3546856	0	-0.648479	0	0.3184828	0	-0.5221542	0	-1.418024	0	-0.3989725	0	0.6132385	0	0.3184828	0	1.791693	0.9848917	0.1035683	-0.8326727	-0.7145333	-0.3073141	-1.909501	-0.971505	-0.03451472	-0.3841418	-0.7975823	-0.6310869	-2.111027	0.813897	-0.8240766	-0.5356655	-0.9504108	-1.509399	-0.5463262	1.479359						
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558473	133			2	133	1	552	73	189	189	0.573348	0	-2.76593	0	-2.267152	0	-0.9890761	0	-0.2459495	0	-0.5870661	0	0.3009794	0	-0.2581431	0	-1.250031	0	-0.1374254	0	0.573348	0	0.3009794	0	1.79772	1.006442	0.2098197	-0.7270843	-0.7099442	-0.2876905	-1.947728	-0.8809134	-0.2032943	-0.4020415	-0.8097154	-0.6656395	-2.504237	0.6818001	-0.9116681	-0.5908556	-0.9438865	-1.414204	-0.6569443	1.194502						
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558506	166			3	167	1	553	74	188	188	0.6551288	0	-2.887026	0	-2.279576	0	-1.068508	0	-0.295838	0	-0.6587972	0	0.3023873	0	-0.4213757	0	-1.350572	0	-0.2420198	0	0.6551288	0	0.3023873	0	1.907205	1.053063	0.1282186	-0.737765	-0.6544116	-0.2262745	-1.997292	-0.9783589	-0.161381	-0.3773536	-0.9312569	-0.6427085	-2.618335	0.7470995	-0.9601053	-0.6252956	-0.9147261	-1.387125	-0.5672409	1.253932						
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558540	200			4	200	1	556	74	186	186	0.6834243	0	-3.334211	0	-3.405849	0	-1.60626	0	-0.3289916	0	-0.8124572	0	0.3430339	0	-0.6897447	0	-1.6137	0	-0.3138869	0	0.6834243	0	0.3430339	0	2.014734	1.150336	0.06790774	-1.271936	-0.9825662	-0.4461397	-2.086542	-1.05017	-0.08520207	-0.448681	-0.9264517	-0.6351373	-2.268668	0.8463202	-1.00141	-0.6044934	-0.9366576	-1.478068	-0.4835554	1.945886						
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558573	233			5	234	1	558	77	182	182	0.4690155	0	-3.938894	0	-3.765876	0	-1.265375	0	-0.6136727	0	-1.141225	0	0.194333	0	-1.397744	0	-2.214084	0	-0.7423521	0	0.4690155	0	0.194333	0	2.384903	1.349482	-0.05714854	-1.261588	-1.221862	-0.5892891	-2.513042	-1.360387	-0.1249793	-0.5627123	-1.117992	-0.7106783	-2.570425	1.211593	-1.079213	-0.7910523	-0.9097179	-1.737278	-0.6258845	1.992571						
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558606	266			6	267	1	559	77	185	185	0.5533004	0	-3.720263	0	-3.639394	0	-1.530013	0	-0.4260902	0	-1.000349	0	0.3667562	0	-0.9724065	0	-1.916471	0	-0.4925867	0	0.5533004	0	0.3667562	0	2.350571	1.331688	0.1112651	-1.257197	-1.06266	-0.4125029	-2.30061	-1.167638	-0.1261385	-0.5151164	-1.077238	-0.739965	-2.492699	1.061677	-1.112421	-0.7364152	-0.7763831	-1.482834	-0.4655408	2.041803						
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558640	300			7	300	1	559	77	187	187	0.541816	0	-3.497585	0	-3.722133	0	-1.618563	0	-0.380987	0	-0.8908288	0	0.3867502	0	-0.655458	0	-1.619152	0	-0.3594598	0	0.541816	0	0.3867502	0	2.185399	1.208279	0.1782487	-1.319374	-0.980498	-0.3300985	-2.149412	-1.125216	-0.1886279	-0.4941021	-1.040263	-0.7283322	-2.541103	0.9579286	-1.061945	-0.7414494	-0.7795846	-1.42019	-0.4126818	1.929867						
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558673	333			8	334	1	560	76	188	188	0.6687605	0	-3.430084	0	-3.985564	0	-1.788068	0	-0.3716683	0	-0.8032984	0	0.2406496	0	-0.5426974	0	-1.497555	0	-0.4167349	0	0.6687605	0	0.2406496	0	2.050983	1.135415	0.1754021	-1.407581	-0.9841243	-0.3193756	-2.011324	-1.053353	-0.1567876	-0.4229419	-1.041031	-0.719101	-2.554583	0.9732408	-0.9529548	-0.7535976	-0.7274343	-1.360222	-0.374594	1.927072						
TianlinLiu	20180411	05f6b3a3f_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_142558707	367			9	367	1	561	77	187	187	0.5476142	0	-3.515465	0	-4.127191	0	-1.685109	0	-0.454359	0	-0.89399	0	0.1455061	0	-0.6551694	0	-1.567524	0	-0.5619586	0	0.5476142	0	0.1455061	0	2.082077	1.143596	0.1529762	-1.410508	-1.016899	-0.3330818	-2.048121	-1.146841	-0.1712891	-0.4403374	-1.031926	-0.7752121	-2.607963	1.105245	-0.9238731	-0.8050306	-0.6748523	-1.386673	-0.4200526	1.943787						
