#Study : TianlinLiu
#Date : 20180411 09:05:39
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:54:34.026 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434111	85			0	86	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434154	128			1	129	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434197	171			2	171	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434240	214			3	214	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434283	257			4	257	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434326	300			5	300	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434368	342			6	343	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434411	385			7	386	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434454	428			8	429	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434497	471			9	471	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434540	514			10	514	1	528	77	213	213	-1.550521	0	-0.3888268	0	1.056557	0	-0.1302974	0	-0.6300838	0	-0.3166892	0	-0.08289328	0	-0.4228433	0	-0.4913099	0	0.1553786	0	-1.550521	0	-0.08289328	0	-0.2538578	-0.2653551	-0.5315405	-0.08232959	-0.5715752	-0.4281026	-1.257785	-0.6488964	-0.7332035	-0.4934326	-0.08544056	-0.009711444	-0.3399957	-0.9681331	-0.1823041	-0.05850927	-1.674293	-0.8666138	-0.884325	1.442869						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434583	557			11	557	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434625	599			12	600	1	520	78	214	214	-1.657625	0	-0.6810766	0	1.45234	0	-0.6288195	0	-1.495149	0	-0.3512368	0	-0.8457757	0	-1.136062	0	-1.164225	0	-1.110225	0	-1.657625	0	-0.3512368	0	-0.3053912	-0.4140216	-0.4265691	-0.0525724	-1.146751	-0.4752931	-1.018152	-0.6602594	-0.9448199	-0.6200939	-0.7050046	-0.2363189	-0.4326672	-0.5215804	-0.06450205	-0.1210921	-0.8913043	0.1205881	-0.7091523	2.183555						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434668	642			13	643	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434711	685			14	686	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434754	728			15	729	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434797	771			16	771	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434840	814			17	814	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434883	857			18	857	1	572	95	132	132	-1.78501	0	-2.316653	0	-1.252751	0	0.8457073	0	-1.2437	0	-0.6097411	0	-0.8455126	0	-0.7375976	0	-1.731594	0	0.9163686	0	-1.78501	0	0.8457073	0	0.4361056	0.1318272	-0.1507711	-0.04651222	-0.7732424	-0.5689489	-2.344746	0.06781927	-1.124368	-1.357122	-0.4011101	-1.315747	-2.708616	1.129365	-1.524095	-1.74412	-0.3921984	-0.9211327	-2.36121	1.086503						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434925	899			19	900	0																																																						
TianlinLiu	20180411	6a465b489_1__utterance_8	0	MALE	recording	TestImage	Emotient FACET	20180320_145434968	942			20	943	0																																																						
