#Study : TianlinLiu
#Date : 20180411 09:05:10
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:58:19.100 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819166	66			0	67	1	580	140	323	323	0.05139489	0	-2.675234	0	-0.6088498	0	1.19793	0	-1.879745	0	-0.1856582	0	-4.173124	0	-4.360967	0	-4.301054	0	-2.932712	0	0.05139489	0	1.19793	0	0.439161	0.7492775	-0.1668188	0.9632777	-0.5079001	-0.592834	-1.152537	-0.1680964	0.5076162	-0.6211208	-1.695886	-1.080749	-3.084018	0.4625961	-0.7443653	-1.93393	-0.03486049	-0.7581723	-1.551389	0.7909306						
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819200	100			1	100	1	585	142	321	321	0.3644544	0	-2.903399	0	-0.8721259	0	0.9999591	0	-2.051956	0	-0.00103667	0	-4.446264	0	-4.817862	0	-4.653377	0	-3.210285	0	0.3644544	0	0.9999591	0	0.3991932	0.6971428	-0.2319618	0.878204	-0.3877871	-0.518962	-1.007401	-0.06585286	0.5933936	-0.7333217	-1.570809	-0.9616849	-3.498094	0.5639142	-0.731743	-2.150226	0.1232904	-0.7175766	-1.615049	0.9233062						
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819233	133			2	133	1	580	137	331	331	0.7879582	0	-2.953694	0	-1.040096	0	0.7284237	0	-2.219912	0	-0.3644082	0	-4.705246	0	-5.002743	0	-4.548793	0	-3.683993	0	0.7879582	0	0.7284237	0	0.2140866	0.52952	-0.3027566	0.6285249	-0.2602323	-0.5626324	-1.02381	-0.1593353	0.9860016	-0.4865912	-1.760019	-1.270944	-3.842435	0.4524013	-0.6440846	-1.880761	-0.04427275	-0.8069551	-1.842129	0.7110147						
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819266	166			3	167	1	586	140	330	330	0.5747916	0	-2.816599	0	-0.9732298	0	0.8740329	0	-2.50581	0	-0.07024338	0	-4.852556	0	-5.381915	0	-4.858647	0	-3.998405	0	0.5747916	0	0.8740329	0	0.14878	0.6397117	-0.3654465	0.9011094	-0.3836194	-0.6334023	-0.9692556	-0.000900614	0.9050317	-0.7881981	-1.42974	-1.143514	-4.041954	0.7756876	-0.7064282	-2.062102	0.2833833	-0.6473807	-1.795699	0.7770623						
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819300	200			4	200	1	594	143	326	326	0.8218222	0	-3.025901	0	-1.377682	0	0.9377843	0	-3.564656	0	-0.2889367	0	-5.904113	0	-6.281502	0	-5.515065	0	-5.306077	0	0.8218222	0	0.9377843	0	0.02718485	0.5564273	-0.4379378	0.7143868	-0.2147415	-0.5538824	-0.7555361	-0.01680377	1.185318	-0.8370804	-1.284672	-1.247173	-4.679045	0.7633948	-0.3872542	-2.534968	0.8184757	-0.6103233	-1.864434	0.75483						
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819333	233			5	234	1	600	144	329	329	0.8287584	0	-2.316833	0	-0.5957478	0	0.7673821	0	-2.63693	0	0.3232025	0	-4.486081	0	-5.293074	0	-4.633714	0	-4.155712	0	0.8287584	0	0.7673821	0	0.04813824	0.5807542	-0.4868045	0.6583163	-0.144935	-0.4702483	-0.6001931	0.2303888	1.077007	-0.747624	-0.5648326	-0.7876227	-4.161615	0.6316227	-0.3140001	-1.851425	0.373735	-0.6161554	-1.690796	0.8347294						
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819366	266			6	267	1	606	146	327	327	1.06607	0	-2.558392	0	-0.9572011	0	0.7053459	0	-3.385605	0	0.3234599	0	-5.130787	0	-6.112171	0	-5.166124	0	-5.140465	0	1.06607	0	0.7053459	0	-0.06775165	0.4754446	-0.5168414	0.5082051	0.01410069	-0.3949508	-0.5580133	0.3591762	1.188682	-0.9770258	-0.5247798	-0.9063311	-4.821248	0.7468353	-0.2764324	-2.119866	0.8017521	-0.5079384	-1.831424	0.8705826						
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819400	300			7	300	1	610	149	322	322	1.279658	0	-2.908382	0	-1.258657	0	0.6633965	0	-4.130241	0	0.0909133	0	-5.910256	0	-6.528458	0	-5.538735	0	-5.863598	0	1.279658	0	0.6633965	0	-0.110991	0.4107855	-0.4766027	0.3685524	0.02556311	-0.5120188	-0.5305632	0.2229658	1.234282	-0.9699434	-0.9026395	-1.166813	-5.287922	0.7861282	-0.1931885	-2.338905	1.022287	-0.4738532	-1.699137	0.7479158						
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819433	333			8	334	1	608	152	322	322	1.252331	0	-2.708504	0	-1.135052	0	0.5265387	0	-3.049283	0	0.2494141	0	-3.769808	0	-4.97494	0	-4.345807	0	-4.037557	0	1.252331	0	0.5265387	0	-0.1995581	0.3049147	-0.4417028	-0.1553171	0.1732699	-0.4315679	-0.8111393	0.09052993	1.404235	-0.5239452	-0.7014132	-0.7186845	-4.744209	0.2132027	-0.3668612	-1.22039	-0.1275773	-0.5488384	-1.031775	0.6058637						
TianlinLiu	20180411	7a0306a52_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_145819467	367			9	367	1	609	156	318	318	1.581885	0	-2.377084	0	-1.51682	0	0.2508369	0	-3.270158	0	-0.2625728	0	-4.032691	0	-4.965489	0	-3.78217	0	-4.301222	0	1.581885	0	0.2508369	0	-0.4838871	0.1309554	-0.5259209	-0.3579157	-0.09830405	-0.6069185	-0.958186	-0.2881069	1.351198	-0.1968215	-0.8027822	-0.1778165	-4.481601	-0.1425427	-0.4838028	-1.040001	-0.5124814	-0.5510219	-0.08406643	0.2700707						
