#Study : TianlinLiu
#Date : 20180411 09:08:58
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:26:21.911 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142621977	66			0	67	1	158	72	104	104	-0.3486852	0	-5.315281	0	-1.201152	0	0.004938457	0	-2.803612	0	-2.57079	0	-1.755995	0	-4.014042	0	-4.780426	0	-3.032288	0	-0.3486852	0	0.004938457	0	3.511446	2.545436	0.1406082	-0.5760448	-1.111551	-0.6438981	-4.21981	-1.718033	0.2631698	-0.1515178	-1.6589	-2.092639	-3.942776	0.9854023	-1.143404	-2.185823	2.083569	0.163809	-1.475098	0.07603672						
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142622010	99			1	100	1	158	72	103	103	-0.5549623	0	-5.338001	0	-1.596142	0	0.2024493	0	-2.324068	0	-2.749398	0	-1.69563	0	-3.784372	0	-4.304431	0	-2.77047	0	-0.5549623	0	0.2024493	0	3.332196	2.286411	0.00103163	-0.5458801	-1.46466	-0.9080555	-4.012329	-1.930717	0.1289971	-0.08440369	-1.829319	-2.057834	-3.578963	1.201039	-1.071174	-2.143786	1.660262	-0.09105249	-1.102084	0.3000984						
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142622044	133			2	133	1	157	72	105	105	-0.9707541	0	-4.996212	0	-0.796346	0	-0.2227814	0	-2.579459	0	-2.197497	0	-1.437628	0	-3.614786	0	-4.684577	0	-2.480777	0	-0.9707541	0	-0.2227814	0	3.484712	2.524604	0.1042561	-0.6821258	-1.176189	-0.7898491	-4.399818	-1.612502	0.0680425	-0.359247	-1.781129	-2.154701	-3.506009	0.5805425	-1.293532	-2.377949	1.989043	0.233339	-1.636266	0.2882316						
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142622077	166			3	167	1	157	72	105	105	-0.7257876	0	-4.730954	0	-0.7063935	0	-0.2018371	0	-2.69495	0	-1.992214	0	-1.387534	0	-3.439744	0	-4.491119	0	-2.403304	0	-0.7257876	0	-0.2018371	0	3.391328	2.479072	0.04880609	-0.63463	-0.9444669	-0.6099917	-4.424374	-1.514569	0.1513079	-0.3979229	-1.790815	-2.179042	-3.806061	0.467886	-1.352816	-2.305744	2.07187	0.2525113	-1.620587	0.04147663						
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142622110	199			4	200	1	158	72	104	104	-1.872112	0	-4.556839	0	-0.8647889	0	-0.4867933	0	-1.498631	0	-2.147251	0	-0.2263806	0	-2.428152	0	-3.592265	0	-0.967131	0	-1.872112	0	-0.2263806	0	3.231427	2.285115	0.08007362	-0.7786093	-1.141705	-0.7222875	-4.335407	-1.759515	-0.1638195	-0.3130642	-1.581286	-1.76517	-2.121155	0.1883201	-1.158762	-1.890832	1.008866	-0.2285703	-1.388885	0.1906836						
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142622144	233			5	233	1	158	72	105	105	-3.164043	0	-4.253091	0	-0.9499328	0	-1.179504	0	-0.7389591	0	-2.789595	0	0.795838	0	-1.396251	0	-2.971751	0	0.4208908	0	-3.164043	0	0.795838	0	3.0983	2.078994	-0.02204118	-1.002733	-1.085413	-0.7451636	-4.694056	-2.404354	-0.5391999	-0.5323967	-1.952842	-1.569745	-0.9354188	-0.4515015	-1.235661	-1.627246	-0.07938892	-0.6822963	-2.078465	-0.1831248						
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142622177	266			6	267	1	157	72	106	106	-4.492113	0	-4.262008	0	-1.806283	0	-2.140682	0	-1.4947	0	-3.198123	0	1.294398	0	-1.19099	0	-3.208724	0	0.5776543	0	-4.492113	0	1.294398	0	2.823414	1.852139	-0.06792305	-0.8483628	-1.221141	-0.6584951	-4.783143	-2.79022	-0.9488612	-0.7492351	-1.585681	-1.347828	-0.8880584	-1.223787	-1.239413	-1.327171	-1.258995	-1.409075	-2.89964	-0.7430072						
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142622210	299			7	300	1	157	71	106	106	-4.755419	0	-4.377789	0	-1.59752	0	-2.070147	0	-1.678232	0	-3.342514	0	1.874143	0	-1.543541	0	-3.394632	0	0.3027906	0	-4.755419	0	1.874143	0	2.845968	1.802603	-0.07033743	-0.6997039	-1.453258	-0.8637866	-4.822933	-2.903891	-1.073466	-0.718096	-0.9642973	-0.6835322	-0.7940489	-1.437143	-1.109887	-0.9618901	-1.667741	-1.428602	-2.763652	-0.8604725						
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142622244	333			8	333	1	157	71	107	107	-4.390748	0	-4.420246	0	-1.736908	0	-1.976983	0	-1.484185	0	-3.228306	0	1.704791	0	-1.559459	0	-3.385819	0	0.4016068	0	-4.390748	0	1.704791	0	2.754703	1.759747	-0.0943993	-0.8388153	-1.347511	-0.7972432	-4.675955	-2.8462	-0.9587816	-0.6919884	-0.973497	-0.714559	-0.7046972	-1.250669	-1.035159	-1.015166	-1.524846	-1.331976	-2.668086	-0.7003698						
TianlinLiu	20180411	07ab3c980_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142622277	366			9	367	1	157	70	107	107	-3.902083	0	-4.19818	0	-1.045591	0	-1.55425	0	-1.179081	0	-3.202808	0	1.031548	0	-1.259626	0	-2.940112	0	0.6082102	0	-3.902083	0	1.031548	0	2.817249	1.871254	-0.1124261	-0.9795192	-1.23678	-0.7488616	-4.770103	-2.954892	-0.7887866	-0.608278	-1.77056	-1.37179	-0.4916895	-0.9619227	-1.156227	-1.430077	-0.7264178	-0.8725501	-2.397966	-0.1765493						
