#Study : TianlinLiu
#Date : 20180411 09:08:49
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:27:42.901 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142742967	66			0	67	1	397	148	462	462	0.9606692	0	-2.143598	0	-4.076687	0	-2.81113	0	0.7882935	0	-0.1365321	0	-1.073761	0	-1.883329	0	-1.199927	0	-0.9258633	0	0.9606692	0	0.7882935	0	-1.340906	-1.284095	-1.22723	-2.548541	0.407903	-0.719696	-1.679913	0.4566996	1.230498	0.6835006	-0.5403842	0.7190436	-0.1728131	-1.49589	0.3594104	0.5469744	-2.372443	-1.879568	-1.934997	-1.983978						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743001	100			1	100	1	398	146	462	462	0.4886244	0	-1.945726	0	-3.786801	0	-2.811368	0	0.9221775	0	0.08177321	0	-0.9055454	0	-1.581865	0	-1.179558	0	-0.9258959	0	0.4886244	0	0.9221775	0	-1.222218	-1.191035	-1.105762	-2.243018	0.480173	-0.386866	-1.477916	0.5060877	1.124726	0.5052084	-0.5005664	0.6597952	0.1035156	-1.517707	0.2449854	0.5292313	-2.125803	-1.772703	-2.151706	-1.943982						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743034	133			2	133	1	401	144	462	462	-1.174784	0	-1.788452	0	-3.694887	0	-3.340416	0	1.41957	0	-0.2523364	0	-1.144653	0	-1.203434	0	-1.271209	0	-0.8615841	0	-1.174784	0	1.41957	0	-1.174361	-1.209457	-0.903987	-1.622126	0.2659622	-0.1374043	-1.063078	0.3880014	0.5227458	0.4107364	-0.7238896	0.392199	0.6732188	-1.558458	0.1656661	0.3919105	-1.805719	-1.462332	-2.718306	-1.917033						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743067	166			3	167	1	406	143	461	461	-1.881488	0	-1.212599	0	-2.628103	0	-3.412253	0	1.646894	0	-0.9924459	0	-1.392336	0	-0.5464413	0	-0.7310876	0	-0.171567	0	-1.881488	0	1.646894	0	-1.315432	-1.292117	-0.7660134	-0.9937236	-0.1365212	-0.2273276	-1.17484	-0.1874164	0.1163851	0.6160707	-0.8838643	0.4234266	1.433152	-1.407868	0.5375959	0.4057686	-1.564768	-0.9952468	-2.451111	-1.866953						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743101	200			4	200	1	408	141	462	462	-2.369006	0	-0.7814096	0	-2.083156	0	-3.290473	0	0.8824251	0	-1.318582	0	-1.099277	0	0.01096555	0	-0.1911471	0	0.4050736	0	-2.369006	0	0.8824251	0	-1.239149	-1.271638	-0.7351428	-1.054442	-0.6092367	-0.3835407	-1.472169	-0.6163241	-0.3852233	0.471516	-0.7802805	0.6727794	1.753065	-1.249773	0.6600999	0.464051	-1.441829	-0.5232745	-1.968271	-1.924776						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743134	233			5	234	1	410	141	462	462	-2.568427	0	-0.5982486	0	-1.692753	0	-3.452937	0	0.6356374	0	-1.536582	0	-1.217921	0	0.0602513	0	0.01026638	0	0.3865816	0	-2.568427	0	0.6356374	0	-1.278445	-1.309331	-0.7650841	-1.070055	-0.7905414	-0.4621506	-1.531593	-0.9533918	-0.5842292	0.4251761	-1.017043	0.6984144	2.046007	-1.406419	0.7687877	0.4944676	-1.36263	-0.2673668	-1.831611	-1.90187						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743167	266			6	267	1	408	140	463	463	-2.780268	0	-0.5467099	0	-1.420149	0	-3.339514	0	0.4614326	0	-1.549253	0	-1.241316	0	0.2349223	0	0.0783012	0	0.5982652	0	-2.780268	0	0.4614326	0	-1.1722	-1.203602	-0.7375968	-1.101619	-0.7422101	-0.4082794	-1.410523	-1.040005	-0.7186216	0.2531128	-1.21806	0.5017164	1.937725	-1.296485	0.6922182	0.2333374	-1.093903	-0.1092873	-1.735202	-1.803713						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743201	300			7	300	1	402	139	465	465	-1.91164	0	-0.8974813	0	-0.7053456	0	-2.987229	0	0.2042715	0	-1.079011	0	-1.465042	0	0.04996705	0	-0.2209732	0	0.7462356	0	-1.91164	0	0.2042715	0	-1.068583	-1.110241	-0.7263258	-1.074286	-0.3210179	-0.2095718	-1.466633	-0.829734	-0.477418	0.06722093	-1.418035	0.09317325	1.728169	-1.157384	0.4419741	-0.1380852	-0.6886637	0.01603895	-1.85662	-1.534407						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743234	333			8	334	1	396	138	467	467	-1.055189	0	-1.184311	0	0.4762831	0	-3.073089	0	-0.179048	0	-0.2150166	0	-2.453854	0	-0.9119425	0	-1.129314	0	-0.6864496	0	-1.055189	0	-0.179048	0	-0.9122963	-0.8009945	-0.5068169	-1.234901	0.1423097	0.07934546	-1.096136	-0.1156633	-0.2033552	-0.427714	-1.799636	-0.478466	0.9150626	-1.34901	-0.1498271	-0.9582321	0.6501453	0.7832493	-2.634825	-0.7900829						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743268	367			9	367	1	395	140	466	466	0.1701545	0	-1.313706	0	-0.5153427	0	-2.220076	0	-0.4829203	0	0.2297732	0	-2.360239	0	-1.40864	0	-1.412281	0	-0.9781277	0	0.1701545	0	0.2297732	0	-0.9392751	-0.8093829	-0.6173199	-1.564536	0.3891497	0.1987566	-1.53972	0.2562288	0.3069026	-0.4153755	-1.724123	-0.4720706	-0.4623021	-1.202402	-0.2626224	-0.784982	0.439251	0.3844537	-2.059465	-1.047957						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743301	400			10	400	1	398	139	469	469	0.7998338	0	-1.546551	0	-2.024121	0	-1.654905	0	-0.9414972	0	0.41983	0	-2.342217	0	-1.950375	0	-1.671298	0	-1.754617	0	0.7998338	0	0.41983	0	-0.952387	-0.8635007	-0.6260834	-1.469481	0.6279679	0.2838013	-1.574972	0.6793848	0.6903135	-0.3241445	-1.267489	-0.5052275	-1.3784	-0.9851872	-0.0732116	-0.5636889	0.1498108	-0.2551427	-1.791675	-1.468532						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743334	433			11	434	1	401	139	470	470	0.8891797	0	-1.603179	0	-2.506304	0	-1.306824	0	-0.8791587	0	0.3755402	0	-1.77848	0	-1.89485	0	-1.624547	0	-1.564931	0	0.8891797	0	0.3755402	0	-0.982457	-0.9606868	-0.7048814	-1.403562	0.6711928	0.2369021	-1.72579	0.7881999	0.7953437	-0.2669094	-0.8337312	-0.3725387	-1.354502	-0.8516749	0.03156593	-0.3310917	-0.2038865	-0.6314594	-1.842641	-1.738756						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743368	467			12	467	1	401	139	468	468	0.4529135	0	-1.436009	0	-2.84674	0	-1.190505	0	-0.2527564	0	0.425092	0	-1.136088	0	-1.268241	0	-1.422279	0	-1.007382	0	0.4529135	0	0.425092	0	-1.011189	-0.9902752	-0.5162889	-1.317919	0.7492892	0.220814	-1.533131	0.8574938	0.7363591	-0.1736813	-0.6144345	-0.2532417	-1.094378	-0.7538275	0.09372862	-0.2006882	-0.501524	-0.9617887	-2.060591	-1.692729						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743401	500			13	500	1	395	138	469	469	-0.1724853	0	-1.347585	0	-2.992439	0	-1.385248	0	0.5303518	0	0.1895743	0	-1.040895	0	-1.159875	0	-1.370555	0	-0.7713806	0	-0.1724853	0	0.5303518	0	-1.0314	-0.9913754	-0.4305099	-1.190729	0.7118736	0.195426	-1.265128	0.8149809	0.6305051	-0.06849463	-0.432543	-0.1030032	-0.6279739	-0.7625072	0.1895585	-0.06650829	-0.7490304	-1.027753	-2.173058	-1.732278						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743434	533			14	534	1	389	138	470	470	-0.8086221	0	-1.411863	0	-2.793894	0	-1.585422	0	0.5368512	0	0.3968047	0	-1.10403	0	-1.275011	0	-1.750444	0	-0.6063818	0	-0.8086221	0	0.5368512	0	-0.9964738	-0.9418027	-0.4152069	-1.249153	0.5823931	0.02879408	-1.015558	1.054406	0.3290628	-0.2152274	-0.3380631	-0.03363614	-0.6146378	-0.9713622	0.09860434	-0.210683	-0.7943018	-1.06778	-2.701079	-1.682669						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743468	567			15	567	1	389	138	472	472	-1.283863	0	-1.360234	0	-2.532139	0	-1.697682	0	0.4882109	0	0.4794975	0	-1.262959	0	-1.24527	0	-1.794028	0	-0.3694694	0	-1.283863	0	0.4882109	0	-1.035458	-0.9817438	-0.4440434	-1.223382	0.4397182	-0.05931011	-0.9622418	1.129441	0.1019509	-0.2761267	-0.3376514	-0.03536656	-0.3713412	-0.9339302	0.1057847	-0.2863001	-0.7095236	-1.021617	-2.851232	-1.692946						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743501	600			16	601	1	390	137	475	475	-1.859649	0	-0.9867674	0	-2.093405	0	-1.921165	0	0.06451038	0	0.1865626	0	-1.115353	0	-0.3454111	0	-1.120432	0	0.3083688	0	-1.859649	0	0.1865626	0	-0.9288512	-0.8855693	-0.3409656	-1.066564	0.2675856	0.006788756	-0.9028156	0.7984443	-0.209794	-0.3088852	-0.6410171	-0.1477341	0.2243555	-0.9187887	0.08650672	-0.3465233	-0.702068	-0.9071029	-2.891883	-1.624933						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743534	633			17	634	1	390	137	475	475	-2.593992	0	-0.7128618	0	-1.406252	0	-2.485279	0	-0.06520569	0	-0.4934611	0	-0.9951105	0	0.1247779	0	-0.8420562	0	0.6919486	0	-2.593992	0	-0.06520569	0	-0.9279668	-0.9304972	-0.3482894	-0.7819347	0.03892477	0.01760122	-0.9915337	0.09736975	-0.4115436	-0.2512699	-0.8196939	0.02580705	1.237058	-1.025844	0.2618658	-0.2912761	-0.8826482	-0.7169143	-3.037279	-1.580464						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743568	667			18	667	1	389	138	471	471	-2.923483	0	-0.6647785	0	-1.512764	0	-2.74819	0	-0.1467955	0	-1.029449	0	-0.7437398	0	0.07366149	0	-0.6732028	0	0.7219151	0	-2.923483	0	-0.1467955	0	-0.9895528	-1.004988	-0.4639548	-0.6500744	-0.2957375	-0.2287093	-1.056127	-0.2388276	-0.6525081	-0.1370602	-0.568184	0.565868	1.647824	-1.09822	0.5596611	-0.02035653	-1.315207	-0.6863456	-2.714751	-1.73012						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743601	700			19	701	1	390	140	468	468	-3.271161	0	-0.7150531	0	-1.394547	0	-2.950876	0	0.0278536	0	-1.375599	0	-0.9260515	0	0.01695727	0	-0.6104226	0	0.5975555	0	-3.271161	0	0.0278536	0	-0.972093	-1.0173	-0.5127516	-0.6327307	-0.4762396	-0.3604082	-1.193437	-0.5420582	-0.8436772	-0.1233128	-0.9774691	0.467163	1.805827	-1.309808	0.5934129	-0.1361132	-1.271975	-0.5925862	-2.553538	-1.841055						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743635	734			20	734	1	389	140	469	469	-2.668236	0	-0.8142244	0	-0.8475894	0	-2.558213	0	0.3587104	0	-1.242992	0	-1.453119	0	-0.05784676	0	-0.6143403	0	0.639942	0	-2.668236	0	0.3587104	0	-0.9952545	-0.9621246	-0.5148875	-0.6319299	-0.1715884	-0.1927401	-1.266751	-0.6129856	-0.5347666	-0.01890894	-1.457287	-0.1091784	1.661085	-1.190151	0.4257767	-0.2563862	-0.8597317	-0.4388871	-2.309631	-1.727611						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743668	767			21	767	1	389	140	470	470	-2.780114	0	-0.827547	0	-0.6178441	0	-2.465689	0	0.1118277	0	-0.9345062	0	-1.517385	0	-0.05248696	0	-0.8281214	0	0.7966003	0	-2.780114	0	0.1118277	0	-0.9867918	-0.9096476	-0.433242	-0.5799822	-0.02716309	-0.1394252	-1.026109	-0.3241819	-0.5836882	-0.254802	-1.482404	-0.2582381	1.49345	-1.099124	0.189763	-0.5189936	-0.5921813	-0.4408948	-2.729943	-1.690706						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743701	800			22	801	1	388	141	471	471	-2.877021	0	-0.8385938	0	-0.660346	0	-2.556941	0	0.2523845	0	-0.8446751	0	-1.543315	0	-0.1189687	0	-0.8664874	0	0.7559792	0	-2.877021	0	0.2523845	0	-1.038184	-0.972904	-0.4633351	-0.5430669	-0.09847899	-0.1480081	-1.119277	-0.2289669	-0.5793592	-0.1710152	-1.418911	-0.1433487	1.475116	-1.195408	0.1829194	-0.360752	-0.6930965	-0.4505622	-2.718703	-1.820321						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743735	834			23	834	1	388	141	471	471	-3.378546	0	-0.7623543	0	-1.348184	0	-2.806238	0	0.411842	0	-1.090951	0	-1.119028	0	-0.1309035	0	-0.9041027	0	0.4885321	0	-3.378546	0	0.411842	0	-1.079622	-1.032906	-0.4683153	-0.5486391	-0.2596874	-0.1861504	-1.068233	-0.2292733	-0.6686795	-0.1103309	-0.9321249	0.3662558	1.418509	-1.431127	0.311945	-0.0703287	-1.278317	-0.7249399	-2.674587	-1.907366						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743768	867			24	868	1	388	143	469	469	-3.136746	0	-0.7252342	0	-1.47818	0	-2.768405	0	0.5875723	0	-1.123756	0	-1.096711	0	-0.3538295	0	-0.8711405	0	0.2823694	0	-3.136746	0	0.5875723	0	-1.138608	-1.062047	-0.5148649	-0.4947751	-0.2999182	-0.3138796	-1.11807	-0.1705437	-0.657092	-0.0366379	-0.8897684	0.5532684	1.408069	-1.517148	0.4209215	0.07946987	-1.403175	-0.7045706	-2.377275	-2.054912						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743801	900			25	901	1	387	142	470	470	-2.907493	0	-0.812672	0	-1.387136	0	-2.713517	0	0.7152498	0	-1.087236	0	-1.200413	0	-0.334059	0	-0.9027029	0	0.3332211	0	-2.907493	0	0.7152498	0	-1.142266	-1.053344	-0.5399187	-0.4854566	-0.2092683	-0.293373	-1.189487	-0.1787019	-0.531212	0.03736255	-1.010166	0.3970469	1.461224	-1.483358	0.4556386	0.1249636	-1.321683	-0.6721622	-2.359573	-2.062297						
TianlinLiu	20180411	0f20e173d_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_142743835	934			26	934	1	389	143	470	470	-2.770767	0	-0.8686749	0	-1.21341	0	-2.640505	0	0.7605401	0	-1.087577	0	-1.471452	0	-0.3206307	0	-0.942758	0	0.4201201	0	-2.770767	0	0.7605401	0	-1.124649	-1.066758	-0.5269595	-0.4215534	-0.1564233	-0.1905301	-1.215312	-0.2127022	-0.3885755	0.1126887	-1.253495	0.06243901	1.500888	-1.414643	0.3562716	0.01092212	-1.184874	-0.6969361	-2.511272	-2.04741						
