#Study : TianlinLiuValidation
#Date : 20180411 09:26:37
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:20:40.765 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232040831	66			0	67	1	466	163	305	305	0.5130486	0	-1.236688	0	-0.5620541	0	0.9901575	0	-3.062266	0	-0.1761568	0	-3.194634	0	-2.468724	0	-1.445333	0	-2.354669	0	0.5130486	0	0.9901575	0	0.04536056	0.1685679	-0.2972751	-0.8582857	-0.5586942	-0.4608024	-1.937465	0.2300871	-0.07712052	-0.2502999	-1.02634	-0.9084887	-3.585416	0.485214	-0.7592655	-0.6966552	0.1856979	0.2808014	-0.04139701	0.7390465						
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232040865	100			1	100	1	463	163	307	307	0.5218613	0	-1.340335	0	-0.6541384	0	0.8775349	0	-2.839362	0	-0.1990964	0	-3.007693	0	-2.334762	0	-1.500428	0	-1.987122	0	0.5218613	0	0.8775349	0	0.03411669	0.1549054	-0.3734168	-0.7803869	-0.6622038	-0.6141388	-2.230442	0.2239837	-0.08032944	-0.2401564	-1.248324	-1.137644	-3.684305	0.1704455	-0.7307916	-0.8731423	-0.1238447	0.03117227	-0.4196965	0.608435						
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232040898	133			2	133	1	467	162	303	303	0.9784938	0	-2.043411	0	-0.7933456	0	0.8843463	0	-3.808503	0	-0.3933161	0	-4.387567	0	-3.483922	0	-2.783084	0	-3.413661	0	0.9784938	0	0.8843463	0	0.1072435	0.223504	-0.1652867	-0.6782553	-0.1488087	-0.3942319	-1.440027	0.05246449	0.1544824	-0.5047317	-1.280964	-1.195155	-4.146963	0.7555477	-0.7145724	-1.49838	1.228413	0.500843	-0.731877	0.9302854						
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232040931	166			3	167	1	467	159	305	305	0.8330392	0	-1.616596	0	-0.2526932	0	0.6823725	0	-2.263241	0	-0.5476385	0	-3.226835	0	-2.510544	0	-1.886033	0	-2.174365	0	0.8330392	0	0.6823725	0	-0.002218357	0.2071795	-0.1715371	-0.7303813	-0.3096108	-0.4009763	-1.691816	-0.1219769	-0.04238821	-0.417865	-1.277257	-0.8546444	-2.749964	0.6179997	-0.6783533	-1.04197	0.5643549	0.3130694	-0.6110719	0.9946578						
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232040965	200			4	200	1	474	159	299	299	0.9036083	0	-1.266735	0	0.5810051	0	0.2853343	0	-2.769246	0	-0.8338292	0	-3.660839	0	-2.592629	0	-1.653669	0	-2.859606	0	0.9036083	0	0.2853343	0	0.2202567	0.3636004	-0.08021927	-1.006333	-0.4613392	-0.2939734	-1.671206	-0.2996152	-0.001853831	-0.3286889	-1.374244	-0.9818893	-2.940608	0.1292692	-0.9177609	-1.005345	0.8602664	1.000506	-0.3107679	1.044826						
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232040998	233			5	234	1	478	158	292	292	0.7411171	0	-0.9075873	0	-1.304486	0	0.4355516	0	-0.96913	0	-0.4911606	0	-1.732021	0	-1.465469	0	-0.5758198	0	-1.337122	0	0.7411171	0	0.4355516	0	0.004113799	-0.116131	-0.1688166	-0.9932603	-0.4164884	-0.6351815	-1.964362	-0.05203451	-0.1260488	0.209967	-0.8208696	-0.410555	-2.004657	0.04293875	-0.3670666	-0.02936478	-0.8543794	-0.413089	-0.1119991	0.6387647						
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232041031	266			6	267	1	480	154	293	293	-1.079364	0	-0.4751344	0	-1.128795	0	-0.05048665	0	-0.4007983	0	-0.09627816	0	-1.026026	0	-0.3187744	0	-0.2391867	0	0.5675938	0	-1.079364	0	-0.05048665	0	-0.0300277	-0.02894432	-0.1583067	-0.8899008	-0.5582724	-0.6739725	-1.457397	0.1717712	-0.6831482	-0.3581847	-0.5274072	-0.3424784	-1.15177	-0.6240133	-0.4577793	-0.3930472	-1.481732	-1.107618	-1.198596	0.7985331						
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232041065	300			7	300	1	480	154	295	295	-3.930548	0	-0.1679001	0	-0.4770637	0	-0.857551	0	-1.315138	0	-0.5452832	0	-1.090211	0	0.09115843	0	-0.2187635	0	1.33011	0	-3.930548	0	-0.1679001	0	0.1405951	0.1624364	-0.1999051	-0.9677243	-0.8935302	-0.7093208	-1.496904	-0.3115568	-1.717345	-1.379224	-0.8327159	-0.6587282	-0.5634151	-1.300114	-0.9437647	-1.077313	-1.616644	-1.372611	-2.695227	0.759404						
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232041098	333			8	334	1	480	155	298	298	-4.197207	0	-0.127395	0	-1.371641	0	-1.292841	0	-0.9069359	0	-1.220331	0	-0.9989096	0	0.140898	0	-0.0660647	0	1.445642	0	-4.197207	0	-0.127395	0	0.0878502	0.130349	-0.3193037	-0.998607	-1.123294	-0.9001923	-1.668129	-0.4372655	-1.748185	-0.9174011	-0.6124835	-0.2678263	-0.4668546	-1.472425	-0.6944539	-0.4481712	-2.54196	-1.887413	-2.894404	0.4360275						
TianlinLiuValidation	20180411	0cf41d04d_1___utterance_25	0	MALE	a	TestImage	Emotient FACET	20180325_232041132	367			9	367	1	486	157	294	294	-4.624755	0	-0.3099132	0	-1.467329	0	-1.326859	0	-1.081718	0	-1.66267	0	-0.9887406	0	0.0989484	0	-0.2575873	0	1.574168	0	-4.624755	0	-0.3099132	0	0.05145852	0.08558089	-0.3260353	-1.024905	-1.319636	-1.024825	-2.101907	-0.8075533	-1.780936	-0.9307972	-0.5480799	-0.192369	-0.5020229	-1.661349	-0.6919697	-0.5074204	-2.953849	-2.101424	-3.190633	0.1994258						
