#Study : TianlinLiu
#Date : 20180411 09:05:09
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:58:32.691 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145832757	66			0	67	1	590	154	195	195	-0.6798213	0	-7.996944	0	-0.1341932	0	0.8839238	0	-2.178597	0	-4.032784	0	-5.150343	0	-7.863728	0	-8.758405	0	-2.893958	0	-0.6798213	0	0.8839238	0	3.108829	3.373227	-1.099313	1.542238	-1.581485	-1.684617	-6.933985	-0.6662015	0.04928495	-0.8291329	-1.355449	-0.8527903	-3.757017	0.1183865	-1.655411	-1.785894	0.4121718	-0.8349662	-2.675042	-2.212877						
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145832791	100			1	100	1	590	154	194	194	-0.6630533	0	-7.986079	0	-0.1370359	0	0.8838913	0	-2.174912	0	-4.020237	0	-5.139657	0	-7.845279	0	-8.740797	0	-2.871437	0	-0.6630533	0	0.8838913	0	3.108564	3.372778	-1.099909	1.53619	-1.581583	-1.688153	-6.942513	-0.6639989	0.05262145	-0.8316962	-1.355829	-0.8611417	-3.76151	0.1192264	-1.662489	-1.786453	0.4074895	-0.8402897	-2.675795	-2.208759						
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145832824	133			2	133	1	595	152	196	196	-0.8880198	0	-7.609793	0	-0.3100145	0	1.083206	0	-2.628778	0	-3.845013	0	-4.831843	0	-7.455388	0	-8.371222	0	-3.09915	0	-0.8880198	0	1.083206	0	3.169289	3.431766	-1.00154	1.754671	-1.56748	-1.628689	-6.837021	-0.6483352	-0.1015609	-1.059595	-1.268441	-0.922087	-4.230176	0.2599661	-1.776458	-1.747247	0.5848949	-0.7011558	-2.464807	-2.02239						
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145832857	166			3	167	1	599	152	197	197	-0.9585758	0	-7.759306	0	0.3033827	0	1.003164	0	-3.217627	0	-3.974582	0	-5.360839	0	-8.23338	0	-9.152558	0	-4.047547	0	-0.9585758	0	1.003164	0	3.23142	3.519403	-1.031712	1.823088	-1.664849	-1.461153	-6.578373	-0.6893051	-0.1135553	-0.8596438	-1.11434	-0.5175509	-4.135228	0.1497359	-1.536806	-1.906304	0.8359376	-0.4755768	-2.552531	-1.910066						
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145832890	199			4	200	1	604	151	197	197	-1.08102	0	-8.129978	0	0.04597668	0	1.106018	0	-3.448103	0	-4.747451	0	-5.886348	0	-8.798314	0	-9.548982	0	-4.50805	0	-1.08102	0	1.106018	0	3.410112	3.679467	-1.187322	2.043605	-1.880739	-1.500458	-7.055776	-0.9042079	-0.08539218	-0.7497758	-1.13367	-0.3970461	-4.319396	0.1326591	-1.564386	-1.707273	0.7243478	-0.4896852	-2.516594	-2.020517						
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145832924	233			5	233	1	610	151	195	195	-0.8745382	0	-8.059225	0	-0.311897	0	1.119173	0	-4.019987	0	-4.744484	0	-6.413394	0	-9.219545	0	-10.00073	0	-5.759497	0	-0.8745382	0	1.119173	0	3.535907	3.847225	-1.084422	2.021043	-1.499854	-1.499164	-6.533471	-0.7412768	0.3277027	-0.6705287	-0.9281306	-0.3399677	-5.01242	0.4139528	-1.687398	-1.601155	0.7498981	-0.5207814	-2.489866	-2.091824						
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145832957	266			6	267	1	614	148	196	196	-0.8960038	0	-8.274088	0	-0.3734241	0	1.111385	0	-4.353059	0	-4.967755	0	-6.772094	0	-9.525352	0	-10.2363	0	-6.161174	0	-0.8960038	0	1.111385	0	3.650112	4.049363	-1.048766	2.270563	-1.250401	-1.513961	-6.694992	-0.6898734	0.58474	-0.6376449	-0.9722813	-0.5649483	-5.515861	0.5318878	-1.722288	-1.682309	0.7198825	-0.5513008	-2.562122	-2.497827						
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145832990	299			7	300	1	618	145	195	195	-0.5034873	0	-8.089207	0	-0.6333709	0	1.030867	0	-3.386883	0	-4.749279	0	-6.170769	0	-8.830812	0	-9.547212	0	-5.071023	0	-0.5034873	0	1.030867	0	3.46559	3.736233	-1.072758	2.026532	-1.252217	-1.322889	-6.629323	-0.7256503	0.4974404	-0.5347977	-1.007242	-0.5571428	-4.808567	0.4373311	-1.469452	-1.487262	0.5555406	-0.6235632	-2.541065	-2.237174						
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145833024	333			8	333	1	618	145	196	196	-0.5579684	0	-8.210864	0	-0.5185772	0	1.024722	0	-4.003522	0	-4.851876	0	-6.671028	0	-9.377767	0	-9.915225	0	-5.748433	0	-0.5579684	0	1.024722	0	3.539431	3.962698	-1.141258	2.153695	-1.078164	-1.326249	-6.847032	-0.6056258	0.6668788	-0.5859354	-1.011407	-0.7576378	-5.384665	0.2350435	-1.51595	-1.618845	0.6545955	-0.6269727	-2.647302	-2.503854						
TianlinLiu	20180411	7b3904aa4_2__utterance_22	0	MALE	recording	TestImage	Emotient FACET	20180320_145833057	366			9	367	1	619	148	195	195	-0.2697662	0	-8.363441	0	-0.6322055	0	1.009724	0	-4.032858	0	-5.187527	0	-7.027496	0	-9.956062	0	-10.09362	0	-5.930339	0	-0.2697662	0	1.009724	0	3.451502	3.926091	-1.36167	2.183426	-0.9702802	-1.249421	-7.106175	-0.6672649	0.7641426	-0.6502425	-1.179606	-0.90947	-5.497496	0.09177787	-1.491321	-1.63474	0.6216282	-0.6808785	-2.84452	-2.483856						
