#Study : TianlinLiuValidation
#Date : 20180411 09:25:56
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:26:55.726 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232655809	83			0	83	0																																																						
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232655851	125			1	125	0																																																						
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232655892	166			2	167	1	359	61	165	165	-2.473547	0	-0.05668482	0	-1.258169	0	-2.683624	0	-0.6064883	0	-0.09312478	0	-0.7501132	0	0.4657135	0	0.401442	0	0.4234288	0	-2.473547	0	-0.05668482	0	-0.627772	-0.470882	-0.1222639	-0.8644868	-0.2470491	-0.05760323	0.02099604	-0.2177098	-1.445856	-0.8781615	-0.9181336	-0.3720863	-0.2645456	-1.434885	-1.089143	-0.662378	-0.7843722	-0.7819514	-1.860231	-0.3966072						
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232655934	208			3	209	1	357	61	165	165	-3.016296	0	-0.3098331	0	-0.6976765	0	-2.167529	0	-1.226982	0	-0.2913627	0	-0.579525	0	0.3217832	0	-0.1007853	0	0.6213189	0	-3.016296	0	-0.2913627	0	-0.3336853	-0.3013812	-0.1645834	-1.076062	-0.7773153	-0.3647329	-0.5534624	-0.8807313	-1.667027	-1.229021	-0.4691299	-0.1610858	-0.2607189	-1.388253	-0.7190279	-0.6806401	-0.7883415	-0.8368463	-1.979598	-0.3773854						
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232655976	250			4	250	1	356	61	166	166	-2.923737	0	-0.4781569	0	-0.8363156	0	-1.997445	0	-1.556045	0	-0.1243909	0	-0.6376848	0	0.3271375	0	-0.4043261	0	0.4860044	0	-2.923737	0	-0.1243909	0	-0.1988549	-0.1983545	-0.03147967	-0.9816549	-0.538719	-0.1522415	-0.6771759	-0.6723206	-1.656006	-1.292578	-0.7502186	-0.5498998	-0.3867022	-1.251061	-0.8899977	-0.9240938	-0.3265548	-0.5477965	-2.053165	-0.541987						
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232656017	291			5	292	1	353	61	167	167	-3.124656	0	-0.6945173	0	-0.6879438	0	-1.946149	0	-0.9521158	0	-1.357256	0	-0.4685982	0	0.4201145	0	-0.2406525	0	0.4931936	0	-3.124656	0	-0.4685982	0	-0.01563657	-0.1755349	-0.04595029	-1.131738	-1.204275	-0.5288796	-1.502303	-1.202966	-1.409764	-1.104317	-0.8419446	-0.5882401	-0.1167891	-1.079356	-0.5263266	-0.6439639	-0.7204688	-0.7633283	-2.077018	-0.6344391						
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232656059	333			6	334	1	353	60	168	168	-2.875763	0	-0.6376408	0	-0.6050972	0	-1.79543	0	-0.9383842	0	-1.154944	0	-0.5732419	0	0.4463341	0	-0.2565409	0	0.4645059	0	-2.875763	0	-0.5732419	0	-0.05992455	-0.2097349	-0.07143904	-1.004108	-1.132833	-0.4177613	-1.484734	-1.062104	-1.363839	-1.104943	-0.970714	-0.6552249	-0.08473601	-1.071109	-0.6265451	-0.7126358	-0.5855168	-0.6923752	-2.129664	-0.5226607						
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232656101	375			7	375	1	353	59	170	170	-3.21319	0	-0.5550175	0	-0.6208959	0	-1.811374	0	-1.32946	0	-0.8758534	0	-0.7095541	0	0.4901632	0	-0.3172913	0	0.684187	0	-3.21319	0	-0.5550175	0	-0.2063499	-0.3118689	-0.07558294	-1.053735	-1.023114	-0.4289662	-1.444415	-0.9207392	-1.60037	-1.255352	-1.132411	-0.7505793	0.07194065	-1.087576	-0.8356321	-0.9629059	-0.4132029	-0.5578126	-2.233436	-0.6090228						
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232656143	417			8	417	1	354	60	169	169	-2.611928	0	-0.6640493	0	-0.5421828	0	-1.953244	0	-1.32767	0	-0.4645853	0	-0.831768	0	0.2084146	0	-0.4442373	0	0.5714638	0	-2.611928	0	-0.4645853	0	-0.1367949	-0.1436996	-0.01252753	-0.9415927	-0.6616384	-0.2501026	-0.9631131	-0.7548285	-1.479387	-1.172875	-1.057342	-0.658167	-0.1200502	-1.194616	-0.8651966	-0.94977	-0.2695692	-0.3960325	-1.900413	-0.8658862						
TianlinLiuValidation	20180411	664ea0ccc_31___utterance_704	0	MALE	a	TestImage	Emotient FACET	20180325_232656184	458			9	459	1	354	60	169	169	-2.318879	0	-0.8991517	0	-0.9651501	0	-2.375956	0	-1.494271	0	-0.178955	0	-0.8447415	0	0.1694882	0	-0.424142	0	0.5956503	0	-2.318879	0	-0.178955	0	-0.2468458	-0.1015021	-0.203724	-0.9197671	-0.4239544	-0.1961123	-0.954275	-0.3818035	-1.415243	-1.223515	-0.9983106	-0.6930629	-0.6655873	-0.9881443	-1.125997	-1.161128	-0.0007347843	-0.2537804	-1.774183	-0.7613431						
