#Study : TianlinLiu
#Date : 20180411 09:05:07
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:58:48.519 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848585	66			0	67	1	547	379	348	348	0.2930727	0	-0.2963905	0	-1.345783	0	0.5566069	0	0.382207	0	-0.5693892	0	0.3022195	0	-0.07360835	0	-0.0515929	0	0.5054757	0	0.2930727	0	0.5566069	0	-0.02594706	-0.9907854	0.9441266	-0.5408975	-0.4696991	-0.1116592	-0.6494098	-0.03384471	-0.4517895	0.191813	0.4375867	0.1111728	-0.6861047	-0.3305617	0.07580861	0.5825135	-1.442164	-0.9741209	1.006551	1.445113						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848619	100			1	100	1	549	381	350	350	0.5305695	0	-0.3488808	0	-0.8444455	0	0.7243597	0	0.4033865	0	0.002394127	0	-0.09394582	0	-0.2984212	0	-0.3456646	0	0.6912568	0	0.5305695	0	0.7243597	0	-0.0005260566	-0.5891312	0.4670859	-0.1862992	-0.1573862	-0.1326939	-0.1651485	0.3201862	-0.3189446	-0.006183987	0.4986713	0.2955245	-0.6786481	-0.1539259	-0.2461614	0.5629867	-1.306831	-0.9281882	0.7105451	1.115254						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848652	133			2	133	1	550	379	355	355	0.4584607	0	-0.3856688	0	-0.7926999	0	0.7366831	0	0.3977268	0	-0.06086124	0	0.269973	0	-0.3396761	0	-0.481422	0	0.694196	0	0.4584607	0	0.7366831	0	0.2394574	-0.5968859	0.7150148	-0.1199402	-0.2468018	-0.1617067	-0.2226273	0.330674	-0.3936397	0.01652194	0.5575382	0.360883	-0.4643245	-0.2515027	-0.07016697	0.5707205	-1.368026	-1.007175	0.7887843	1.36414						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848685	166			3	167	1	553	381	351	351	0.5701699	0	-0.3132864	0	-0.5824321	0	0.7048991	0	0.4034293	0	0.09982649	0	0.01707618	0	-0.2644517	0	-0.463227	0	0.8071082	0	0.5701699	0	0.7048991	0	0.03342027	-0.5119928	0.4378338	-0.1175836	-0.1490906	-0.1956676	-0.0394305	0.4262452	-0.3495386	-0.05609084	0.6742563	0.3591376	-0.4145986	-0.2670464	-0.1466399	0.5934334	-1.326209	-0.9356222	0.726855	1.28801						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848719	200			4	200	1	546	377	366	366	0.2915984	0	-0.2655652	0	-0.5030213	0	0.5504646	0	0.4278668	0	-0.03184664	0	0.2499516	0	-0.1928572	0	-0.4735639	0	0.6012183	0	0.2915984	0	0.5504646	0	0.1598646	-0.6410846	0.5429945	-0.2325921	-0.3916915	-0.05859277	-0.2824642	0.3220344	-0.449124	-0.08017579	0.7849058	0.256729	-0.109221	-0.4084552	0.1514312	0.5583481	-1.141816	-0.8077476	0.6498563	1.737005						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848752	233			5	234	1	613	143	123	123	-3.840914	0	-1.430444	0	-1.030504	0	-0.8903799	0	-0.7322123	0	-1.571545	0	-1.185573	0	0.304112	0	-0.8095102	0	1.608367	0	-3.840914	0	-0.7322123	0	-1.081085	-0.9198217	0.05140041	-1.286353	-1.393047	-1.191769	-1.823346	-0.6827297	-1.570666	-1.1733	-1.552341	-1.354378	0.530946	-0.4064105	-0.2348178	-1.370618	-0.2230173	-0.1011642	-1.003515	-0.3865268						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848785	266			6	267	1	611	143	126	126	-3.3653	0	-1.576565	0	-0.6291645	0	-1.057032	0	-0.5659293	0	-2.102417	0	-1.097243	0	0.2092611	0	-0.9637266	0	1.743347	0	-3.3653	0	-0.5659293	0	-1.07946	-0.8704235	-0.3655707	-1.027818	-1.682147	-1.406407	-2.577751	-0.9248177	-1.296305	-0.6634261	-1.910645	-1.025252	0.1980099	-0.4027292	-0.3439898	-0.828581	-0.6221577	-0.1462137	-0.9115459	-0.3836296						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848819	300			7	300	1	611	142	126	126	-3.272677	0	-1.509012	0	-0.7301313	0	-1.06263	0	-0.4776821	0	-1.726251	0	-1.233073	0	0.2422083	0	-0.9749818	0	1.743937	0	-3.272677	0	-0.4776821	0	-1.225896	-0.9366835	-0.3130103	-1.086703	-1.464985	-1.277129	-2.036266	-0.7401485	-1.203945	-0.7597782	-1.79142	-1.020422	0.5252979	-0.5022835	-0.2120553	-0.9235888	-0.5606098	-0.1965632	-1.057236	-0.3806286						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848852	333			8	334	1	611	142	127	127	-3.688084	0	-1.539708	0	-0.722304	0	-1.231489	0	-0.7771147	0	-2.04816	0	-1.332136	0	0.2597955	0	-1.01934	0	1.996316	0	-3.688084	0	-0.7771147	0	-1.256323	-0.9574346	-0.4440566	-1.165573	-1.716494	-1.370645	-2.620741	-0.948196	-1.400304	-0.8479245	-2.02419	-1.143791	0.2133103	-0.4944194	-0.3918723	-0.900782	-0.5892319	-0.2442064	-1.163103	-0.5306993						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848886	367			9	367	1	611	141	129	129	-3.528934	0	-1.509679	0	-0.8469857	0	-1.036192	0	-0.9094536	0	-2.176705	0	-1.309983	0	0.3086499	0	-0.8814189	0	2.005168	0	-3.528934	0	-0.9094536	0	-1.155312	-0.8966218	-0.4870298	-1.036098	-1.867442	-1.312882	-2.986582	-0.9650645	-1.449224	-0.84586	-2.079017	-1.356595	-0.2056341	-0.4714397	-0.5332623	-0.8857523	-0.6332594	-0.2936362	-1.27272	-0.9700605						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848919	400			10	400	1	612	141	125	125	-3.400119	0	-1.28179	0	-0.8913112	0	-1.045227	0	-0.4330998	0	-1.458045	0	-1.412127	0	0.2862579	0	-0.8601505	0	1.546337	0	-3.400119	0	-0.4330998	0	-1.249231	-0.9568306	-0.0819741	-0.9623879	-1.305614	-0.9907711	-1.775395	-0.6073607	-1.28303	-0.9554895	-1.679243	-1.22471	0.7546782	-0.5050465	-0.2038603	-1.211185	-0.2635336	-0.01650214	-1.111948	-0.853595						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848952	433			11	434	1	612	140	128	128	-3.854947	0	-1.425066	0	-0.9294339	0	-1.301212	0	-1.034432	0	-2.167683	0	-1.463526	0	0.3322947	0	-0.8751487	0	2.068908	0	-3.854947	0	-1.034432	0	-1.201429	-0.9341767	-0.4329894	-1.102007	-2.010344	-1.272617	-2.965287	-1.02366	-1.597081	-0.9949677	-2.177825	-1.455759	-0.06263061	-0.5865733	-0.564152	-0.9642056	-0.5103682	-0.257296	-1.390746	-1.289101						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145848986	467			12	467	1	612	141	126	126	-3.760106	0	-1.553652	0	-0.7875211	0	-1.422238	0	-0.8127204	0	-2.202686	0	-1.661067	0	0.2000896	0	-1.059888	0	2.062159	0	-3.760106	0	-0.8127204	0	-1.269039	-0.9910054	-0.4712328	-1.036834	-1.952949	-1.395131	-2.916868	-1.075973	-1.553125	-0.9528652	-2.246286	-1.384566	0.1536011	-0.54651	-0.5373906	-1.066599	-0.4608546	-0.1566139	-1.250968	-1.029906						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145849019	500			13	500	1	610	141	128	128	-4.108851	0	-1.366128	0	-0.8713915	0	-1.559019	0	-1.106764	0	-2.210028	0	-1.393542	0	0.3752509	0	-0.8488605	0	1.958218	0	-4.108851	0	-1.106764	0	-1.223842	-0.9484255	-0.3809149	-1.159779	-1.899722	-1.25061	-2.835745	-1.116542	-1.64388	-1.011902	-2.138471	-1.317236	0.1569244	-0.7352829	-0.4608833	-0.9415042	-0.5508156	-0.2829754	-1.426407	-1.171271						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145849052	533			14	534	1	609	142	126	126	-3.592768	0	-1.407402	0	-0.5960387	0	-1.26546	0	-0.7589104	0	-2.14496	0	-1.445659	0	0.3146962	0	-0.8687426	0	1.780599	0	-3.592768	0	-0.7589104	0	-1.209799	-0.9601464	-0.4382054	-0.976872	-1.947578	-1.428231	-2.870805	-1.084342	-1.502678	-0.8475853	-2.163023	-1.274242	0.1124034	-0.5474914	-0.5266786	-0.9872629	-0.5208915	-0.08294029	-1.100927	-0.6046779						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145849086	567			15	567	1	607	141	128	128	-4.158962	0	-1.374814	0	-0.629448	0	-1.371529	0	-1.199502	0	-2.387407	0	-1.091089	0	0.3753568	0	-0.8874921	0	1.818527	0	-4.158962	0	-1.091089	0	-1.086773	-0.8565484	-0.3721751	-0.9601632	-1.95868	-1.332613	-2.97545	-1.281533	-1.755381	-1.025667	-2.011959	-1.274911	0.08859564	-0.7749069	-0.5144014	-0.9565572	-0.7353491	-0.3373239	-1.454827	-0.7600525						
TianlinLiu	20180411	7d0084def_3__utterance_35	0	MALE	recording	TestImage	Emotient FACET	20180320_145849119	600			16	601	1	608	142	124	124	-5.240878	0	-0.9960709	0	-1.439137	0	-1.934684	0	-1.184168	0	-2.049783	0	-0.8250688	0	0.7854308	0	-0.3561403	0	1.627312	0	-5.240878	0	-0.8250688	0	-1.070301	-1.043117	0.1090218	-1.656352	-1.543979	-1.171473	-1.952649	-1.301753	-2.220503	-1.309442	-1.567827	-1.015258	1.073321	-0.9523654	-0.1235807	-1.037747	-0.7918403	-0.3690589	-1.413306	-0.1996888						
