#Study : TianlinLiuValidation
#Date : 20180411 09:26:19
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:23:32.574 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332640	66			0	67	1	312	61	69	69	-1.037487	0	-6.154818	0	-0.6557722	0	1.888337	0	-1.387976	0	-3.628576	0	-0.1282989	0	-4.251327	0	-4.924407	0	-2.323986	0	-1.037487	0	1.888337	0	3.287123	2.195554	-0.08683023	0.09272746	-0.9546241	-0.5799924	-6.378012	-1.374356	0.09725197	-0.5788963	-1.298122	-1.8825	-2.639385	0.7096267	-1.537574	-1.459843	1.542023	0.1916988	-2.37819	-2.335092						
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332674	100			1	100	1	312	61	69	69	-0.6809935	0	-6.124737	0	-0.8992418	0	1.969049	0	-1.528408	0	-3.076603	0	-0.1375509	0	-4.277388	0	-4.680877	0	-2.299309	0	-0.6809935	0	1.969049	0	3.133108	2.091148	-0.02398259	0.0857263	-0.9019844	-0.5856958	-5.909331	-0.881479	0.1725778	-0.4851466	-1.169959	-1.715481	-3.128112	0.8908363	-1.480791	-1.344173	1.489841	0.0553314	-1.918436	-2.284265						
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332707	133			2	133	1	312	60	69	69	-0.5042256	0	-6.305068	0	-0.7212412	0	1.825665	0	-2.13713	0	-3.150806	0	-0.5317861	0	-4.667941	0	-4.87406	0	-2.671788	0	-0.5042256	0	1.825665	0	3.201984	2.239526	-0.0996742	0.2642461	-0.7333224	-0.5042809	-5.906408	-0.7044341	0.2013646	-0.640073	-1.271835	-1.797101	-3.569835	0.8301351	-1.710796	-1.536326	1.795497	0.3004328	-2.040114	-2.414187						
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332740	166			3	167	1	312	60	69	69	-0.5450072	0	-6.223851	0	-1.163409	0	2.191771	0	-2.239072	0	-2.816406	0	-0.5776908	0	-4.974877	0	-4.923768	0	-3.082571	0	-0.5450072	0	2.191771	0	3.149133	2.102273	-0.04488861	0.2395152	-0.6723828	-0.4844425	-5.605711	-0.4014393	0.2767531	-0.5212593	-1.014529	-1.626433	-3.908685	1.030077	-1.546494	-1.408802	1.707873	0.1268411	-1.883505	-2.578202						
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332774	200			4	200	1	312	60	70	70	-0.8688478	0	-6.638968	0	-1.428607	0	2.32184	0	-2.383773	0	-2.851915	0	-0.4087264	0	-5.242592	0	-5.358431	0	-3.390484	0	-0.8688478	0	2.32184	0	3.422097	2.183971	0.0867549	0.1348081	-0.6449361	-0.5032473	-5.605393	-0.4187547	0.273195	-0.5447539	-0.9864882	-1.67742	-4.02303	1.067405	-1.634428	-1.397033	1.850424	0.1213271	-1.935955	-2.8093						
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332807	233			5	234	1	312	59	70	70	-0.6457589	0	-6.511786	0	-1.514085	0	2.341081	0	-2.410915	0	-2.69467	0	-0.6662545	0	-5.380169	0	-5.215386	0	-3.543713	0	-0.6457589	0	2.341081	0	3.264002	2.129853	0.004532348	0.1801237	-0.6602091	-0.4768595	-5.377185	-0.2204399	0.3314135	-0.5163724	-0.9410014	-1.632409	-4.107194	1.075843	-1.552284	-1.410926	1.872387	0.1615079	-1.821719	-2.757776						
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332840	266			6	267	1	312	59	69	69	-0.2523971	0	-6.573565	0	-1.310042	0	2.104949	0	-2.8984	0	-2.675223	0	-1.039539	0	-5.50877	0	-5.343978	0	-3.59789	0	-0.2523971	0	2.104949	0	3.224213	2.24953	-0.04913735	0.2638789	-0.5267079	-0.3822318	-5.401198	-0.1361726	0.4137635	-0.6451367	-0.9816545	-1.725259	-4.469589	1.112377	-1.708403	-1.570584	2.11851	0.3012137	-1.980521	-2.805964						
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332874	300			7	300	1	312	59	70	70	-0.7563413	0	-6.946677	0	-1.839362	0	2.335514	0	-2.760842	0	-3.088635	0	-0.8853391	0	-5.876089	0	-5.695785	0	-3.795406	0	-0.7563413	0	2.335514	0	3.531847	2.256625	-0.0008162807	0.2657071	-0.6816022	-0.4656535	-5.78585	-0.4759335	0.3889937	-0.5032835	-1.048567	-1.633368	-4.382357	1.173009	-1.563409	-1.318514	1.915528	0.2052038	-1.726412	-3.384644						
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332907	333			8	334	1	312	59	69	69	-0.5236826	0	-6.851079	0	-1.84984	0	2.163599	0	-3.010682	0	-3.12463	0	-1.030143	0	-5.821977	0	-5.739317	0	-3.854758	0	-0.5236826	0	2.163599	0	3.419247	2.208726	-0.01362797	0.2081496	-0.6012163	-0.3483213	-5.695142	-0.5317145	0.4021515	-0.5047607	-1.003266	-1.684134	-4.413074	1.132064	-1.507274	-1.273298	2.00387	0.2417683	-1.838671	-3.336463						
TianlinLiuValidation	20180411	2debca276_2___utterance_22	0	MALE	a	TestImage	Emotient FACET	20180325_232332941	367			9	367	1	312	59	69	69	0.5584649	0	-6.790612	0	-2.774916	0	1.470799	0	-2.248886	0	-3.102336	0	-0.4110627	0	-5.28258	0	-4.891212	0	-3.120274	0	0.5584649	0	1.470799	0	3.179864	1.92954	-0.2161911	-0.2113649	-0.4376076	-0.5164187	-5.557532	-0.4156098	0.7714418	-0.06040038	-0.8625488	-1.505421	-3.716861	0.5329536	-1.285596	-0.777541	1.183666	-0.2024876	-1.599497	-3.544713						
