#Study : TianlinLiuValidation
#Date : 20180411 09:25:45
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:28:37.041 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837124	83			0	83	1	587	61	103	103	-0.6110621	0	-1.751326	0	-4.921019	0	-2.255317	0	-1.724361	0	1.535494	0	-1.73501	0	-4.917113	0	-3.452811	0	-4.342887	0	-0.6110621	0	1.535494	0	-0.4073579	-0.8205096	-1.03712	-2.538971	0.3282266	-1.174713	-1.05237	2.081949	0.1864701	-1.13205	-0.2230871	-0.02968404	-2.234082	-0.4835354	-1.126286	-1.358359	0.1365589	-0.5059362	-2.706712	1.410392						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837166	125			1	125	1	588	63	103	103	-0.6281149	0	-1.529489	0	-4.831077	0	-2.576316	0	-0.9349423	0	1.504406	0	-1.365373	0	-4.06037	0	-2.801006	0	-3.602913	0	-0.6281149	0	1.504406	0	-0.5094749	-0.9617519	-0.9279777	-2.431784	0.4504884	-1.154571	-0.6880839	2.133314	0.3160311	-0.8961823	0.1883972	0.3871329	-1.259625	-0.6401474	-0.9350672	-1.036042	-0.4123082	-0.9147394	-2.664833	1.424372						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837207	166			2	167	1	588	63	102	102	-0.6614777	0	-1.320412	0	-4.975061	0	-2.913645	0	-0.8187011	0	1.507779	0	-1.190997	0	-3.706324	0	-2.446213	0	-3.335211	0	-0.6614777	0	1.507779	0	-0.6819141	-1.110222	-1.182514	-2.75697	0.5591222	-1.312314	-0.7468799	2.164465	0.4417672	-0.8525617	0.2550448	0.5820498	-1.273871	-0.7802857	-0.8668874	-0.8420133	-0.792258	-1.173415	-2.690115	1.299646						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837249	208			3	209	1	588	64	102	102	-1.377143	0	-1.246128	0	-5.069356	0	-3.051847	0	-1.106403	0	1.909727	0	-1.226632	0	-3.877627	0	-2.724629	0	-3.608878	0	-1.377143	0	1.909727	0	-0.8081681	-1.231022	-1.168021	-2.796299	0.4230644	-1.382813	-0.4455319	2.674731	0.2661212	-1.009485	0.6856408	0.7979835	-1.521662	-0.9361262	-0.8491648	-1.077875	-0.7473376	-1.262972	-2.983223	1.450868						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837291	250			4	250	1	588	64	102	102	-0.8666264	0	-1.051062	0	-4.40097	0	-2.815778	0	-0.7306335	0	1.521927	0	-0.9570323	0	-2.952362	0	-1.952553	0	-2.612461	0	-0.8666264	0	1.521927	0	-0.7260387	-1.075654	-1.161707	-2.737579	0.5113185	-1.199522	-0.7690851	2.070803	0.435556	-0.8368704	0.5302233	0.6168935	-1.125825	-0.83525	-0.8296151	-0.8399827	-0.9244211	-1.256106	-2.282087	1.320424						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837332	291			5	292	1	588	64	103	103	-0.8202909	0	-0.6322529	0	-3.378323	0	-2.030072	0	-0.3786994	0	0.9951414	0	-0.7495961	0	-1.875124	0	-0.591334	0	-1.608534	0	-0.8202909	0	0.9951414	0	-0.2848389	-0.6416383	-0.9386801	-2.25653	0.1169079	-0.9731857	-1.283422	1.434329	0.03057296	-0.7882005	-0.06286442	0.1638858	-0.5317721	-0.1964573	-1.028245	-0.6903408	-0.682539	-0.6466835	-1.485143	1.680346						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837374	333			6	334	1	589	64	102	102	-0.8478612	0	-0.6555432	0	-3.093628	0	-1.817745	0	-0.5767643	0	0.9995943	0	-0.7240984	0	-1.742338	0	-0.7311918	0	-1.491947	0	-0.8478612	0	0.9995943	0	-0.2298565	-0.4772765	-0.8461853	-2.112705	0.2346481	-0.7887327	-1.351998	1.44299	0.1163498	-0.9433292	0.1429387	0.04457875	-0.6256187	0.0008190994	-1.097235	-0.9382918	-0.4557933	-0.6024107	-1.684834	1.595721						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837416	375			7	375	1	589	65	102	102	-1.252392	0	-0.6462292	0	-2.945507	0	-1.894773	0	-0.5355415	0	1.100689	0	-0.4826335	0	-1.690974	0	-0.8995611	0	-1.321264	0	-1.252392	0	1.100689	0	-0.2923901	-0.5230788	-0.8437676	-1.919978	0.02814936	-0.9894083	-1.264043	1.535072	-0.03318454	-1.149643	0.4884394	0.06754306	-0.5939794	0.02171918	-1.023852	-0.9676386	-0.4208705	-0.5896605	-1.851177	1.751495						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837458	417			8	417	1	589	65	101	101	-2.511921	0	-0.6895828	0	-2.766724	0	-2.218757	0	-1.248936	0	1.686762	0	-0.2275784	0	-2.482708	0	-2.285656	0	-2.019832	0	-2.511921	0	1.686762	0	-0.492255	-0.6807657	-0.784647	-2.120354	-0.1945672	-1.28423	-1.296015	2.237551	-0.231115	-1.980815	1.402919	0.4117118	-1.07589	-0.3361114	-1.172082	-1.580567	-0.2370449	-0.8278639	-3.189011	2.028655						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837499	458			9	459	1	589	64	103	103	-3.679017	0	-0.5187812	0	-3.251044	0	-2.804857	0	-1.62361	0	2.02798	0	-0.3117661	0	-3.040382	0	-2.793436	0	-2.693968	0	-3.679017	0	2.02798	0	-0.7658997	-0.9713887	-0.7974312	-2.605632	-0.5249122	-1.740417	-0.8923322	2.882782	-0.5542868	-2.29939	1.638631	0.8055479	-1.192952	-0.7641177	-1.067103	-1.663829	-0.4475041	-1.065627	-3.865107	2.028101						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837541	500			10	500	1	590	64	103	103	-2.919187	0	-0.5676726	0	-4.887236	0	-2.669405	0	-1.070791	0	1.819312	0	0.3959997	0	-3.258438	0	-2.446218	0	-3.122149	0	-2.919187	0	1.819312	0	-0.5548598	-0.8622632	-0.7239419	-2.651295	-0.1340476	-1.782557	-0.7386857	3.073623	-0.2065155	-1.62389	1.996667	1.423107	-1.373431	-0.7286852	-0.6206218	-0.8242735	-1.523814	-1.76007	-3.496485	1.524063						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837583	542			11	542	1	591	64	101	101	-1.678031	0	-0.5866338	0	-5.142645	0	-2.269031	0	-0.6927251	0	1.300282	0	0.3061899	0	-2.799332	0	-1.737897	0	-2.643635	0	-1.678031	0	1.300282	0	-0.5186486	-0.795267	-0.8845561	-2.465036	0.1537142	-1.53293	-1.052635	2.487535	0.1782902	-1.196199	1.709162	1.16362	-1.111384	-0.3372485	-0.4037621	-0.3733584	-1.703766	-1.568932	-2.581648	1.418263						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837624	583			12	584	1	591	63	100	100	-0.8527033	0	-0.5421914	0	-4.918889	0	-2.126797	0	-0.4789696	0	1.02746	0	-0.1034926	0	-2.219933	0	-1.094467	0	-2.180598	0	-0.8527033	0	1.02746	0	-0.4260498	-0.7055666	-0.9170848	-2.378592	0.5422319	-1.202119	-0.7473624	2.016053	0.4793784	-0.6812145	1.146718	1.041231	-0.8560453	-0.4882159	-0.3000493	-0.101424	-1.722379	-1.417248	-2.021481	1.081659						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837666	625			13	626	1	592	60	102	102	-0.01205435	0	-0.8872644	0	-3.242651	0	-1.840778	0	-0.4763591	0	0.6173843	0	-1.172134	0	-1.911058	0	-0.5189748	0	-1.509512	0	-0.01205435	0	0.6173843	0	-0.1606668	-0.5017579	-0.8754656	-2.334329	0.2178179	-0.6717132	-1.48295	0.9921499	0.3050787	-0.6212325	-0.1575723	-0.2607048	-0.4585407	0.07095388	-1.049862	-0.6646959	-0.2482307	-0.08307594	-0.8285094	1.688135						
TianlinLiuValidation	20180411	784a2f83f_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232837708	667			14	667	1	593	60	102	102	0.3007591	0	-0.9674155	0	-3.174431	0	-1.663779	0	-0.7407926	0	0.4205876	0	-1.758919	0	-2.044502	0	-0.3786542	0	-1.690145	0	0.3007591	0	0.4205876	0	-0.07810219	-0.4513765	-0.7367387	-2.375059	0.1966355	-0.4300056	-1.575773	0.9745405	0.3065512	-0.547439	-0.3349351	-0.4847259	-0.5219353	0.1576739	-1.3404	-0.6500247	-0.06345774	0.02570367	-0.4706385	1.769477						
