#Study : TianlinLiuValidation
#Date : 20180411 09:26:18
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:23:37.025 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337108	83			0	83	1	517	90	205	205	-1.254195	0	-1.483281	0	-1.236122	0	0.05950395	0	-0.2279092	0	-0.8379276	0	0.03609948	0	-0.9929104	0	-0.7148855	0	0.895858	0	-1.254195	0	0.05950395	0	0.4674828	0.3786685	-1.150654	-1.358115	-1.550371	-2.121056	-2.325366	-1.065051	-1.091952	-0.1338135	-0.8507223	-0.2453616	-1.788368	-0.4197453	-0.8966395	0.1251278	-1.934071	-1.408966	-0.2266417	1.620859						
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337150	125			1	125	1	527	94	195	195	-1.937091	0	-1.391309	0	-1.568485	0	0.3013131	0	-0.1071212	0	-0.9378785	0	-0.2251789	0	-0.4123006	0	-0.5114577	0	0.821996	0	-1.937091	0	0.3013131	0	0.4677511	0.3896192	-0.7988473	-0.4705398	-1.506494	-1.353778	-1.97927	-0.7060429	-1.178073	-0.5863099	-0.06001215	-0.5009226	-2.726495	0.1595332	-1.373258	-0.3680736	-1.657218	-1.393081	-0.5037319	0.5630744						
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337191	166			2	167	1	524	90	202	202	-1.831951	0	-1.17287	0	-1.245534	0	0.0414376	0	-0.1605815	0	-0.9980783	0	0.1275653	0	-0.6810495	0	-0.5783691	0	0.8437591	0	-1.831951	0	0.1275653	0	0.420195	0.4002601	-0.9403771	-0.7489044	-1.670184	-1.859342	-2.126312	-1.216494	-1.263271	-0.4557794	-0.2546028	-0.02222974	-1.994656	-0.2941836	-0.9852854	0.1019981	-2.042818	-1.44905	-0.2436228	1.001293						
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337233	208			3	209	1	526	92	200	200	-1.827739	0	-0.9670441	0	-1.316395	0	0.1158938	0	-0.07869828	0	-0.8751568	0	0.1529372	0	-0.4214713	0	-0.3858032	0	0.7510604	0	-1.827739	0	0.1529372	0	0.4059851	0.390838	-0.8752011	-0.5782077	-1.556214	-1.678879	-1.987922	-1.046474	-1.134195	-0.3707694	-0.1253171	-0.04108325	-2.044562	-0.1990764	-1.024445	0.1538292	-2.066324	-1.511744	-0.1854702	0.9435738						
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337275	250			4	250	1	527	92	201	201	-1.975749	0	-0.8148569	0	-1.201214	0	0.02774244	0	0.1730123	0	-1.033345	0	0.1787194	0	-0.4040551	0	-0.338024	0	0.6929882	0	-1.975749	0	0.1787194	0	0.3236333	0.3392155	-0.8005339	-0.5462063	-1.700365	-1.611986	-1.965914	-1.003201	-1.097368	-0.2374801	0.0677885	0.08688735	-1.68179	-0.2906493	-0.9609353	0.2536149	-2.105557	-1.447665	-0.08890463	1.024408						
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337316	291			5	292	1	527	92	201	201	-1.554873	0	-0.6322083	0	-1.219923	0	0.1390382	0	0.2935167	0	-0.9682401	0	0.2388708	0	-0.381151	0	-0.1539797	0	0.518749	0	-1.554873	0	0.2935167	0	0.2461755	0.2666602	-0.7997475	-0.6571701	-1.617042	-1.611094	-1.858301	-0.8780216	-0.8646556	-0.02393395	0.1202299	0.2983052	-1.503984	-0.3766094	-0.7483067	0.4664147	-2.13946	-1.431841	0.1851205	1.084041						
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337358	333			6	334	1	525	89	204	204	-1.166582	0	-0.8307054	0	-1.395316	0	0.1767343	0	-0.1279431	0	-1.043191	0	0.1100673	0	-0.8145759	0	-0.2159583	0	0.5405217	0	-1.166582	0	0.1767343	0	0.2604488	0.2249694	-1.123093	-1.13274	-1.686352	-2.165023	-2.021083	-1.244064	-0.9800721	0.1636195	-0.3940102	0.28176	-1.716146	-0.4733752	-0.3562293	0.6578075	-2.314818	-1.422922	0.3625763	1.210075						
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337400	375			7	375	1	526	89	204	204	-1.305515	0	-0.8426828	0	-1.329384	0	0.2472841	0	-0.07894128	0	-1.132858	0	0.08558534	0	-0.8309669	0	-0.2319612	0	0.5452117	0	-1.305515	0	0.2472841	0	0.2076236	0.2016281	-1.160581	-1.038503	-1.779278	-2.162545	-2.104483	-1.316813	-1.042824	0.02156746	-0.1911604	0.3615173	-1.780229	-0.4336562	-0.4566786	0.6217214	-2.40467	-1.464472	0.3674646	1.246696						
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337442	417			8	417	1	525	89	207	207	-0.9795625	0	-0.4946374	0	-1.233432	0	0.2202646	0	0.1406754	0	-1.054915	0	0.1639813	0	-0.6373301	0	0.02661416	0	0.4686559	0	-0.9795625	0	0.2202646	0	0.08879725	0.1175901	-1.140797	-1.220679	-1.618248	-1.999701	-2.01234	-0.961423	-0.7614487	0.1639199	0.02592475	0.5724584	-1.375136	-0.7980773	-0.1758104	0.7477993	-2.51808	-1.657153	0.05303054	1.704058						
TianlinLiuValidation	20180411	3974e282c_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232337483	458			9	459	1	520	86	213	213	-0.7709973	0	-0.3854233	0	-0.9276308	0	0.4328984	0	0.09511201	0	-0.9241175	0	-0.01481072	0	-0.6539606	0	0.1431316	0	0.5865994	0	-0.7709973	0	0.4328984	0	0.1594618	0.1012874	-1.335579	-1.363541	-1.449764	-1.963648	-2.032095	-0.77328	-0.645902	0.3216338	-0.2168811	0.6031845	-0.9432362	-0.9882565	0.1321007	0.9449722	-2.508665	-1.650995	0.1951277	2.157991						
