#Study : TianlinLiu
#Date : 20180411 09:05:03
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:59:23.837 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145923903	66			0	67	1	196	69	30	30	-1.101755	0	-4.150767	0	-1.023189	0	-3.118616	0	0.1194169	0	-3.052639	0	-1.440452	0	-2.098253	0	-2.122565	0	1.381644	0	-1.101755	0	0.1194169	0	0.08437234	-0.1278562	-1.021329	-2.657341	-2.244274	-1.715647	-3.541915	-2.314962	-0.1239696	0.4900698	-2.011817	-0.9378743	-0.1075228	-1.918412	-0.3107774	-0.1528415	-0.4049685	0.1779105	-2.240388	-0.4217352						
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145923937	100			1	100	1	196	69	30	30	-1.101755	0	-4.150767	0	-1.023189	0	-3.118616	0	0.1194169	0	-3.052639	0	-1.440452	0	-2.098253	0	-2.122565	0	1.381644	0	-1.101755	0	0.1194169	0	0.08437234	-0.1278562	-1.021329	-2.657341	-2.244274	-1.715647	-3.541915	-2.314962	-0.1239696	0.4900698	-2.011817	-0.9378743	-0.1075228	-1.918412	-0.3107774	-0.1528415	-0.4049685	0.1779105	-2.240388	-0.4217352						
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145923970	133			2	133	1	196	69	30	30	-1.900194	0	-3.985117	0	-0.7510942	0	-3.632923	0	-0.4741956	0	-2.774546	0	-1.866708	0	-2.19924	0	-2.391606	0	0.7615697	0	-1.900194	0	-0.4741956	0	0.07184806	-0.1400493	-0.9553496	-2.612015	-2.214831	-1.773088	-2.920752	-2.268712	-0.497426	0.01491348	-2.203751	-1.223335	-0.03964482	-1.905117	-0.3999342	-0.6219473	0.1964864	0.7460997	-2.479642	0.2939335						
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145924003	166			3	167	0																																																						
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145924037	200			4	200	0																																																						
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145924070	233			5	234	1	194	68	31	31	-1.492595	0	-4.078802	0	-1.309896	0	-2.75493	0	0.2032918	0	-2.890213	0	-0.9053001	0	-1.922543	0	-2.251069	0	1.426261	0	-1.492595	0	0.2032918	0	0.2064735	-0.1732896	-0.9871486	-2.429337	-2.195145	-1.586899	-3.685453	-2.176569	-0.3381437	0.4354427	-1.72274	-0.9845821	-0.1259831	-1.902639	-0.67564	-0.1172687	-0.6074964	0.04583399	-2.294464	-0.2752251						
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145924103	266			6	267	1	194	68	31	31	-1.492595	0	-4.078802	0	-1.309896	0	-2.75493	0	0.2032918	0	-2.890213	0	-0.9053001	0	-1.922543	0	-2.251069	0	1.426261	0	-1.492595	0	0.2032918	0	0.2064735	-0.1732896	-0.9871486	-2.429337	-2.195145	-1.586899	-3.685453	-2.176569	-0.3381437	0.4354427	-1.72274	-0.9845821	-0.1259831	-1.902639	-0.67564	-0.1172687	-0.6074964	0.04583399	-2.294464	-0.2752251						
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145924137	300			7	300	1	194	69	29	29	-1.905997	0	-4.447446	0	-1.41664	0	-2.850427	0	-0.4042396	0	-3.087276	0	-0.9118032	0	-2.195891	0	-2.653161	0	1.364601	0	-1.905997	0	-0.4042396	0	0.1928873	-0.1123142	-1.020143	-2.515595	-2.294404	-1.685526	-3.779086	-2.143184	-0.4878175	0.115862	-1.566353	-1.00869	-0.2494065	-1.357713	-0.5724996	-0.4400546	-0.1975628	0.3322547	-2.078976	0.003249624						
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145924170	333			8	334	1	194	69	30	30	-1.933633	0	-4.487438	0	-1.595598	0	-2.924087	0	-0.2034847	0	-3.162815	0	-0.6961776	0	-2.110926	0	-2.567124	0	1.680291	0	-1.933633	0	-0.2034847	0	0.1744547	-0.1292029	-1.050409	-2.583639	-2.419513	-1.716739	-4.008811	-2.182061	-0.5185522	0.1722675	-1.548515	-0.964297	-0.3079062	-1.495441	-0.6358678	-0.4001845	-0.4449749	0.1069204	-2.216072	-0.1854313						
TianlinLiu	20180411	7f71caf17_1__utterance_14	0	MALE	recording	TestImage	Emotient FACET	20180320_145924204	367			9	367	1	193	68	30	30	-1.862303	0	-4.255771	0	-1.684521	0	-3.10552	0	0.1021323	0	-3.06211	0	-0.7859983	0	-1.833554	0	-2.347262	0	1.7149	0	-1.862303	0	0.1021323	0	0.02952688	-0.1820995	-0.9921057	-2.584995	-2.491964	-1.754641	-3.933319	-2.255172	-0.5345834	0.3548888	-1.728074	-0.9325892	-0.3222556	-1.671577	-0.6876798	-0.2880487	-0.7054804	-0.05727393	-2.218869	-0.2694207						
