#Study : TianlinLiuValidation
#Date : 20180411 09:25:52
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:27:42.896 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232742962	66			0	67	1	523	297	284	284	1.095328	0	-2.543646	0	1.799008	0	-1.371784	0	-2.613441	0	-1.946338	0	-5.975774	0	-7.161757	0	-4.786216	0	-4.304664	0	1.095328	0	-1.371784	0	-0.7357036	-0.07369427	-1.655461	0.9024117	-1.229337	-1.044347	-3.499435	-0.4075549	0.5784636	-0.8650651	-2.368346	-1.560019	-4.414909	-1.13188	-1.004094	-2.375543	1.773757	1.374415	-2.928971	-4.514568						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232742996	100			1	100	1	523	291	281	281	1.39116	0	-2.984257	0	1.231723	0	-0.7034022	0	-3.530505	0	-2.23399	0	-6.2855	0	-7.48085	0	-5.463555	0	-4.403583	0	1.39116	0	-0.7034022	0	-0.3741694	0.2820109	-1.727805	0.7044638	-0.9802406	-0.9189394	-4.246257	-0.4960248	0.7842736	-0.8543054	-2.472925	-1.763663	-5.098469	-0.6008226	-1.15147	-2.328785	2.163689	1.64242	-2.591853	-4.668739						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743029	133			2	133	1	521	286	280	280	1.643818	0	-3.405794	0	1.288403	0	-0.691521	0	-3.905885	0	-2.41506	0	-6.502589	0	-8.015141	0	-6.08817	0	-4.813375	0	1.643818	0	-0.691521	0	-0.004029441	0.7557445	-1.984157	0.8646554	-0.8435827	-0.8833976	-4.668387	-0.4197478	0.9874064	-0.8187003	-2.201835	-1.668588	-5.415934	-0.4913464	-1.233878	-2.399751	2.155508	1.609631	-2.669363	-4.363667						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743062	166			3	167	1	521	282	277	277	1.497312	0	-3.154479	0	1.583251	0	-0.380074	0	-4.282624	0	-2.611105	0	-6.709344	0	-8.239321	0	-6.362511	0	-5.074156	0	1.497312	0	-0.380074	0	0.07771441	1.016255	-1.919352	1.184404	-0.786077	-0.6836721	-5.201454	-0.5227702	0.9081558	-0.7011951	-2.280896	-1.715657	-5.366384	-0.3875593	-1.226437	-2.368056	2.168978	1.9397	-2.724106	-4.350232						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743095	199			4	200	1	522	279	274	274	1.643556	0	-3.506312	0	1.440328	0	-0.1704551	0	-4.48324	0	-2.981152	0	-6.978895	0	-8.715462	0	-6.805078	0	-5.366081	0	1.643556	0	-0.1704551	0	0.2128032	1.252764	-1.907155	1.303513	-0.7726784	-0.5501153	-5.730327	-0.3678137	0.9937509	-0.5197867	-2.09549	-1.678483	-5.364033	-0.311962	-1.237664	-2.216346	2.020669	1.882011	-2.806949	-4.617494						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743129	233			5	233	1	523	277	271	271	1.849149	0	-4.330471	0	1.759201	0	-0.2664658	0	-5.102187	0	-3.4436	0	-7.85935	0	-10.03394	0	-7.870739	0	-5.929671	0	1.849149	0	-0.2664658	0	0.609933	1.690969	-2.13279	1.458312	-0.7920074	-0.5055529	-6.277654	-0.3344247	1.132703	-0.5864098	-2.218772	-1.793849	-5.944418	-0.4546958	-1.415208	-2.51412	2.238782	2.066341	-3.175049	-4.904298						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743162	266			6	267	1	521	273	271	271	2.440136	0	-4.276731	0	1.191786	0	-0.4491539	0	-5.259665	0	-3.39008	0	-7.650516	0	-9.387424	0	-7.421212	0	-5.81738	0	2.440136	0	-0.4491539	0	0.2521865	1.204053	-1.980509	0.9642332	-0.5884694	-0.3835624	-5.952483	-0.3682481	1.269435	-0.4118454	-1.995432	-1.697151	-5.943624	-0.3058062	-1.241172	-2.166411	2.137344	1.917431	-2.774432	-4.603395						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743195	299			7	300	1	522	271	270	270	2.402468	0	-4.433021	0	1.322107	0	-0.3495147	0	-5.288036	0	-3.460926	0	-7.866483	0	-9.632105	0	-7.78892	0	-5.872599	0	2.402468	0	-0.3495147	0	0.350654	1.3601	-2.016882	1.075973	-0.5569671	-0.2966302	-6.119816	-0.4197196	1.306054	-0.434236	-1.988382	-1.715779	-5.940672	-0.3710258	-1.383297	-2.222833	2.109643	1.909785	-2.957766	-4.637773						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743229	333			8	333	1	523	269	266	266	2.14755	0	-4.611869	0	1.64409	0	-0.3109224	0	-5.374479	0	-3.559884	0	-8.298647	0	-10.24824	0	-8.504345	0	-6.160623	0	2.14755	0	-0.3109224	0	0.5869567	1.727018	-2.049417	1.240146	-0.6417404	-0.3219329	-6.353255	-0.4974813	1.230982	-0.5855997	-1.953379	-1.820808	-5.891106	-0.470374	-1.587	-2.426116	2.284965	2.134349	-3.289064	-4.561861						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743262	366			9	367	1	523	267	266	266	2.350001	0	-4.720701	0	1.496964	0	-0.6214957	0	-5.393225	0	-3.651873	0	-8.263896	0	-10.23621	0	-8.704017	0	-6.092227	0	2.350001	0	-0.6214957	0	0.4565722	1.57999	-2.099601	1.043532	-0.5959135	-0.2747615	-6.277671	-0.6844389	1.270253	-0.7177287	-1.943369	-1.85423	-6.028019	-0.5435326	-1.725336	-2.53202	2.314064	2.157241	-3.467831	-4.545434						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743295	399			10	400	1	522	264	266	266	2.331508	0	-4.858529	0	1.349907	0	-0.5482005	0	-4.759226	0	-3.562107	0	-7.769155	0	-9.680414	0	-8.256535	0	-5.67731	0	2.331508	0	-0.5482005	0	0.5651709	1.621464	-2.048859	1.026949	-0.5207503	-0.3060624	-6.07584	-0.6344246	1.302792	-0.5878189	-1.860219	-1.580918	-5.48378	-0.6526116	-1.556888	-2.264074	1.958216	1.935032	-3.231585	-4.299766						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743329	433			11	433	1	525	263	264	264	2.378264	0	-5.308743	0	1.304715	0	-0.5324506	0	-5.126069	0	-3.852212	0	-8.392323	0	-10.51246	0	-8.993639	0	-6.287269	0	2.378264	0	-0.5324506	0	0.7884446	1.92383	-2.158803	1.032596	-0.482144	-0.1680403	-6.245486	-0.7074846	1.366743	-0.6512364	-1.774067	-1.728769	-5.774297	-0.620414	-1.709277	-2.271802	2.111895	2.025845	-3.171121	-4.446171						
TianlinLiuValidation	20180411	7108cf2a9_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232743362	466			12	467	1	523	262	267	267	2.559246	0	-5.543301	0	1.05399	0	-0.5317283	0	-5.04387	0	-3.888233	0	-8.215751	0	-10.47189	0	-8.801264	0	-5.947403	0	2.559246	0	-0.5317283	0	0.9468426	2.031713	-2.230109	1.144639	-0.4575766	-0.2381288	-6.648467	-0.4343439	1.462817	-0.6001167	-2.02172	-1.819346	-6.079191	-0.7098662	-1.553873	-2.378682	1.993344	1.742803	-3.477783	-4.920234						
