#Study : TianlinLiu
#Date : 20180411 09:05:02
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:59:32.573 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932639	66			0	67	1	585	183	215	215	-3.437923	0	-1.502565	0	-1.057674	0	-1.364655	0	-1.771888	0	-1.364948	0	1.479896	0	0.1994324	0	-0.7637155	0	-1.124784	0	-3.437923	0	1.479896	0	1.249847	-0.135967	0.7541845	-2.194369	-1.653649	-1.28817	-2.625131	-1.47375	-1.530699	-0.2636312	-2.075297	-0.5993747	0.4843131	-1.633559	-0.7907201	-0.4364192	-1.497128	-0.9562287	-1.071671	0.01751163						
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932673	100			1	100	1	586	183	215	215	-3.015731	0	-1.671931	0	-1.54909	0	-1.537444	0	-1.263188	0	-1.14122	0	1.926297	0	0.1286203	0	-0.7356874	0	-1.117237	0	-3.015731	0	1.926297	0	1.537426	-0.009534356	0.7635397	-2.279325	-1.308267	-1.19846	-2.686205	-1.462881	-1.267395	0.09417342	-1.637578	-0.2961008	0.3581183	-1.651733	-0.4430049	-0.08196707	-1.493809	-0.9847522	-0.6812633	-0.5337229						
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932706	133			2	133	1	587	181	214	214	-3.451258	0	-1.662065	0	-1.630008	0	-1.691942	0	-1.606218	0	-1.265448	0	1.778532	0	0.2550244	0	-0.7338017	0	-1.119348	0	-3.451258	0	1.778532	0	1.414877	-0.1149228	0.9101825	-2.360219	-1.553416	-1.230024	-2.6322	-1.52436	-1.531935	-0.1796592	-1.795429	-0.4390859	0.3472447	-1.620993	-0.6194962	-0.3812873	-1.476765	-0.9810658	-0.9715439	-0.1959029						
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932739	166			3	167	1	586	179	219	219	-2.428993	0	-0.9016941	0	-1.402144	0	-1.223382	0	-0.8782077	0	-0.8331125	0	1.59082	0	0.2824199	0	-0.3458949	0	-1.086726	0	-2.428993	0	1.59082	0	1.319712	-0.07734662	0.7494963	-1.643476	-0.9597864	-1.023086	-2.188696	-1.278322	-0.9206487	0.2185077	-1.635748	-0.1524747	0.5659565	-1.874094	-0.1068709	0.1430768	-1.84012	-1.442531	-0.5302734	-0.5752176						
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932772	199			4	200	1	588	177	214	214	-3.139054	0	-1.492801	0	-2.61544	0	-1.383045	0	-1.359012	0	-0.9656478	0	1.85555	0	0.4102498	0	-0.3579418	0	-0.9101613	0	-3.139054	0	1.85555	0	1.312753	-0.2844631	0.8424962	-2.355996	-1.427153	-1.374515	-2.347198	-1.20585	-1.465566	-0.06701386	-1.467139	-0.2447993	0.3147103	-1.715741	-0.3493744	-0.1363176	-2.058538	-1.630977	-0.8411714	-0.4472905						
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932806	233			5	233	1	588	175	216	216	-2.846079	0	-1.425225	0	-2.5805	0	-1.358043	0	-1.237565	0	-0.9902452	0	1.932978	0	0.3577279	0	-0.1604387	0	-1.171647	0	-2.846079	0	1.932978	0	1.524069	-0.2107725	0.8720465	-2.26108	-1.340396	-1.38944	-2.48116	-1.321028	-1.283898	0.1238847	-1.49409	-0.183503	0.2072254	-1.71096	-0.1742477	-0.01520554	-1.995573	-1.450632	-0.5057672	-0.6539353						
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932839	266			6	267	1	585	173	223	223	-1.037181	0	-0.9878668	0	-0.3344219	0	-0.6661282	0	-0.4718003	0	-0.1836047	0	0.8319929	0	-0.2502852	0	-0.6602676	0	-1.01873	0	-1.037181	0	0.8319929	0	0.8521646	0.0672652	-0.01330356	-1.463395	-0.6396621	-1.134124	-1.977245	-1.017418	-0.3588281	0.2932974	-1.736836	-0.3088093	0.04137428	-1.699762	-0.4090352	0.1438937	-1.469438	-1.063302	-0.5305005	-0.01723448						
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932872	299			7	300	1	585	172	225	225	-1.002204	0	-1.079031	0	0.2021402	0	-0.4367494	0	-0.5517763	0	-0.1145713	0	0.6856706	0	-0.2781932	0	-0.8818529	0	-0.8063037	0	-1.002204	0	0.6856706	0	0.7609048	0.09304573	-0.271543	-1.446123	-0.6125591	-1.101609	-2.062886	-0.91978	-0.3359853	0.1456731	-1.86847	-0.4988779	-0.0340586	-1.799504	-0.7303396	-0.05626775	-1.304893	-0.9993595	-1.028803	0.1198942						
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932906	333			8	333	1	589	170	214	214	-3.70726	0	-2.316439	0	-0.7916461	0	-1.226033	0	-2.037635	0	-1.452687	0	1.490724	0	-0.3955381	0	-1.580679	0	-2.224563	0	-3.70726	0	1.490724	0	2.12208	0.2328431	1.117992	-2.303747	-1.66818	-1.528653	-2.665818	-1.633541	-1.427106	-0.2646591	-1.639908	-0.7787779	0.01181797	-1.680206	-1.078754	-0.7356793	-1.093178	-0.8941448	-1.929896	0.4166873						
TianlinLiu	20180411	7fbf1c1c7_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_145932939	366			9	367	1	591	170	214	214	-3.840533	0	-2.594152	0	-1.032744	0	-1.622246	0	-1.945848	0	-1.670675	0	1.968724	0	-0.5567926	0	-1.603687	0	-2.261512	0	-3.840533	0	1.968724	0	2.545979	0.4252662	1.120217	-2.504522	-1.6913	-1.568539	-3.13176	-1.844146	-1.472226	-0.1500966	-1.573192	-0.6274586	0.007204009	-1.880863	-0.9142668	-0.6036344	-1.176473	-0.8456509	-1.632532	0.06486095						
