#Study : TianlinLiu
#Date : 20180411 09:04:57
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:00:18.014 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018080	66			0	67	1	581	96	169	169	-1.878216	0	-1.881886	0	1.174686	0	-0.983842	0	-1.87848	0	-0.5178626	0	-1.69199	0	-1.864757	0	-2.398432	0	-1.869491	0	-1.878216	0	-0.5178626	0	1.203909	0.9648119	-0.3879737	-0.2389863	-0.5567254	-0.05479367	-2.806123	-0.8274163	-0.9387954	-1.425619	-0.6433403	-1.283187	-0.8264163	-1.526777	-1.113552	-1.680024	-0.331425	-0.3886753	-4.194192	0.5099331						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018114	100			1	100	1	583	98	169	169	-1.556722	0	-1.601361	0	0.7336185	0	-0.9708709	0	-1.357089	0	-0.542631	0	-1.195541	0	-1.264585	0	-1.649845	0	-1.211784	0	-1.556722	0	-0.542631	0	1.034802	0.7679091	-0.3925965	-0.267539	-0.3697872	0.03685772	-2.762599	-0.8870204	-0.8839086	-1.098211	-0.8319055	-1.082574	-0.1709941	-1.870016	-0.8716134	-1.199939	-0.7245267	-0.7083522	-3.923444	0.3002116						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018147	133			2	133	1	584	100	166	166	-1.337338	0	-1.186322	0	0.4162278	0	-1.143816	0	-0.8740643	0	-0.7916962	0	-0.8954284	0	-0.6614468	0	-0.9732481	0	-0.8234963	0	-1.337338	0	-0.7916962	0	0.8713791	0.6337955	-0.3877753	-0.1641518	-0.5319471	-0.2091453	-2.552869	-0.9998804	-0.8765646	-0.6938302	-1.106645	-0.9738231	0.4106194	-1.998665	-0.6877373	-0.6358799	-1.076146	-1.002388	-3.66908	-0.01883181						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018180	166			3	167	1	586	103	163	163	-1.974726	0	-1.160007	0	0.1488645	0	-1.455065	0	-0.9470143	0	-1.057705	0	-0.8697812	0	-0.5528485	0	-0.8150511	0	-0.7333434	0	-1.974726	0	-0.8697812	0	0.6788294	0.3935639	-0.4027923	-0.6517252	-1.032629	-0.4304416	-2.279945	-1.015931	-1.037788	-0.5991578	-0.7668554	-0.4876313	0.5905278	-2.020229	-0.4052446	-0.2332952	-1.37867	-1.079904	-3.277746	-0.245989						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018214	200			4	200	1	585	104	169	169	-0.4934898	0	-0.7945412	0	-0.8141764	0	-0.6353179	0	-0.06811348	0	-0.5901507	0	-0.5383143	0	0.2820276	0	-0.04958648	0	0.1984207	0	-0.4934898	0	-0.06811348	0	0.5400373	0.1296263	-0.6920531	-0.15829	-0.1832232	0.09315602	-2.432719	-0.7703487	-0.6413743	-0.2248519	-1.051315	-0.9052138	0.7232957	-2.497293	-0.3709302	0.06203015	-1.857049	-1.435437	-3.131066	-0.7636226						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018247	233			5	234	1	584	106	166	166	-0.5237327	0	-0.5001708	0	-1.005106	0	-0.4747127	0	-0.4205857	0	-0.4000361	0	-0.7015207	0	0.4205667	0	-0.1221167	0	-0.0005658233	0	-0.5237327	0	-0.4000361	0	0.2953062	0.001634712	-0.3077605	-0.1519241	-0.352553	-0.1208441	-1.793197	-0.3500423	-0.6481671	-0.3457026	-1.125423	-0.979467	0.1781606	-2.126757	-0.4395533	-0.4495057	-1.781319	-1.51105	-3.117307	-0.8905526						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018280	266			6	267	1	583	107	168	168	0.7149336	0	-1.127144	0	-1.790395	0	0.208168	0	-0.3089433	0	-0.4801711	0	-1.178217	0	-0.3250671	0	-0.5716329	0	-0.5189767	0	0.7149336	0	0.208168	0	0.3219712	-0.05218036	-0.5242208	-0.005572242	-0.246931	-0.04995618	-1.574924	-0.1503076	-0.2726377	-0.07899605	-0.8257872	-0.9502756	-0.6185964	-1.528963	-0.163326	-0.3312744	-1.537338	-1.433689	-2.443972	-1.217701						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018314	300			7	300	1	580	109	171	171	0.9908848	0	-1.33076	0	-1.863822	0	0.4021735	0	-0.5856038	0	-0.172429	0	-1.404096	0	-0.5984061	0	-0.8517109	0	-0.7199975	0	0.9908848	0	0.4021735	0	0.4044985	-0.06433086	-0.5355133	0.2117092	-0.09163	0.1531269	-1.630115	-0.008591139	-0.2773922	-0.2294841	-0.8867513	-1.275332	-0.8094233	-1.579527	-0.4223962	-0.6028106	-1.128227	-1.235944	-2.469535	-1.278408						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018347	333			8	334	1	576	110	174	174	0.2540122	0	-1.282519	0	-1.497216	0	0.2932619	0	-0.933718	0	0.0460409	0	-1.100147	0	-0.1873897	0	-0.8033814	0	-0.4907282	0	0.2540122	0	0.2932619	0	0.6537128	0.07964905	-0.3929351	0.3294701	-0.1335149	0.1465276	-1.702982	-0.01187325	-0.5312338	-0.3576782	-1.000713	-1.261139	-0.3333734	-2.252665	-0.575183	-0.6599004	-1.379832	-1.588782	-3.035442	-1.198573						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018381	367			9	367	1	575	112	170	170	-1.35835	0	-0.7265502	0	-0.5512313	0	-0.05454602	0	-0.8232867	0	-0.6284052	0	-0.5716491	0	0.02611988	0	-0.5001853	0	-0.2546279	0	-1.35835	0	-0.05454602	0	0.6226652	0.145105	-0.3751966	-0.09293195	-0.5718978	-0.1791884	-1.667188	-0.396162	-0.9488441	-0.432986	-0.8171919	-0.4670309	0.4407891	-2.294877	-0.3796405	-0.3369983	-1.422078	-1.11144	-2.648779	-0.9930454						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018414	400			10	400	1	572	114	167	167	-2.190371	0	-1.210774	0	0.7070045	0	-0.5471362	0	-1.215065	0	-1.418955	0	-1.050573	0	-0.6895601	0	-0.7985138	0	-1.322198	0	-2.190371	0	-0.5471362	0	1.098395	0.6631213	-0.388296	0.2254774	-1.124908	-0.3783514	-2.534233	-1.172456	-1.218671	-0.7307144	-0.9810727	-0.7533482	0.2835104	-2.437287	-0.6186817	-0.4244094	-0.9161512	-0.7182336	-3.416901	-0.3752869						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018447	433			11	434	1	563	114	174	174	-2.122127	0	-1.319792	0	-0.6242549	0	-0.1577409	0	-1.166155	0	-1.233526	0	0.1183579	0	-0.6757491	0	-1.023234	0	-1.454251	0	-2.122127	0	0.1183579	0	1.292159	0.4662949	-0.009989784	0.456142	-0.6171016	-0.1349737	-2.698859	-0.8506992	-1.09303	-0.6919305	-0.361278	-0.2808042	-0.08171556	-2.335953	-0.7840165	-0.377612	-1.813932	-1.946484	-3.679185	-0.2399059						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018481	467			12	467	1	561	114	174	174	-2.09632	0	-1.492386	0	0.3731775	0	-0.4968286	0	-0.999587	0	-1.312582	0	-0.2965688	0	-0.7621038	0	-1.196023	0	-0.8990477	0	-2.09632	0	-0.2965688	0	1.149262	0.5487962	-0.4109462	0.5927792	-0.5869935	-0.2208895	-3.028007	-1.060895	-1.147463	-0.6018399	-0.6212696	-0.5271031	0.829945	-3.02781	-0.5178799	-0.1562182	-1.508889	-1.31469	-3.939	-0.4783993						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018514	500			13	500	1	555	113	177	177	-1.736001	0	-1.522359	0	0.5087661	0	-0.5009791	0	-0.8887025	0	-0.9856045	0	-0.5294478	0	-0.9574271	0	-1.29598	0	-0.3469982	0	-1.736001	0	-0.5009791	0	0.9199862	0.4633513	-0.4588481	0.3099961	-0.4509343	-0.06385351	-3.190229	-0.8882733	-1.057998	-0.6352563	-0.5907559	-0.5197299	0.6289725	-2.927398	-0.2680291	-0.2088204	-1.425475	-1.321761	-3.932755	-0.5121795						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018547	533			14	534	1	548	113	178	178	-2.277794	0	-1.722274	0	1.121115	0	-0.9316255	0	-1.482748	0	-1.114883	0	-1.466558	0	-1.645385	0	-1.896603	0	-0.9712693	0	-2.277794	0	-0.9316255	0	0.7503944	0.3925109	-0.4497689	0.1441108	-0.8399353	-0.06507383	-3.380525	-0.8455193	-1.138638	-0.8993807	-0.6945235	-0.862681	0.1312207	-2.739311	-0.4434087	-0.6905352	-0.8549281	-0.9476147	-4.643609	-0.270576						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018581	567			15	567	1	539	113	182	182	-1.821277	0	-1.561515	0	0.5087284	0	-0.7912313	0	-1.144082	0	-0.878295	0	-1.267524	0	-1.37549	0	-1.639817	0	-0.2030461	0	-1.821277	0	-0.7912313	0	0.5757971	0.2975323	-0.5875549	-0.04962546	-0.7268872	0.2213673	-3.236229	-0.7231461	-1.009247	-0.9640077	-0.4587293	-0.7670503	0.1122912	-2.425341	-0.495928	-0.6015965	-1.390107	-1.506474	-4.324047	-0.675274						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018614	600			16	601	1	533	113	181	181	-1.47045	0	-1.400109	0	-0.1017656	0	-0.959184	0	-0.8953203	0	-0.761604	0	-0.8780931	0	-1.310396	0	-1.376932	0	0.2097745	0	-1.47045	0	-0.761604	0	0.399173	0.1671719	-0.6215565	-0.02420463	-0.7024361	0.2144499	-2.9346	-0.6229578	-0.8366784	-0.8448305	-0.05358863	-0.1882389	0.09606948	-1.839382	-0.4628814	-0.2267195	-1.656004	-1.591809	-3.326915	-0.8486406						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018647	633			17	634	1	529	114	178	178	-1.85325	0	-1.710435	0	0.2639488	0	-1.008843	0	-0.6924844	0	-0.9101763	0	-1.056562	0	-1.856183	0	-1.837406	0	0.6012185	0	-1.85325	0	-0.6924844	0	0.4439173	0.3740089	-0.7769041	0.1802515	-0.7001491	0.008635059	-3.134339	-0.7300571	-0.8020645	-0.9925944	0.01662763	-0.005110578	-0.04185639	-1.367368	-0.4481871	-0.3244464	-1.639197	-1.488518	-3.086699	-0.7057096						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018681	667			18	667	1	520	113	181	181	-1.454312	0	-1.242489	0	-0.4704894	0	-1.150439	0	-0.3767097	0	-0.1775797	0	-0.847879	0	-1.29243	0	-1.224451	0	0.7494802	0	-1.454312	0	-0.1775797	0	0.1803505	0.03580912	-0.8559908	-0.1106321	-0.3303553	0.1358987	-2.551994	-0.3659583	-0.732823	-0.9505035	0.3113917	0.3088022	-0.1654072	-1.16024	-0.3892867	-0.2632304	-1.721146	-1.581822	-2.530253	-0.07245467						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018714	700			19	701	1	517	112	180	180	-1.375212	0	-1.523039	0	-0.3262839	0	-1.169436	0	-0.2117532	0	-0.2580602	0	-0.8159323	0	-1.582797	0	-1.441941	0	0.9463304	0	-1.375212	0	-0.2117532	0	0.305991	0.2345843	-0.8905184	-0.03025496	-0.468524	-0.04150712	-2.651512	-0.3599522	-0.7780242	-1.017088	0.2431763	0.2492146	-0.167212	-1.194851	-0.3799267	-0.4629604	-1.767196	-1.61277	-2.692378	-0.1258518						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018748	734			20	734	1	518	110	176	176	-1.554638	0	-2.095962	0	0.2597229	0	-1.003608	0	-0.3674684	0	-0.9100444	0	-1.091079	0	-1.801484	0	-1.879239	0	1.118142	0	-1.554638	0	-0.3674684	0	0.5889589	0.4813555	-0.851007	0.02980605	-0.6375118	-0.1571165	-3.227584	-0.8026238	-0.9601914	-1.042339	-0.229601	-0.1579857	-0.1217412	-1.544905	-0.7259343	-0.5709831	-1.603489	-1.354738	-2.769552	-0.5566113						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018781	767			21	767	1	522	107	177	177	0.4995715	0	-3.054248	0	0.7596495	0	-0.5349734	0	-1.118223	0	-0.424138	0	-2.99223	0	-2.988588	0	-3.348149	0	-1.058627	0	0.4995715	0	-0.424138	0	0.9673433	0.9788949	-0.7072564	0.3983889	-0.3251236	-0.06646018	-3.300664	-0.5491934	-0.1317554	-1.039538	-0.9090865	-1.536023	-2.149138	-1.13083	-0.9388544	-1.751893	0.01088933	-0.300611	-3.147746	0.08914056						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018814	800			22	801	1	527	102	178	178	0.4929789	0	-3.235529	0	0.01077973	0	-0.3216019	0	-2.131582	0	0.05218725	0	-3.629739	0	-4.080901	0	-4.387032	0	-2.256957	0	0.4929789	0	0.05218725	0	0.8409908	0.7628907	-0.4316235	0.3195671	-0.4324795	-0.1423981	-2.921274	-0.02869513	-0.2896082	-1.364153	-0.6766937	-1.607063	-3.14441	-0.8475278	-0.726469	-2.432421	0.8236294	-0.07950822	-3.419239	0.4896977						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018848	834			23	834	1	536	100	173	173	0.0673261	0	-3.191123	0	-0.2038627	0	-0.1053788	0	-2.282574	0	0.2594401	0	-3.741484	0	-4.430781	0	-4.913265	0	-2.424883	0	0.0673261	0	0.2594401	0	0.983774	0.7794411	-0.3286642	0.3476853	-0.4216658	-0.1547709	-2.766622	0.2256287	-0.4668814	-1.432584	-0.249314	-1.271006	-3.088823	-0.95135	-0.4453011	-2.468481	0.7739004	-0.2913006	-3.352687	0.3477826						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018881	867			24	868	1	540	97	173	173	-1.220753	0	-2.760178	0	-0.8426614	0	-0.03359827	0	-2.368779	0	0.7289226	0	-3.293723	0	-4.108418	0	-4.755527	0	-2.255709	0	-1.220753	0	0.7289226	0	0.6519327	0.4097235	-0.1043245	0.1935774	-0.6052788	-0.1142294	-2.177408	0.7439537	-0.9999906	-1.697624	0.1658724	-0.7373556	-2.843275	-0.7208636	-0.3241859	-2.255686	0.634487	-0.5458296	-3.129207	0.1962995						
TianlinLiu	20180411	8a5d94b0a_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150018914	900			25	901	1	541	96	171	171	-1.216701	0	-2.874268	0	-0.7532213	0	0.02135668	0	-1.968402	0	0.6677988	0	-2.907065	0	-4.198395	0	-4.762583	0	-2.077054	0	-1.216701	0	0.6677988	0	0.9265542	0.6970732	-0.1366656	0.4046483	-0.6188161	-0.2772475	-2.202449	0.8052152	-1.034928	-1.64788	0.3591167	-0.5908599	-2.607136	-0.5335234	-0.2350945	-2.038012	0.6154686	-0.6793414	-2.712224	0.05471384						
