#Study : TianlinLiuValidation
#Date : 20180411 09:26:13
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:24:18.602 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418668	66			0	67	1	252	84	174	174	-3.262863	0	-0.5550461	0	-0.497912	0	-2.024333	0	-0.9644488	0	-0.9938604	0	0.3891054	0	-0.4595636	0	-0.9433528	0	0.8815351	0	-3.262863	0	0.3891054	0	1.651917	1.107042	-0.230332	-0.6968567	-0.1510974	1.442333	-2.347137	-0.6606705	-1.316816	-1.593293	-0.9657677	-1.934214	-1.02464	-2.888067	-1.198587	-0.8438695	-2.07597	-2.366748	-5.22487	0.2890076						
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418702	100			1	100	1	248	82	180	180	-3.063282	0	-1.402215	0	-0.2424385	0	-1.109953	0	-0.8942668	0	-1.147738	0	1.004476	0	-0.7192717	0	-1.836696	0	0.7823983	0	-3.063282	0	1.004476	0	1.69479	1.113858	0.07847265	-0.1985779	-0.2744873	1.007578	-2.676687	-1.046553	-1.102763	-1.461085	-0.963135	-1.556058	-0.0769349	-2.374375	-0.7498872	-0.5938095	-1.726543	-1.905122	-4.207155	-0.3271419						
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418735	133			2	133	1	248	81	178	178	-3.550097	0	-0.9231784	0	-0.5322152	0	-1.216107	0	-1.073497	0	-1.214884	0	1.033233	0	-0.296254	0	-1.396349	0	0.6582268	0	-3.550097	0	1.033233	0	1.815346	1.081375	0.2700089	-0.3383318	-0.2957743	1.137277	-2.40121	-0.9059954	-1.514058	-1.749225	-1.116556	-1.945472	-0.2591014	-2.414544	-1.174535	-0.8312793	-1.757566	-2.013955	-4.462346	0.3766907						
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418768	166			3	167	1	246	80	180	180	-3.552178	0	-1.287214	0	-0.5765743	0	-1.12219	0	-0.9938554	0	-1.230825	0	1.216027	0	-0.6132901	0	-1.91749	0	0.5768098	0	-3.552178	0	1.216027	0	1.763104	0.9928213	0.1662866	-0.2309445	-0.3065869	1.034447	-2.61957	-1.198516	-1.456769	-1.758598	-1.176955	-1.85433	-0.2080486	-2.270156	-1.102051	-0.9332681	-1.811155	-1.942205	-4.315867	0.1680733						
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418802	200			4	200	1	246	80	181	181	-3.534106	0	-1.344064	0	-0.6129404	0	-1.152357	0	-0.9621959	0	-1.299171	0	1.227103	0	-0.637753	0	-1.936586	0	0.5628471	0	-3.534106	0	1.227103	0	1.77292	0.9770702	0.1442883	-0.2436634	-0.3079618	1.009928	-2.760099	-1.293448	-1.492037	-1.786556	-1.287599	-1.914896	-0.2742153	-2.31071	-1.204985	-1.024906	-1.857712	-1.952782	-4.409075	0.2542392						
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418835	233			5	234	1	248	80	177	177	-3.210327	0	-0.8917633	0	-0.7036549	0	-1.587472	0	-1.006169	0	-1.65867	0	1.015472	0	-0.4830328	0	-1.146226	0	0.8926365	0	-3.210327	0	1.015472	0	1.820249	1.107827	0.07025637	-0.2720897	-0.3278039	1.21419	-3.236681	-1.662911	-1.91331	-2.182573	-1.347956	-2.265712	-1.232679	-2.400219	-1.748036	-1.435774	-2.252292	-2.315195	-4.677679	0.2125052						
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418868	266			6	267	1	248	80	177	177	-3.171895	0	-0.8999031	0	-0.7756875	0	-1.662313	0	-1.021626	0	-1.66674	0	0.9961273	0	-0.524456	0	-1.139462	0	0.9131089	0	-3.171895	0	0.9961273	0	1.810222	1.126009	0.0114342	-0.2604666	-0.341726	1.227373	-3.395965	-1.692768	-1.959786	-2.214314	-1.365989	-2.279611	-1.2874	-2.389841	-1.787804	-1.468158	-2.321429	-2.378501	-4.726653	0.1600305						
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418902	300			7	300	1	247	79	181	181	-1.44529	0	-0.5447397	0	-0.9804832	0	-1.300649	0	-0.9490283	0	-0.7357419	0	1.012743	0	-0.7789518	0	-1.231237	0	0.716949	0	-1.44529	0	1.012743	0	1.478904	0.8265029	-0.01864261	-0.1222562	-0.1669634	0.9547984	-2.961524	-0.8139966	-1.685706	-1.947087	-1.515465	-1.775167	-1.188804	-2.931978	-1.705364	-1.131614	-2.278356	-2.142139	-3.956774	-0.6456394						
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418935	333			8	334	1	246	79	182	182	-1.43924	0	-0.5709006	0	-1.018847	0	-1.392066	0	-0.9798066	0	-0.6546021	0	1.033009	0	-0.8410312	0	-1.260309	0	0.7982162	0	-1.43924	0	1.033009	0	1.444459	0.739657	-0.06286189	-0.2037225	-0.1583605	0.9464387	-2.964087	-0.7196129	-1.658224	-1.974293	-1.603909	-1.825757	-1.23249	-2.990669	-1.639534	-1.170029	-2.223008	-2.169829	-4.103858	-0.6705844						
TianlinLiuValidation	20180411	47628d7dd_1___utterance_5	0	MALE	a	TestImage	Emotient FACET	20180325_232418969	367			9	367	1	246	79	182	182	-1.378799	0	-0.5801771	0	-1.015714	0	-1.452192	0	-0.9516807	0	-0.6498157	0	1.003402	0	-0.8546982	0	-1.24194	0	0.8361178	0	-1.378799	0	1.003402	0	1.412795	0.7180784	-0.08589268	-0.2215216	-0.1398024	0.9382947	-2.931847	-0.6686086	-1.647565	-1.949014	-1.635517	-1.833105	-1.226195	-3.00277	-1.647638	-1.178508	-2.162655	-2.136829	-4.117688	-0.682146						
