#Study : TianlinLiu
#Date : 20180411 09:04:58
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:00:13.337 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013403	66			0	67	1	181	85	47	47	-2.502825	0	-0.276107	0	0.5166197	0	-1.748664	0	-1.239101	0	0.4243492	0	-2.580243	0	0.33177	0	-0.6442106	0	0.8253463	0	-2.502825	0	0.4243492	0	-0.8639067	-0.4847439	-0.5906041	-0.7088326	-0.8961777	-0.4306983	-0.6771187	-0.1007657	-1.491761	-1.77479	-2.266274	-2.33212	-2.080289	-0.956243	-1.614632	-2.019496	0.1105722	-0.8565474	-2.351327	0.3905376						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013437	100			1	100	1	181	86	46	46	-2.705575	0	-0.3699843	0	0.3146577	0	-1.914494	0	-1.328324	0	0.5659058	0	-2.560959	0	0.2719258	0	-0.8640155	0	0.7751549	0	-2.705575	0	0.5659058	0	-0.934707	-0.5874946	-0.7058793	-0.7288356	-0.9187125	-0.4989614	-0.7829325	0.1066684	-1.454451	-1.743283	-2.229755	-2.384196	-2.035411	-0.8660917	-1.621169	-2.006173	0.03898654	-0.8558106	-2.618746	0.5022764						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013470	133			2	133	1	180	85	48	48	-2.644351	0	-0.3147355	0	0.2171922	0	-1.617957	0	-0.8673249	0	0.3271776	0	-2.445915	0	0.3611106	0	-0.6363385	0	1.109257	0	-2.644351	0	0.3271776	0	-0.9662771	-0.5273178	-0.6088676	-0.6838794	-0.8060552	-0.3869044	-0.7036441	-0.214353	-1.432806	-1.671654	-2.234823	-2.254235	-1.667388	-1.117287	-1.71251	-1.784703	-0.3745838	-1.362991	-2.497765	0.2371695						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013503	166			3	167	1	180	85	48	48	-2.388331	0	-0.3147056	0	0.293698	0	-1.536936	0	-0.7842663	0	0.147547	0	-2.4546	0	0.3294991	0	-0.597698	0	1.098289	0	-2.388331	0	0.147547	0	-0.8953039	-0.4545121	-0.6592313	-0.8280718	-0.7740042	-0.4336604	-0.8781522	-0.2862903	-1.352743	-1.606539	-2.256967	-2.287345	-1.859749	-1.06638	-1.614682	-1.688876	-0.3946949	-1.318949	-2.420045	0.2865587						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013536	199			4	200	1	180	85	48	48	-2.609252	0	-0.21937	0	0.3481594	0	-1.556288	0	-0.8773992	0	0.2331144	0	-2.502078	0	0.3718434	0	-0.5959455	0	1.058983	0	-2.609252	0	0.2331144	0	-0.8981142	-0.4115775	-0.5793265	-0.6844074	-0.805734	-0.3838399	-0.7191519	-0.2871442	-1.425022	-1.679314	-2.282327	-2.30391	-1.761037	-1.195727	-1.702056	-1.766218	-0.4001854	-1.394212	-2.594298	0.296056						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013570	233			5	233	1	180	85	48	48	-2.231262	0	-0.2897876	0	0.2434117	0	-1.520815	0	-0.7445875	0	0.1010943	0	-2.465444	0	0.3181961	0	-0.5664783	0	1.056195	0	-2.231262	0	0.1010943	0	-0.8846977	-0.4407252	-0.6992379	-0.8627867	-0.7775536	-0.4335198	-0.9191336	-0.3531038	-1.339694	-1.554687	-2.245641	-2.299807	-1.953522	-1.060643	-1.599492	-1.624657	-0.4792659	-1.346982	-2.419538	0.3081031						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013603	266			6	267	1	180	85	47	47	-2.61906	0	-0.3162001	0	0.06092295	0	-1.652317	0	-0.9022365	0	0.4948162	0	-2.433064	0	0.3961554	0	-0.6469873	0	0.9412283	0	-2.61906	0	0.4948162	0	-1.052223	-0.5968346	-0.5375056	-0.6509509	-0.7741551	-0.2979947	-0.5224327	-0.1180412	-1.395164	-1.644419	-2.243057	-2.2486	-1.777042	-1.050317	-1.799624	-1.81968	-0.3611102	-1.328099	-2.452596	0.3401604						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013636	299			7	300	1	181	85	48	48	-2.469967	0	-0.2656797	0	-0.1127373	0	-1.789371	0	-0.7983001	0	0.488882	0	-2.587111	0	0.3771096	0	-0.5684737	0	0.8999979	0	-2.469967	0	0.488882	0	-1.153506	-0.6413373	-0.5305535	-0.711785	-0.6495544	-0.2682499	-0.4718503	-0.1257231	-1.273208	-1.598996	-2.347887	-2.212287	-1.656712	-1.168149	-1.689124	-1.727296	-0.4882898	-1.450509	-2.59887	0.2713991						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013670	333			8	333	1	181	85	47	47	-2.713828	0	-0.2997486	0	-0.07049397	0	-1.823464	0	-1.106651	0	0.612305	0	-2.51651	0	0.3542611	0	-0.7205703	0	0.7571276	0	-2.713828	0	0.612305	0	-1.099907	-0.6541572	-0.4511101	-0.6482003	-0.7124529	-0.18724	-0.4013622	-0.01943375	-1.447382	-1.733363	-2.298416	-2.290237	-1.942416	-1.011701	-1.776751	-1.915533	-0.2510905	-1.243676	-2.5549	0.414162						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013703	366			9	367	1	181	85	48	48	-2.582059	0	-0.1770198	0	0.02774482	0	-1.788569	0	-0.9454687	0	0.3124211	0	-2.629072	0	0.517691	0	-0.4763401	0	0.8739488	0	-2.582059	0	0.3124211	0	-1.149602	-0.6869745	-0.5321551	-0.7582709	-0.7391415	-0.2606804	-0.6089927	-0.2106197	-1.445479	-1.633266	-2.386267	-2.352009	-1.899	-1.109769	-1.743256	-1.86611	-0.2957775	-1.334499	-2.561486	0.25859						
TianlinLiu	20180411	8a58bfb30_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_150013736	399			10	400	1	181	86	46	46	-2.732353	0	-0.1666361	0	0.2862172	0	-1.997566	0	-1.371386	0	0.4730348	0	-2.642875	0	0.4462361	0	-0.6280166	0	0.6149362	0	-2.732353	0	0.4730348	0	-0.894461	-0.5407414	-0.614784	-0.8139545	-0.8964818	-0.4071296	-0.6376857	-0.01674176	-1.494611	-1.747434	-2.359364	-2.404209	-2.095096	-0.864649	-1.567381	-1.947919	0.06605928	-0.7288281	-2.557452	0.6033088						
