#Study : TianlinLiuValidation
#Date : 20180411 09:25:49
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:28:04.897 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232804963	66			0	67	1	1014	292	77	77	0.1826572	0	-1.259055	0	0.270498	0	0.1429011	0	0.09084751	0	-0.654924	0	-0.5375741	0	-1.013788	0	-0.8553809	0	-0.3459029	0	0.1826572	0	0.1429011	0	-0.05861534	0.3148282	-0.652369	-0.5005242	-1.08012	-1.46831	-1.692705	-0.6850564	0.2426072	0.1974692	-0.6726375	0.01153109	-1.172199	-0.1994376	0.5754701	0.1972414	-0.9136582	-0.7192143	-0.4256839	1.041722						
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232804997	100			1	100	1	1014	292	77	77	0.1790735	0	-1.258994	0	0.2793798	0	0.1456726	0	0.08528302	0	-0.6562887	0	-0.5348006	0	-1.014198	0	-0.8570975	0	-0.3429694	0	0.1790735	0	0.1456726	0	-0.05876325	0.3158364	-0.6533864	-0.4984957	-1.082601	-1.46831	-1.695719	-0.6856387	0.2391095	0.1937396	-0.6691534	0.01106199	-1.169673	-0.2027032	0.5735438	0.1951721	-0.9147739	-0.7180467	-0.4271931	1.040969						
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232805030	133			2	133	1	1014	292	77	77	0.1790735	0	-1.258994	0	0.2793798	0	0.1456726	0	0.08528302	0	-0.6562887	0	-0.5348006	0	-1.014198	0	-0.8570975	0	-0.3429694	0	0.1790735	0	0.1456726	0	-0.05876325	0.3158364	-0.6533864	-0.4984957	-1.082601	-1.46831	-1.695719	-0.6856387	0.2391095	0.1937396	-0.6691534	0.01106199	-1.169673	-0.2027032	0.5735438	0.1951721	-0.9147739	-0.7180467	-0.4271931	1.040969						
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232805063	166			3	167	1	1013	291	79	79	0.2904725	0	-1.554291	0	0.1678064	0	0.190889	0	0.1913313	0	-0.6772395	0	-0.3833179	0	-1.374212	0	-1.015028	0	-0.6101775	0	0.2904725	0	0.1913313	0	0.1197568	0.3936623	-0.916697	-0.9013532	-1.25103	-1.726358	-2.059808	-0.9174839	0.258935	0.2651261	-0.7662398	0.03408585	-1.052399	-0.6799567	0.4652154	0.2852289	-1.549275	-1.036239	-0.4534466	0.5879942						
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232805096	199			4	200	1	1013	291	79	79	0.3924516	0	-1.759969	0	0.2934475	0	0.2982047	0	0.346036	0	-0.7531362	0	-0.3951433	0	-1.424706	0	-1.027448	0	-0.5349228	0	0.3924516	0	0.346036	0	0.05058597	0.2924607	-1.032062	-0.9048213	-1.267556	-1.641269	-2.200541	-1.061633	0.3182964	0.2591002	-0.5869829	-0.03343585	-1.303418	-0.617244	0.3719067	0.3349974	-1.797374	-1.136815	-0.2933425	0.4075226						
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232805130	233			5	233	1	1013	291	83	83	-0.03619541	0	-1.245955	0	0.3278739	0	0.05498479	0	0.2849045	0	-0.5044232	0	-0.187084	0	-1.253758	0	-0.9355448	0	-0.142991	0	-0.03619541	0	0.2849045	0	0.0614732	0.1623245	-1.453053	-0.7565188	-1.449689	-1.965397	-2.402593	-1.166103	0.0664678	0.4391451	-0.9079083	0.2483729	-0.8076971	-1.167184	-0.08805197	0.2907492	-2.819077	-2.064219	-0.8788059	0.6528829						
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232805163	266			6	267	1	1015	289	85	85	-0.3937685	0	-0.7647852	0	0.7163585	0	-0.2082394	0	-0.09488437	0	0.2794356	0	-0.3824652	0	-0.9145622	0	-0.7215149	0	-0.2846309	0	-0.3937685	0	0.2794356	0	-0.1870672	0.007709265	-1.136831	-0.9908317	-0.9220785	-1.864268	-2.156064	-1.125357	-0.1297651	0.4264737	-1.099381	0.3515823	-0.3292382	-2.450886	0.04991581	0.1865951	-2.888564	-1.987986	-1.678121	0.7708623						
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232805196	299			7	300	1	1016	290	84	84	-0.2878864	0	-0.6729147	0	0.7940025	0	-0.0815734	0	-0.1097878	0	0.2733385	0	-0.3029892	0	-0.9200757	0	-0.71718	0	-0.2982339	0	-0.2878864	0	0.2733385	0	-0.1480252	0.06266122	-1.133495	-0.9252536	-0.9608741	-1.817751	-2.202379	-1.094725	-0.1177311	0.4276235	-0.9939525	0.3086033	-0.4102541	-2.222107	-0.122266	0.2276084	-2.877436	-2.009082	-1.572764	0.798437						
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232805230	333			8	333	1	1016	290	84	84	-0.287364	0	-0.6726193	0	0.7940144	0	-0.07750416	0	-0.1103677	0	0.2686444	0	-0.3004825	0	-0.9193114	0	-0.7166653	0	-0.3011976	0	-0.287364	0	0.2686444	0	-0.1452719	0.06515297	-1.133517	-0.9258672	-0.9670355	-1.823114	-2.205897	-1.097143	-0.1154975	0.43039	-0.9909766	0.3092215	-0.4111531	-2.220064	-0.1215922	0.231497	-2.884225	-2.015728	-1.566722	0.7982044						
TianlinLiuValidation	20180411	71091df7b_10___utterance_114	0	MALE	a	TestImage	Emotient FACET	20180325_232805263	366			9	367	1	1015	289	88	88	0.07509626	0	-0.3486085	0	0.6787407	0	-0.2380297	0	0.08847209	0	0.1691584	0	-0.5993863	0	-1.235875	0	-0.6248349	0	-0.4106445	0	0.07509626	0	0.1691584	0	-0.1369956	0.2213039	-1.406794	-0.6298975	-0.5668573	-1.590433	-2.581329	-1.161592	0.3192059	0.6408271	-0.9995247	0.4370384	-0.2788035	-2.61626	0.3644781	0.574173	-2.877007	-2.115267	-1.566329	0.3333496						
