#Study : TianlinLiu
#Date : 20180411 09:04:55
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:00:26.061 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026227	166			0	167	1	287	57	117	117	-2.063972	0	-0.6809211	0	-0.9080492	0	-1.076894	0	0.1580678	0	-0.4186597	0	0.2738313	0	0.847752	0	0.4152546	0	0.7833139	0	-2.063972	0	0.2738313	0	0.4563358	0.08829883	-0.2342788	-1.518572	-0.8145527	-1.033215	-1.083671	-0.6976157	-0.6897199	-0.3780296	-0.3965444	-0.1842128	-0.1052862	-1.388429	-0.3267191	-0.3210674	-2.088651	-1.801663	-0.9895697	0.6796341						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026311	250			1	250	1	289	58	115	115	-1.784632	0	-0.7588517	0	-0.9948003	0	-0.9411957	0	0.1520353	0	-0.4143716	0	0.3335672	0	0.8943142	0	0.4660138	0	0.6683075	0	-1.784632	0	0.3335672	0	0.3794217	0.006472929	-0.2519485	-1.430853	-0.7630618	-0.9295871	-1.081593	-0.6484039	-0.5625589	-0.4302595	-0.2610171	-0.2241947	-0.3747835	-1.129447	-0.3881218	-0.4160978	-1.921636	-1.715538	-0.8974215	0.720154						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026394	333			2	333	1	287	57	119	119	-2.082209	0	-0.7547263	0	-1.000889	0	-1.359627	0	0.6371518	0	-0.43119	0	0.2605804	0	0.7410166	0	0.3375598	0	0.8150963	0	-2.082209	0	0.6371518	0	0.4364043	0.0891509	-0.2768313	-1.504946	-0.7778831	-1.035282	-0.8152677	-0.6459535	-0.7226556	-0.2812083	-0.2976739	0.08195716	-0.09992474	-1.286838	-0.2976003	-0.1675158	-2.076533	-1.693632	-0.9191909	0.3885599						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026477	416			3	417	1	288	57	118	118	-2.058742	0	-0.7109298	0	-0.9160911	0	-1.259273	0	0.403577	0	-0.3341719	0	0.2718769	0	0.7932075	0	0.3738324	0	0.7823477	0	-2.058742	0	0.403577	0	0.4569599	0.09495481	-0.257156	-1.564073	-0.7461409	-1.054388	-0.8972756	-0.5956419	-0.6763936	-0.3206739	-0.3507307	-0.02875308	-0.1201935	-1.414895	-0.2898664	-0.2435047	-2.113515	-1.797461	-0.9968745	0.5926784						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026560	499			4	500	1	289	58	116	116	-1.80381	0	-0.7361666	0	-0.6664737	0	-0.9829448	0	0.1386425	0	-0.4458483	0	0.3246274	0	0.7914407	0	0.4253499	0	0.7249894	0	-1.80381	0	0.3246274	0	0.49734	0.135202	-0.297766	-1.595484	-0.9252806	-1.160527	-1.221287	-0.6601683	-0.6096187	-0.3933022	-0.3693349	-0.1532015	-0.31215	-1.27581	-0.3439979	-0.3263744	-2.08497	-1.855564	-0.9699888	0.8120033						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026644	583			5	583	1	289	58	116	116	-1.804193	0	-0.6099101	0	-0.7143793	0	-0.8407041	0	0.09997796	0	-0.5678147	0	0.1917183	0	0.862738	0	0.5379752	0	0.7579557	0	-1.804193	0	0.1917183	0	0.4153214	0.1128901	-0.2895195	-1.572589	-1.049859	-1.277948	-1.460764	-0.8098487	-0.6131243	-0.3698848	-0.5253352	-0.3144585	-0.3070249	-1.188644	-0.3535499	-0.3982321	-2.178206	-1.982982	-0.8795695	0.762796						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026727	666			6	667	1	289	59	117	117	-1.877636	0	-0.4008985	0	-0.8074544	0	-0.7991824	0	-0.0009662287	0	-0.5899586	0	0.05983903	0	0.9437781	0	0.8503423	0	0.7347974	0	-1.877636	0	0.05983903	0	0.3563947	0.01626894	-0.1457301	-1.53158	-0.9433864	-1.083726	-1.312955	-0.7658467	-0.8477145	-0.3524868	-0.5041114	-0.3040214	-0.2451506	-1.149923	-0.4908459	-0.3519874	-1.946923	-1.742501	-0.3973107	0.5868856						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026810	749			7	750	1	291	61	113	113	-1.877595	0	-0.4157	0	-1.06855	0	-0.1826627	0	-0.0611657	0	-0.704289	0	-0.00222108	0	0.9913256	0	1.065018	0	0.4358986	0	-1.877595	0	-0.00222108	0	0.6046312	0.2886115	-0.04617136	-2.201337	-1.472665	-1.379579	-1.720913	-0.9266465	-0.777021	-0.3571897	-0.7082644	-0.4163008	-0.4657735	-0.5693343	-0.7008671	-0.3728952	-1.794645	-1.576626	0.1990184	1.436598						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026894	833			8	833	1	291	60	116	116	-1.647201	0	-0.1743429	0	-1.380402	0	-0.3161511	0	-0.2204268	0	-0.6672652	0	-0.104054	0	1.102031	0	1.408738	0	0.5781342	0	-1.647201	0	-0.104054	0	0.3460397	0.1160786	-0.1079253	-2.305527	-1.463544	-1.32527	-1.868981	-0.7379953	-0.9238061	-0.3698771	-0.8093316	-0.3821339	-0.5679254	-0.581405	-0.6136128	-0.2203592	-1.879676	-1.627486	0.4080702	1.359593						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150026977	916			9	917	1	290	60	117	117	-1.653222	0	0.3443795	0	-1.680795	0	-0.7590148	0	-0.3129242	0	-0.8200443	0	-0.4296901	0	1.265901	0	2.050641	0	0.4563145	0	-1.653222	0	0.3443795	0	0.217023	-0.08149617	-0.09516489	-2.301245	-1.342718	-1.073814	-1.7757	-0.900203	-1.204427	-0.2495838	-0.7564384	-0.2778843	-0.3710909	-0.6403047	-0.620818	-0.1185907	-2.038363	-1.651568	1.054644	0.8195033						
TianlinLiu	20180411	8c56c5ac5__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_150027060	999			10	1000	1	289	60	119	119	-2.502918	0	0.1105424	0	-1.892747	0	-1.173767	0	-0.3659645	0	-0.7490222	0	-0.1225649	0	1.239235	0	1.508278	0	0.6161057	0	-2.502918	0	0.1105424	0	0.3168565	-0.01364359	-0.1940319	-2.125936	-1.026365	-1.000993	-1.611586	-0.9589249	-1.279691	-0.4245722	-0.4755397	-0.2375429	-0.3556871	-1.036538	-0.489467	-0.1562359	-2.412548	-2.152515	-0.07428291	0.5256025						
