#Study : TianlinLiuValidation
#Date : 20180411 09:26:34
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:21:04.664 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232104730	66			0	67	1	379	196	309	309	-2.040881	0	-1.363915	0	0.7725822	0	-0.09198992	0	-1.848902	0	-0.4176074	0	-3.131347	0	-2.40909	0	-2.329374	0	0.02279169	0	-2.040881	0	-0.09198992	0	0.09301756	0.4855191	-0.8168843	-0.1221771	-1.535105	-0.5967874	-2.384341	-0.182358	-1.323421	-0.8312696	-1.658623	-0.9408578	-1.128239	-0.6606687	-1.015426	-1.41795	0.1518084	-0.5569778	-1.245399	0.1359678						
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232104764	100			1	100	1	381	197	306	306	-2.187192	0	-1.431254	0	0.8385732	0	-0.005789842	0	-2.132646	0	-0.6782261	0	-3.370766	0	-2.573736	0	-2.449999	0	-0.3041984	0	-2.187192	0	-0.005789842	0	0.1723077	0.4968054	-0.709373	-0.07411231	-1.745893	-0.6949061	-2.620451	-0.3126397	-1.488932	-0.9947288	-1.813581	-1.145157	-1.275264	-0.6248631	-1.094196	-1.592106	0.3490119	-0.4215564	-1.228896	0.1528712						
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232104797	133			2	133	1	381	196	307	307	-2.123991	0	-1.338304	0	0.8848889	0	0.007003358	0	-2.294681	0	-0.5788269	0	-3.636514	0	-2.709389	0	-2.516093	0	-0.507712	0	-2.123991	0	0.007003358	0	0.1474264	0.5331247	-0.824033	-0.0967222	-1.684072	-0.6588251	-2.448316	-0.2027529	-1.431093	-0.9945761	-1.773513	-1.163491	-1.393182	-0.5629412	-1.022646	-1.662938	0.5627549	-0.1763353	-1.145853	0.1205365						
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232104830	166			3	167	1	379	193	312	312	-2.120627	0	-1.202327	0	1.343824	0	-0.1208479	0	-2.466319	0	-0.1619314	0	-3.724064	0	-2.660412	0	-2.587034	0	-0.744813	0	-2.120627	0	-0.1208479	0	0.03037869	0.4842554	-0.8194857	-0.07972677	-1.519015	-0.5182483	-2.116615	-0.08885258	-1.181852	-0.9871362	-1.787936	-1.079821	-1.145003	-0.5345293	-1.01409	-1.779412	0.8167804	0.04022457	-1.456856	0.3363059						
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232104863	199			4	200	1	381	192	309	309	-2.443903	0	-1.535807	0	1.991821	0	0.01517985	0	-2.938337	0	-0.6538091	0	-3.89773	0	-3.264571	0	-3.146919	0	-1.506121	0	-2.443903	0	0.01517985	0	0.6916454	1.003004	-0.5298737	0.1869033	-1.78058	-0.8158764	-2.774678	-0.4283054	-1.411059	-1.516712	-2.092121	-1.526198	-1.855186	-0.6648481	-1.280872	-2.41678	1.113799	0.2349277	-1.959021	0.5391367						
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232104897	233			5	233	1	379	190	307	307	-3.148203	0	-1.456159	0	2.70097	0	-0.08697031	0	-3.282268	0	-1.222971	0	-3.937304	0	-3.686837	0	-3.548205	0	-2.410174	0	-3.148203	0	-0.08697031	0	1.081934	1.415178	-0.2935014	0.71553	-1.869462	-0.9215703	-3.06698	-0.611077	-1.54298	-1.846837	-1.995578	-1.630071	-2.000481	-0.8163213	-1.349374	-2.619144	1.224912	0.6180247	-2.521884	0.1033605						
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232104930	266			6	267	1	377	189	303	303	-4.02141	0	-1.842708	0	3.26592	0	-0.1788343	0	-3.625924	0	-1.969257	0	-4.254117	0	-4.521462	0	-4.391219	0	-3.611917	0	-4.02141	0	-0.1788343	0	1.421842	1.885068	-0.2821408	1.340243	-1.936512	-1.148569	-3.54289	-0.5082869	-1.575802	-2.167925	-1.966321	-2.013067	-2.293012	-0.8731412	-1.152303	-2.727192	1.747363	1.266576	-3.092783	-0.307825						
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232104963	299			7	300	1	378	193	295	295	-4.491639	0	-1.545044	0	3.494674	0	-0.09867724	0	-3.943851	0	-1.856608	0	-3.805166	0	-4.364731	0	-4.559415	0	-3.765695	0	-4.491639	0	-0.09867724	0	1.188246	1.700157	-0.08896267	1.545305	-1.964536	-1.257114	-3.540243	-0.4558141	-1.394658	-2.172843	-1.894889	-1.885605	-2.500678	-0.9467324	-0.9462093	-2.650434	1.64498	1.268102	-3.662568	-0.5038804						
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232104997	333			8	333	1	378	193	295	295	-4.529768	0	-1.632715	0	3.408472	0	-0.02354329	0	-3.998101	0	-1.929465	0	-3.808235	0	-4.450483	0	-4.668624	0	-3.870612	0	-4.529768	0	-0.02354329	0	1.233	1.725553	-0.109458	1.563915	-1.988597	-1.251143	-3.596299	-0.4288092	-1.395796	-2.14186	-1.820473	-1.821133	-2.500058	-0.8661065	-0.9136496	-2.595794	1.623405	1.280706	-3.616882	-0.5641655						
TianlinLiuValidation	20180411	119334435_3___utterance_47	0	MALE	a	TestImage	Emotient FACET	20180325_232105030	366			9	367	1	374	194	296	296	-4.801499	0	-1.781499	0	3.949451	0	-0.3998275	0	-4.454129	0	-2.231876	0	-4.323939	0	-4.684368	0	-4.96208	0	-4.603216	0	-4.801499	0	-0.3998275	0	1.412214	1.923487	-0.1381439	1.913177	-1.915933	-1.206936	-3.62267	-0.5181059	-1.418503	-2.189008	-1.930014	-1.961151	-2.608834	-0.9835573	-0.9734724	-2.664129	1.922794	1.629013	-3.929993	-0.6000702						
