#Study : TianlinLiuValidation
#Date : 20180411 09:25:30
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:30:26.753 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233026836	83			0	83	1	572	93	146	146	-1.075455	0	-2.886332	0	-1.937665	0	-0.8770252	0	0.05844912	0	-2.191732	0	-0.2283524	0	-1.683076	0	-1.663983	0	0.5123608	0	-1.075455	0	0.05844912	0	1.280506	1.03541	-0.5013618	-0.7735518	-0.5779557	-0.09071586	-3.908442	-2.087008	-0.5331305	-0.3613821	-0.8022323	-0.5091339	-1.387091	0.4815292	-0.67004	-1.074486	-1.527022	-1.584837	-2.009564	-0.08790137						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233026878	125			1	125	1	573	93	147	147	-0.8638498	0	-3.394771	0	-2.500422	0	-0.9851695	0	-0.9321362	0	-1.308888	0	-0.5063683	0	-2.039671	0	-2.613753	0	0.3310184	0	-0.8638498	0	-0.5063683	0	1.290974	1.112613	-0.4880421	-0.5922297	-0.1595548	0.2232598	-3.767412	-1.320565	-0.5291718	-0.9066804	-0.7736035	-0.897931	-2.544669	0.2458314	-1.022147	-1.792233	-1.30522	-1.881573	-2.88467	-0.3835635						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233026919	166			2	167	1	577	92	145	145	0.3353627	0	-3.442926	0	-2.208894	0	-0.5843276	0	-1.305482	0	-0.5046008	0	-1.809309	0	-2.74306	0	-3.597964	0	-0.8167869	0	0.3353627	0	-0.5046008	0	1.145402	0.9504027	-0.4671156	-0.4271791	0.124365	0.2919838	-2.816177	-0.634195	-0.2297096	-0.5895305	-1.479963	-1.376937	-3.199437	0.2194812	-1.025815	-2.401475	-0.5835766	-1.673128	-3.085047	-0.04744672						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233026961	208			3	209	1	581	90	148	148	-1.158919	0	-3.193264	0	1.105352	0	-1.309409	0	-3.060058	0	-1.583909	0	-3.504023	0	-4.247199	0	-5.60681	0	-2.794214	0	-1.158919	0	-1.309409	0	1.691759	1.715734	-0.5692675	-0.3756631	-0.6133975	-0.110993	-3.821226	-1.761486	-0.3877168	-1.738382	-2.603134	-2.787345	-3.640568	-0.9135998	-1.38701	-4.08047	1.50836	0.686743	-4.706018	1.004338						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027003	250			4	250	1	586	92	146	146	-2.799876	0	-3.046875	0	1.780152	0	-2.191565	0	-5.674338	0	-2.528831	0	-5.4649	0	-5.463115	0	-6.712731	0	-5.987545	0	-2.799876	0	-2.191565	0	1.585879	1.507629	-0.8464448	0.1573238	-1.723896	-0.8701162	-4.251246	-1.693321	-1.118966	-2.648414	-2.528415	-3.474044	-5.381203	-1.045282	-1.016472	-4.72613	2.997156	2.407684	-5.954213	1.040921						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027044	291			5	292	1	587	94	148	148	-2.538504	0	-3.179641	0	1.63084	0	-2.16548	0	-5.730217	0	-2.385898	0	-5.681525	0	-5.770748	0	-7.097383	0	-6.260309	0	-2.538504	0	-2.16548	0	1.729931	1.64796	-0.5901257	0.1622228	-1.553201	-0.7634005	-4.217005	-1.674937	-0.8891975	-2.567004	-2.456493	-3.469027	-5.33637	-1.132713	-1.146744	-4.814539	2.910394	2.167631	-6.140845	1.202432						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027086	333			6	334	1	585	95	147	147	-1.458281	0	-3.016016	0	1.214593	0	-1.479237	0	-4.466718	0	-1.813477	0	-4.458261	0	-5.062164	0	-6.372787	0	-4.932045	0	-1.458281	0	-1.479237	0	1.541829	1.490799	-0.6056994	-0.02699154	-1.255784	-0.5082414	-3.839727	-1.552598	-0.5813372	-2.135475	-2.511278	-2.957975	-4.887794	-0.9471213	-1.107566	-4.326632	2.130731	1.467761	-5.290182	1.080891						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027128	375			7	375	1	582	93	148	148	0.3085506	0	-3.608396	0	-0.7323033	0	-0.5135123	0	-2.295723	0	-0.9499162	0	-2.869262	0	-3.950182	0	-4.953912	0	-2.64989	0	0.3085506	0	-0.5135123	0	1.682521	1.338708	-0.2462899	-0.4757357	-0.1082707	0.2978315	-3.137328	-1.598604	0.0041802	-1.002353	-2.65239	-2.235135	-3.455003	-0.2595729	-1.318241	-3.684952	1.031556	-0.2825174	-3.53629	0.5150614						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027170	417			8	417	1	580	93	146	146	1.697536	0	-4.233148	0	-2.496155	0	-0.5732127	0	-2.108613	0	-0.9820938	0	-2.074802	0	-3.75112	0	-4.67019	0	-2.36011	0	1.697536	0	-0.5732127	0	1.25311	0.9051408	-0.4567865	-0.04887512	0.2727303	0.5391216	-2.877566	-0.8050191	0.1076387	-0.8794764	-1.995193	-1.367869	-4.348312	0.3949378	-1.130533	-2.846943	0.4432277	-0.8139597	-2.742559	-0.4766532						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027211	458			9	459	1	579	92	147	147	2.370791	0	-4.579333	0	-2.754011	0	-0.8608369	0	-2.083691	0	-1.135403	0	-2.163824	0	-4.006444	0	-4.927947	0	-2.477539	0	2.370791	0	-0.8608369	0	1.265614	0.91343	-0.4556159	-0.04870677	0.7853053	0.5851122	-2.68948	-0.7205107	0.4826155	-0.7379047	-1.776677	-1.456785	-4.622461	0.3694409	-1.066247	-2.651911	0.4088812	-0.8916298	-2.585036	-0.689645						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027253	500			10	500	1	577	91	150	150	2.420034	0	-4.483526	0	-2.587822	0	-1.141514	0	-2.038247	0	-1.046565	0	-2.164812	0	-4.092872	0	-4.867608	0	-2.357632	0	2.420034	0	-1.046565	0	1.292892	1.034502	-0.5189654	-0.2619633	0.8124856	0.5143399	-2.711118	-0.8124568	0.637509	-0.6590124	-1.743324	-1.417481	-4.52263	0.180599	-1.06949	-2.53212	0.2834102	-0.9578845	-2.44375	-0.7100931						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027295	542			11	542	1	577	91	150	150	2.465013	0	-4.563673	0	-2.710889	0	-1.284175	0	-1.957023	0	-1.157179	0	-2.082811	0	-3.971572	0	-4.776744	0	-2.198649	0	2.465013	0	-1.157179	0	1.40532	1.111069	-0.5451875	-0.3321437	0.8103415	0.5411783	-2.767415	-0.8953049	0.6616684	-0.6089081	-1.810514	-1.467155	-4.409876	0.1517935	-1.079645	-2.487468	0.298852	-0.8930035	-2.415755	-0.7436315						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027336	583			12	584	1	577	91	150	150	2.323036	0	-4.790739	0	-2.808953	0	-1.39332	0	-2.721513	0	-0.9817228	0	-2.771657	0	-4.596532	0	-5.623808	0	-2.941726	0	2.323036	0	-0.9817228	0	1.570398	1.247713	-0.389024	-0.327395	0.7774748	0.5355285	-2.720896	-0.663056	0.6820042	-0.6765264	-1.939425	-1.767023	-4.989818	0.1596611	-1.183617	-2.960516	0.739121	-0.9038565	-2.868737	-0.6396151						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027378	625			13	626	1	578	92	148	148	2.324805	0	-4.801135	0	-3.145096	0	-1.234626	0	-3.467726	0	-0.9614798	0	-3.297178	0	-5.080699	0	-6.23105	0	-3.649776	0	2.324805	0	-0.9614798	0	1.36093	1.054316	-0.3705256	-0.2955587	0.8000531	0.6079867	-2.651568	-0.4873339	0.5034541	-0.9921727	-1.956853	-1.969032	-5.717264	0.3228605	-1.171654	-3.425107	0.9708064	-0.9671005	-3.386925	-0.6913761						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027420	667			14	667	1	577	92	150	150	2.548002	0	-4.783598	0	-3.118172	0	-1.586051	0	-3.458454	0	-0.9972774	0	-3.428853	0	-5.092392	0	-5.975729	0	-3.679469	0	2.548002	0	-0.9972774	0	1.459928	1.160591	-0.3721646	-0.3695178	0.908142	0.6953216	-2.578642	-0.5931106	0.6849265	-0.8568378	-1.901355	-1.998266	-5.575574	0.04588408	-1.178314	-3.232318	0.8895589	-0.9601442	-3.129622	-0.5630091						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027462	709			15	709	1	576	92	149	149	2.278631	0	-4.807539	0	-3.454326	0	-1.331023	0	-3.088939	0	-0.7509395	0	-3.079062	0	-4.686642	0	-5.839972	0	-3.289104	0	2.278631	0	-0.7509395	0	1.500132	1.230244	-0.3037402	-0.4391821	0.8827875	0.766271	-2.537518	-0.6096522	0.5456054	-0.8889779	-2.049672	-1.992829	-5.45203	0.3811032	-1.20638	-3.221571	0.7740968	-1.106015	-3.221682	-0.5487652						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027503	750			16	751	1	577	93	149	149	2.59841	0	-4.880014	0	-3.651625	0	-1.352093	0	-2.566093	0	-0.8934861	0	-2.706321	0	-4.292287	0	-5.400998	0	-2.860972	0	2.59841	0	-0.8934861	0	1.401781	1.132586	-0.3831907	-0.4419082	1.059792	0.9245548	-2.442954	-0.6540083	0.6447444	-0.817173	-1.835519	-1.709053	-5.205584	0.3812493	-1.20121	-2.860641	0.4435734	-1.094035	-3.020759	-0.654393						
TianlinLiuValidation	20180411	a251c98f3_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233027545	792			17	792	1	576	91	151	151	2.80788	0	-4.832932	0	-3.98932	0	-1.683334	0	-2.295675	0	-1.088227	0	-2.67875	0	-4.224924	0	-4.900151	0	-2.876395	0	2.80788	0	-1.088227	0	1.37052	1.132333	-0.3712049	-0.5217856	1.164226	0.8458437	-2.212802	-0.7978609	0.9126613	-0.6768706	-1.702858	-1.455355	-4.949548	0.548012	-1.073962	-2.504654	0.595924	-0.8516902	-2.47625	-0.6938947						
