#Study : TianlinLiuValidation
#Date : 20180411 09:25:30
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:30:30.541 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030607	66			0	67	1	288	73	69	69	0.09289396	0	-1.651586	0	-3.739424	0	0.9296706	0	-1.440351	0	-3.034662	0	-2.959444	0	-1.147494	0	0.1763161	0	-1.433445	0	0.09289396	0	0.9296706	0	-0.6689246	-1.237014	-0.4714665	-2.051264	-2.060429	-0.708313	-2.66232	-2.040207	-0.6516689	0.09815913	-2.430369	-1.186746	-2.6628	1.478708	-0.4014991	-1.325763	0.875209	0.493451	1.687434	-1.286536						
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030641	100			1	100	1	288	73	69	69	0.09289396	0	-1.651586	0	-3.739424	0	0.9296706	0	-1.440351	0	-3.034662	0	-2.959444	0	-1.147494	0	0.1763161	0	-1.433445	0	0.09289396	0	0.9296706	0	-0.6689246	-1.237014	-0.4714665	-2.051264	-2.060429	-0.708313	-2.66232	-2.040207	-0.6516689	0.09815913	-2.430369	-1.186746	-2.6628	1.478708	-0.4014991	-1.325763	0.875209	0.493451	1.687434	-1.286536						
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030674	133			2	133	1	289	73	71	71	0.08720578	0	-1.215109	0	-3.031044	0	0.5228254	0	-1.311983	0	-2.341861	0	-2.480942	0	-0.8835391	0	0.301549	0	-1.084442	0	0.08720578	0	0.5228254	0	-0.8070698	-1.227661	-0.6082639	-1.607949	-1.750781	-0.6744999	-2.259139	-1.376697	-0.4290659	0.3341035	-1.975873	-0.7975457	-3.480309	0.8073844	-0.2952449	-0.4582128	0.5462239	0.3924332	1.275716	-1.731503						
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030707	166			3	167	1	291	73	70	70	-0.7853327	0	-1.141764	0	-3.921556	0	0.5405859	0	-0.926244	0	-2.896256	0	-2.011926	0	-0.4358129	0	0.6438832	0	-0.7360942	0	-0.7853327	0	0.5405859	0	-0.6160264	-1.242281	-0.4528469	-1.650575	-1.890158	-0.5758087	-2.628301	-2.02498	-0.8250563	0.271888	-2.055172	-0.9245492	-2.638057	0.8664653	-0.315577	-0.7860478	0.2320163	0.1805547	1.482012	-2.049073						
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030741	200			4	200	1	293	73	69	69	-0.7858295	0	-0.8191497	0	-3.963326	0	0.2563508	0	-0.7787154	0	-3.221228	0	-1.827694	0	-0.1937207	0	1.104709	0	-0.5479806	0	-0.7858295	0	0.2563508	0	-0.5785288	-1.184547	-0.3387113	-1.677673	-1.814049	-0.4464972	-2.679823	-2.34082	-0.9532083	0.3367371	-1.881119	-0.6915786	-2.112578	0.558504	-0.2358106	-0.6498278	-0.2556855	0.1478498	1.903607	-2.305593						
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030774	233			5	234	1	294	73	70	70	-1.037632	0	-1.02025	0	-3.169556	0	-0.1096401	0	-0.5825596	0	-2.083173	0	-0.9244835	0	-0.128754	0	0.3960784	0	-0.1144003	0	-1.037632	0	-0.1096401	0	-0.3678835	-0.8818655	-0.4191831	-1.156311	-1.546078	-0.6321586	-2.482388	-1.418108	-0.6904144	0.1274823	-1.329056	-0.559516	-2.591283	0.05301464	-0.07939848	-0.1511956	-0.4699624	-0.1488548	0.327798	-2.404254						
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030807	266			6	267	1	293	72	73	73	-1.493654	0	-1.077738	0	-3.66202	0	-0.4058676	0	-0.3864139	0	-2.390281	0	-0.9460359	0	0.1089903	0	0.4294455	0	0.01451718	0	-1.493654	0	-0.3864139	0	-0.2483258	-0.802528	-0.265204	-0.702807	-1.400685	-0.6966315	-2.698093	-1.187604	-0.743856	0.05721699	-1.605039	-0.9490327	-2.514151	-0.2188045	-0.1255978	-0.3535639	-0.9590073	-0.6614746	-1.06389	-3.070495						
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030841	300			7	300	1	294	71	74	74	-0.9566701	0	-0.7814062	0	-2.916133	0	-0.5126372	0	-0.3993475	0	-1.655152	0	-1.097105	0	0.04795818	0	0.4820254	0	0.2397946	0	-0.9566701	0	-0.3993475	0	-0.3877372	-0.8398069	-0.5457135	-0.6723556	-1.24611	-0.7591914	-2.051168	-0.703326	-0.6473454	-0.1125527	-1.589001	-1.126837	-2.388159	-0.3057458	-0.1561541	-0.5938786	-0.6014518	-0.7147039	-1.271685	-2.62053						
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030874	333			8	334	1	294	71	74	74	-1.379871	0	-0.9033873	0	-3.238483	0	-0.4608226	0	-0.4655497	0	-1.899274	0	-0.9528739	0	0.2436587	0	0.5627965	0	0.02414866	0	-1.379871	0	-0.4608226	0	-0.2213462	-0.7243157	-0.2802992	-0.7072412	-1.268496	-0.6578503	-2.404286	-0.9905647	-0.7937803	-0.109284	-1.704315	-1.006443	-2.556168	-0.1676145	-0.1464938	-0.4881833	-0.6154039	-0.5556777	-1.013812	-2.731556						
TianlinLiuValidation	20180411	b018c03de_18___utterance_145	0	MALE	a	TestImage	Emotient FACET	20180325_233030908	367			9	367	1	296	72	71	71	-2.019597	0	-0.8608632	0	-2.828242	0	-0.456671	0	-0.7711087	0	-1.979387	0	-0.802923	0	0.1960621	0	0.3010559	0	0.04208798	0	-2.019597	0	-0.456671	0	-0.2324511	-0.6867313	-0.3011878	-1.162729	-1.298278	-0.3896132	-2.455583	-1.717579	-0.9435965	-0.2502794	-1.269021	-0.8025567	-1.803187	-0.3984899	-0.1356639	-0.5366469	-0.5950754	-0.16257	-0.1101577	-2.410987						
