#Study : TianlinLiuValidation
#Date : 20180411 09:25:28
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:30:43.466 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043532	66			0	67	1	373	187	309	309	2.014172	0	-2.547361	0	-4.052578	0	-0.9301542	0	-0.8859865	0	-1.601513	0	-2.867712	0	-2.913201	0	-1.774006	0	-3.239384	0	2.014172	0	-0.8859865	0	-0.7674018	-0.6747339	-0.4613782	-0.9584197	-0.3588097	-0.5358246	-0.7815713	-1.254555	1.326635	0.7059551	-1.940613	0.1218136	-3.15044	0.9563521	-0.02224939	-0.3309101	-0.1479362	-0.6703835	-0.01331505	0.355762						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043566	100			1	100	1	374	186	310	310	1.948039	0	-2.286589	0	-3.870113	0	-0.8086211	0	-0.3911421	0	-1.609491	0	-2.466476	0	-2.419878	0	-1.341048	0	-2.691612	0	1.948039	0	-0.3911421	0	-0.6864259	-0.6706951	-0.4680432	-0.9096335	-0.310152	-0.5738637	-0.800998	-1.212115	1.210884	0.7056636	-1.844161	0.1716481	-2.764843	0.9134657	0.02492436	-0.1449688	-0.4545872	-0.8438314	0.09289765	0.5046598						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043599	133			2	133	1	374	187	309	309	1.895919	0	-2.173933	0	-3.672435	0	-0.666319	0	-0.03237703	0	-1.608519	0	-2.303294	0	-2.284003	0	-1.221498	0	-2.558969	0	1.895919	0	-0.03237703	0	-0.4805556	-0.4778304	-0.4405237	-0.8285277	-0.2633095	-0.6298122	-0.8839746	-1.239613	1.185871	0.7260201	-1.742251	0.1713629	-2.456505	0.7943922	9.744899E-05	-0.05332541	-0.6104736	-0.993189	-0.01347372	0.6120291						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043632	166			3	167	1	374	187	309	309	1.903159	0	-2.116187	0	-3.871755	0	-0.7885033	0	0.1148522	0	-1.621995	0	-2.158621	0	-2.231177	0	-1.077285	0	-2.476375	0	1.903159	0	0.1148522	0	-0.5249311	-0.5003789	-0.4653164	-0.8404549	-0.2603217	-0.6672208	-0.911189	-1.275072	1.187535	0.7600538	-1.732638	0.2405636	-2.39253	0.8230792	0.04713023	0.002349215	-0.6590647	-1.019585	0.05637192	0.5728229						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043665	199			4	200	1	375	186	311	311	1.897	0	-2.33071	0	-3.603936	0	-0.6733007	0	-0.1275241	0	-1.619215	0	-2.421364	0	-2.414457	0	-1.332464	0	-2.5769	0	1.897	0	-0.1275241	0	-0.5170624	-0.4584534	-0.5108708	-0.7785439	-0.2790497	-0.6290547	-0.9465943	-1.23895	1.193604	0.6134896	-1.739912	0.1408738	-2.615241	0.816958	-0.08111068	-0.1491984	-0.5088322	-0.8928135	-0.0851278	0.570313						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043699	233			5	233	1	375	186	312	312	1.970211	0	-2.613055	0	-3.207594	0	-0.9182734	0	-0.4254428	0	-1.485653	0	-2.603713	0	-2.605491	0	-1.836723	0	-2.448928	0	1.970211	0	-0.4254428	0	-0.4648439	-0.3146153	-0.5311499	-0.6587787	-0.1428413	-0.5322244	-0.9252641	-1.144428	1.229607	0.407147	-1.695292	-0.1290631	-2.607764	0.701027	-0.293259	-0.4450837	-0.2121926	-0.8061545	-0.6040183	0.4027713						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043732	266			6	267	1	375	184	316	316	2.134887	0	-2.610104	0	-2.849045	0	-1.292134	0	-1.092347	0	-1.05333	0	-2.99961	0	-2.617307	0	-2.143579	0	-2.223772	0	2.134887	0	-1.05333	0	-0.5124376	-0.2717412	-0.6350068	-0.8494517	-0.09232557	-0.4643607	-0.7031629	-0.835099	1.280135	0.278419	-1.659628	-0.3783115	-2.872618	0.5356959	-0.3031531	-0.6863245	0.03439366	-0.5943398	-0.8482149	0.5970563						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043765	299			7	300	1	377	185	314	314	1.706115	0	-2.102948	0	-2.307255	0	-1.122025	0	-1.120231	0	-0.03607499	0	-2.728463	0	-2.221124	0	-1.956097	0	-1.572069	0	1.706115	0	-0.03607499	0	-0.5027902	-0.2787073	-0.5790007	-0.7137465	0.04522896	-0.3678637	-0.3463288	-0.4108587	1.022687	0.001215568	-1.407881	-0.4978537	-2.473017	0.4210704	-0.3540259	-0.8782316	0.1996253	-0.5732759	-0.9748055	0.896638						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043799	333			8	333	1	384	189	303	303	0.9965824	0	-1.642908	0	-2.058921	0	-1.235515	0	-0.5287573	0	-0.1101364	0	-1.696296	0	-1.149546	0	-1.023841	0	-0.2686748	0	0.9965824	0	-0.1101364	0	-0.4121468	-0.257343	-0.5911326	-0.8709666	-0.008441867	-0.4526259	-0.6738972	-0.5348643	0.6722667	-0.001046689	-1.452938	-0.5264181	-2.181242	0.1400761	-0.4712338	-0.7376008	-0.2786469	-0.8577585	-0.719893	0.6117292						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043832	366			9	367	1	382	187	307	307	0.5980662	0	-1.036452	0	-2.486569	0	-1.708612	0	0.5232975	0	0.1215941	0	-1.008928	0	-0.5704709	0	-0.2912588	0	0.1627919	0	0.5980662	0	0.5232975	0	-0.4854046	-0.5102049	-0.4808228	-0.662993	-0.04962597	-0.5398697	-0.7666286	-0.4108851	0.4372408	0.3965419	-1.227527	-0.01580455	-0.4040393	-0.2227119	0.04279715	0.04755842	-1.440692	-1.526883	-0.9113743	0.545064						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043865	399			10	400	1	378	185	311	311	0.7457006	0	-0.7198863	0	-2.53279	0	-1.701952	0	0.4488852	0	0.2516285	0	-0.8592206	0	-0.6305004	0	-0.02620611	0	0.006342235	0	0.7457006	0	0.4488852	0	-0.4384764	-0.428861	-0.5117876	-0.7023614	0.05530897	-0.5848417	-0.6532257	-0.3120263	0.5342258	0.4310625	-1.089966	0.2612584	-0.1612701	-0.5255212	0.3154302	0.3224662	-1.562401	-1.603489	-1.022371	0.8470017						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043899	433			11	433	1	382	185	307	307	0.2004749	0	-0.8939915	0	-2.453188	0	-1.528979	0	0.4268724	0	0.1298216	0	-0.6740885	0	-0.4777823	0	-0.2799284	0	0.2356152	0	0.2004749	0	0.4268724	0	-0.3328201	-0.4762074	-0.3283984	-0.6170369	-0.01694554	-0.5172995	-0.7407889	-0.2793365	0.2877758	0.3759555	-1.121165	0.1298964	-0.1802792	-0.5084794	0.108962	0.09305671	-1.741195	-1.692869	-1.095813	0.4673471						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043932	466			12	467	1	378	183	313	313	1.100214	0	-1.303247	0	-2.646397	0	-1.271169	0	0.6700105	0	-0.2276036	0	-0.6723061	0	-0.9485716	0	-0.4562463	0	-0.5907118	0	1.100214	0	0.6700105	0	-0.3308435	-0.462965	-0.3606554	-0.8020564	0.03695916	-0.5159691	-0.9304513	-0.7231602	0.7530926	0.4770539	-1.292575	-0.04134141	-0.7962716	0.02511678	-0.06831232	-0.002856121	-1.107075	-1.170854	-0.5294717	0.7833032						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043966	500			13	500	1	380	182	313	313	1.219489	0	-1.665098	0	-2.614124	0	-0.2238299	0	-0.0260876	0	-0.3656249	0	-0.9325356	0	-1.542191	0	-0.9796264	0	-1.463629	0	1.219489	0	-0.0260876	0	-0.02781002	-0.2777242	-0.2504665	-0.727897	0.1236832	-0.4130662	-0.9053645	-0.4892396	0.8697942	0.2824864	-1.20588	-0.1891416	-1.914147	0.4554561	-0.223662	-0.3157865	-0.4197951	-0.8400078	-0.5126972	0.9324562						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233043999	533			14	533	1	384	183	310	310	0.9808919	0	-2.077386	0	-3.771738	0	0.312731	0	-0.9886275	0	-0.3801828	0	-1.469442	0	-2.541582	0	-1.453442	0	-2.804036	0	0.9808919	0	0.312731	0	-0.177108	-0.426532	-0.2440161	-0.7108355	0.2782238	-0.3975815	-1.309429	-0.3248342	0.936576	0.2130489	-1.294376	0.02520865	-3.330737	0.8083565	-0.07185706	-0.5026687	-0.1204783	-0.5915397	-0.04460644	0.4259651						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233044032	566			15	567	1	389	185	307	307	1.261558	0	-2.620058	0	-4.429632	0	0.1458991	0	-1.155194	0	-0.9656859	0	-1.959829	0	-3.149634	0	-1.923518	0	-3.51273	0	1.261558	0	0.1458991	0	-0.2863079	-0.5384991	-0.3037623	-0.6817491	0.3710772	-0.3202506	-1.530157	-0.5097662	1.140594	0.2006363	-1.560068	0.06397262	-3.669298	1.031325	-0.1471828	-0.6625955	-0.07483048	-0.6773357	-0.2957623	0.07423063						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233044065	599			16	600	1	392	185	305	305	1.545138	0	-2.924301	0	-4.936913	0	-0.0565113	0	-1.194684	0	-1.319108	0	-2.326257	0	-3.440727	0	-2.243354	0	-3.881606	0	1.545138	0	-0.0565113	0	-0.4477672	-0.7025179	-0.3839344	-0.707208	0.4431898	-0.277771	-1.514045	-0.6238608	1.302544	0.2592443	-1.872505	-0.001263165	-3.753583	1.171499	-0.197734	-0.6995963	-0.05062291	-0.7546897	-0.4515833	-0.02256907						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233044099	633			17	633	1	395	186	305	305	1.606123	0	-3.265672	0	-5.141672	0	0.03226319	0	-1.963763	0	-1.463088	0	-2.92166	0	-4.076125	0	-2.910703	0	-4.646532	0	1.606123	0	0.03226319	0	-0.5694055	-0.819711	-0.47084	-0.6871302	0.5877326	-0.1278147	-1.503468	-0.5760244	1.345844	-0.0257405	-1.933583	-0.1900321	-4.134269	1.291502	-0.3809045	-1.136821	0.3800264	-0.5936513	-0.7568932	-0.3132985						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233044132	666			18	667	1	396	185	309	309	1.572828	0	-3.178585	0	-4.632914	0	-0.04321169	0	-2.300805	0	-1.335804	0	-2.952664	0	-4.241	0	-3.109894	0	-4.729882	0	1.572828	0	-0.04321169	0	-0.6202995	-0.783043	-0.5197164	-0.4673554	0.6198398	-0.1565113	-1.491318	-0.531646	1.39279	-0.1305763	-1.925863	-0.1384601	-4.409507	1.111108	-0.3169661	-1.194847	0.5744762	-0.3501295	-0.7379338	-0.3030247						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233044165	699			19	700	1	399	186	306	306	1.928974	0	-3.466969	0	-4.926667	0	-0.2929141	0	-2.593632	0	-1.435045	0	-3.41436	0	-4.557545	0	-3.509329	0	-5.249349	0	1.928974	0	-0.2929141	0	-0.6226649	-0.9391748	-0.5051951	-0.6630086	0.5721133	-0.1478781	-1.17919	-0.5684918	1.35604	-0.2279438	-2.086509	-0.2987318	-4.129794	1.333706	-0.4652125	-1.577578	0.9748783	-0.2739595	-0.9082772	-0.0144394						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233044199	733			20	733	1	401	188	304	304	1.990688	0	-3.660469	0	-4.512537	0	-0.1891612	0	-2.80353	0	-1.411768	0	-3.79814	0	-4.853478	0	-3.875051	0	-5.329213	0	1.990688	0	-0.1891612	0	-0.5805375	-0.8184653	-0.5925174	-0.4738772	0.529431	-0.2058153	-1.177095	-0.4475071	1.27091	-0.4575181	-2.063411	-0.4923513	-4.124598	1.349015	-0.4486699	-1.862848	1.263442	-0.2061116	-1.242943	-0.1934653						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233044232	766			21	767	1	400	188	307	307	1.575175	0	-3.613671	0	-3.532679	0	0.08539803	0	-2.295048	0	-1.200417	0	-3.031849	0	-4.435765	0	-3.870439	0	-4.211253	0	1.575175	0	0.08539803	0	-0.338021	-0.4829148	-0.5762149	-0.07647335	0.5217671	-0.3178355	-1.498928	-0.3147799	1.16658	-0.663359	-1.775119	-0.6317333	-4.064991	1.113149	-0.4691366	-1.816025	1.079934	-0.266195	-1.508337	-0.50818						
TianlinLiuValidation	20180411	b748addbd_5___utterance_99	0	MALE	a	TestImage	Emotient FACET	20180325_233044265	799			22	800	1	401	190	303	303	1.377417	0	-3.18265	0	-3.130318	0	-0.051882	0	-2.059652	0	-0.8458943	0	-2.435698	0	-3.919285	0	-3.39805	0	-3.733818	0	1.377417	0	-0.051882	0	-0.1339345	-0.2253789	-0.4969368	-0.3092401	0.5036682	-0.2426115	-1.462504	-0.1832302	1.015684	-0.6996626	-1.447077	-0.6969298	-3.671389	0.6884791	-0.5019677	-1.659262	1.016508	-0.1135171	-1.513711	-0.3360291						
