#Study : TianlinLiu
#Date : 20180411 09:04:52
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:00:40.230 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040296	66			0	67	1	155	92	143	143	-4.869651	0	-2.465449	0	-1.219248	0	-1.148213	0	-0.2162066	0	-3.057125	0	-2.224679	0	-1.384681	0	-1.458376	0	2.285854	0	-4.869651	0	-0.2162066	0	-0.9506902	-0.7271842	-1.977526	-1.325935	-1.993339	-1.347847	-5.15339	-1.529151	-1.655435	-1.412534	-0.6204776	-0.4488235	-0.5916761	-0.6016861	-0.9738365	-0.6717809	-2.009551	-1.296485	-3.257092	-1.383476						
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040330	100			1	100	1	156	92	143	143	-4.712889	0	-2.475158	0	-1.353448	0	-1.203089	0	-0.1795387	0	-2.933736	0	-2.223343	0	-1.247368	0	-1.320553	0	2.270458	0	-4.712889	0	-0.1795387	0	-0.9144939	-0.718819	-1.908007	-1.441786	-1.89773	-1.301288	-5.059577	-1.408019	-1.598065	-1.387856	-0.7015313	-0.4892257	-0.6877307	-0.6005431	-1.02056	-0.6463592	-2.049081	-1.359556	-3.215875	-1.272546						
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040363	133			2	133	1	162	93	142	142	-4.634863	0	-2.983343	0	-2.705506	0	-2.311268	0	-0.1195613	0	-2.658781	0	-2.049754	0	-1.128512	0	-1.237205	0	2.29024	0	-4.634863	0	-0.1195613	0	-0.4102777	-0.3185281	-1.951666	-2.605298	-1.557331	-1.129954	-4.609899	-1.199021	-1.500217	-1.200596	-0.8704618	-0.5780044	-0.9211748	-0.7632207	-0.9203086	-0.4676073	-1.920413	-1.21793	-2.882443	-0.1527976						
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040396	166			3	167	1	162	93	142	142	-4.485886	0	-3.137783	0	-2.499277	0	-2.178216	0	-0.04447306	0	-2.750681	0	-1.960283	0	-1.211985	0	-1.349378	0	2.262415	0	-4.485886	0	-0.04447306	0	-0.280353	-0.1705391	-1.927661	-2.533005	-1.472638	-1.100361	-4.666469	-1.132687	-1.440277	-1.10977	-0.8294907	-0.5556719	-0.9505715	-0.7321489	-0.8431699	-0.460866	-1.791811	-1.098946	-2.864961	-0.2474833						
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040429	199			4	200	1	166	94	139	139	-4.192771	0	-3.224556	0	-2.292863	0	-2.373647	0	0.05011814	0	-2.25052	0	-2.175663	0	-1.488446	0	-1.640428	0	2.321929	0	-4.192771	0	0.05011814	0	-0.2650459	-0.1171323	-1.934504	-2.885162	-1.2869	-1.192597	-4.175537	-1.064176	-1.317562	-1.106693	-0.7099687	-0.4415622	-0.3636801	-0.7382466	-0.8163725	-0.4695241	-1.661049	-0.9168471	-2.578249	0.4162583						
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040463	233			5	233	1	169	93	139	139	-3.890562	0	-3.138045	0	-2.462695	0	-2.384872	0	0.07067007	0	-2.392133	0	-2.225498	0	-1.29801	0	-1.417235	0	2.359875	0	-3.890562	0	0.07067007	0	-0.2819613	-0.137875	-1.785314	-2.671782	-1.065183	-1.025076	-3.984857	-1.275996	-1.369527	-1.127951	-0.8855231	-0.5829704	-0.3009143	-0.7770256	-0.877258	-0.5614999	-1.819049	-1.049837	-2.391552	0.4568709						
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040496	266			6	267	1	169	91	141	141	-3.781838	0	-2.876937	0	-2.00443	0	-2.260658	0	0.02681144	0	-2.198599	0	-2.285426	0	-1.285574	0	-1.406559	0	2.315399	0	-3.781838	0	0.02681144	0	-0.474976	-0.3382415	-1.731194	-2.512241	-1.123978	-1.146862	-3.669199	-1.09889	-1.373898	-1.18487	-0.905699	-0.5070782	-0.06964712	-0.7358347	-0.8327294	-0.5618936	-1.680132	-0.9305962	-2.25773	0.5585819						
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040529	299			7	300	1	165	89	142	142	-3.891183	0	-3.582155	0	0.7111172	0	-1.885024	0	-3.441951	0	-2.192597	0	-4.599227	0	-4.078049	0	-4.652875	0	-1.69444	0	-3.891183	0	-1.885024	0	-0.2098325	-0.05940691	-1.492651	-1.594675	-2.079299	-1.261468	-4.593853	-0.6179689	-1.561434	-2.367127	-1.232277	-1.635528	-1.883185	-0.2820941	-0.3612428	-2.116359	1.804127	1.823261	-3.306823	1.404047						
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040563	333			8	333	1	165	89	142	142	-3.908533	0	-3.589293	0	0.7018856	0	-1.869694	0	-3.452676	0	-2.199208	0	-4.592826	0	-4.093323	0	-4.671048	0	-1.704373	0	-3.908533	0	-1.869694	0	-0.2080563	-0.05973506	-1.488201	-1.590125	-2.0816	-1.254664	-4.610063	-0.6196131	-1.57149	-2.37791	-1.217357	-1.640776	-1.906292	-0.2790941	-0.3607277	-2.123717	1.807434	1.825188	-3.322121	1.397667						
TianlinLiu	20180411	8feb77e1d_1__utterance_9	0	MALE	recording	TestImage	Emotient FACET	20180320_150040596	366			9	367	1	161	89	142	142	-4.65361	0	-4.546429	0	1.598729	0	-2.258962	0	-4.754688	0	-3.175583	0	-5.654797	0	-5.599175	0	-6.311882	0	-3.293649	0	-4.65361	0	-2.258962	0	0.1009835	0.2879894	-1.872146	-1.207263	-2.528863	-1.491703	-5.606238	-0.8650344	-1.764544	-3.037363	-1.437121	-2.199926	-2.682933	-0.3306959	-0.2024845	-2.590938	2.789452	2.843179	-4.378708	1.225306						
