#Study : TianlinLiu
#Date : 20180411 09:08:57
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:26:25.971 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626104	133			0	133	1	53	46	204	204	-0.3898249	0	-3.1566	0	0.8700461	0	0.4490445	0	0.2394355	0	-1.662451	0	-0.243519	0	-2.544465	0	-2.458045	0	-0.3933241	0	-0.3898249	0	0.4490445	0	1.74203	1.501694	-0.6109273	-0.1741103	-0.7754382	-1.087656	-3.947129	-0.4141224	0.04377857	0.2414555	-0.238859	-0.2586165	-0.2603108	-1.627783	-0.4608161	0.102258	-1.319864	-1.26798	-1.551878	-0.7849628						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626171	200			1	200	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626237	266			2	267	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626304	333			3	333	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626370	399			4	400	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626437	466			5	467	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626504	533			6	533	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626570	599			7	600	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626637	666			8	667	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626704	733			9	733	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626770	799			10	800	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626837	866			11	867	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626904	933			12	933	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142626971	1000			13	1000	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142627037	1066			14	1067	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142627104	1133			15	1133	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142627170	1199			16	1200	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142627237	1266			17	1267	0																																																						
TianlinLiu	20180411	09b47f459_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_142627304	1333			18	1333	0																																																						
