#Study : TianlinLiuValidation
#Date : 20180411 09:25:27
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:30:54.434 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054500	66			0	67	1	406	196	298	298	-1.061684	0	-0.8519803	0	-1.008901	0	0.04260514	0	0.4250701	0	-1.206068	0	-0.4771731	0	-1.658352	0	-0.7066315	0	0.2033176	0	-1.061684	0	0.4250701	0	0.4735805	0.6911256	-0.740473	-0.6257118	-1.097175	-1.306517	-2.694986	-0.4459659	-0.458548	0.1021441	-0.8093701	1.100667	-0.50405	-1.194814	-0.3362254	0.4777724	-2.937601	-2.140505	-1.567961	0.8132046						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054534	100			1	100	1	403	193	303	303	-1.118044	0	-0.9265802	0	-0.6968015	0	0.3677226	0	0.2868665	0	-1.078397	0	-0.7189296	0	-1.855265	0	-1.097566	0	0.07026447	0	-1.118044	0	0.3677226	0	0.3974254	0.7274688	-0.6891849	-0.2083176	-1.095059	-1.352715	-2.778069	-0.3021846	-0.3800385	0.1688379	-0.7038941	1.106151	-0.5610167	-1.063977	-0.3301761	0.3497254	-2.898917	-2.128312	-1.390437	1.269546						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054567	133			2	133	1	403	194	303	303	-1.120262	0	-0.9052868	0	-0.7052124	0	0.3408431	0	0.3029751	0	-1.089257	0	-0.7139155	0	-1.821854	0	-1.07738	0	0.06145525	0	-1.120262	0	0.3408431	0	0.4012226	0.7332208	-0.6768433	-0.2223359	-1.087402	-1.354251	-2.765276	-0.3256323	-0.3920116	0.1581397	-0.7514201	1.075767	-0.6010466	-1.059057	-0.378933	0.3262967	-2.895137	-2.103214	-1.435539	1.302104						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054600	166			3	167	1	406	197	294	294	-0.6481051	0	-1.170011	0	-0.8869627	0	0.39542	0	0.3868986	0	-0.8788024	0	-0.7135137	0	-1.80728	0	-1.060443	0	0.168695	0	-0.6481051	0	0.39542	0	0.583567	0.827983	-0.7236868	-0.6606633	-0.8480704	-1.328128	-2.716376	-0.2984376	-0.2238269	0.06262022	-1.009064	0.5068269	-0.9105871	-0.7787144	-0.5412851	0.2025284	-2.521415	-1.929509	-1.339759	0.9460051						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054634	200			4	200	1	404	195	300	300	0.4339941	0	-1.414015	0	-0.892134	0	0.5858384	0	-0.4730676	0	-0.7614256	0	-1.518317	0	-2.445167	0	-1.519553	0	-0.7221889	0	0.4339941	0	0.5858384	0	0.4506854	0.5585584	-0.5287889	-0.5299645	-0.8407995	-1.184547	-2.396618	-0.3324273	-0.01566896	0.4220832	-1.445931	0.4656989	-1.11837	-0.50341	-0.3259748	-0.06525597	-1.804139	-1.508355	-0.6764703	0.853802						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054667	233			5	234	1	410	201	286	286	1.147853	0	-2.265202	0	-1.736435	0	0.2656779	0	-1.107248	0	0.04755336	0	-2.38517	0	-2.799964	0	-2.531273	0	-1.635737	0	1.147853	0	0.2656779	0	0.2834519	0.4070416	-0.5756349	-1.298962	-0.213952	-0.9192079	-1.327035	0.2291118	0.3792033	0.008999669	-1.853563	-0.4523929	-1.738488	0.4795617	-0.4105843	-0.8515885	-0.2310963	-1.019665	-1.398467	1.585375						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054700	266			6	267	1	414	206	275	275	0.3415358	0	-1.251155	0	-2.218818	0	-1.256962	0	0.03574886	0	-0.2132071	0	-1.076588	0	-0.9604089	0	-0.563355	0	-0.8312129	0	0.3415358	0	0.03574886	0	0.2688594	0.2037345	-0.2342861	-2.177894	-0.117896	-0.5228088	-0.7796325	-0.2899101	0.3224134	0.2512958	-1.992769	-0.7027028	-0.6953586	0.1891646	-0.1065966	-0.3578438	-0.5079705	-0.6608313	-1.015883	2.417813						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054734	300			7	300	1	411	205	281	281	-0.6742317	0	-1.408243	0	-1.171116	0	-1.953089	0	0.0896619	0	-0.8636372	0	-0.5427647	0	-0.8328406	0	-0.6417572	0	-0.5391066	0	-0.6742317	0	0.0896619	0	0.3829843	0.4120564	-0.3662887	-2.1004	-0.3126391	-0.631582	-1.192574	-0.6459552	0.192763	0.1928499	-1.961461	-0.3828999	-0.0168017	-0.5002063	-0.02759811	-0.05387	-0.4736722	-0.2772607	-1.291952	2.383932						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054767	333			8	334	1	413	207	276	276	-0.7805172	0	-1.300695	0	-1.642707	0	-2.064137	0	0.05930915	0	-0.786644	0	-0.3932968	0	-0.6978157	0	-0.5245024	0	-0.6591355	0	-0.7805172	0	0.05930915	0	0.2373645	0.2281482	-0.2882077	-2.159967	-0.2529213	-0.4638269	-0.9681302	-0.6141167	0.1466686	0.09992646	-1.825906	-0.4096632	-0.2173575	-0.3486725	-0.03704023	-0.06731026	-0.4571903	-0.2594998	-1.300742	2.231647						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054801	367			9	367	1	408	202	289	289	-1.756363	0	-1.419792	0	1.189116	0	-2.268647	0	-0.4312733	0	-1.474688	0	-1.729279	0	-1.352981	0	-1.097643	0	-1.428993	0	-1.756363	0	-0.4312733	0	0.6243725	0.9229702	-0.5975503	-1.536297	-0.963763	-1.187255	-1.970623	-0.9992676	-0.1104017	-0.1236833	-2.65685	-0.8414037	0.2701567	-1.28237	-0.1896681	-0.07360119	0.5228492	0.7920066	-2.257903	1.86103						
TianlinLiuValidation	20180411	bcbdeab0e_1___utterance_6	0	MALE	a	TestImage	Emotient FACET	20180325_233054834	400			10	400	1	405	201	292	292	-1.337667	0	-0.8437924	0	0.7504382	0	-1.221203	0	0.5607018	0	-1.379045	0	-0.8141151	0	-1.095666	0	-0.4827973	0	-0.3125175	0	-1.337667	0	0.5607018	0	0.5329597	0.7880651	-0.3679325	-1.34251	-0.9587561	-1.100025	-1.992547	-1.065613	-0.2903807	0.1675236	-2.206617	-0.1996221	0.9764512	-1.19765	-0.4507582	0.0932246	-0.8977057	-0.4420642	-1.764592	1.612878						
