#Study : TianlinLiuValidation
#Date : 20180411 09:25:26
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:31:01.202 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101285	83			0	83	1	382	127	498	498	-6.298001	0	0.0631737	0	-6.491967	0	-2.390558	0	-2.255007	0	-0.6225014	0	0.63163	0	0.9669961	0	0.4414564	0	-2.378976	0	-6.298001	0	0.63163	0	-0.09771698	-2.323812	3.177007	-1.766955	-1.765082	0.3423746	-0.8397067	0.20312	-2.537203	-1.245402	1.279734	0.5505264	-1.760507	1.034891	0.2077671	-0.368911	-0.6833432	-1.174594	-0.9396412	-0.167766						
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101327	125			1	125	1	388	131	488	488	-5.137096	0	0.0942762	0	-5.359713	0	-1.956633	0	-2.560576	0	-0.558372	0	-0.07893069	0	0.8323043	0	0.6102846	0	-2.553344	0	-5.137096	0	0.0942762	0	0.2195021	-2.140733	3.149435	-1.511141	-1.797436	0.4212782	-0.7595672	0.1334533	-2.416471	-1.064078	0.8497769	-0.04356836	-1.514747	1.230364	0.1468323	-0.417725	-0.02243222	-0.8251808	-0.4444888	0.1955896						
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101368	166			2	167	1	384	131	496	496	-4.827254	0	0.1076256	0	-6.007761	0	-2.316471	0	-1.770483	0	-0.3424894	0	0.3424383	0	1.092112	0	0.7358996	0	-2.671319	0	-4.827254	0	0.3424383	0	0.3043796	-2.239929	3.411774	-1.459375	-0.8565023	1.04228	-0.1680552	0.3241857	-2.109714	-0.7786942	1.179704	0.458563	-1.406716	1.211031	0.1119307	-0.1831092	-0.2648308	-0.9425554	-0.2544726	-0.2831388						
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101410	208			3	209	1	390	131	488	488	-5.17986	0	0.2380472	0	-5.033566	0	-1.838333	0	-2.587927	0	-0.4962153	0	-0.1223741	0	0.8271006	0	0.6317415	0	-2.561651	0	-5.17986	0	0.2380472	0	0.1952376	-2.092936	3.085793	-1.391605	-1.740424	0.4702241	-0.7932149	0.07273129	-2.381283	-1.069596	0.9218013	0.01035765	-1.475873	1.085865	0.08275047	-0.3550843	-0.01704544	-0.7839037	-0.5240708	0.03714138						
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101452	250			4	250	1	404	135	469	469	-5.346008	0	0.05587422	0	-5.258136	0	-1.85506	0	-2.321895	0	-0.2968086	0	0.08030091	0	1.155086	0	0.1896444	0	-2.469334	0	-5.346008	0	0.08030091	0	0.4996498	-1.959443	3.30329	-1.760365	-1.430932	0.6036077	-0.8526752	-0.01527399	-2.185113	-1.062418	0.5589533	0.04492514	-0.6605996	1.295518	0.06373538	-0.5373225	0.1933928	-0.7009917	-1.111967	0.7434989						
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101493	291			5	292	1	402	133	472	472	-5.708583	0	0.1240976	0	-5.381019	0	-1.959443	0	-2.396042	0	-0.1663553	0	0.1224694	0	1.110025	0	0.2814039	0	-2.445582	0	-5.708583	0	0.1240976	0	0.5113502	-1.859977	3.083243	-1.701289	-1.479621	0.4891803	-0.6896989	0.1528317	-2.155379	-1.076849	0.9474743	0.3334083	-0.6766003	1.35748	-0.05844412	-0.4415796	0.0513944	-0.8405762	-1.28268	0.4311442						
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101535	333			6	334	1	407	130	473	473	-4.617295	0	0.06091084	0	-6.453281	0	-3.246837	0	-2.014375	0	0.03140703	0	-0.1655019	0	1.234239	0	0.6021485	0	-2.540662	0	-4.617295	0	0.06091084	0	0.312887	-2.248065	3.333841	-2.358154	-1.051402	0.6733283	-0.02967429	0.3173824	-1.884841	-0.7694237	0.5026366	0.1720741	-0.6949555	0.9373915	0.4716536	-0.2651865	-0.205797	-0.9204879	-0.9276591	1.526897						
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101577	375			7	375	1	417	134	456	456	-5.327161	0	0.5034606	0	-6.557371	0	-3.206646	0	-2.133277	0	-0.1921349	0	-0.183702	0	1.641508	0	1.067677	0	-2.884272	0	-5.327161	0	0.5034606	0	0.6544818	-2.3456	3.69665	-2.432333	-0.9948979	0.9841534	-0.4642613	-0.05814229	-2.138779	-0.7215392	0.4359009	-0.03467635	-0.36313	0.8586553	0.1906765	-0.3483058	-0.2002457	-0.9337721	-0.521462	1.639888						
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101619	417			8	417	1	406	128	474	474	-5.558386	0	0.1427984	0	-6.145687	0	-2.792599	0	-2.251903	0	-0.0573148	0	0.1309265	0	1.20251	0	0.4606136	0	-2.477493	0	-5.558386	0	0.1427984	0	0.2780467	-2.178559	3.167738	-2.307828	-1.514109	0.3192314	-0.1935528	0.1842262	-2.181179	-0.9654481	0.9081655	0.4960936	-0.5619339	1.007395	0.3714609	-0.2193556	-0.3059103	-1.04483	-1.08765	1.425229						
TianlinLiuValidation	20180411	bee9cd4cf_2___utterance_40	0	MALE	a	TestImage	Emotient FACET	20180325_233101660	458			9	459	1	409	130	466	466	-5.604859	0	0.3662552	0	-5.609566	0	-2.733505	0	-2.277739	0	-0.06399245	0	0.001359508	0	1.242134	0	0.6156051	0	-2.602964	0	-5.604859	0	0.3662552	0	0.3397229	-2.089849	3.176837	-2.115552	-1.270185	0.5404696	-0.1812427	-0.01826575	-2.167157	-0.9798469	0.7953749	0.4580127	-0.5560976	0.7712294	0.3194649	-0.2894661	-0.2424931	-0.8490617	-1.148492	1.239362						
