#Study : TianlinLiuValidation
#Date : 20180411 09:25:25
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:31:13.209 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113340	131			0	132	1	455	168	288	288	-0.2989844	0	-1.673218	0	-0.2130748	0	-0.4997818	0	-0.1055204	0	0.2917246	0	-1.35812	0	-2.801665	0	-2.230721	0	1.33384	0	-0.2989844	0	0.2917246	0	0.09409507	-0.06766622	-1.114559	-1.081151	-1.575038	-1.224505	-1.613013	0.4197209	-0.4878666	-0.1406686	0.7335485	0.454576	-0.9912912	-0.3797897	-0.2306391	0.08979754	-1.245471	-1.077042	-0.2244047	-1.220904						
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113406	197			1	198	1	473	149	256	256	-0.9142983	0	-1.732874	0	-1.037525	0	-0.06968592	0	0.2176632	0	-0.9796929	0	-0.9993101	0	-2.65999	0	-1.921073	0	1.259566	0	-0.9142983	0	0.2176632	0	0.2922076	0.3780094	-1.764474	-1.008836	-2.683954	-2.222736	-2.755852	-1.12913	-0.7929459	0.0473627	-0.01786365	-0.07898524	-1.527769	-0.9916214	-1.075193	0.2290299	-2.939481	-2.361002	0.2381436	-0.9636403						
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113472	263			2	264	1	479	115	260	260	-0.4479367	0	-1.436065	0	-1.310668	0	-0.2159199	0	0.3248045	0	-0.6546706	0	-0.6396654	0	-1.953948	0	-1.126997	0	0.9578038	0	-0.4479367	0	0.3248045	0	0.08979283	0.02971993	-1.518955	-0.8657367	-1.69119	-1.625492	-2.313905	-0.771726	-0.5947864	-0.1725718	0.2621992	0.08433673	-1.136364	-1.44979	-0.860331	0.2894076	-3.09272	-2.508094	-0.2592778	-0.244103						
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113538	329			3	330	1	470	67	274	274	-1.246504	0	-1.004958	0	-1.338125	0	-0.5148683	0	-0.4250248	0	-0.5202925	0	0.483655	0	-1.023032	0	-0.7007278	0	0.07995904	0	-1.246504	0	0.483655	0	0.1666258	-0.4414131	-0.734047	-1.235139	-1.718055	-1.648237	-1.512762	-0.209325	-0.8545092	-0.1358023	1.024603	1.153415	-0.8465986	-0.8547574	0.01303798	0.4782598	-2.521476	-1.583048	-0.5415653	0.4046246						
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113604	395			4	396	1	470	48	273	273	-1.811471	0	-2.208312	0	-0.06692113	0	-0.5290861	0	-1.274841	0	-1.549243	0	-0.1448743	0	-2.019574	0	-1.857155	0	-1.408427	0	-1.811471	0	-0.1448743	0	0.509109	-0.2417059	-0.8826361	-0.7900566	-1.776698	-1.433542	-2.143023	-0.97888	-0.7521197	-0.5323067	0.517812	0.3268529	-0.8663259	-0.5584189	-0.06723166	0.02873617	-0.5816028	0.3900079	-0.9506888	0.6541125						
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113670	461			5	462	1	420	612	58	58	0.7735033	0	-1.040557	0	-0.7111475	0	-0.1068872	0	0.1059197	0	0.1386108	0	-0.2483157	0	-0.2191282	0	-0.53786	0	-0.2319452	0	0.7735033	0	0.1386108	0	0.7634456	0.2292374	-0.07479081	-0.6501069	0.3129123	0.1382727	-0.09110692	0.9745417	0.3852627	0.3759304	0.9397616	0.1344973	-0.9235317	-0.04556489	0.07991949	0.4899637	-0.5033897	-1.163623	-0.636506	1.999679						
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113736	527			6	527	0																																																						
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113802	593			7	593	0																																																						
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113868	659			8	659	0																																																						
TianlinLiuValidation	20180411	c96848202_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_233113934	725			9	725	1	412	610	67	67	1.305666	0	-0.6866084	0	-1.651959	0	-0.515496	0	0.2172859	0	0.2125552	0	-0.7616618	0	-1.390686	0	-0.719615	0	-0.4801997	0	1.305666	0	0.2172859	0	-0.03954788	-0.5220488	-0.810887	-0.7431943	0.1605771	0.2521625	-0.08356135	1.404799	0.4237025	-0.3994925	0.9351436	0.8837368	-2.256313	-0.4645556	-0.06251115	0.2141612	-1.397074	-1.46024	-0.8615491	1.56471						
