#Study : TianlinLiuValidation
#Date : 20180411 09:25:24
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:31:23.392 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123458	66			0	67	1	194	112	91	91	0.1298457	0	-3.032226	0	-2.335289	0	-2.565148	0	1.093891	0	-1.838668	0	-2.002904	0	-2.403073	0	-1.757363	0	0.6433934	0	0.1298457	0	1.093891	0	-0.5921044	-0.3025887	-1.782798	0.2707769	-0.93813	-0.4540821	-3.754588	-1.233278	-0.2677049	0.007465773	-1.333684	-0.9001854	-0.6937957	-0.9432669	-0.5644189	-0.1356743	-1.766517	-1.311237	-1.848228	-2.512662						
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123492	100			1	100	1	195	110	90	90	-0.2729597	0	-3.318439	0	-1.796219	0	-2.29164	0	1.171438	0	-1.9632	0	-2.086312	0	-2.733163	0	-2.324738	0	0.3881033	0	-0.2729597	0	1.171438	0	-0.1562059	0.1102076	-1.654913	0.5829743	-0.8120108	-0.2659987	-3.836401	-1.181242	-0.3584123	-0.1161654	-1.340141	-1.026925	-1.052838	-0.9179997	-0.6126683	-0.319528	-1.539555	-1.28007	-2.094253	-2.145632						
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123525	133			2	133	1	196	108	89	89	-0.6810306	0	-3.234152	0	-1.237898	0	-2.055047	0	0.9833841	0	-1.800427	0	-1.889402	0	-2.616726	0	-2.480939	0	0.4551852	0	-0.6810306	0	0.9833841	0	-0.01884427	0.1921836	-1.382251	0.6876644	-0.7958103	-0.1899982	-3.544687	-1.03802	-0.5328397	-0.2500798	-1.144394	-0.9515635	-1.105944	-0.547551	-0.5650191	-0.5565649	-1.167158	-1.058187	-2.067912	-1.681083						
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123558	166			3	167	1	197	107	88	88	-0.9939491	0	-3.339438	0	-0.1941368	0	-1.490942	0	-1.00881	0	-1.379189	0	-2.907909	0	-3.194907	0	-3.337394	0	-0.159881	0	-0.9939491	0	-1.00881	0	0.6483358	0.8176624	-1.270307	0.9383787	-0.8109767	-0.03192065	-3.845632	-0.5879667	-0.8972946	-1.005587	-1.046336	-1.460934	-2.342093	-0.2906998	-0.7719949	-1.710023	0.174672	-0.6155603	-2.982782	-0.9922467						
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123592	200			4	200	1	197	105	87	87	-1.066857	0	-3.464483	0	-0.3427858	0	-1.283036	0	-1.363061	0	-1.28532	0	-3.134701	0	-3.181421	0	-3.58414	0	-0.1664655	0	-1.066857	0	-1.283036	0	0.5991043	0.7365666	-1.166374	0.8376996	-0.8607596	-0.03836729	-3.805744	-0.4525409	-0.9689046	-1.071566	-1.049305	-1.579721	-2.686743	-0.06989418	-0.716971	-1.999926	0.2949553	-0.6366603	-2.911014	-1.02063						
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123625	233			5	234	1	198	104	86	86	-1.032689	0	-3.544761	0	0.538689	0	-1.120772	0	-0.5788504	0	-2.012342	0	-2.781258	0	-3.168195	0	-3.456134	0	-0.0146632	0	-1.032689	0	-0.5788504	0	1.264301	1.393128	-1.243761	1.276017	-0.6425137	0.05729233	-4.591329	-0.9693747	-0.8761384	-1.051191	-1.492142	-1.634933	-2.779653	-0.2643315	-0.9818952	-1.890023	-0.1009794	-0.7310647	-3.208832	-0.6550369						
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123658	266			6	267	1	198	102	86	86	-1.713276	0	-3.666141	0	0.5885786	0	-1.27481	0	-0.5362507	0	-2.511599	0	-1.919926	0	-2.366003	0	-3.080734	0	0.6897302	0	-1.713276	0	-0.5362507	0	1.38526	1.275843	-1.081538	1.172711	-0.703944	-0.01942535	-4.829637	-1.361992	-1.1356	-1.051175	-1.607446	-1.620546	-2.415722	-0.429137	-1.122784	-1.739697	-0.4636382	-0.8570969	-3.069604	-0.418053						
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123692	300			7	300	1	199	101	86	86	-0.5888942	0	-3.560442	0	-0.9171108	0	-1.005558	0	0.5940058	0	-2.313045	0	-1.445111	0	-2.206502	0	-2.401439	0	0.8187298	0	-0.5888942	0	0.5940058	0	1.189045	1.02761	-1.100559	0.9990333	-0.4642082	0.05016804	-4.546178	-1.27433	-0.7956803	-0.4662228	-1.529314	-1.102467	-2.137159	-0.2980395	-0.7372209	-1.001649	-1.301329	-1.67949	-2.279046	-0.7256368						
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123725	333			8	334	1	199	101	85	85	-0.2554431	0	-3.828009	0	-1.2279	0	-0.9173757	0	0.7036467	0	-2.485824	0	-1.586146	0	-2.446267	0	-2.550179	0	0.7257344	0	-0.2554431	0	0.7036467	0	1.196962	1.017365	-1.119911	1.015023	-0.4546682	-0.04808317	-4.651491	-1.34287	-0.6862353	-0.3898858	-1.544419	-1.113555	-2.423623	-0.07342397	-0.8014371	-1.004653	-1.360227	-1.721579	-2.065248	-0.8262362						
TianlinLiuValidation	20180411	cc73c27b5_2___utterance_15	0	MALE	a	TestImage	Emotient FACET	20180325_233123759	367			9	367	1	199	101	85	85	0.5159541	0	-4.149492	0	-1.326601	0	-0.499169	0	0.9294874	0	-2.428616	0	-1.687565	0	-2.97261	0	-2.91004	0	0.09727122	0	0.5159541	0	0.9294874	0	1.385302	1.216686	-0.9449925	1.283383	-0.4091825	-0.2750854	-4.628895	-1.324367	-0.3851328	-0.1607495	-1.494697	-1.144207	-3.081573	0.2397079	-0.9357314	-1.113033	-1.264493	-1.772436	-1.752447	-0.7364234						
