#Study : TianlinLiu
#Date : 20180411 09:04:46
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:01:53.099 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153165	66			0	67	1	530	241	237	237	4.838829	0	-5.469657	0	-4.682913	0	-2.341238	0	-5.109808	0	-2.918383	0	-5.889692	0	-7.805812	0	-5.900707	0	-7.97896	0	4.838829	0	-2.341238	0	0.683829	0.5857343	-1.250278	-1.229447	1.669453	0.2153283	-2.383707	0.1376786	2.742672	-0.8284339	-1.094666	-1.052738	-7.405237	-0.6066158	-1.130324	-1.366456	0.8140425	-0.6006805	-2.379907	-1.411759						
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153199	100			1	100	1	528	242	239	239	5.228349	0	-5.988737	0	-5.076815	0	-2.600864	0	-5.733333	0	-3.315649	0	-6.569333	0	-8.601242	0	-6.513056	0	-9.010506	0	5.228349	0	-2.600864	0	0.6307888	0.5920228	-1.282158	-1.300053	1.79019	0.2674279	-2.389381	0.1405871	3.054973	-0.9568782	-1.266614	-1.26231	-8.046149	-0.639799	-1.277962	-1.541326	1.070238	-0.5455894	-2.633919	-1.621418						
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153232	133			2	133	1	528	244	238	238	5.492152	0	-6.039084	0	-5.25875	0	-2.662616	0	-5.92066	0	-3.659589	0	-6.801356	0	-8.84351	0	-6.688744	0	-9.025575	0	5.492152	0	-2.662616	0	0.4856278	0.472113	-1.398813	-1.001162	1.765484	0.08012468	-2.607588	-0.08026227	3.157228	-0.8280826	-1.369603	-1.212017	-8.681235	-0.5094787	-1.238567	-1.511244	0.9359604	-0.637648	-2.376267	-1.89426						
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153265	166			3	167	1	526	240	247	247	4.982465	0	-6.079456	0	-5.7109	0	-2.667369	0	-4.710575	0	-3.299838	0	-5.965183	0	-8.542069	0	-6.029887	0	-8.830456	0	4.982465	0	-2.667369	0	0.6990429	0.54338	-1.447065	-1.567835	1.696413	0.4151734	-2.177207	0.1439309	3.06722	-0.7498627	-1.274096	-1.008042	-6.748997	-1.02575	-1.035444	-0.9343472	0.3687789	-1.142264	-2.443686	-1.337548						
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153298	199			4	200	1	528	242	243	243	4.901278	0	-5.706938	0	-5.472136	0	-2.523736	0	-4.794958	0	-3.282055	0	-5.742917	0	-8.202222	0	-5.973462	0	-8.432364	0	4.901278	0	-2.523736	0	0.7244788	0.5608713	-1.428771	-1.539038	1.792563	0.4293073	-2.35766	0.1722885	2.997081	-0.6951146	-1.13529	-0.8925831	-6.825483	-1.038963	-0.9585053	-0.9407234	0.2938708	-1.088354	-2.483275	-1.577258						
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153332	233			5	233	1	528	242	244	244	4.864447	0	-5.648043	0	-5.502421	0	-2.534608	0	-4.21763	0	-3.270309	0	-5.54685	0	-8.022295	0	-5.667446	0	-8.102224	0	4.864447	0	-2.534608	0	0.7120726	0.5678742	-1.576768	-1.585948	1.719103	0.3738469	-2.417429	0.1422447	2.991478	-0.5926006	-1.171832	-0.7719887	-6.277089	-1.13681	-0.8405554	-0.7136679	0.07669237	-1.266595	-2.36223	-1.474394						
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153365	266			6	267	1	527	243	243	243	4.793454	0	-5.268067	0	-5.108267	0	-2.607713	0	-3.897362	0	-3.109792	0	-5.122215	0	-7.247299	0	-5.282135	0	-6.955569	0	4.793454	0	-2.607713	0	0.5854911	0.5269153	-1.674122	-1.562576	1.688763	0.3115264	-2.568069	0.1297837	2.907966	-0.4563498	-1.179858	-0.7035459	-5.716018	-1.216836	-0.802591	-0.5760871	-0.2373408	-1.435231	-2.26302	-1.505289						
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153398	299			7	300	1	527	242	244	244	4.501714	0	-4.794503	0	-4.999675	0	-2.435621	0	-3.345614	0	-2.783897	0	-4.61555	0	-6.701591	0	-4.735385	0	-6.402991	0	4.501714	0	-2.435621	0	0.5575806	0.4704275	-1.682192	-1.602446	1.587694	0.2819659	-2.496496	0.1964357	2.703511	-0.3530746	-1.029662	-0.5460995	-5.26107	-1.252948	-0.6126549	-0.3616965	-0.5032291	-1.586245	-2.08902	-1.352675						
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153432	333			8	333	1	526	244	242	242	4.476611	0	-4.902168	0	-4.571142	0	-2.445116	0	-3.446213	0	-2.748025	0	-4.782707	0	-6.668942	0	-4.818434	0	-6.182149	0	4.476611	0	-2.445116	0	0.4964094	0.4630397	-1.635767	-1.330401	1.420667	0.02630137	-2.625733	0.1104251	2.640039	-0.3461299	-1.274106	-0.5955783	-5.171384	-1.124464	-0.765255	-0.5328289	-0.4619225	-1.484632	-2.278433	-1.204172						
TianlinLiu	20180411	9c3a9bce7_4__utterance_106	0	MALE	recording	TestImage	Emotient FACET	20180320_150153465	366			9	367	1	528	244	240	240	4.429751	0	-4.880618	0	-4.621386	0	-2.259166	0	-3.991046	0	-2.572388	0	-4.928491	0	-6.886946	0	-5.191929	0	-6.413088	0	4.429751	0	-2.259166	0	0.5870975	0.5178846	-1.546825	-1.274306	1.640239	0.3051343	-2.573852	0.1935389	2.604663	-0.5713766	-0.9925814	-0.8387424	-5.878296	-0.9395476	-0.9053379	-0.8783421	0.04769817	-1.152719	-2.458064	-1.486099						
