#Study : TianlinLiuValidation
#Date : 20180411 09:25:23
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:31:25.966 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126032	66			0	67	1	518	122	215	215	0.6209554	0	-4.123109	0	-3.50107	0	-2.415065	0	-1.13597	0	-1.916794	0	-1.67799	0	-2.851289	0	-3.156143	0	-0.6534786	0	0.6209554	0	-1.13597	0	0.2972237	-0.3516894	-0.07521868	-3.16197	-0.5973517	-1.160842	-2.643317	0.09866563	0.1308435	-0.2530124	-1.815169	-1.436213	-1.911666	-0.3432895	-1.222697	-1.210219	1.226458	0.5609659	-1.959506	0.3296445						
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126066	100			1	100	1	525	123	216	216	0.4176169	0	-3.603163	0	-2.876997	0	-1.716706	0	-0.1208728	0	-1.949518	0	-2.16792	0	-1.748694	0	-1.733737	0	0.7044065	0	0.4176169	0	-0.1208728	0	-0.2996727	-0.5587316	-0.3624368	-2.665322	-0.9593878	-1.252213	-2.957913	0.02204988	-0.05961666	-0.1341255	-2.256273	-1.64811	-1.63426	-0.2300005	-1.099918	-0.9526074	0.4340521	0.173971	-1.966337	0.1928824						
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126099	133			2	133	1	533	126	212	212	0.4522411	0	-3.897973	0	-2.636707	0	-1.760479	0	0.01317634	0	-2.048564	0	-2.349928	0	-1.778873	0	-1.641629	0	0.9235308	0	0.4522411	0	0.01317634	0	-0.2950405	-0.4466593	-0.7446153	-2.608394	-0.6753731	-1.014979	-3.55613	-0.08633955	-0.06554178	-0.1982455	-2.453847	-1.637768	-1.656471	-0.04936126	-0.9878739	-1.053068	0.242485	-0.09059662	-2.11729	-0.6276894						
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126132	166			3	167	1	533	126	213	213	0.4628038	0	-3.914514	0	-2.623736	0	-1.738347	0	-0.003252467	0	-2.029506	0	-2.352251	0	-1.802061	0	-1.673249	0	0.9190822	0	0.4628038	0	-0.003252467	0	-0.2907183	-0.440087	-0.7447357	-2.591593	-0.6638041	-1.008537	-3.561234	-0.05706618	-0.06132127	-0.2071215	-2.459391	-1.65642	-1.672994	-0.03837639	-0.9948888	-1.07883	0.2741221	-0.0851246	-2.130683	-0.6335675						
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126165	199			4	200	1	544	128	211	211	0.2420526	0	-2.976971	0	-2.229403	0	-1.210029	0	1.016125	0	-2.146468	0	-2.090748	0	-1.505709	0	-0.9880432	0	0.01776114	0	0.2420526	0	1.016125	0	-0.5127634	-0.5317945	-0.433922	-1.830281	-0.3225703	-0.7764148	-2.762662	-0.1051489	0.03288977	-0.03756034	-1.855189	-1.219434	-1.234639	-0.1339803	-0.6992995	-0.6585364	-0.1307587	-0.1360552	-1.812337	-0.3625669						
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126199	233			5	233	1	542	127	215	215	-0.02363756	0	-2.581821	0	-2.024902	0	-1.2513	0	0.8708593	0	-1.953836	0	-1.886347	0	-1.022989	0	-0.622422	0	0.4803748	0	-0.02363756	0	0.8708593	0	-0.5359628	-0.5353743	-0.4814216	-1.881829	-0.5526498	-0.8591799	-2.785708	-0.1059242	-0.1169613	-0.1772019	-1.940882	-1.218496	-0.935263	-0.3270214	-0.5888088	-0.6671664	-0.1789182	-0.2325555	-1.998276	-0.4406002						
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126232	266			6	267	1	544	128	211	211	0.5387382	0	-3.201463	0	-2.960898	0	-1.351451	0	0.6031312	0	-2.522594	0	-2.044013	0	-1.363395	0	-0.8541254	0	0.6500377	0	0.5387382	0	0.6031312	0	-0.4981063	-0.6181351	-0.6635888	-2.148511	-0.6636919	-1.020611	-3.335965	-0.3172529	-0.007146495	0.07812791	-2.052083	-1.276422	-1.480826	-0.07934914	-0.6544501	-0.5507022	-0.4013935	-0.3450764	-1.891127	-0.723382						
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126265	299			7	300	1	546	130	205	205	0.2353256	0	-3.47392	0	-2.669356	0	-1.435227	0	0.6306915	0	-2.616808	0	-2.011001	0	-1.531673	0	-0.9654707	0	1.143751	0	0.2353256	0	0.6306915	0	-0.5905097	-0.6654077	-0.9172527	-2.331642	-0.8000112	-1.167632	-3.351078	-0.6675122	-0.1286576	0.01783148	-2.128176	-1.063403	-1.346719	-0.07449918	-0.7041814	-0.5051113	-0.663228	-0.4975826	-1.642947	-0.7135775						
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126299	333			8	333	1	548	132	201	201	0.4709363	0	-3.451823	0	-2.193455	0	-1.199785	0	0.3867669	0	-2.57501	0	-1.841058	0	-1.412776	0	-0.9652278	0	1.021478	0	0.4709363	0	0.3867669	0	-0.4930425	-0.55121	-0.8878911	-2.230786	-0.7274885	-1.088988	-3.008362	-0.8330321	-0.07276896	0.08776999	-2.086596	-0.9117448	-1.206416	-0.1217075	-0.7454782	-0.5871721	-0.6092082	-0.450675	-1.315606	-0.723255						
TianlinLiuValidation	20180411	d2ed51271_2___utterance_10	0	MALE	a	TestImage	Emotient FACET	20180325_233126332	366			9	367	1	546	131	212	212	1.423359	0	-2.964435	0	-2.773518	0	-0.7982548	0	-0.216272	0	-2.496386	0	-2.332032	0	-1.92656	0	-1.070801	0	-0.5486035	0	1.423359	0	-0.216272	0	-0.6136143	-0.6865079	-0.6041619	-2.076454	-0.1903436	-0.8112272	-3.061857	-0.3614662	0.3788113	0.3086001	-1.561288	-0.8490225	-1.994283	0.2216705	-0.5328759	-0.2413118	-0.3446772	-0.159263	-0.8479922	-1.139315						
