#Study : TianlinLiuValidation
#Date : 20180411 09:25:19
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:32:19.044 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219110	66			0	67	1	218	101	90	90	0.4717037	0	-1.218933	0	-1.543903	0	0.1138664	0	-0.3199041	0	-0.7191514	0	0.1679184	0	-0.9067626	0	-0.4941509	0	0.01102136	0	0.4717037	0	0.1679184	0	-0.5557095	-0.9183419	-0.4893487	-1.118911	-0.3031935	-0.8508099	-1.543195	-0.7530805	0.2504046	0.1995582	-0.42192	-0.2190844	-1.305428	-1.053941	-0.01174174	0.1876385	-1.786133	-1.828172	-0.7375749	0.2787585						
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219144	100			1	100	1	218	101	90	90	0.4737664	0	-1.23473	0	-1.536039	0	0.1149798	0	-0.3883007	0	-0.7365769	0	0.1548162	0	-0.9247972	0	-0.5174645	0	-0.03319385	0	0.4737664	0	0.1548162	0	-0.5486899	-0.9241115	-0.474133	-1.120973	-0.2959427	-0.8387899	-1.537374	-0.7477036	0.2676195	0.2008127	-0.4030529	-0.2091621	-1.341998	-1.082094	0.01274561	0.2118935	-1.791751	-1.81294	-0.7630507	0.2694576						
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219177	133			2	133	1	221	101	82	82	0.1796196	0	-1.351359	0	-0.667171	0	-0.5177978	0	0.7695965	0	-0.6235502	0	-0.2227948	0	-0.681069	0	-0.7332385	0	0.7159399	0	0.1796196	0	0.7695965	0	-0.2827789	-0.4051238	-1.318062	-1.351962	-0.459549	-1.218694	-1.899949	-0.8421936	0.01978251	0.2348027	-0.8322991	-0.255458	-0.4932038	-1.912885	-0.2166856	0.2971146	-1.921706	-1.498908	-0.4583805	0.7666727						
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219210	166			3	167	1	220	99	82	82	0.08196378	0	-1.295629	0	-0.5913642	0	-0.5361757	0	0.8495383	0	-0.5702348	0	-0.26701	0	-0.4578412	0	-0.6447724	0	0.8491957	0	0.08196378	0	0.8495383	0	-0.3141817	-0.4347966	-1.279984	-1.290714	-0.4288677	-1.29294	-1.797565	-0.7977132	0.009581466	0.230335	-0.8761846	-0.2923836	-0.4758153	-1.771954	-0.185695	0.1642666	-1.857233	-1.47473	-0.5139737	0.6896015						
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219244	200			4	200	1	221	98	81	81	0.08383199	0	-1.10114	0	-0.7095118	0	-0.3913716	0	0.3961529	0	-0.6139445	0	-0.1568347	0	-0.4374201	0	-0.4941829	0	0.7629372	0	0.08383199	0	0.3961529	0	-0.3348847	-0.4878364	-1.280076	-1.305055	-0.5064996	-1.249584	-1.837018	-0.8247468	-0.06338016	0.1723732	-0.6268939	-0.1602522	-0.4820224	-1.70853	0.03600679	0.1878742	-1.95919	-1.652671	-0.6216099	0.6102003						
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219277	233			5	234	1	216	92	95	95	0.1572959	0	-0.4254233	0	-1.869342	0	-0.1347357	0	-0.008705385	0	-0.4482141	0	-0.005161831	0	0.08413661	0	0.1396898	0	-0.1866391	0	0.1572959	0	-0.005161831	0	-0.6699063	-0.9422083	-0.1702005	-0.6017361	0.1744664	-0.02296866	-1.313157	-0.363162	-0.04904818	0.228078	-0.8198137	-0.3717315	-0.6533121	-0.9164336	-0.07161402	0.2176321	-1.10631	-1.262419	-0.6907799	0.3260617						
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219310	266			6	267	1	221	95	83	83	0.06978047	0	-0.9265025	0	-0.9231273	0	-0.3171123	0	0.2313239	0	-0.6785287	0	-0.03725215	0	-0.07067347	0	-0.16122	0	0.521605	0	0.06978047	0	0.2313239	0	-0.5020755	-0.8030936	-0.9560466	-0.9368428	-0.3466566	-0.7636002	-1.636657	-0.7407101	-0.1405075	0.02919931	-0.4387821	-0.1856013	-0.3986805	-1.224002	-0.007236728	-0.01812515	-1.901861	-1.518438	-0.6402159	0.522031						
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219344	300			7	300	1	219	93	87	87	0.284209	0	-0.5127639	0	-1.339581	0	-0.2131912	0	0.2557333	0	-0.5867741	0	-0.1630953	0	0.09464973	0	0.1848222	0	0.4137844	0	0.284209	0	0.2557333	0	-0.8102912	-1.113756	-0.7593731	-0.692475	-0.05382494	-0.5074115	-1.208839	-0.7364233	-0.04727372	0.2454938	-0.8101993	-0.1779469	-0.446522	-0.8203056	-0.01674989	0.2105815	-1.551397	-1.345387	-0.5346385	0.3975974						
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219377	333			8	334	1	216	90	95	95	0.4669313	0	-0.4327774	0	-1.980078	0	0.0354742	0	0.03536296	0	-0.4595178	0	-0.3364469	0	0.1222452	0	0.245866	0	-0.3282923	0	0.4669313	0	0.0354742	0	-0.8411015	-1.073243	-0.315731	-0.6840625	0.1567927	-0.1747201	-1.201581	-0.2995214	0.170526	0.2609481	-1.103225	-0.4232944	-0.7610356	-0.7591069	-0.06284145	0.1226068	-1.009059	-1.223632	-0.7320168	0.05519374						
TianlinLiuValidation	20180411	d4c1c74d6_2___utterance_37	0	MALE	a	TestImage	Emotient FACET	20180325_233219411	367			9	367	1	221	95	84	84	0.7176905	0	-1.019492	0	-1.065267	0	-0.2020247	0	0.2382317	0	-0.4327695	0	-0.4921148	0	-0.3655853	0	-0.2309638	0	0.3352368	0	0.7176905	0	0.2382317	0	-0.4440407	-0.6748378	-1.224764	-0.8684631	-0.4074489	-0.9381108	-1.354449	-0.71707	0.06139719	0.3456295	-0.5044521	-0.06228653	-0.6759075	-0.9801121	0.04714879	0.2586587	-1.888488	-1.511515	-0.2353731	0.355428						
