#Study : TianlinLiuValidation
#Date : 20180411 09:26:13
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:24:10.485 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410551	66			0	67	1	395	177	93	93	1.845074	0	-2.053253	0	-1.278571	0	-1.011582	0	-0.5542489	0	-0.5193997	0	-1.207751	0	-1.820508	0	-1.844063	0	-1.787797	0	1.845074	0	-0.5193997	0	-0.8504126	-0.7022002	-0.4747272	-1.26805	0.3804728	-0.9640504	-0.695287	0.2689202	1.065101	0.302971	-1.07207	0.05377075	-1.113419	-0.9075813	-0.4020731	-0.03433868	-1.127091	-0.7422	-0.1364773	0.4627876						
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410585	100			1	100	1	395	177	93	93	1.845074	0	-2.053253	0	-1.278571	0	-1.011582	0	-0.5542489	0	-0.5193997	0	-1.207751	0	-1.820508	0	-1.844063	0	-1.787797	0	1.845074	0	-0.5193997	0	-0.8504126	-0.7022002	-0.4747272	-1.26805	0.3804728	-0.9640504	-0.695287	0.2689202	1.065101	0.302971	-1.07207	0.05377075	-1.113419	-0.9075813	-0.4020731	-0.03433868	-1.127091	-0.7422	-0.1364773	0.4627876						
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410618	133			2	133	1	395	177	91	91	1.611001	0	-1.651737	0	-1.156368	0	-0.9149033	0	0.0009138768	0	-0.2902154	0	-0.7536052	0	-1.171712	0	-1.084091	0	-1.222336	0	1.611001	0	0.0009138768	0	-0.8552337	-0.695842	-0.4366923	-1.477558	0.186563	-1.185962	-0.9987577	0.09946576	0.8876284	0.4888899	-1.271417	-0.027345	-0.3634051	-1.13806	-0.3613716	0.06186702	-1.6872	-1.163809	0.2305915	0.581492						
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410651	166			3	167	1	395	178	91	91	1.233594	0	-1.264427	0	-0.4266015	0	-0.7964491	0	0.1975972	0	0.1273071	0	-0.1946553	0	-0.6490514	0	-0.7651547	0	-0.4026789	0	1.233594	0	0.1975972	0	-0.658366	-0.4503797	-0.417286	-1.424426	0.07087296	-1.270819	-0.8669479	0.09407797	0.7710428	0.589968	-0.8522891	0.1729847	0.08551515	-1.232661	-0.3098393	0.2497541	-1.865139	-1.340715	-0.02661845	1.165489						
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410685	200			4	200	1	393	177	94	94	0.8108284	0	-1.538003	0	-0.3630933	0	-0.8598406	0	-0.007326216	0	0.06558473	0	-0.03485235	0	-0.8765339	0	-1.227432	0	-0.6609583	0	0.8108284	0	0.06558473	0	-0.02301744	-0.1297414	-0.2726876	-1.316784	0.1861621	-1.164015	-0.8093597	0.1015304	0.723817	0.5711255	-0.73786	0.2708929	0.2467268	-1.212157	-0.1611911	0.3786305	-1.626299	-1.02674	-0.3600244	1.719221						
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410718	233			5	234	1	396	177	93	93	0.8246636	0	-1.849446	0	-0.01954785	0	-0.7454582	0	0.0392801	0	-0.06025045	0	0.07049038	0	-0.845798	0	-1.414057	0	-0.5928565	0	0.8246636	0	0.07049038	0	0.03567283	-0.02235747	-0.1301582	-1.49353	0.1051391	-1.328761	-1.178664	-0.1176747	0.7553804	0.5196324	-1.048627	-0.008014939	0.2852575	-1.24741	-0.5945526	0.0337323	-1.416255	-0.9968569	-0.3299555	1.877274						
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410751	266			6	267	1	398	178	92	92	0.685154	0	-1.23835	0	0.8886899	0	-1.2716	0	-0.02205922	0	0.08135157	0	-0.2169768	0	-0.4736534	0	-0.9483071	0	-0.05034779	0	0.685154	0	0.08135157	0	-0.3200927	-0.1866389	-0.361797	-1.303394	0.008536492	-1.108459	-1.15643	-0.1645435	0.4036765	0.2839655	-0.8019973	0.01427648	0.3196013	-1.09833	-0.6070151	-0.1436732	-1.117431	-0.7255146	-0.5758315	1.580192						
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410785	300			7	300	1	398	175	95	95	0.8451841	0	-2.095704	0	0.685771	0	-0.8642774	0	-0.1815495	0	-0.4449968	0	-0.4593119	0	-1.296868	0	-1.708955	0	-0.7855878	0	0.8451841	0	-0.1815495	0	0.003254375	0.0859369	-0.2826728	-1.403419	0.1175353	-1.107756	-1.856349	-0.4567159	0.495229	0.1372991	-1.419371	-0.3938063	0.193787	-1.177261	-1.044277	-0.3870277	-0.8162677	-0.5792716	-0.5728778	1.014936						
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410818	333			8	334	1	398	173	97	97	1.280159	0	-2.052442	0	-0.3338965	0	-0.4230726	0	0.1041916	0	-0.6686286	0	-0.6774492	0	-1.423888	0	-1.508003	0	-0.8254586	0	1.280159	0	0.1041916	0	-0.1763867	0.009025803	-0.4577603	-1.285452	0.4440912	-0.8376728	-1.989933	-0.5915218	0.7092374	0.3383157	-1.641547	-0.3082861	0.203587	-1.111326	-0.7268139	-0.1186078	-1.347237	-0.8360086	-0.01019717	0.3041058						
TianlinLiuValidation	20180411	3ecbd1402_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_232410852	367			9	367	1	400	173	96	96	1.644563	0	-2.38592	0	-0.9874167	0	-0.9284028	0	0.3115425	0	-0.692845	0	-0.2983603	0	-1.440391	0	-1.652099	0	-0.6881064	0	1.644563	0	0.3115425	0	-0.1086045	-0.003855546	-0.4106026	-1.42865	0.5885978	-0.8242639	-1.703666	-0.197333	0.7922944	0.4938467	-1.356855	-0.3053713	-0.05991005	-0.7598187	-0.5666826	0.1565391	-1.202337	-0.8516275	-0.1114367	0.1572416						
