#Study : TianlinLiuValidation
#Date : 20180411 09:25:22
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:31:53.357 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153423	66			0	67	1	485	177	286	286	-2.027463	0	-0.3346871	0	-1.507726	0	-1.342755	0	0.2155407	0	-3.094041	0	-1.798731	0	0.2529466	0	0.957946	0	0.6982794	0	-2.027463	0	0.2155407	0	-1.686305	-1.592336	-1.089953	-0.6679931	-2.373102	-0.6643505	-3.978709	-2.475813	-1.215494	0.2618781	-1.251506	0.03521788	0.08030285	-0.6955444	0.1299845	0.4671587	-1.096871	0.5628787	0.5661659	-2.090458						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153457	100			1	100	1	484	176	289	289	-3.238785	0	-0.7972112	0	-1.301153	0	-1.401589	0	-0.3005556	0	-2.776055	0	-1.562219	0	0.620835	0	0.01907767	0	1.176142	0	-3.238785	0	-0.3005556	0	-1.453486	-1.369419	-0.8236199	-0.6253958	-1.800767	-0.2386973	-3.479887	-2.166842	-1.380904	-0.4145364	-1.132073	-0.5478408	0.4836122	-0.5728067	-0.3012966	-0.08555951	-0.694782	0.3764557	-1.149499	-1.5536						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153490	133			2	133	1	484	175	287	287	-3.380784	0	-0.6547496	0	-0.00918785	0	-1.613895	0	-1.052693	0	-1.449928	0	-1.8162	0	0.4635755	0	-0.8709472	0	0.5208551	0	-3.380784	0	-0.6547496	0	-1.19987	-1.079161	-0.2979452	-0.3360859	-1.262662	0.119362	-2.504487	-1.248382	-1.329386	-0.9662073	-1.476693	-0.8575368	1.264333	-0.4611576	-0.5247007	-1.124699	0.8469886	1.256101	-2.023011	-0.6942772						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153523	166			3	167	1	484	176	288	288	-3.957155	0	-0.9567727	0	0.2723666	0	-1.64987	0	-1.649556	0	-1.407476	0	-2.118618	0	0.06251426	0	-1.518772	0	0.3289219	0	-3.957155	0	-0.9567727	0	-1.130888	-0.968074	-0.3127467	-0.3830041	-1.272769	0.1392484	-2.845172	-1.159681	-1.516781	-1.320162	-1.494842	-1.126716	1.138166	-0.4483685	-0.7722602	-1.597012	1.322728	1.569391	-2.543886	-0.5618152						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153556	199			4	200	1	484	177	288	288	-4.053926	0	-1.339569	0	0.8549312	0	-1.563138	0	-1.960358	0	-1.726449	0	-2.374906	0	-0.6578169	0	-2.073561	0	-0.1238551	0	-4.053926	0	-1.339569	0	-0.9874818	-0.7518213	-0.4723519	-0.1329995	-1.493338	-0.1072989	-2.969402	-1.21998	-1.587536	-1.387521	-1.189364	-1.112377	0.8325256	-0.4988902	-0.6888087	-1.573639	1.498127	1.872491	-2.500736	-0.505724						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153590	233			5	233	1	486	178	286	286	-4.004242	0	-1.467609	0	1.007937	0	-1.413722	0	-1.970302	0	-1.751892	0	-2.453497	0	-0.7833439	0	-2.182892	0	0.1509687	0	-4.004242	0	-1.413722	0	-0.9814422	-0.6848335	-0.6248777	-0.1176015	-1.611708	-0.2378025	-3.126048	-1.140702	-1.598934	-1.468127	-1.291806	-1.173037	0.6940929	-0.3868484	-0.6651825	-1.733952	1.558679	1.830039	-2.489883	-0.6675802						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153623	266			6	267	1	485	178	286	286	-3.948355	0	-1.485592	0	0.8052332	0	-1.511342	0	-1.890804	0	-1.696055	0	-2.573809	0	-0.8291007	0	-2.138515	0	0.150663	0	-3.948355	0	-1.485592	0	-1.043877	-0.728079	-0.6252626	-0.1402432	-1.578464	-0.1451479	-3.099792	-1.054761	-1.575425	-1.449514	-1.324979	-1.165498	0.646243	-0.342785	-0.6672516	-1.693452	1.515418	1.802989	-2.540336	-0.7314968						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153656	299			7	300	1	485	179	287	287	-3.764277	0	-1.497695	0	1.013417	0	-1.465003	0	-1.847881	0	-1.554055	0	-2.595222	0	-1.051333	0	-2.323774	0	-0.148612	0	-3.764277	0	-1.465003	0	-0.8822453	-0.5534462	-0.6169599	-0.01364169	-1.396828	-0.05637627	-2.981443	-0.9024749	-1.472644	-1.42472	-1.2308	-1.136934	0.5950472	-0.4163919	-0.7366924	-1.728042	1.595467	1.9179	-2.635214	-0.4832881						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153690	333			8	333	1	487	179	285	285	-4.381145	0	-1.589383	0	1.046258	0	-1.558907	0	-2.296116	0	-1.918194	0	-2.776558	0	-0.9559897	0	-2.350565	0	0.07864422	0	-4.381145	0	-1.558907	0	-1.054687	-0.7255329	-0.6860052	-0.09475162	-1.847581	-0.3387333	-3.203815	-1.141155	-1.795393	-1.687891	-1.384193	-1.220039	0.4583571	-0.3114401	-0.6900753	-1.86852	1.675273	1.868807	-2.753137	-0.9280004						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153723	366			9	367	1	503	190	262	262	-5.316336	0	-3.449104	0	1.171645	0	-1.489718	0	-2.736731	0	-3.90161	0	-2.706683	0	-2.740687	0	-3.6693	0	-0.9505488	0	-5.316336	0	-1.489718	0	0.1750657	0.5524275	-0.9518922	0.06153422	-3.07726	-1.462857	-4.2939	-1.784246	-1.942593	-2.074494	-0.3753262	-0.6563708	-0.3323829	0.2179435	0.2664027	-1.178112	1.7466	2.463211	-1.91341	-1.138353						
TianlinLiuValidation	20180411	d49e974a8_1___utterance_17	0	MALE	a	TestImage	Emotient FACET	20180325_233153756	399			10	400	1	503	196	257	257	-4.413295	0	-3.771314	0	-2.398705	0	-2.883086	0	-1.684437	0	-2.531887	0	-1.49742	0	-2.34564	0	-3.5433	0	-0.380232	0	-4.413295	0	-1.49742	0	1.150721	1.532002	-1.02521	-1.921558	-2.84717	-1.479187	-4.263006	-1.6299	-1.567089	-2.084206	-0.2225768	-0.6132024	0.07184702	-0.1741627	-0.633399	-1.088256	0.9633995	1.204558	-2.604737	1.331454						
