#Study : TianlinLiu
#Date : 20180411 09:04:41
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:02:33.373 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233439	66			0	67	1	504	148	274	274	-0.2613113	0	-5.357886	0	-0.545225	0	1.795674	0	-3.052983	0	-2.952234	0	-5.405365	0	-6.959033	0	-6.87805	0	-4.64654	0	-0.2613113	0	1.795674	0	1.539066	1.985143	-0.9884517	1.708503	-0.4398349	-0.6805926	-5.006547	-0.651048	0.8494966	-0.384541	-1.426165	-1.067863	-3.613708	0.3583168	-0.1653002	-1.170714	0.1865412	-0.6117249	-2.147987	-1.824829						
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233473	100			1	100	1	505	148	274	274	-0.3161548	0	-5.34602	0	-0.164143	0	1.683061	0	-3.401193	0	-3.053184	0	-5.745862	0	-7.150208	0	-7.04097	0	-4.967779	0	-0.3161548	0	1.683061	0	1.509421	1.961349	-0.9613992	1.618979	-0.5326169	-0.7039998	-4.860922	-0.7694872	0.779754	-0.4567502	-1.431709	-1.101895	-3.599996	0.2844982	-0.1532162	-1.439546	0.3748131	-0.3624292	-2.135134	-1.647984						
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233506	133			2	133	1	506	148	273	273	-0.3906735	0	-5.635591	0	0.04712391	0	1.585735	0	-3.698789	0	-3.399851	0	-6.500579	0	-7.79474	0	-7.546413	0	-5.839628	0	-0.3906735	0	1.585735	0	1.706377	2.164371	-0.9593235	1.727636	-0.5643501	-0.7061536	-4.685586	-0.9584337	0.7369893	-0.5627782	-1.574362	-1.138933	-3.599218	0.3438752	-0.1848918	-1.856265	0.7690256	-0.004686076	-2.21617	-1.456239						
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233539	166			3	167	1	507	150	269	269	-0.8500836	0	-5.811083	0	0.5859109	0	1.746848	0	-3.74205	0	-3.534706	0	-6.750678	0	-7.82037	0	-7.831147	0	-5.66155	0	-0.8500836	0	1.746848	0	2.135355	2.673073	-0.9898944	2.07152	-0.6145076	-0.6725029	-5.020816	-1.094867	0.666081	-0.750903	-1.577389	-1.162919	-3.626129	0.1644513	-0.4812422	-2.096242	0.6689292	-0.002509301	-2.68901	-1.609973						
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233572	199			4	200	1	506	149	271	271	-0.9488779	0	-5.744064	0	0.6581485	0	1.647355	0	-4.082503	0	-3.334378	0	-6.950251	0	-8.180501	0	-8.009925	0	-6.227368	0	-0.9488779	0	1.647355	0	2.126109	2.658502	-0.9688429	2.023217	-0.6631891	-0.7187553	-4.956769	-0.9446582	0.5563281	-0.9210554	-1.338299	-1.280435	-3.773168	0.2183926	-0.3467481	-2.196258	0.9602407	0.1888908	-2.659365	-1.51772						
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233606	233			5	233	1	506	149	271	271	-0.5676841	0	-5.867283	0	0.01928226	0	1.693226	0	-3.752644	0	-3.517296	0	-6.705255	0	-8.015551	0	-7.77769	0	-5.779167	0	-0.5676841	0	1.693226	0	1.940488	2.434665	-1.020745	1.952201	-0.5766519	-0.7057647	-4.938441	-1.010092	0.718536	-0.6288402	-1.601503	-1.147065	-3.774454	0.3890481	-0.2815549	-1.895754	0.7128683	-0.1338536	-2.319722	-1.679352						
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233639	266			6	267	1	504	148	274	274	-0.7605101	0	-5.405704	0	-0.1478874	0	1.883391	0	-3.125126	0	-3.12664	0	-5.583921	0	-7.141141	0	-7.016892	0	-4.83997	0	-0.7605101	0	1.883391	0	1.815054	2.284154	-0.9862673	1.864547	-0.5901134	-0.7551364	-5.151051	-0.8008941	0.7079769	-0.428453	-1.393978	-0.9355924	-3.34975	0.3177534	-0.1283878	-1.162118	0.1548162	-0.5087655	-2.04753	-1.867871						
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233672	299			7	300	1	508	150	270	270	-1.120701	0	-5.204913	0	0.2511845	0	1.754183	0	-2.122082	0	-2.990644	0	-5.121388	0	-6.24113	0	-6.412962	0	-3.378724	0	-1.120701	0	1.754183	0	1.994298	2.550953	-1.131119	1.91283	-0.6480575	-0.7665724	-5.562255	-0.9760299	0.5459576	-0.4918488	-1.586843	-1.08281	-2.888555	-0.1107904	-0.3871514	-1.229167	-0.4413889	-0.9763768	-2.439175	-1.987602						
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233706	333			8	333	1	508	151	270	270	-2.064894	0	-4.618221	0	1.125977	0	1.380155	0	-1.681021	0	-2.878202	0	-4.256922	0	-5.292172	0	-5.756338	0	-2.37694	0	-2.064894	0	1.380155	0	2.121652	2.691563	-1.137793	1.990245	-0.7843115	-0.8544501	-5.519283	-1.123897	0.1496049	-0.6514478	-1.48226	-0.9452962	-1.864597	-0.554155	-0.5958091	-1.147517	-0.7801148	-0.9707968	-2.613568	-1.832287						
TianlinLiu	20180411	9df863fba_1__utterance_12	0	MALE	recording	TestImage	Emotient FACET	20180320_150233739	366			9	367	1	508	152	272	272	-3.178382	0	-3.606976	0	1.61697	0	0.7811319	0	-1.549039	0	-2.429453	0	-3.121978	0	-3.953189	0	-4.529047	0	-1.074734	0	-3.178382	0	0.7811319	0	1.870165	2.349737	-1.029863	1.364607	-0.8334167	-0.8873946	-4.904448	-1.268145	-0.5192667	-0.8525305	-1.099697	-0.682168	-1.051356	-1.20481	-0.4386648	-1.000622	-1.086175	-1.105224	-2.67142	-1.315215						
