#Study : TianlinLiu
#Date : 20180411 09:08:46
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:28:02.492 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802575	83			0	83	1	525	117	193	193	-6.662556	0	-4.6662	0	0.726754	0	-0.9103777	0	-2.24793	0	-2.255655	0	0.730332	0	-3.442341	0	-4.719158	0	-0.2255752	0	-6.662556	0	0.730332	0	3.550314	2.734559	-0.4883433	-0.9816704	-0.6999959	-0.8257952	-3.960072	-1.33912	-2.202849	-2.992872	-0.9449354	-1.351325	-1.817023	-1.599035	-2.790632	-2.74455	0.2038385	-0.6014001	-5.328616	2.106731						
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802617	125			1	125	1	524	116	189	189	-6.910761	0	-4.031246	0	-0.3471373	0	-1.321321	0	-2.007605	0	-1.872627	0	0.7882927	0	-2.679123	0	-3.88198	0	0.6375912	0	-6.910761	0	0.7882927	0	2.997343	2.281034	-0.4013833	-0.934936	-0.4423306	-0.6438652	-3.720304	-1.202093	-2.625851	-2.793457	-0.3258628	-1.31249	-1.992408	-1.709607	-2.516927	-2.062577	-1.196813	-1.853508	-5.56995	1.359028						
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802658	166			2	167	1	521	114	191	191	-7.306548	0	-3.841794	0	-1.137473	0	-1.942198	0	-1.917598	0	-2.188734	0	1.061682	0	-2.310107	0	-3.497094	0	0.9041187	0	-7.306548	0	1.061682	0	3.089079	2.209159	-0.2811784	-0.9885897	-0.6839542	-0.7387989	-3.945543	-1.280765	-2.791033	-2.540596	-0.2255165	-1.26916	-1.884025	-1.877597	-2.271817	-1.614699	-1.792837	-2.431342	-5.507201	1.014408						
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802700	208			3	209	1	519	112	191	191	-6.537568	0	-3.289715	0	-1.158278	0	-2.052875	0	-1.611718	0	-1.845937	0	1.149392	0	-2.046736	0	-2.857452	0	0.6147844	0	-6.537568	0	1.149392	0	2.915069	2.05798	-0.2170257	-1.049762	-0.8010985	-0.9244914	-3.482454	-1.100301	-2.477623	-2.02138	-0.009004182	-0.8161203	-1.202693	-1.823973	-1.611268	-1.125857	-1.770745	-2.325696	-5.00123	0.9694147						
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802742	250			4	250	1	519	113	190	190	-6.393177	0	-3.253182	0	-0.9483517	0	-2.034969	0	-1.714754	0	-1.549927	0	0.9205766	0	-2.38398	0	-3.064117	0	0.4191208	0	-6.393177	0	0.9205766	0	2.923387	2.110582	-0.2040853	-1.005515	-0.760003	-0.9649056	-3.253066	-0.9793064	-2.493569	-2.020447	0.0712112	-0.7130015	-1.371868	-1.961402	-1.552819	-1.166923	-1.846474	-2.506173	-5.212247	0.9293402						
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802783	291			5	292	1	517	112	191	191	-5.025131	0	-3.403006	0	-0.9486804	0	-1.969845	0	-1.263562	0	-1.36088	0	1.128366	0	-2.092	0	-2.811976	0	0.5736969	0	-5.025131	0	1.128366	0	3.007356	2.142577	-0.231812	-1.309807	-0.7289935	-0.9613686	-3.082155	-0.8384028	-1.769433	-1.584491	-0.09262124	-0.7697946	-0.5030995	-1.751131	-1.500286	-0.801141	-1.426535	-2.039064	-4.523034	1.16525						
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802825	333			6	334	1	518	113	191	191	-4.83117	0	-3.370884	0	-0.6957778	0	-1.83666	0	-1.239171	0	-1.078529	0	0.9676824	0	-2.356575	0	-2.972154	0	0.429666	0	-4.83117	0	0.9676824	0	2.907164	2.102084	-0.2764442	-1.215065	-0.6619881	-0.9926185	-2.91423	-0.5698019	-1.684424	-1.629766	0.1040782	-0.6598519	-0.7039884	-1.744886	-1.464432	-0.9321468	-1.354362	-2.141228	-4.732848	1.113254						
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802867	375			7	375	1	518	115	192	192	-4.244015	0	-3.344828	0	-0.809997	0	-1.770112	0	-0.9832267	0	-1.114626	0	1.0358	0	-2.279912	0	-2.850486	0	0.4826926	0	-4.244015	0	1.0358	0	2.930651	2.129207	-0.2754953	-1.175958	-0.6016023	-0.91725	-2.988424	-0.581187	-1.421427	-1.455748	0.09171545	-0.6688241	-0.6017685	-1.643622	-1.438424	-0.8109289	-1.426282	-2.178354	-4.473265	1.007043						
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802909	417			8	417	1	519	117	192	192	-3.105089	0	-3.243168	0	-0.5622702	0	-1.468505	0	-0.1119136	0	-0.9384982	0	0.9961925	0	-2.349273	0	-2.6266	0	0.1953889	0	-3.105089	0	0.9961925	0	2.893858	2.1414	-0.3246221	-1.062358	-0.4796674	-0.8806772	-2.607783	-0.5112903	-0.872656	-0.9033937	0.1531756	-0.2915362	-0.4039653	-1.439912	-1.147997	-0.473128	-1.413262	-2.083454	-3.715003	0.9660953						
TianlinLiu	20180411	10bd5f047_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_142802950	458			9	459	1	519	121	194	194	-2.721263	0	-3.580014	0	-0.1986414	0	-1.33258	0	-0.6407378	0	-0.7909365	0	0.6117301	0	-2.551481	0	-3.089637	0	0.2090048	0	-2.721263	0	0.6117301	0	2.961501	2.152415	-0.1792562	-0.9671493	-0.4277771	-0.7840157	-2.705918	-0.3409894	-0.8520626	-1.365991	-0.3342228	-0.9077919	-0.7363724	-1.433994	-1.721041	-0.972928	-0.6778144	-1.547931	-3.812417	0.9472921						
